sample_index,signal_normalization,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
293,train_zscore,1.0,6,6,91.77598571777344,1.74419367313385
294,train_zscore,1.0,3,3,12.061736106872559,0.42129042744636536
295,train_zscore,1.0,8,8,1080.406494140625,6.660861968994141
296,train_zscore,1.0,7,7,10.818233489990234,0.42856067419052124
297,train_zscore,0.0,0,5,24957.26953125,25.30001449584961
298,train_zscore,1.0,7,7,69.75275421142578,1.0889785289764404
299,train_zscore,1.0,5,5,163.76454162597656,2.0431766510009766
300,train_zscore,1.0,9,9,198.2810516357422,2.015789270401001
301,train_zscore,1.0,4,4,6.1305975914001465,0.270077109336853
302,train_zscore,1.0,6,6,518.7936401367188,3.826883554458618
303,train_zscore,1.0,5,5,94.80423736572266,1.5444988012313843
304,train_zscore,0.0,0,2,9980.009765625,9.991286277770996
305,train_zscore,1.0,7,7,121.56466674804688,1.7642757892608643
306,train_zscore,1.0,4,4,23.498750686645508,0.7362357974052429
307,train_zscore,1.0,6,6,29.290912628173828,0.9273265600204468
308,train_zscore,1.0,6,6,20.596473693847656,0.6501715183258057
309,train_zscore,0.8,4,5,5415.89306640625,8.290101051330566
310,train_zscore,1.0,11,11,2190.852783203125,12.237130165100098
311,train_zscore,1.0,5,5,1073.7186279296875,5.683976650238037
312,train_zscore,1.0,8,8,300.3366394042969,3.1264963150024414
313,train_zscore,1.0,11,11,502.1645202636719,3.9635684490203857
314,train_zscore,1.0,8,8,158.87725830078125,1.7497825622558594
315,train_zscore,1.0,4,4,62.122257232666016,1.0074477195739746
316,train_zscore,1.0,10,10,158.84022521972656,1.7668442726135254
317,train_zscore,1.0,8,8,1478.6534423828125,7.539914131164551
318,train_zscore,1.0,13,13,554.7567749023438,4.240020275115967
319,train_zscore,1.0,11,11,1932.3470458984375,11.488459587097168
320,train_zscore,0.9285714285714286,13,14,5426.84814453125,8.386563301086426
321,train_zscore,0.0,0,6,29942.0859375,30.125904083251953
322,train_zscore,1.0,4,4,66.39002990722656,1.3830393552780151
323,train_zscore,1.0,10,10,59.74276351928711,1.2702796459197998
324,train_zscore,1.0,6,6,31.950599670410156,0.7872779965400696
325,train_zscore,1.0,13,13,650.2316284179688,4.9266676902771
326,train_zscore,0.0,0,4,19971.146484375,20.397096633911133
327,train_zscore,0.0,0,4,19970.208984375,20.391817092895508
328,train_zscore,1.0,6,6,155.6080322265625,1.7187113761901855
329,train_zscore,1.0,3,3,137.47657775878906,1.3705898523330688
330,train_zscore,1.0,9,9,347.2294921875,3.6496264934539795
331,train_zscore,1.0,2,2,1.397312045097351,0.1393885463476181
332,train_zscore,1.0,4,4,8.228545188903809,0.38556191325187683
333,train_zscore,1.0,12,12,203.04527282714844,2.1019721031188965
334,train_zscore,0.75,6,8,10187.5791015625,12.586259841918945
335,train_zscore,1.0,8,8,170.37582397460938,2.3656482696533203
336,train_zscore,1.0,4,4,31.892528533935547,0.9285642504692078
337,train_zscore,0.0,0,3,14981.46484375,15.28014850616455
338,train_zscore,1.0,9,9,121.82269287109375,1.5822300910949707
339,train_zscore,1.0,5,5,225.25146484375,2.878781795501709
340,train_zscore,1.0,4,4,46.5505256652832,0.7450768947601318
341,train_zscore,1.0,9,9,28.497854232788086,0.8115861415863037
342,train_zscore,1.0,4,4,52.87370681762695,1.0333170890808105
343,train_zscore,1.0,4,4,435.284423828125,3.4168591499328613
344,train_zscore,0.0,0,2,10097.259765625,10.792621612548828
345,train_zscore,1.0,10,10,480.76702880859375,3.120652437210083
