dataset_version,split,sample_index,threshold_area_pixels,provided_mask_area_pixels,label_area_pixels,label_area_ratio,mask_iou,mismatch_count,has_mu_maps,has_masks
v1,test,8,2098.0,2098.0,2098.0,0.1049,1.0,0,True,True
v1,test,9,4198.0,4198.0,4198.0,0.2099,1.0,0,True,True
v2,train,0,964.0,964.0,964.0,0.0482,1.0,0,True,True
v2,train,1,1092.0,1092.0,1092.0,0.0546,1.0,0,True,True
v2,train,2,1128.0,1128.0,1128.0,0.0564,1.0,0,True,True
v2,train,3,932.0,932.0,932.0,0.0466,1.0,0,True,True
v2,train,4,1066.0,1066.0,1066.0,0.0533,1.0,0,True,True
v2,train,5,1104.0,1104.0,1104.0,0.0552,1.0,0,True,True
v2,train,6,1040.0,1040.0,1040.0,0.052,1.0,0,True,True
v2,train,7,1030.0,1030.0,1030.0,0.0515,1.0,0,True,True
v2,train,8,1080.0,1080.0,1080.0,0.054,1.0,0,True,True
v2,train,9,1008.0,1008.0,1008.0,0.0504,1.0,0,True,True
v2,train,10,1004.0,1004.0,1004.0,0.0502,1.0,0,True,True
v2,train,11,1196.0,1196.0,1196.0,0.0598,1.0,0,True,True
v2,train,12,996.0,996.0,996.0,0.0498,1.0,0,True,True
v2,train,13,978.0,978.0,978.0,0.0489,1.0,0,True,True
v2,train,14,1172.0,1172.0,1172.0,0.0586,1.0,0,True,True
v2,train,15,964.0,964.0,964.0,0.0482,1.0,0,True,True
v2,train,16,1092.0,1092.0,1092.0,0.0546,1.0,0,True,True
v2,train,17,1128.0,1128.0,1128.0,0.0564,1.0,0,True,True
v2,train,18,932.0,932.0,932.0,0.0466,1.0,0,True,True
v2,train,19,1066.0,1066.0,1066.0,0.0533,1.0,0,True,True
v2,train,20,1104.0,1104.0,1104.0,0.0552,1.0,0,True,True
v2,train,21,1040.0,1040.0,1040.0,0.052,1.0,0,True,True
v2,train,22,1030.0,1030.0,1030.0,0.0515,1.0,0,True,True
v2,train,23,1080.0,1080.0,1080.0,0.054,1.0,0,True,True
v2,train,24,1008.0,1008.0,1008.0,0.0504,1.0,0,True,True
v2,train,25,1063.0,1063.0,1063.0,0.05315,1.0,0,True,True
v2,train,26,1181.0,1181.0,1181.0,0.05905,1.0,0,True,True
v2,train,27,1097.0,1097.0,1097.0,0.05485,1.0,0,True,True
v2,train,28,1047.0,1047.0,1047.0,0.05235,1.0,0,True,True
v2,train,29,1150.0,1150.0,1150.0,0.0575,1.0,0,True,True
v2,train,30,1058.0,1058.0,1058.0,0.0529,1.0,0,True,True
v2,train,31,1010.0,1010.0,1010.0,0.0505,1.0,0,True,True
v2,train,32,1280.0,1280.0,1280.0,0.064,1.0,0,True,True
v2,train,33,1059.0,1059.0,1059.0,0.05295,1.0,0,True,True
v2,train,34,975.0,975.0,975.0,0.04875,1.0,0,True,True
v2,train,35,1250.0,1250.0,1250.0,0.0625,1.0,0,True,True
v2,train,36,1018.0,1018.0,1018.0,0.0509,1.0,0,True,True
v2,train,37,1098.0,1098.0,1098.0,0.0549,1.0,0,True,True
v2,train,38,1212.0,1212.0,1212.0,0.0606,1.0,0,True,True
v2,train,39,979.0,979.0,979.0,0.04895,1.0,0,True,True
v2,train,40,1063.0,1063.0,1063.0,0.05315,1.0,0,True,True
v2,train,41,1181.0,1181.0,1181.0,0.05905,1.0,0,True,True
v2,train,42,1097.0,1097.0,1097.0,0.05485,1.0,0,True,True
v2,train,43,1047.0,1047.0,1047.0,0.05235,1.0,0,True,True
v2,train,44,1150.0,1150.0,1150.0,0.0575,1.0,0,True,True
v2,train,45,1058.0,1058.0,1058.0,0.0529,1.0,0,True,True
v2,train,46,1010.0,1010.0,1010.0,0.0505,1.0,0,True,True
v2,train,47,1280.0,1280.0,1280.0,0.064,1.0,0,True,True
v2,train,48,1059.0,1059.0,1059.0,0.05295,1.0,0,True,True
v2,train,49,975.0,975.0,975.0,0.04875,1.0,0,True,True
v2,train,50,1074.0,1074.0,1074.0,0.0537,1.0,0,True,True
v2,train,51,1028.0,1028.0,1028.0,0.0514,1.0,0,True,True
v2,train,52,946.0,946.0,946.0,0.0473,1.0,0,True,True
v2,train,53,1184.0,1184.0,1184.0,0.0592,1.0,0,True,True
v2,train,54,1004.0,1004.0,1004.0,0.0502,1.0,0,True,True
v2,train,55,919.0,919.0,919.0,0.04595,1.0,0,True,True
v2,train,56,1163.0,1163.0,1163.0,0.05815,1.0,0,True,True
v2,train,57,975.0,975.0,975.0,0.04875,1.0,0,True,True
v2,train,58,1030.0,1030.0,1030.0,0.0515,1.0,0,True,True
v2,train,59,1115.0,1115.0,1115.0,0.05575,1.0,0,True,True
v2,train,60,951.0,951.0,951.0,0.04755,1.0,0,True,True
v2,train,61,1003.0,1003.0,1003.0,0.05015,1.0,0,True,True
v2,train,62,1092.0,1092.0,1092.0,0.0546,1.0,0,True,True
v2,train,63,1053.0,1053.0,1053.0,0.05265,1.0,0,True,True
v2,train,64,973.0,973.0,973.0,0.04865,1.0,0,True,True
v2,train,65,1074.0,1074.0,1074.0,0.0537,1.0,0,True,True
v2,train,66,1028.0,1028.0,1028.0,0.0514,1.0,0,True,True
v2,train,67,946.0,946.0,946.0,0.0473,1.0,0,True,True
v2,train,68,1184.0,1184.0,1184.0,0.0592,1.0,0,True,True
v2,train,69,1004.0,1004.0,1004.0,0.0502,1.0,0,True,True
v2,train,70,919.0,919.0,919.0,0.04595,1.0,0,True,True
v2,train,71,1163.0,1163.0,1163.0,0.05815,1.0,0,True,True
v2,train,72,975.0,975.0,975.0,0.04875,1.0,0,True,True
v2,train,73,1030.0,1030.0,1030.0,0.0515,1.0,0,True,True
v2,train,74,1115.0,1115.0,1115.0,0.05575,1.0,0,True,True
v2,train,75,1071.0,1071.0,1071.0,0.05355,1.0,0,True,True
v2,train,76,987.0,987.0,987.0,0.04935,1.0,0,True,True
v2,train,77,1234.0,1234.0,1234.0,0.0617,1.0,0,True,True
v2,train,78,1028.0,1028.0,1028.0,0.0514,1.0,0,True,True
v2,train,79,1115.0,1115.0,1115.0,0.05575,1.0,0,True,True
v2,train,80,1202.0,1202.0,1202.0,0.0601,1.0,0,True,True
v2,train,81,993.0,993.0,993.0,0.04965,1.0,0,True,True
v2,train,82,1078.0,1078.0,1078.0,0.0539,1.0,0,True,True
v2,train,83,1168.0,1168.0,1168.0,0.0584,1.0,0,True,True
v2,train,84,1113.0,1113.0,1113.0,0.05565,1.0,0,True,True
v2,train,85,1061.0,1061.0,1061.0,0.05305,1.0,0,True,True
v2,train,86,1140.0,1140.0,1140.0,0.057,1.0,0,True,True
v2,train,87,1070.0,1070.0,1070.0,0.0535,1.0,0,True,True
v2,train,88,1024.0,1024.0,1024.0,0.0512,1.0,0,True,True
v2,train,89,1265.0,1265.0,1265.0,0.06325,1.0,0,True,True
v2,train,90,1071.0,1071.0,1071.0,0.05355,1.0,0,True,True
v2,train,91,987.0,987.0,987.0,0.04935,1.0,0,True,True
v2,train,92,1234.0,1234.0,1234.0,0.0617,1.0,0,True,True
v2,train,93,1028.0,1028.0,1028.0,0.0514,1.0,0,True,True
v2,train,94,1115.0,1115.0,1115.0,0.05575,1.0,0,True,True
v2,train,95,1202.0,1202.0,1202.0,0.0601,1.0,0,True,True
v2,train,96,993.0,993.0,993.0,0.04965,1.0,0,True,True
v2,train,97,1078.0,1078.0,1078.0,0.0539,1.0,0,True,True
v2,train,98,1168.0,1168.0,1168.0,0.0584,1.0,0,True,True
v2,train,99,1113.0,1113.0,1113.0,0.05565,1.0,0,True,True
v2,val,0,1004.0,1004.0,1004.0,0.0502,1.0,0,True,True
v2,val,1,1196.0,1196.0,1196.0,0.0598,1.0,0,True,True
v2,val,2,996.0,996.0,996.0,0.0498,1.0,0,True,True
v2,val,3,978.0,978.0,978.0,0.0489,1.0,0,True,True
v2,val,4,1172.0,1172.0,1172.0,0.0586,1.0,0,True,True
v2,val,5,1250.0,1250.0,1250.0,0.0625,1.0,0,True,True
v2,val,6,1018.0,1018.0,1018.0,0.0509,1.0,0,True,True
v2,val,7,1098.0,1098.0,1098.0,0.0549,1.0,0,True,True
v2,val,8,1212.0,1212.0,1212.0,0.0606,1.0,0,True,True
v2,val,9,979.0,979.0,979.0,0.04895,1.0,0,True,True
v2,val,10,951.0,951.0,951.0,0.04755,1.0,0,True,True
v2,val,11,1003.0,1003.0,1003.0,0.05015,1.0,0,True,True
v2,val,12,1092.0,1092.0,1092.0,0.0546,1.0,0,True,True
v2,val,13,1053.0,1053.0,1053.0,0.05265,1.0,0,True,True
v2,val,14,973.0,973.0,973.0,0.04865,1.0,0,True,True
v2,val,15,1061.0,1061.0,1061.0,0.05305,1.0,0,True,True
v2,val,16,1140.0,1140.0,1140.0,0.057,1.0,0,True,True
v2,val,17,1070.0,1070.0,1070.0,0.0535,1.0,0,True,True
v2,val,18,1024.0,1024.0,1024.0,0.0512,1.0,0,True,True
v2,val,19,1265.0,1265.0,1265.0,0.06325,1.0,0,True,True
v2,test,0,1104.0,1104.0,1104.0,0.0552,1.0,0,True,True
v2,test,1,1040.0,1040.0,1040.0,0.052,1.0,0,True,True
v2,test,2,1030.0,1030.0,1030.0,0.0515,1.0,0,True,True
v2,test,3,1080.0,1080.0,1080.0,0.054,1.0,0,True,True
v2,test,4,1008.0,1008.0,1008.0,0.0504,1.0,0,True,True
v2,test,5,1058.0,1058.0,1058.0,0.0529,1.0,0,True,True
v2,test,6,1010.0,1010.0,1010.0,0.0505,1.0,0,True,True
v2,test,7,1280.0,1280.0,1280.0,0.064,1.0,0,True,True
v2,test,8,1059.0,1059.0,1059.0,0.05295,1.0,0,True,True
v2,test,9,975.0,975.0,975.0,0.04875,1.0,0,True,True
v2,test,10,919.0,919.0,919.0,0.04595,1.0,0,True,True
v2,test,11,1163.0,1163.0,1163.0,0.05815,1.0,0,True,True
v2,test,12,975.0,975.0,975.0,0.04875,1.0,0,True,True
v2,test,13,1030.0,1030.0,1030.0,0.0515,1.0,0,True,True
v2,test,14,1115.0,1115.0,1115.0,0.05575,1.0,0,True,True
v2,test,15,1202.0,1202.0,1202.0,0.0601,1.0,0,True,True
v2,test,16,993.0,993.0,993.0,0.04965,1.0,0,True,True
v2,test,17,1078.0,1078.0,1078.0,0.0539,1.0,0,True,True
v2,test,18,1168.0,1168.0,1168.0,0.0584,1.0,0,True,True
v2,test,19,1113.0,1113.0,1113.0,0.05565,1.0,0,True,True
