sample_index,signal_normalization,conditioning_mode,encoder_type,point_signal_mode,defect_iou,defect_area_pred,defect_area_label,mu_mse,mu_mae
672,per_sample_zscore,concat,mlp,local_value_abs,0.7777777777777778,7,9,10488.384765625,13.857187271118164
673,per_sample_zscore,concat,mlp,local_value_abs,0.8888888888888888,8,9,5046.12841796875,6.379951000213623
674,per_sample_zscore,concat,mlp,local_value_abs,1.0,7,7,2048.404296875,10.860583305358887
675,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,68.65629577636719,0.978533923625946
676,per_sample_zscore,concat,mlp,local_value_abs,1.0,8,8,148.3570098876953,2.270468235015869
677,per_sample_zscore,concat,mlp,local_value_abs,1.0,11,11,74.35723876953125,1.2647775411605835
678,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,5.767609596252441,0.38231781125068665
679,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,153.93658447265625,1.9672123193740845
680,per_sample_zscore,concat,mlp,local_value_abs,1.0,5,5,121.8866195678711,1.6695568561553955
681,per_sample_zscore,concat,mlp,local_value_abs,0.5,1,2,5033.6005859375,5.759724140167236
682,per_sample_zscore,concat,mlp,local_value_abs,1.0,5,5,1003.3896484375,6.86100435256958
683,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,97.10034942626953,1.1492199897766113
684,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,43.9991455078125,1.1128278970718384
685,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,37.28570556640625,0.7761144042015076
686,per_sample_zscore,concat,mlp,local_value_abs,1.0,5,5,36.511573791503906,0.7783880233764648
687,per_sample_zscore,concat,mlp,local_value_abs,1.0,7,7,671.0567626953125,5.531790256500244
688,per_sample_zscore,concat,mlp,local_value_abs,0.0,0,5,24952.337890625,25.144725799560547
689,per_sample_zscore,concat,mlp,local_value_abs,1.0,8,8,21.08082389831543,0.7823507785797119
690,per_sample_zscore,concat,mlp,local_value_abs,1.0,5,5,36.759071350097656,0.7327380776405334
691,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,136.96116638183594,2.0847837924957275
692,per_sample_zscore,concat,mlp,local_value_abs,1.0,9,9,353.2074279785156,4.306687355041504
693,per_sample_zscore,concat,mlp,local_value_abs,1.0,15,15,1451.048583984375,8.165709495544434
694,per_sample_zscore,concat,mlp,local_value_abs,1.0,10,10,218.53968811035156,2.540757179260254
695,per_sample_zscore,concat,mlp,local_value_abs,1.0,2,2,0.8767796158790588,0.1377619504928589
696,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,52.132484436035156,1.1648242473602295
697,per_sample_zscore,concat,mlp,local_value_abs,1.0,16,16,867.1710815429688,5.873188495635986
698,per_sample_zscore,concat,mlp,local_value_abs,1.0,16,16,451.1506042480469,4.135030269622803
699,per_sample_zscore,concat,mlp,local_value_abs,1.0,9,9,249.35023498535156,2.9598236083984375
700,per_sample_zscore,concat,mlp,local_value_abs,0.0,0,4,19961.484375,20.16075897216797
701,per_sample_zscore,concat,mlp,local_value_abs,1.0,5,5,796.2980346679688,5.309413433074951
702,per_sample_zscore,concat,mlp,local_value_abs,1.0,16,16,3105.644287109375,14.047294616699219
703,per_sample_zscore,concat,mlp,local_value_abs,1.0,7,7,19.275312423706055,0.6156632304191589
704,per_sample_zscore,concat,mlp,local_value_abs,1.0,13,13,104.2138671875,1.7862515449523926
705,per_sample_zscore,concat,mlp,local_value_abs,1.0,5,5,15.987321853637695,0.5926056504249573
706,per_sample_zscore,concat,mlp,local_value_abs,1.0,5,5,315.9666442871094,2.682062864303589
707,per_sample_zscore,concat,mlp,local_value_abs,1.0,10,10,256.9566650390625,3.0783321857452393
708,per_sample_zscore,concat,mlp,local_value_abs,1.0,4,4,36.3204460144043,0.9026377201080322
709,per_sample_zscore,concat,mlp,local_value_abs,0.0,0,2,10138.7080078125,11.278547286987305
710,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,50.902587890625,0.8484820127487183
711,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,62.07823944091797,1.0798265933990479
712,per_sample_zscore,concat,mlp,local_value_abs,1.0,5,5,179.3634796142578,1.9029303789138794
713,per_sample_zscore,concat,mlp,local_value_abs,1.0,6,6,271.27752685546875,3.7997403144836426
714,per_sample_zscore,concat,mlp,local_value_abs,0.8333333333333334,6,5,5228.34716796875,7.459362506866455
