sample_index,oracle_mask_iou,oracle_dice,target_area,raster_area,area_diff,component_count,type_sequence
80,0.6184387617765814,0.7642411642411643,1202,1203,1,3,rotated_rect|rotated_rect|rotated_rect
81,0.6954662104362703,0.8203834510595358,993,989,-4,3,rotated_rect|rotated_rect|rotated_rect
82,0.7595762021189894,0.8633626679018064,1078,1081,3,3,rotated_rect|rotated_rect|rotated_rect
83,0.5757575757575758,0.7307692307692307,1168,1172,4,3,rotated_rect|rotated_rect|rotated_rect
84,0.7773343974461293,0.874719353390211,1113,1114,1,3,rotated_rect|rotated_rect|rotated_rect
85,0.7213647441104792,0.8381311939594148,1061,1058,-3,3,rotated_rect|rotated_rect|rotated_rect
86,0.556390977443609,0.714975845410628,1140,1137,-3,3,rotated_rect|rotated_rect|rotated_rect
87,0.6924901185770751,0.8183092013078,1070,1071,1,3,rotated_rect|rotated_rect|rotated_rect
88,0.6784249384741592,0.8084066471163245,1024,1022,-2,3,rotated_rect|rotated_rect|rotated_rect
89,0.6501628664495114,0.7879984208448481,1265,1268,3,3,rotated_rect|rotated_rect|rotated_rect
90,0.7457212713936431,0.8543417366946778,1071,1071,0,3,rotated_rect|rotated_rect|rotated_rect
91,0.6624579124579124,0.7969620253164557,987,988,1,3,rotated_rect|rotated_rect|rotated_rect
92,0.636604774535809,0.7779578606158833,1234,1234,0,3,rotated_rect|rotated_rect|rotated_rect
93,0.7050538525269263,0.827016520894072,1028,1030,2,3,rotated_rect|rotated_rect|rotated_rect
94,0.777511961722488,0.8748317631224765,1115,1114,-1,3,rotated_rect|rotated_rect|rotated_rect
95,0.6184387617765814,0.7642411642411643,1202,1203,1,3,rotated_rect|rotated_rect|rotated_rect
96,0.6954662104362703,0.8203834510595358,993,989,-4,3,rotated_rect|rotated_rect|rotated_rect
97,0.7595762021189894,0.8633626679018064,1078,1081,3,3,rotated_rect|rotated_rect|rotated_rect
98,0.5757575757575758,0.7307692307692307,1168,1172,4,3,rotated_rect|rotated_rect|rotated_rect
99,0.7773343974461293,0.874719353390211,1113,1114,1,3,rotated_rect|rotated_rect|rotated_rect
