candidate,seed,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite,macro_area_composite,vertex_mae,vertex_rmse,invalid_count,out_of_image_count
oracle_quad_supervised_screening,42,val,area_bin,large,0.6,43,0.45799095977147986,0.6214625839697733,0.3125345422582311,1.0352103977009308,0,2,41,0.7669190014830221,0.02414113032644342,0.1740890036575323,0.2453213359207608,0,0
oracle_quad_supervised_screening,42,val,signal_bin,low_signal,0.6,43,0.2791835146702078,0.4158879949990379,1.2163881676692088,1.1457230545753656,0,1,42,-0.5213166579999631,0.02414113032644342,0.17114215812017752,0.23708149392244426,0,0
oracle_quad_supervised_screening,42,val,signal_bin,non_low_signal,0.6,86,0.4009201976477741,0.5622957262144389,0.6663458993725662,1.0826832489218823,0,1,85,0.29687002448964683,0.02414113032644342,0.18721869243525488,0.26863167084060435,0,0
oracle_quad_supervised_screening,42,val,defect_type,polygon,0.6,72,0.30366019132908195,0.44736632844378754,1.0890032107890848,1.1366946707583137,0,1,71,-0.3379766910162153,0.02414113032644342,0.19633622964223227,0.2773524991547068,0,0
oracle_quad_supervised_screening,42,val,defect_type,rotated_rect,0.6,57,0.4319384974181335,0.5970217647622399,0.547407147000045,1.0620146396390178,0,1,56,0.4815531151803285,0.02414113032644342,0.16357389147997947,0.23381487704944193,0,0
oracle_quad_supervised_screening,42,val,overall,all,0.7,129,0.36015842689473504,0.5127369904464495,0.7695484916179786,1.1039285679427229,0,2,127,0.10334692572320592,0.10334692572320596,0.18185984766356242,0.2581149452012177,0,0
oracle_quad_supervised_screening,42,val,area_bin,small,0.7,43,0.2427865205635077,0.3719356285558073,1.3193270900088008,1.2351750395325727,0,0,43,-0.7046049408894858,0.10334692572320596,0.18485675804143728,0.2629121439748032,0,0
oracle_quad_supervised_screening,42,val,area_bin,medium,0.7,43,0.3816610148339274,0.547093472835444,0.719535592547514,1.0403745091238688,0,0,43,0.20921889512185743,0.10334692572320596,0.1866337812917177,0.26611135570808897,0,0
oracle_quad_supervised_screening,42,val,area_bin,large,0.7,43,0.4560277452867699,0.6191818699480973,0.2697827922976209,1.036236155171727,0,2,41,0.8054268229372462,0.10334692572320596,0.1740890036575323,0.2453213359207608,0,0
oracle_quad_supervised_screening,42,val,signal_bin,low_signal,0.7,43,0.27850774932270406,0.41449061636088047,1.101045817773271,1.1473897636629815,0,1,42,-0.4080474520896864,0.10334692572320596,0.17114215812017752,0.23708149392244426,0,0
oracle_quad_supervised_screening,42,val,signal_bin,non_low_signal,0.7,86,0.40098376568075045,0.5618601774892341,0.6037998285403323,1.0821979700825934,0,1,85,0.35904411462965224,0.10334692572320596,0.18721869243525488,0.26863167084060435,0,0
oracle_quad_supervised_screening,42,val,defect_type,polygon,0.7,72,0.3029314016396074,0.44593394840900596,0.9915708204649428,1.1385205909609795,0,1,71,-0.2427054704163295,0.10334692572320596,0.19633622964223227,0.2773524991547068,0,0
oracle_quad_supervised_screening,42,val,defect_type,rotated_rect,0.7,57,0.43244519563805406,0.5971197803884833,0.4890992341270763,1.0602333809722935,0,1,56,0.5404657418994612,0.10334692572320596,0.16357389147997947,0.23381487704944193,0,0
oracle_quad_supervised_screening,42,val,overall,all,0.8,129,0.35972618326938594,0.5114702486012405,0.6773281983128925,1.1047880110121513,0,3,126,0.19386823355773397,0.19386823355773378,0.18185984766356242,0.2581149452012177,0,0
oracle_quad_supervised_screening,42,val,area_bin,small,0.8,43,0.24165795387361416,0.36930720439695075,1.1777890780268883,1.2361488927935445,0,0,43,-0.5668239197563234,0.19386823355773378,0.18485675804143728,0.2629121439748032,0,0
oracle_quad_supervised_screening,42,val,area_bin,medium,0.8,43,0.38282436590711794,0.5478682551120492,0.6350655842426497,1.042013486110887,0,0,43,0.29562703677651736,0.19386823355773378,0.1866337812917177,0.26611135570808897,0,0
