seed,split,true_task_group,pred_task_group,sample_count,task_gate_accuracy,count_head_accuracy,mean_gate_single,mean_gate_cc2,mean_gate_cc3,gate_entropy_mean,gate_collapse_flag
42,val,all,all,219,0.9954337899543378,1.0,0.46093395525315145,0.1782935651123557,0.3607724786184892,0.04144567043503796,0
42,test,single_defect,single_defect,99,1.0,1.0,0.9991095391186801,2.6477789869341822e-05,0.0008639851318995188,0.0031334231225889674,1
42,test,single_defect,all,99,1.0,1.0,0.9991095391186801,2.6477789869341822e-05,0.0008639851318995188,0.0031334231225889674,1
42,test,multi_defect_cc2,multi_defect_cc2,37,1.0,1.0,0.02552998440994604,0.9700462447630392,0.004423777217047759,0.13209506745045071,0
42,test,multi_defect_cc2,multi_defect_cc3,3,0.0,0.6666666666666666,0.04469412425532937,0.30319933593273163,0.6521065433820089,0.7173943969799049,0
42,test,multi_defect_cc2,all,40,0.925,0.975,0.026967294898349793,0.9200327266007662,0.05299998467941984,0.1759925171651598,0
42,test,multi_defect_cc3,multi_defect_cc2,4,0.0,0.0,0.05665298772510141,0.6842024922370911,0.2591445166617632,0.7140976845976494,0
42,test,multi_defect_cc3,multi_defect_cc3,76,1.0,0.9868421052631579,0.0030452055896606593,0.008159409938562165,0.9887953933916593,0.028247714274767455,0
42,test,multi_defect_cc3,all,80,0.95,0.9375,0.005725594696432697,0.04196156405348861,0.9523128495551646,0.06254021279091156,0
42,test,all,single_defect,99,1.0,1.0,0.9991095391186801,2.6477789869341822e-05,0.0008639851318995188,0.0031334231225889674,0
42,test,all,multi_defect_cc2,41,0.9024390243902439,0.9024390243902439,0.028566374977278274,0.9421590493946541,0.02927458106531268,0.1888758105867628,0
42,test,all,multi_defect_cc3,79,0.9620253164556962,0.9746835443037974,0.004626810095951876,0.019363457761125562,0.9760097408596473,0.054417841466101784,0
42,test,all,all,219,0.9680365296803652,0.9726027397260274,0.45866933216620065,0.18338290177856986,0.35794777113994525,0.056406970771760837,0
42,all,single_defect,single_defect,600,1.0,1.0,0.9997761620084444,3.4172627005154764e-05,0.00018966594415048514,0.000993737352455919,1
42,all,single_defect,all,600,1.0,1.0,0.9997761620084444,3.4172627005154764e-05,0.00018966594415048514,0.000993737352455919,1
42,all,multi_defect_cc2,multi_defect_cc2,237,1.0,1.0,0.028517740373873005,0.9659053459449156,0.005576912335270868,0.14247410566001054,1
42,all,multi_defect_cc2,multi_defect_cc3,3,0.0,0.6666666666666666,0.04469412425532937,0.30319933593273163,0.6521065433820089,0.7173943969799049,1
42,all,multi_defect_cc2,all,240,0.9875,0.9958333333333333,0.028719945172391213,0.9576215208197634,0.013658532723355094,0.14966060930150918,1
42,all,multi_defect_cc3,single_defect,1,0.0,1.0,0.6250452399253845,0.020688297227025032,0.3542664051055908,0.7415857836615793,1
42,all,multi_defect_cc3,multi_defect_cc2,4,0.0,0.0,0.05665298772510141,0.6842024922370911,0.2591445166617632,0.7140976845976494,1
42,all,multi_defect_cc3,multi_defect_cc3,475,1.0,0.9978947368421053,0.0020808555744552216,0.0031947532306858175,0.9947243956515663,0.018897978679852944,1
42,all,multi_defect_cc3,all,480,0.9895833333333334,0.9895833333333334,0.003833465809775042,0.008906262605731569,0.9872602758463472,0.026196909156213182,1
42,all,all,single_defect,601,0.9983361064891847,1.0,0.9991526496588886,6.853889089869866e-05,0.0007788119327718501,0.0022260036524710996,0
42,all,all,multi_defect_cc2,241,0.983402489626556,0.983402489626556,0.02898471543364443,0.9612297799082713,0.009785503278449164,0.15196163394113316,0
42,all,all,multi_defect_cc3,478,0.9937238493723849,0.99581589958159,0.002348302867431419,0.005077627180698658,0.9925740744030126,0.02328184741395369,0
42,all,all,all,1320,0.9939393939393939,0.9954545454545455,0.46105950578419136,0.17736717774522534,0.3615733180502592,0.03718886745365006,0
