bucket,sample_id,split,curvature_template,depth_bin,aspect_bin,profile_depth_rmse_m,er_like_profile_error,projected_mask_dice,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error
worst_er_like,rbc_v3topup_126_test_boxy_deep_wide,test,boxy,deep,wide,0.0016182089457288384,0.6060698979631832,0.8385598141695703,3.6400203704833984,1.7276965379714966,2.908716917037964,0.4284769296646118,0.4149603843688965,0.4071940779685974
worst_er_like,rbc_v3topup_114_test_sharp_deep_balanced,test,sharp,deep,balanced,0.0010615326464176178,0.5393138753714803,0.7795527156549521,4.635566711425781,3.1744577884674072,2.9139115810394287,0.24082720279693604,0.22105848789215088,0.266757071018219
worst_er_like,rbc_pilot_045_deep_small_compact_LD_dominant,test,LD_dominant,deep,compact,0.0010588181903585792,0.5008995929638306,0.8026315789473685,3.6000170707702637,0.8410839438438416,2.237416982650757,0.26794737577438354,0.15296387672424316,0.03944694995880127
worst_er_like,rbc_pilot_009_deep_small_compact_sharp,test,sharp,deep,compact,0.0007914689485915005,0.4485131240469864,0.88268156424581,0.9334301352500916,0.1942366361618042,2.2986273765563965,0.33051204681396484,0.33969998359680176,0.33805960416793823
worst_er_like,rbc_v3topup_119_test_round_medium_compact,test,round,medium,compact,0.00040049158269539475,0.43676681170323395,0.9558823529411765,0.3937082290649414,0.1951456069946289,1.0171892642974854,0.12156224250793457,0.1633511185646057,0.13227421045303345
worst_er_like,rbc_v2topup_058_deep_elongated_LD_dominant,test,LD_dominant,deep,narrow,0.0010356438579037786,0.4161469043211306,0.7474226804123711,8.67172908782959,1.3508070707321167,2.1226391792297363,0.2630772590637207,0.04571300745010376,0.07101273536682129
worst_er_like,rbc_v3topup_113_test_sharp_shallow_compact,test,sharp,shallow,compact,0.0001632102794246748,0.4130456630893618,0.8349514563106796,0.3215232789516449,1.0380470752716064,0.17661891877651215,0.29232257604599,0.35153359174728394,0.32788795232772827
worst_er_like,rbc_pilot_036_deep_elongated_boxy,test,boxy,deep,narrow,0.0011872889008373022,0.407443629291888,0.8875968992248062,3.4474618434906006,2.763258218765259,1.879901647567749,0.39699816703796387,0.303364634513855,0.37103796005249023
worst_er_like,rbc_v3topup_110_test_sharp_medium_compact,test,sharp,medium,compact,0.00034997871262021363,0.4066627232935263,0.9672131147540983,1.1092116832733154,0.01155724748969078,1.0199196338653564,0.2826992869377136,0.3416319489479065,0.3090061545372009
worst_er_like,rbc_v3topup_115_test_round_deep_compact,test,round,deep,compact,0.0007339395233429968,0.3913151545200903,0.9696969696969697,1.228431224822998,0.17649215459823608,1.9578957557678223,0.2499712109565735,0.25228917598724365,0.2449004054069519
worst_dice,rbc_pilot_032_medium_elongated_boxy,test,boxy,medium,narrow,0.0003559849283192307,0.20942375436913416,0.6666666666666666,2.0599029064178467,8.137539863586426,0.1254749894142151,0.4010685682296753,0.3538013696670532,0.3798061013221741
worst_dice,rbc_v3topup_127_test_LD_dominant_shallow_wide,test,LD_dominant,shallow,wide,0.0001736636768328026,0.23322485743322116,0.6666666666666666,3.6959686279296875,5.757148265838623,0.5027351379394531,0.4266272187232971,0.12040108442306519,0.17235970497131348
worst_dice,rbc_v3topup_117_test_round_medium_narrow,test,round,medium,narrow,0.000497778004501015,0.3375070159770496,0.6791569086651054,0.12028776109218597,6.878073215484619,1.2485932111740112,0.05184578895568848,0.07887756824493408,0.08905518054962158
worst_dice,rbc_pilot_038_shallow_medium_balanced_LD_dominant,test,LD_dominant,shallow,balanced,0.00013642982230521739,0.2234126260240007,0.7071823204419889,4.7947893142700195,2.0046699047088623,0.23579713702201843,0.38127923011779785,0.0720788836479187,0.17408764362335205
worst_dice,rbc_v2topup_058_deep_elongated_LD_dominant,test,LD_dominant,deep,narrow,0.0010356438579037786,0.4161469043211306,0.7474226804123711,8.67172908782959,1.3508070707321167,2.1226391792297363,0.2630772590637207,0.04571300745010376,0.07101273536682129
worst_dice,rbc_v2topup_043_deep_medium_balanced_LD_dominant,test,LD_dominant,deep,balanced,0.0007488140254281461,0.325454276179946,0.75,3.4986958503723145,3.5305497646331787,1.5273005962371826,0.24594897031784058,0.06540191173553467,0.05315136909484863
worst_dice,rbc_v3topup_114_test_sharp_deep_balanced,test,sharp,deep,balanced,0.0010615326464176178,0.5393138753714803,0.7795527156549521,4.635566711425781,3.1744577884674072,2.9139115810394287,0.24082720279693604,0.22105848789215088,0.266757071018219
worst_dice,rbc_pilot_002_shallow_medium_balanced_sharp,test,sharp,shallow,balanced,8.17986874608323e-05,0.16045631637452834,0.7953216374269005,3.7554874420166016,1.886833906173706,0.23897260427474976,0.25016093254089355,0.31071364879608154,0.2781558036804199
worst_dice,rbc_v3topup_107_test_WD_dominant_shallow_balanced,test,WD_dominant,shallow,balanced,7.230234768940136e-05,0.11901780247159337,0.8,2.8501617908477783,1.5199007987976074,0.06076239421963692,0.012429773807525635,0.30791670083999634,0.1594005823135376
worst_dice,rbc_pilot_045_deep_small_compact_LD_dominant,test,LD_dominant,deep,compact,0.0010588181903585792,0.5008995929638306,0.8026315789473685,3.6000170707702637,0.8410839438438416,2.237416982650757,0.26794737577438354,0.15296387672424316,0.03944694995880127
