seed,group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean,pred_connected_component_count_mean,predicted_component_count_is_3_rate,missed_component_rate,merged_component_rate,split_component_rate,extra_fragment_rate,component_recall_mean
all,min_component_distance_bin=near,train,84,0.759186582697395,0.8586256913694829,0.05504983634364156,1.6163947866296275,426.10714285714283,423.5357142857143,0,0.1991692946425506,3.011904761904762,0.9880952380952381,0.0,0.0,0.011904761904761904,0.011904761904761904,1.0
all,min_component_distance_bin=medium,train,84,0.6964206498037842,0.8040437922653512,0.06077075828289739,2.2985126116115318,421.3452380952381,427.75,0,0.272960884008734,3.107142857142857,0.9166666666666666,0.047619047619047616,0.0,0.08333333333333333,0.08333333333333333,0.984126984126984
all,min_component_distance_bin=far,train,72,0.7801448674769781,0.8705928294745208,0.06428839013074687,1.765168459139531,443.7361111111111,444.25,0,0.1854642271840324,3.0,1.0,0.0,0.0,0.0,0.0,1.0
all,min_component_distance_bin=near,val,24,0.6532816984322476,0.7797547703883421,0.06405646775923579,2.385598898798752,421.875,424.625,0,0.3290266537417968,3.125,0.9583333333333334,0.041666666666666664,0.0,0.041666666666666664,0.041666666666666664,0.986111111111111
all,min_component_distance_bin=medium,val,12,0.7075626573699071,0.8247762076587036,0.1081359899981798,1.9716757380614993,410.6666666666667,440.5,0,0.2681839056313038,3.0,1.0,0.0,0.0,0.0,0.0,1.0
all,min_component_distance_bin=far,val,24,0.7182702832719823,0.8322329501000189,0.08288210678587024,2.145185489971617,445.8333333333333,434.25,0,0.2490707552060485,3.0,1.0,0.0,0.0,0.0,0.0,1.0
all,min_component_distance_bin=near,test,12,0.6889573096631624,0.8118461052962505,0.0751022567075048,2.0069293255854275,420.75,430.5,0,0.27157845472296077,3.0833333333333335,0.9166666666666666,0.0,0.0,0.08333333333333333,0.08333333333333333,1.0
all,min_component_distance_bin=medium,test,24,0.5337873436230611,0.6803986554132747,0.09409891375992437,3.507306849926767,423.0416666666667,424.625,0,0.4664384350180626,3.0,1.0,0.125,0.0,0.0,0.0,0.9583333333333334
all,min_component_distance_bin=far,test,24,0.6811308986408884,0.8066584979473467,0.0839612797863638,2.884219499315106,452.3333333333333,443.0,0,0.2950802066673835,3.0,1.0,0.0,0.0,0.0,0.0,1.0
all,min_component_distance_bin=near,all,120,0.7309826785409423,0.8381735485659315,0.05885640466314674,1.8092890629590324,424.725,424.45,0,0.23238168247044086,3.0416666666666665,0.975,0.008333333333333333,0.0,0.025,0.025,0.9972222222222221
all,min_component_distance_bin=medium,all,120,0.6650081893242518,0.7813880064342711,0.07217291254983102,2.5075877719195763,420.6166666666667,428.4,0,0.3111786963728567,3.075,0.9416666666666667,0.058333333333333334,0.0,0.058333333333333334,0.058333333333333334,0.9805555555555555
all,min_component_distance_bin=far,all,120,0.7479671568687609,0.8501339872941855,0.07194171139289493,2.064982073341063,445.875,442.0,0,0.22010872868510584,3.0,1.0,0.0,0.0,0.0,0.0,1.0
all,union_mask_area_bin=small,train,78,0.7480550211953387,0.8450859107172534,0.07794865611843554,1.8460403993047714,418.47435897435895,390.5,0,0.22631192178680345,3.0256410256410255,0.9743589743589743,0.02564102564102564,0.0,0.02564102564102564,0.02564102564102564,0.9914529914529914
all,union_mask_area_bin=medium,train,87,0.731883531137625,0.8345896747485925,0.03928803246935856,2.061500913512004,425.60919540229884,428.58620689655174,0,0.2276717142212665,3.0804597701149423,0.9425287356321839,0.022988505747126436,0.0,0.05747126436781609,0.05747126436781609,0.9923371647509578
all,union_mask_area_bin=large,train,75,0.7522570550164221,0.8509455681122429,0.06479520047961175,1.7680349318531614,446.2133333333333,476.64,0,0.20736787103116514,3.013333333333333,0.9866666666666667,0.0,0.0,0.013333333333333334,0.013333333333333334,1.0
