feature_set,model,split,group_field,group_value,sample_count,normalized_param_mae_mean,dimension_mae_norm,curvature_mae_norm,L_mae_mm,W_mae_mm,D_mae_mm,curvature_mae_mean,wLD_abs_error,wWD_abs_error,wLW_abs_error,projected_mask_iou,projected_mask_dice,profile_depth_rmse_m
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,train,aspect_bin,narrow,33,0.02962136629855994,0.02957805906507102,0.029664673419161278,0.17763222708846582,0.13480818045861792,0.04587194391272285,0.006511603947728872,0.006955650719729337,0.006647126241163774,0.005932034868182558,0.9723430655494719,0.9859089645797526,2.07158248789104e-05
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,train,aspect_bin,wide,42,0.02970564192427056,0.029592700701739107,0.029818582880709852,0.18231978728657677,0.1329468513528506,0.04541788569518498,0.00654061115346849,0.0069514768464224675,0.006582444622403099,0.006087911980492728,0.9861874824884421,0.9930377432125648,2.0670055792357917e-05
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,train,size_bin,elongated,33,0.02962136629855994,0.02957805906507102,0.029664673419161278,0.17763222708846582,0.13480818045861792,0.04587194391272285,0.006511603947728872,0.006955650719729337,0.006647126241163774,0.005932034868182558,0.9723430655494719,0.9859089645797526,2.07158248789104e-05
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,train,size_bin,large_wide,42,0.02970564192427056,0.029592700701739107,0.029818582880709852,0.18231978728657677,0.1329468513528506,0.04541788569518498,0.00654061115346849,0.0069514768464224675,0.006582444622403099,0.006087911980492728,0.9861874824884421,0.9930377432125648,2.0670055792357917e-05
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,train,size_bin,medium_balanced,44,0.029460040852427483,0.028994109862568705,0.029925971884619106,0.18123617700555109,0.1268257928842848,0.04502419445833022,0.006564252311363816,0.006886601448059082,0.006726917895403775,0.00607923756946217,0.9799209252164947,0.989833584403048,2.0658156420888023e-05
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,train,size_bin,small_compact,43,0.029197477237429728,0.02879289684947147,0.029602057798657308,0.1775542242928993,0.12758601534851763,0.04475108360828355,0.006498071570815735,0.006881889908812767,0.00671741574309593,0.005894909071367841,0.9678636278963698,0.9836082778551686,2.018796145992298e-05
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,val,curvature_template,LD_dominant,7,0.6154854382787432,0.48450886458158493,0.7464620087827954,2.4630409138543263,1.7778214982577734,1.0075506142207555,0.1670807291354452,0.2888180528368269,0.12058766399111066,0.09183647802897862,0.7918400534711699,0.865981011917105,0.0004946176278670984
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,val,curvature_template,WD_dominant,8,0.4227764252573252,0.36377357598394156,0.4817792810499668,1.7725841663777828,1.1668632999062538,0.832399370148778,0.10670162970200181,0.08360163867473602,0.1766696572303772,0.0598335936665535,0.8232259243634495,0.8978506681919229,0.0004060116816617665
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,val,curvature_template,boxy,8,0.9337917640805244,0.8582932874560356,1.009290276095271,4.427180126309395,4.07016783952713,1.4562964867800474,0.2207713439129293,0.23161114007234573,0.20811353623867035,0.22258935123682022,0.607118876554054,0.7415014974559906,0.000740928510822414
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,val,curvature_template,round,8,0.5612986739724874,0.4129631947726011,0.7096341606229544,1.9705983642488718,2.037052186205983,0.7132002636790276,0.15561512997373939,0.1675805225968361,0.1525329053401947,0.14673196524381638,0.757772281246857,0.8556684736062861,0.0003722373394339229
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,val,curvature_template,sharp,8,0.9748828560113907,0.5821631886065006,1.3676025718450546,2.6825467199087143,2.2478158939629793,1.2408319688402116,0.2988491072319448,0.30494430661201477,0.28414808213710785,0.3074549287557602,0.6864534777394298,0.7978878679368618,0.000596504960412858
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,val,depth_bin,deep,15,0.7716251601775487,0.7134674395124118,0.8297829161087672,3.8742132425308227,2.8482908844947814,1.3445891280968985,0.18192276433110238,0.19148730436960856,0.18295894463857015,0.1713220437367757,0.7022492717345938,0.8151459876433403,0.0006468980092904531
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,val,depth_bin,medium,11,0.5930032526904886,0.2763127386569977,0.9096937572414224,1.1100356809117577,1.498595653609796,0.48243380236354744,0.20027596605094997,0.2443763017654419,0.18188020316037265,0.17457139492034912,0.8439368033662827,0.9092891789852083,0.000318276171376717
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,val,depth_bin,shallow,13,0.7194602030974168,0.568281254516198,0.8706391774691068,2.5954592525959015,2.262386829807208,1.1937746359751775,0.1917835153066195,0.21255218065701997,0.20544313008968645,0.15735523517315203,0.6709539184984998,0.7827511044200636,0.0005525596391705151
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,val,aspect_bin,balanced,11,0.5954525768756866,0.308909380977804,0.8819957714189183,1.779632329940796,0.916141841899265,0.66472912105647,0.19359491494568912,0.21518497575413098,0.18633770400827582,0.17926206372000955,0.8662069251883995,0.9250120232995663,0.0003490648735102943
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,val,aspect_bin,compact,12,0.6909641226132711,0.43967392295598984,0.9422543346881866,2.850391298532486,1.1789357773959637,0.9104804902647933,0.20795129674176374,0.23876416186491647,0.22337459524472555,0.1617151399453481,0.702644327185049,0.8105977628441988,0.0004583758109220071
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,val,aspect_bin,narrow,6,0.8121223747730255,0.7664682368437449,0.8577765201528867,2.249336493511995,4.465830405553182,1.4374944965044658,0.18771189885834852,0.1959940493106842,0.18061213692029318,0.18652950723965964,0.5860998514821572,0.7312344704382389,0.0007241890416480601
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,val,aspect_bin,wide,10,0.7736113756895066,0.7856208339333535,0.7616019755601883,3.678789123892784,3.7600172221660615,1.413192582130432,0.16738317720592022,0.19154582619667054,0.1601944386959076,0.15040926337242128,0.7062837641342589,0.8115422907893176,0.0006702425744151697
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,val,size_bin,elongated,6,0.8121223747730255,0.7664682368437449,0.8577765201528867,2.249336493511995,4.465830405553182,1.4374944965044658,0.18771189885834852,0.1959940493106842,0.18061213692029318,0.18652950723965964,0.5860998514821572,0.7312344704382389,0.0007241890416480601
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,val,size_bin,large_wide,10,0.7736113756895066,0.7856208339333535,0.7616019755601883,3.678789123892784,3.7600172221660615,1.413192582130432,0.16738317720592022,0.19154582619667054,0.1601944386959076,0.15040926337242128,0.7062837641342589,0.8115422907893176,0.0006702425744151697
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,val,size_bin,medium_balanced,11,0.5954525768756866,0.308909380977804,0.8819957714189183,1.779632329940796,0.916141841899265,0.66472912105647,0.19359491494568912,0.21518497575413098,0.18633770400827582,0.17926206372000955,0.8662069251883995,0.9250120232995663,0.0003490648735102943
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,val,size_bin,small_compact,12,0.6909641226132711,0.43967392295598984,0.9422543346881866,2.850391298532486,1.1789357773959637,0.9104804902647933,0.20795129674176374,0.23876416186491647,0.22337459524472555,0.1617151399453481,0.702644327185049,0.8105977628441988,0.0004583758109220071
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,test,curvature_template,LD_dominant,8,0.6271452866494656,0.48765504360198975,0.7666355259716511,2.596730310469866,1.9161525517702103,0.9420620314776897,0.1708228588104248,0.2814876437187195,0.11910440027713776,0.11187653988599777,0.7328654031492101,0.8410629936217418,0.00041869790584314615
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,test,curvature_template,WD_dominant,8,0.608919195830822,0.5858291871845722,0.6320092082023621,2.2186747416853905,3.0410654693841934,1.1022771447896957,0.14021524600684643,0.12713352590799332,0.21652207523584366,0.07699013501405716,0.6893112676500739,0.8097710818597388,0.000500835660204757
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,test,curvature_template,boxy,7,0.896787336894444,0.6047668882778713,1.1888078195708138,3.580869657652719,2.438275558607919,1.0585432584796632,0.25984704068728853,0.275864166872842,0.23501016412462508,0.26866679532187326,0.7235010966582868,0.8362728186814212,0.0005750599209152694
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,test,curvature_template,round,8,0.6014285162091255,0.5058868117630482,0.696970246732235,2.4323638416826725,3.192245456390083,0.6324500213377178,0.15267760935239494,0.15426943451166153,0.15825296938419342,0.14551042765378952,0.7055723804209346,0.8164988805663884,0.0002640385337144835
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,test,curvature_template,sharp,8,0.7694732956588268,0.4550541788339615,1.0838924199342728,2.2674623169004917,1.2264386713504791,1.108173705637455,0.2366491574794054,0.217767171561718,0.25012290477752686,0.24205739051103592,0.7225402167627846,0.8290022600137663,0.0005052449159848038
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,test,depth_bin,deep,11,0.7860649065537886,0.6507904665036635,0.921339360150424,3.6102864986116234,2.4195212748917667,1.268321753564206,0.2032186734405431,0.23153599283911966,0.21723112734881314,0.16088890487497504,0.7097264088772572,0.8243024333458933,0.0006090357637731358
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,test,depth_bin,medium,11,0.6222851899537173,0.46110855720259925,0.7834618308327415,2.125016673044725,2.671898852017793,0.679897281256589,0.17199740491130136,0.1845487735488198,0.175146146254106,0.15629729357632724,0.7561957981797871,0.8533726036227304,0.0003297613610894504
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,test,depth_bin,shallow,17,0.6847876853802625,0.48693416048498717,0.8826412260532379,2.2411530824268566,2.121736747377059,0.956417450133492,0.1937924350666649,0.21172817314372344,0.19299646686105168,0.17665266640046062,0.6906869142849733,0.8100097678004806,0.0004240698352291742
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,test,aspect_bin,balanced,9,0.657281306054857,0.4176359706454807,0.8969266414642334,2.074376771847407,1.5680588119559817,0.8683729834026761,0.1968256655252642,0.20996802382998997,0.19964276419745552,0.1808662149641249,0.7876507594276787,0.8767294260677603,0.00039244167015163437
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,test,aspect_bin,compact,9,0.8206144769986471,0.5147877169979943,1.126441283358468,3.2080820235941143,1.4515102497405477,1.073659426636166,0.24734236631128523,0.2541199525197347,0.26810726192262435,0.21979988283581203,0.6251505675968057,0.7617744401863842,0.0004635268754403417
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,test,aspect_bin,narrow,9,0.6544998188813528,0.5176269213358561,0.7913727230495877,2.2429765860239663,3.250704755385717,0.7129250297115909,0.17477600193685955,0.23166310787200928,0.15066858132680258,0.1419963174396091,0.6856476197720666,0.8099369192912925,0.0003695273254480627
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,test,aspect_bin,wide,12,0.6618067746361097,0.621526209016641,0.7020873427391052,2.78825157135725,2.970223478972912,1.149574089795351,0.15427932950357595,0.15954596797625223,0.16927687327067056,0.1340151478846868,0.7483984416085896,0.8490520324461749,0.0005422077277520051
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,test,size_bin,elongated,9,0.6544998188813528,0.5176269213358561,0.7913727230495877,2.2429765860239663,3.250704755385717,0.7129250297115909,0.17477600193685955,0.23166310787200928,0.15066858132680258,0.1419963174396091,0.6856476197720666,0.8099369192912925,0.0003695273254480627
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,test,size_bin,large_wide,12,0.6618067746361097,0.621526209016641,0.7020873427391052,2.78825157135725,2.970223478972912,1.149574089795351,0.15427932950357595,0.15954596797625223,0.16927687327067056,0.1340151478846868,0.7483984416085896,0.8490520324461749,0.0005422077277520051
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,test,size_bin,medium_balanced,9,0.657281306054857,0.4176359706454807,0.8969266414642334,2.074376771847407,1.5680588119559817,0.8683729834026761,0.1968256655252642,0.20996802382998997,0.19964276419745552,0.1808662149641249,0.7876507594276787,0.8767294260677603,0.00039244167015163437
F0_F1_F2_basic_physical,svr_rbf_C10_eps0.03,test,size_bin,small_compact,9,0.8206144769986471,0.5147877169979943,1.126441283358468,3.2080820235941143,1.4515102497405477,1.073659426636166,0.24734236631128523,0.2541199525197347,0.26810726192262435,0.21979988283581203,0.6251505675968057,0.7617744401863842,0.0004635268754403417
