seed,source_index,sample_id,split,defect_group,task_group,defect_type,component_count,component_types,component_type_combination,source_dataset,source_pack,angle_deg,vertex_count,distance_bin,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,residual_l2_loss,base_abs_mean,weighted_residual_abs_mean,scaled_residual_abs_mean,residual_to_base_abs_ratio,residual_dominates_base,prob_min,prob_max,prob_mean,true_task_label,pred_task_label,task_gate_correct,gate_prob_single,gate_prob_cc2,gate_prob_cc3,true_count_label,pred_count_label,count_head_correct,true_connected_component_count,pred_connected_component_count,predicted_component_count_correct,predicted_component_count_is_1,predicted_component_count_is_2,predicted_component_count_is_3,component_count_error,missed_component_flag,merged_component_flag,split_component_flag,extra_fragment_flag,largest_component_area_ratio,second_largest_component_area_ratio,third_largest_component_area_ratio,component_recall_heuristic,polygon_component_present,notes
42,792,cc2_sample_193,val,multi_defect,multi_defect_cc2,multi_defect,2,rotated_rect+rotated_rect,rotated_rect+rotated_rect,multi_defect_pilot_v3,multi_defect_pilot_v3,,,,0.6,0.6031088082901555,0.7524240465416936,0.1885245901639344,3.347548444124172,693,854,0,0.10981670767068863,0.30345970392227173,0.42255479097366333,0.44896578788757324,12.599939346313477,0.4047519266605377,0.1416631743311882,0.011243163196070176,0,1.1947528421137937e-32,0.9883601665496826,0.0964459553360939,1,1,1,3.9431179175153375e-06,0.9452570676803589,0.05473902449011803,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0.6060606060606061,0.3939393939393939,0.0,1.0,no,topology_gated_v2_candidate_eval
42,793,cc2_sample_194,val,multi_defect,multi_defect_cc2,multi_defect,2,rectangular_notch+polygon,rectangular_notch+polygon,multi_defect_pilot_v3,multi_defect_pilot_v3,,,,0.6,0.46277665995975853,0.6327372764786795,0.0830945558739255,14.680448336582971,756,698,0,0.16999107599258423,0.39319854974746704,0.5649445056915283,0.43846821784973145,17.97917938232422,0.37891995906829834,0.1326219856739044,0.007376420405721542,0,0.0,0.9990187883377075,0.10227777063846588,1,1,1,3.6820101740886457e-06,0.9861294627189636,0.013866791501641273,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0.6335978835978836,0.3664021164021164,0.0,1.0,yes,topology_gated_v2_candidate_eval
42,794,cc2_sample_195,val,multi_defect,multi_defect_cc2,multi_defect,2,rotated_rect+polygon,rotated_rect+polygon,multi_defect_pilot_v3,multi_defect_pilot_v3,,,,0.6,0.6429608127721336,0.7826855123674912,0.16030534351145037,5.762471231644201,608,524,0,0.08175912499427795,0.25623470544815063,0.3382072150707245,2.13387393951416,30.109073638916016,0.6591882109642029,0.230715873837471,0.007662669287150384,0,0.0,0.999817430973053,0.07870469987392426,1,1,1,5.346002918574602e-16,1.0,7.145690705812058e-10,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0.5361842105263158,0.46381578947368424,0.0,1.0,yes,topology_gated_v2_candidate_eval
42,795,cc2_sample_196,val,multi_defect,multi_defect_cc2,multi_defect,2,rectangular_notch+rectangular_notch,rectangular_notch+rectangular_notch,multi_defect_pilot_v3,multi_defect_pilot_v3,,,,0.6,0.5512690355329949,0.7107329842931938,0.010416666666666666,9.499826027873603,760,768,0,0.14262647926807404,0.31170839071273804,0.4544627368450165,1.2563836574554443,20.34612274169922,0.6287977695465088,0.22007921934127805,0.010816764556827696,0,0.0,0.9979464411735535,0.10009350627660751,1,1,1,8.619505997842225e-09,0.9999910593032837,8.876507308741566e-06,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0.5092105263157894,0.49078947368421055,0.0,1.0,no,topology_gated_v2_candidate_eval
42,796,cc2_sample_197,val,multi_defect,multi_defect_cc2,multi_defect,2,rectangular_notch+rotated_rect,rectangular_notch+rotated_rect,multi_defect_pilot_v3,multi_defect_pilot_v3,,,,0.6,0.6763236763236763,0.8069129916567342,0.1780673181324647,0.7256520332799566,757,921,0,0.12401758879423141,0.19272834062576294,0.3172506093978882,5.00262451171875,38.523963928222656,1.035378336906433,0.36238241791725156,0.009406675247449554,0,0.0,0.9999995231628418,0.09641718864440918,1,1,1,2.0814223283295574e-13,0.9999762773513794,2.375754229433369e-05,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0.5918097754293263,0.4081902245706737,0.0,1.0,no,topology_gated_v2_candidate_eval
42,797,cc2_sample_198,val,multi_defect,multi_defect_cc2,multi_defect,2,rotated_rect+rotated_rect,rotated_rect+rotated_rect,multi_defect_pilot_v3,multi_defect_pilot_v3,,,,0.6,0.6167922497308934,0.762982689747004,0.1318407960199005,5.250280650197738,698,804,0,0.11324886232614517,0.25907760858535767,0.3723691999912262,0.4255654811859131,21.724037170410156,0.38972169160842896,0.13640259206295013,0.006278878598529613,0,0.0,0.9995954632759094,0.09181708097457886,1,1,1,5.692058976936032e-11,0.9999991655349731,7.873559866311552e-07,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0.5673352435530086,0.4326647564469914,0.0,1.0,no,topology_gated_v2_candidate_eval
42,798,cc2_sample_199,val,multi_defect,multi_defect_cc2,multi_defect,2,rectangular_notch+polygon,rectangular_notch+polygon,multi_defect_pilot_v3,multi_defect_pilot_v3,,,,0.6,0.6922094508301405,0.8181132075471698,0.36185383244206776,1.7540007879437656,764,561,0,0.08103138208389282,0.23618119955062866,0.3176124095916748,3.9973549842834473,23.94010353088379,1.0290120840072632,0.3601542294025421,0.015043971256762831,0,0.0,0.9995349645614624,0.09958335757255554,1,1,1,1.2359598067224198e-10,0.9999998807907104,1.5286795473912207e-07,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0.524869109947644,0.47513089005235604,0.0,1.0,yes,topology_gated_v2_candidate_eval
42,799,cc2_sample_200,val,multi_defect,multi_defect_cc2,multi_defect,2,rotated_rect+polygon,rotated_rect+polygon,multi_defect_pilot_v3,multi_defect_pilot_v3,,,,0.6,0.5136268343815513,0.6786703601108033,0.1534526854219949,10.61024615223463,662,782,0,0.1538015902042389,0.3424690365791321,0.4963040053844452,0.32763421535491943,15.559646606445312,0.32727208733558655,0.11454523056745529,0.007361685870166674,0,0.0,0.9995138645172119,0.0888800099492073,1,1,1,2.191624881575649e-09,0.999998927116394,1.062591309164418e-06,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0.5287009063444109,0.47129909365558914,0.0,1.0,yes,topology_gated_v2_candidate_eval
42,800,cc2_sample_201,test,multi_defect,multi_defect_cc2,multi_defect,2,rectangular_notch+rectangular_notch,rectangular_notch+rectangular_notch,multi_defect_pilot_v3,multi_defect_pilot_v3,,,,0.6,0.587360594795539,0.7400468384074942,0.03656597774244833,6.2426218533819275,652,629,0,0.1122165322303772,0.279477059841156,0.3920452296733856,3.5162301063537598,23.12706756591797,0.9647661447525024,0.33766815066337585,0.014600560563977105,0,0.0,0.9999572038650513,0.08512371778488159,1,1,1,6.733313451072476e-13,1.0,2.607756144357154e-08,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0.558282208588957,0.44171779141104295,0.0,1.0,no,topology_gated_v2_candidate_eval
42,801,cc2_sample_202,test,multi_defect,multi_defect_cc2,multi_defect,2,rectangular_notch+rotated_rect,rectangular_notch+rotated_rect,multi_defect_pilot_v3,multi_defect_pilot_v3,,,,0.6,0.719758064516129,0.8370457209847597,0.1476655808903366,2.98373208902311,785,921,0,0.10205308347940445,0.17496269941329956,0.2777637243270874,7.47831916809082,28.68642807006836,1.2518738508224487,0.43815584778785704,0.015273977182437441,0,0.0,0.9999997615814209,0.10101966559886932,1,1,1,3.154177223227417e-14,0.9999997615814209,2.935857708052936e-07,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0.6777070063694267,0.32229299363057323,0.0,1.0,no,topology_gated_v2_candidate_eval
42,802,cc2_sample_203,test,multi_defect,multi_defect_cc2,multi_defect,2,rotated_rect+rotated_rect,rotated_rect+rotated_rect,multi_defect_pilot_v3,multi_defect_pilot_v3,,,,0.6,0.6694214876033058,0.801980198019802,0.14893617021276595,3.9593742485836345,756,658,0,0.09409793466329575,0.22294741868972778,0.31753239035606384,4.870197772979736,22.875457763671875,1.1414624452590942,0.39951185584068294,0.017464649668132146,0,0.0,0.9999306201934814,0.09724964201450348,1,1,1,1.0538803336956892e-11,1.0,1.5067157521642116e-09,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0.5132275132275133,0.48677248677248675,0.0,1.0,no,topology_gated_v2_candidate_eval
42,803,cc2_sample_204,test,multi_defect,multi_defect_cc2,multi_defect,2,rectangular_notch+polygon,rectangular_notch+polygon,multi_defect_pilot_v3,multi_defect_pilot_v3,,,,0.6,0.6598240469208211,0.7950530035335689,0.23274161735700197,5.407980529866912,625,507,0,0.07762264460325241,0.25892210006713867,0.3366832733154297,1.3852310180664062,21.349477767944336,0.5118054151535034,0.1791318953037262,0.008390457942380582,0,0.0,0.9999173879623413,0.08288359642028809,1,1,1,6.466100865057086e-15,1.0,2.985588122214611e-13,1,1,1,2,2,1,0,1,0,0,0,0,0,0,0.5024,0.4976,0.0,1.0,yes,topology_gated_v2_candidate_eval
