candidate,seed,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite,macro_area_composite
mask_boundary_val_scan,42,val,signal_bin,non_low_signal,0.6,200,0.38013842365511835,0.5293449346787135,0.6012180628158413,1.085691573700369,2,31,169,0.3082652955179904,0.3090786169532295
mask_boundary_val_scan,42,val,overall,all,0.7,200,0.37707125685288195,0.5240272655319912,0.5011559151550334,1.1028417231834897,2,46,154,0.39994260722983965,0.40072981747440695
mask_boundary_val_scan,42,val,area_bin,small,0.7,67,0.2799293863277664,0.40408384823104265,0.7447821912318213,1.1938760586656056,2,9,58,-0.0607689566730123,0.40072981747440695
mask_boundary_val_scan,42,val,area_bin,medium,0.7,66,0.4135015248166332,0.5693548842292104,0.42468454265798183,1.1632808396084742,0,12,54,0.5581718663878618,0.40072981747440695
mask_boundary_val_scan,42,val,area_bin,large,0.7,67,0.4383265947569887,0.599319595758067,0.3328596478066846,0.9549877904911539,0,25,42,0.7047865427083713,0.40072981747440695
mask_boundary_val_scan,42,val,signal_bin,low_signal,0.7,0,nan,nan,nan,nan,0,0,0,nan,0.40072981747440695
mask_boundary_val_scan,42,val,signal_bin,non_low_signal,0.7,200,0.37707125685288195,0.5240272655319912,0.5011559151550334,1.1028417231834897,2,46,154,0.39994260722983965,0.40072981747440695
mask_boundary_val_scan,42,val,overall,all,0.8,200,0.36821212848321283,0.5125099418782834,0.38958605297889476,1.1206832105095315,3,75,125,0.49113601738260143,0.4918892251186488
mask_boundary_val_scan,42,val,area_bin,small,0.8,67,0.27599442048489864,0.3959062043664654,0.5541472877147344,1.1701721594436094,3,14,53,0.11775333713662961,0.4918892251186488
mask_boundary_val_scan,42,val,area_bin,medium,0.8,66,0.40739771585310824,0.560288506001191,0.32515544952617303,1.1824962694875218,0,26,40,0.6425307723281262,0.4918892251186488
mask_boundary_val_scan,42,val,area_bin,large,0.8,67,0.4218291086246151,0.5820482281645505,0.2884937708979752,1.0125197086538842,0,35,32,0.7153835658911905,0.4918892251186488
mask_boundary_val_scan,42,val,signal_bin,low_signal,0.8,0,nan,nan,nan,nan,0,0,0,nan,0.4918892251186488
mask_boundary_val_scan,42,val,signal_bin,non_low_signal,0.8,200,0.36821212848321283,0.5125099418782834,0.38958605297889476,1.1206832105095315,3,75,125,0.49113601738260143,0.4918892251186488
mask_boundary_val_scan,42,val,overall,all,0.85,200,0.3562997192197719,0.4979877223014867,0.34107830019671226,1.1506027781917734,4,96,104,0.5132091413245463,0.5139201317602851
mask_boundary_val_scan,42,val,area_bin,small,0.85,67,0.26744576713191665,0.38332223754343037,0.44557888415261326,1.173232375865891,4,18,49,0.20518912052273375,0.5139201317602851
mask_boundary_val_scan,42,val,area_bin,medium,0.85,66,0.3983417148128965,0.5488042779917242,0.29102777389662404,1.2065043651470633,0,34,32,0.6561182189079966,0.5139201317602851
mask_boundary_val_scan,42,val,area_bin,large,0.85,67,0.40373916818604166,0.5625951074243839,0.28588121976030095,1.0742569663631383,0,44,23,0.6804530558501247,0.5139201317602851
mask_boundary_val_scan,42,val,signal_bin,low_signal,0.85,0,nan,nan,nan,nan,0,0,0,nan,0.5139201317602851
mask_boundary_val_scan,42,val,signal_bin,non_low_signal,0.85,200,0.3562997192197719,0.4979877223014867,0.34107830019671226,1.1506027781917734,4,96,104,0.5132091413245463,0.5139201317602851
mask_boundary_val_scan,42,val,overall,all,0.9,200,0.32773806396772753,0.4634131404882061,0.3310359352751201,1.1830538041125505,5,137,63,0.4601152691808136,0.46080323278551183
mask_boundary_val_scan,42,val,area_bin,small,0.9,67,0.24364236412776977,0.3505219297759306,0.3665691916175084,1.1813437064725256,4,37,30,0.227595102286192,0.46080323278551183
mask_boundary_val_scan,42,val,area_bin,medium,0.9,66,0.37356096799835803,0.5196486953504238,0.294813709623627,1.168921994417906,1,46,20,0.5983959537251549,0.46080323278551183
mask_boundary_val_scan,42,val,area_bin,large,0.9,67,0.36669478371781056,0.5209081329779988,0.33118427435062064,1.1983717710002144,0,54,13,0.5564186423451887,0.46080323278551183
mask_boundary_val_scan,42,val,signal_bin,low_signal,0.9,0,nan,nan,nan,nan,0,0,0,nan,0.46080323278551183
mask_boundary_val_scan,42,val,signal_bin,non_low_signal,0.9,200,0.32773806396772753,0.4634131404882061,0.3310359352751201,1.1830538041125505,5,137,63,0.4601152691808136,0.46080323278551183
mask_boundary_val_scan,42,val,overall,all,0.95,200,0.205421121136586,0.3094913542586227,0.6034790309975278,1.2853582175503,29,193,7,-0.08856655560231907,-0.08789113632372118
mask_boundary_val_scan,42,val,area_bin,small,0.95,67,0.1337613203849857,0.20122802647396684,0.6432186228306563,1.1985606203476589,22,64,3,-0.3082292759717038,-0.08789113632372118
mask_boundary_val_scan,42,val,area_bin,medium,0.95,66,0.24567913407661396,0.3677737774926669,0.5662601921734322,1.2166418093638343,5,65,1,0.04719271939584868,-0.08789113632372118
mask_boundary_val_scan,42,val,area_bin,large,0.95,67,0.23742377481293492,0.3603421457231753,0.6004027729314186,1.409936567911735,2,64,3,-0.00263685239530842,-0.08789113632372118
mask_boundary_val_scan,42,val,signal_bin,low_signal,0.95,0,nan,nan,nan,nan,0,0,0,nan,-0.08789113632372118
mask_boundary_val_scan,42,val,signal_bin,non_low_signal,0.95,200,0.205421121136586,0.3094913542586227,0.6034790309975278,1.2853582175503,29,193,7,-0.08856655560231907,-0.08789113632372118
mask_boundary_val_scan,123,val,overall,all,0.5,200,0.3827487547635704,0.5330863276883894,0.7565082233728926,1.0446393125101316,4,16,184,0.15932685907906718,0.16059464696598094
mask_boundary_val_scan,123,val,area_bin,small,0.5,67,0.27602491234802734,0.40637018978912676,1.1977494741449997,1.1577335625059075,4,6,61,-0.5153543720078455,0.16059464696598094
mask_boundary_val_scan,123,val,area_bin,medium,0.5,66,0.42220024583437227,0.5808034534752177,0.5888514749608658,1.1072577654638074,0,2,64,0.4141522243487241,0.16059464696598094
mask_boundary_val_scan,123,val,area_bin,large,0.5,67,0.45060993433324903,0.6127975357080897,0.4804213814842745,0.8766131088582437,0,8,59,0.5829860885570642,0.16059464696598094
mask_boundary_val_scan,123,val,signal_bin,low_signal,0.5,0,nan,nan,nan,nan,0,0,0,nan,0.16059464696598094
mask_boundary_val_scan,123,val,signal_bin,non_low_signal,0.5,200,0.3827487547635704,0.5330863276883894,0.7565082233728926,1.0446393125101316,4,16,184,0.15932685907906718,0.16059464696598094
mask_boundary_val_scan,123,val,overall,all,0.6,200,0.38381109834996324,0.5330856790310563,0.6559052691678773,1.0613469711863077,5,22,178,0.2609915082131422,0.2621730943904066
mask_boundary_val_scan,123,val,area_bin,small,0.6,67,0.2787093051742953,0.40777068227897245,1.0621626821087844,1.1550527176549357,5,6,61,-0.3756826946555166,0.2621730943904066
mask_boundary_val_scan,123,val,area_bin,medium,0.6,66,0.42244478074242364,0.5796971155312538,0.5036515664304125,1.1405174381127863,0,4,62,0.4984903298432649,0.2621730943904066
