seed,candidate,group_type,group,threshold,n,mse,mae,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite,macro_area_composite
42,best_composite,area_bin,small,500,67,14569.092113893423,36.969535671063326,0.2147079655229421,0.31174388731013636,0.48258143590351976,1.204856552324205,14,35,32,0.04387041692955873,0.4282327857812874
42,best_composite,area_bin,medium,500,66,19482.30402166193,45.70600524093165,0.3320368544658089,0.4733530427965,0.3083446000342558,1.337747581419535,2,50,14,0.497045297228053,0.4282327857812874
42,best_composite,area_bin,large,500,67,29400.347248134327,63.06065989252347,0.4184643286076563,0.5763151733968777,0.25099685881828365,1.0977119532094073,0,46,21,0.7437826431862504,0.4282327857812874
42,best_composite,signal_bin,low_signal,500,67,17057.718090455925,41.58861392291624,0.18128291954467904,0.2754640334067431,0.5466754474157349,1.485622780434057,16,53,14,-0.08992849446431284,0.4282327857812874
42,best_composite,signal_bin,non_low_signal,500,133,23224.942786654134,52.12167154756704,0.39241368790977427,0.5434975011555425,0.24716717572757493,1.1071667785483195,0,78,53,0.6887440133377418,0.4282327857812874
42,best_macro_area_composite,overall,all,500,200,21158.922513427733,48.59309724330902,0.3216848805074674,0.4537062894596947,0.3475024467431085,1.2120649095057794,16,131,67,0.4278887232240536,0.4282327857812874
42,best_macro_area_composite,area_bin,small,500,67,14569.092113893423,36.969535671063326,0.2147079655229421,0.31174388731013636,0.48258143590351976,1.204856552324205,14,35,32,0.04387041692955873,0.4282327857812874
42,best_macro_area_composite,area_bin,medium,500,66,19482.30402166193,45.70600524093165,0.3320368544658089,0.4733530427965,0.3083446000342558,1.337747581419535,2,50,14,0.497045297228053,0.4282327857812874
42,best_macro_area_composite,area_bin,large,500,67,29400.347248134327,63.06065989252347,0.4184643286076563,0.5763151733968777,0.25099685881828365,1.0977119532094073,0,46,21,0.7437826431862504,0.4282327857812874
42,best_macro_area_composite,signal_bin,low_signal,500,67,17057.718090455925,41.58861392291624,0.18128291954467904,0.2754640334067431,0.5466754474157349,1.485622780434057,16,53,14,-0.08992849446431284,0.4282327857812874
42,best_macro_area_composite,signal_bin,non_low_signal,500,133,23224.942786654134,52.12167154756704,0.39241368790977427,0.5434975011555425,0.24716717572757493,1.1071667785483195,0,78,53,0.6887440133377418,0.4282327857812874
123,best_composite,overall,all,500,200,21701.642492065428,48.18354067325592,0.3143685815224847,0.4463300471411402,0.34982548385615786,1.2360381859096246,9,133,66,0.41087314480746706,0.4112353112779857
123,best_composite,area_bin,small,500,67,14042.316746953707,35.76147855217777,0.2168792560421094,0.3162268454776738,0.4365064440279319,1.1828237134268729,8,36,31,0.09659965749185134,0.4112353112779857
123,best_composite,area_bin,medium,500,66,20200.67274798769,45.62357405460242,0.32428904886110094,0.46488040901195665,0.3055008524913351,1.372728038751162,1,50,16,0.4836686053817225,0.4112353112779857
123,best_composite,area_bin,large,500,67,30839.535447761195,63.12736095599274,0.4020855063409394,0.5581597580064889,0.30680759338704505,1.1502891328018994,0,47,19,0.6534376709603833,0.4112353112779857
123,best_composite,signal_bin,low_signal,500,67,17673.528981678523,41.48414821055398,0.20108796572809645,0.302145709802062,0.5258679638878669,1.5076012060303112,9,49,18,-0.02263428835770842,0.4112353112779857
123,best_composite,signal_bin,non_low_signal,500,133,23730.84253113252,51.558422590556894,0.37143475639634943,0.5189642621916531,0.26114243000559767,1.1176122072103776,0,84,48,0.629256588582405,0.4112353112779857
123,best_macro_area_composite,overall,all,500,200,21701.642492065428,48.18354067325592,0.3143685815224847,0.4463300471411402,0.34982548385615786,1.2360381859096246,9,133,66,0.41087314480746706,0.4112353112779857
123,best_macro_area_composite,area_bin,small,500,67,14042.316746953707,35.76147855217777,0.2168792560421094,0.3162268454776738,0.4365064440279319,1.1828237134268729,8,36,31,0.09659965749185134,0.4112353112779857
123,best_macro_area_composite,area_bin,medium,500,66,20200.67274798769,45.62357405460242,0.32428904886110094,0.46488040901195665,0.3055008524913351,1.372728038751162,1,50,16,0.4836686053817225,0.4112353112779857
123,best_macro_area_composite,area_bin,large,500,67,30839.535447761195,63.12736095599274,0.4020855063409394,0.5581597580064889,0.30680759338704505,1.1502891328018994,0,47,19,0.6534376709603833,0.4112353112779857
