seed,source_index,sample_id,split,defect_group,defect_type,component_types,component_type_combination,source_dataset,source_pack,angle_deg,vertex_count,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,true_connected_component_count,pred_connected_component_count,predicted_component_count_correct,predicted_component_count_is_1,predicted_component_count_is_2,component_count_error,missed_component_flag,merged_component_flag,split_component_flag,largest_component_area_ratio,second_largest_component_area_ratio,component_recall_heuristic,polygon_component_present,notes
42,21,single_rect_p2_0022,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.7508771929824561,0.8577154308617234,0.24912280701754386,0.4368409151528075,428,570,0,0.055024269968271255,0.14534401893615723,0.20036828517913818,0.0,0.9999994039535522,0.05240790545940399,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,22,single_rect_p2_0023,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.6127247579529738,0.7598627787307033,0.20615384615384616,3.6968881714916497,516,650,0,0.13689196109771729,0.24248796701431274,0.37937992811203003,0.0,0.9999885559082031,0.06237778812646866,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,23,single_rect_p2_0024,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.7096774193548387,0.8301886792452831,0.14035087719298245,3.531341084656271,441,513,0,0.06059836596250534,0.16404229402542114,0.22464066743850708,0.0,0.9999994039535522,0.05488816648721695,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,24,single_rect_p2_0025,val,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.7397849462365591,0.8504326328800988,0.26021505376344084,1.3348975214018028,344,465,0,0.05766134709119797,0.1615605354309082,0.21922188997268677,0.0,0.9999990463256836,0.04197392612695694,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,25,single_rect_p2_0026,test,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.5711060948081265,0.7270114942528736,0.3269230769230769,1.912372444725902,280,416,0,0.1018647849559784,0.27189385890960693,0.3737586438655853,0.0,0.999992847442627,0.03505147993564606,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,26,single_rect_p2_0027,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.724907063197026,0.8405172413793104,0.10909090909090909,0.2209791828374674,488,440,0,0.050384312868118286,0.16587722301483154,0.21626153588294983,0.0,0.9999899864196777,0.059922076761722565,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,27,single_rect_p2_0028,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.6975425330812854,0.821826280623608,0.37566137566137564,0.6596378107871963,520,378,0,0.052346717566251755,0.18095004558563232,0.23329676687717438,0.0,0.9999891519546509,0.06315454840660095,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,28,single_rect_p2_0029,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.8786231884057971,0.9353905496624879,0.03598484848484849,0.3759212793350191,509,528,0,0.01653565652668476,0.0788223147392273,0.0953579694032669,0.0,0.9999637603759766,0.06209390610456467,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,29,single_rect_p2_0030,val,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.5778210116731517,0.7324290998766955,0.25277777777777777,3.6509378185652115,451,360,0,0.09394130110740662,0.27328866720199585,0.36722996830940247,0.0,0.9999666213989258,0.05531352013349533,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,30,single_rect_p2_0031,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.8163636363636364,0.8988988988988988,0.09714285714285714,1.441663235903408,474,525,0,0.032113078981637955,0.10754317045211792,0.13965624570846558,0.0,0.9999990463256836,0.057555750012397766,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,31,single_rect_p2_0032,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.8081494057724957,0.8938967136150234,0.017045454545454544,1.6766070616194362,537,528,0,0.040925294160842896,0.11700284481048584,0.15792813897132874,0.0,0.999997615814209,0.06467320024967194,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,32,single_rect_p2_0033,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.6965408805031447,0.8211306765523633,0.04528985507246377,3.439401424240386,527,552,0,0.06934026628732681,0.17986208200454712,0.24920234084129333,0.0,0.9999934434890747,0.06360246241092682,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,33,single_rect_p2_0034,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.6705128205128205,0.8027628549501151,0.3294871794871795,1.8807209358812575,523,780,0,0.14450937509536743,0.20670264959335327,0.3512120246887207,0.0,0.999995231628418,0.06319120526313782,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,34,single_rect_p2_0035,val,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.7241379310344828,0.84,0.35507246376811596,0.8448605543443197,374,276,0,0.03937074542045593,0.16812258958816528,0.20749333500862122,0.0,0.999997615814209,0.045677196234464645,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,35,single_rect_p2_0036,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.6393129770992366,0.779976717112922,0.15288220551378445,4.09595909493398,460,399,0,0.07639303803443909,0.22210359573364258,0.29849663376808167,0.0,0.9999561309814453,0.055980898439884186,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,36,single_rect_p2_0037,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.7858197932053176,0.880066170388751,0.2088888888888889,0.9804314225089226,534,675,0,0.05885425955057144,0.13202250003814697,0.19087675213813782,0.0,0.9999948740005493,0.06484108418226242,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,37,single_rect_p2_0038,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.6264880952380952,0.7703568161024703,0.37351190476190477,0.5482371033050337,421,672,0,0.09809572994709015,0.2220129370689392,0.32010865211486816,0.0,0.999990701675415,0.052748531103134155,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,38,single_rect_p2_0039,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.7876857749469215,0.8812351543942993,0.059907834101382486,1.9815338996696974,408,434,0,0.036228977143764496,0.13878220319747925,0.17501118779182434,0.0,0.9999908208847046,0.04994921386241913,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,39,single_rect_p2_0040,val,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.7783375314861462,0.8753541076487252,0.011396011396011397,1.956609255273484,355,351,0,0.03777839243412018,0.13089430332183838,0.16867269575595856,0.0,0.9999990463256836,0.04307866096496582,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,40,single_rect_p2_0041,val,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.5518672199170125,0.7112299465240641,0.8120300751879699,2.1818092633511648,482,266,0,0.08091047406196594,0.2920733690261841,0.37298384308815,0.0,0.999958872795105,0.05840648338198662,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,41,single_rect_p2_0042,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.774671052631579,0.8730305838739574,0.1835016835016835,1.6842133345499675,485,594,0,0.05739627033472061,0.13381165266036987,0.1912079155445099,0.0,0.9999905824661255,0.05932341516017914,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,42,single_rect_p2_0043,test,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.697228144989339,0.821608040201005,0.32748538011695905,3.4891877139223473,454,342,0,0.06754493713378906,0.19987285137176514,0.2674177885055542,0.0,0.9999881982803345,0.05596701800823212,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,43,single_rect_p2_0044,train,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.7402376910016978,0.8507317073170731,0.20175438596491227,2.173898859574758,455,570,0,0.06954086571931839,0.15512651205062866,0.22466737031936646,0.0,0.9999927282333374,0.056211262941360474,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
42,44,single_rect_p2_0045,val,single_defect,rectangular_notch,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v2_rectangular_notch,0.0,0,0.5,0.7789757412398922,0.8757575757575757,0.0,2.2299427409911607,330,330,0,0.037920739501714706,0.13551205396652222,0.17343279719352722,0.0,0.9999996423721313,0.04009081795811653,1,1,1,1,0,0,0,0,0,1.0,0.0,1.0,no,combined_baseline_v2_candidate_eval
