sample_index,model,defect_type,area_bin,low_signal,pred_area_zero,pred_area_lt_true,pred_area_gt_true,mse,mae,iou,dice,area_error,center_error,pred_area,true_area,pred_center_x,pred_center_y,true_center_x,true_center_y
84,multi_liftoff,polygon,medium,False,False,True,False,14168.1484375,35.75565719604492,0.4876712328767123,0.6556169429097606,0.4811188811188811,0.6515739560127258,5.649467031298499,10.88778686624913,-5.2627692222595215,4.9925127029418945,-5.485434055328369,5.604859828948975
85,multi_liftoff,multi_defect,large,False,False,True,False,27081.79296875,59.62769317626953,0.3144848954298993,0.47849145550972305,0.1791845493562232,1.7961065769195557,11.649170563189628,14.192192110970893,-1.8775248527526855,5.098039627075195,-0.15495935082435608,4.589348316192627
86,multi_liftoff,rotated_rect,small,True,False,True,False,15104.701171875,32.65316390991211,0.00936768149882904,0.018561484918793503,0.8351351351351352,2.128037452697754,0.9288881102674083,5.634239357359689,6.659115791320801,5.285642623901367,6.814070224761963,3.1632542610168457
87,multi_liftoff,multi_defect,large,False,False,True,False,51775.81640625,88.46078491210938,0.30721181147075527,0.47002606429192006,0.6199040767386091,3.3327224254608154,9.654345277205522,25.399760129935032,-4.993659496307373,5.316572666168213,-1.6769096851348877,4.990674018859863
88,multi_liftoff,multi_defect,large,False,False,True,False,29037.056640625,54.480186462402344,0.40797546012269936,0.579520697167756,0.5205479452054794,0.4035697281360626,9.060465993591933,18.897543358063174,1.9883029460906982,4.86308479309082,1.5911751985549927,4.79126501083374
89,multi_liftoff,polygon,medium,False,False,True,False,14974.1201171875,37.81641387939453,0.5073099415204678,0.6731328806983511,0.17198581560283688,0.41010215878486633,7.111323729424257,8.588408101488824,-0.6735497713088989,4.886768817901611,-1.0667699575424194,5.003223419189453
90,multi_liftoff,polygon,small,True,False,False,True,8937.3701171875,27.622737884521484,0.49019607843137253,0.6578947368421053,0.4292237442922374,0.5692309737205505,4.766261942847521,3.3348605925993837,-0.3889254629611969,5.064704418182373,0.052660562098026276,4.705502986907959
91,multi_liftoff,multi_defect,large,False,False,True,False,48465.2734375,87.12139129638672,0.28316188413643745,0.4413502109704641,0.38335607094133695,1.3428488969802856,13.765817240684214,22.323769994295418,-0.5624916553497314,4.692053318023682,0.07599393278360367,5.87339973449707
92,multi_liftoff,rotated_rect,small,True,False,True,False,11048.63671875,31.764650344848633,0.4463276836158192,0.6171875,0.47619047619047616,0.4196706712245941,4.020105919845832,7.6747476651602256,-1.8461627960205078,5.032139778137207,-1.9621918201446533,4.6288275718688965
93,multi_liftoff,multi_defect,large,False,False,False,True,29112.0703125,75.0776596069336,0.4521805661820964,0.6227608008429927,0.08114035087719298,0.5547105073928833,15.014486503666632,13.887638632194694,2.5565454959869385,4.90831184387207,2.3624703884124756,5.427964210510254
94,multi_liftoff,rotated_rect,medium,True,False,True,False,21679.73046875,41.40359878540039,0.24694104560622915,0.3960749330954505,0.46227709190672156,1.5977712869644165,5.969248184013509,11.100974301392469,-0.0026920305099338293,5.010564804077148,0.16347168385982513,3.421457290649414
95,multi_liftoff,polygon,small,False,False,False,True,12490.9775390625,33.11484146118164,0.263254113345521,0.41678726483357453,0.002898550724637681,1.4424151182174683,5.26877518282825,5.25354750888944,-5.926453113555908,4.936942100524902,-5.609132766723633,6.344020366668701
96,multi_liftoff,multi_defect,large,False,False,True,False,40401.328125,73.79637908935547,0.23095238095238096,0.37524177949709864,0.09225092250922509,2.5011332035064697,14.984031155789012,16.50679854967001,0.6390182375907898,5.17142915725708,-1.1206401586532593,3.393995523452759
97,multi_liftoff,rotated_rect,large,False,False,True,False,18824.923828125,42.87198257446289,0.4608460846084608,0.6309303758471966,0.30761209593326383,0.9642807245254517,10.111175495369821,14.603339307318763,-4.363685607910156,5.296032428741455,-4.34395694732666,4.331953525543213
98,multi_liftoff,polygon,medium,False,False,False,True,22229.146484375,46.354496002197266,0.32397003745318353,0.4893917963224894,0.27697262479871176,1.402551293373108,12.075545433476307,9.456385516000992,1.744124174118042,4.824283123016357,1.9555506706237793,3.4377591609954834
99,multi_liftoff,rotated_rect,large,False,False,True,False,19880.6640625,45.37391662597656,0.4519966015293118,0.6225863077823288,0.11368653421633554,1.2020585536956787,12.227822172864407,13.796272588561834,-3.119927167892456,5.023711204528809,-2.8144032955169678,3.8611278533935547
100,multi_liftoff,rotated_rect,small,False,False,False,True,9655.9755859375,31.689062118530273,0.6461538461538462,0.7850467289719626,0.04025423728813559,0.20384879410266876,7.476787903955696,7.1874620991183065,-3.9817724227905273,5.160772323608398,-4.1144280433654785,5.005992412567139
101,multi_liftoff,polygon,medium,False,False,True,False,29258.291015625,50.02922058105469,0.06645230439442658,0.12462311557788945,0.46687211093990755,1.9360547065734863,5.26877518282825,9.882760386287671,-5.745199680328369,4.939277172088623,-5.176382541656494,3.088667869567871
102,multi_liftoff,multi_defect,medium,True,True,True,False,23894.505859375,34.493324279785156,0.0,0.0,1.0,nan,0.0,8.009756491814045,nan,nan,1.7938553094863892,5.66712760925293
103,multi_liftoff,rotated_rect,medium,False,False,False,True,20318.39453125,44.376251220703125,0.34097706879361916,0.5085501858736059,0.0409711684370258,1.3621166944503784,10.44618432202364,10.035037125675771,-4.460641384124756,5.259003162384033,-4.64282751083374,6.608880996704102
104,multi_liftoff,polygon,small,True,True,True,False,9006.083984375,21.982135772705078,0.0,0.0,1.0,nan,0.0,2.3298341126379256,nan,nan,3.9575324058532715,6.952531337738037
105,multi_liftoff,polygon,small,True,False,True,False,13168.0556640625,31.647037506103516,0.1529126213592233,0.26526315789473687,0.411371237458194,1.5507028102874756,2.680070613230555,4.553074507704181,-6.1731953620910645,4.8479108810424805,-6.779129505157471,3.420492649078369
106,multi_liftoff,polygon,small,True,True,True,False,11177.3388671875,24.422887802124023,0.0,0.0,1.0,nan,0.0,4.629212877398231,nan,nan,-5.48317289352417,4.946836948394775
107,multi_liftoff,multi_defect,large,False,False,True,False,29167.75,77.97571563720703,0.4391796322489392,0.6103194103194103,0.10344827586206896,1.2512397766113281,14.649022329135192,16.3392941363431,-3.4432034492492676,4.701169967651367,-2.204896926879883,4.521731853485107
