model,observation_config,selected_model,split,sample_count,selection_score,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_component_mae_mm,center_xyz_euclidean_mean_mm,shape_accuracy,shape_macro_f1,center_xyz_error_p90_mm,center_xyz_error_p95_mm,center_xyz_error_max_mm,burial_depth_error_p90_mm,burial_depth_error_p95_mm,burial_depth_error_max_mm,catastrophic_failure_count,catastrophic_failure_rate,geometry_branch_failure_count,geometry_branch_failure_rate,shape_misclassified_count,full_shift_failure_count,cuboid_ellipsoid_confusion_count,cuboid_ellipsoid_confusion_rate,aspect_accuracy,elongated_aspect_confusion_count,elongated_aspect_confusion_rate,diagnostic_probe_only,input_boundary
ridge_logreg,dual_mag_xy_5line,True,test,5,1.1391166746616364,0.6239991188049316,1.083633303642273,1.3050918579101562,0.15191419422626495,0.5152820944786072,2.27178692817688,5.212203025817871,0.6,0.5,8.38870620727539,8.62998104095459,8.871254920959473,1.177163004875183,1.4412040710449219,1.7052451372146606,3,0.6,0,0.0,2,0,2,0.6666666666666666,0.8,0,0.0,True,delta_b_derived_features_only
mean_baseline,dual_mag_xy_5line_plus_mag_features,False,train,20,1.8817286328354268,0.8636579513549805,1.1959998607635498,1.5284998416900635,0.119999960064888,1.2509998083114624,4.784666538238525,11.188350677490234,0.65,0.26262626262626265,18.077360153198242,19.204975128173828,19.360200881958008,2.1299996376037598,2.1299996376037598,2.1299996376037598,19,0.95,6,0.3,7,14,4,0.23529411764705882,0.6,0,0.0,True,delta_b_derived_features_only
mean_baseline,dual_mag_xy_5line_plus_mag_features,False,val,5,2.1458232688903807,0.8881565928459167,1.3559998273849487,2.5107502937316895,0.09599989652633667,1.2419999837875366,5.069333553314209,13.121519088745117,0.0,0.0,17.2152156829834,17.232301712036133,17.249387741088867,1.7859997749328613,1.9579997062683105,2.1299996376037598,5,1.0,4,0.8,5,4,3,1.0,0.6,0,0.0,True,delta_b_derived_features_only
ridge_logreg,dual_mag_xy_5line_plus_mag_features,False,train,20,0.08503051921725273,0.06769608706235886,0.14301949739456177,0.12989595532417297,0.013481924310326576,0.0672060027718544,0.2122766375541687,0.4575120508670807,1.0,1.0,0.7729343175888062,0.8263258934020996,0.905921220779419,0.14484870433807373,0.14703162014484406,0.18204183876514435,0,0.0,0,0.0,0,0,0,0.0,1.0,0,0.0,True,delta_b_derived_features_only
ridge_logreg,dual_mag_xy_5line_plus_mag_features,False,val,5,2.00286908308665,1.055846929550171,1.3914681673049927,3.2695693969726562,0.20531287789344788,1.475380539894104,2.4563486576080322,5.360361099243164,0.4,0.3333333333333333,6.334437370300293,6.435256481170654,6.536075115203857,1.979811668395996,2.145496368408203,2.311180830001831,4,0.8,3,0.6,3,4,3,1.0,0.6,1,0.5,True,delta_b_derived_features_only
svr_rbf_C10,dual_mag_xy_5line_plus_mag_features,True,train,20,0.13646014183759692,0.09655651450157166,0.13841278851032257,0.17000330984592438,0.013267720118165016,0.1347215324640274,0.52862948179245,1.1870228052139282,1.0,1.0,1.2282681465148926,1.2307668924331665,1.2315971851348877,0.14059637486934662,0.14065293967723846,0.14066091179847717,0,0.0,0,0.0,0,0,0,0.0,1.0,0,0.0,True,delta_b_derived_features_only
svr_rbf_C10,dual_mag_xy_5line_plus_mag_features,True,val,5,1.810781628290812,0.8086483478546143,0.7590194344520569,2.1290414333343506,0.13795709609985352,1.3319158554077148,3.2455005645751953,7.407461643218994,0.4,0.3333333333333333,10.824954986572266,12.01486587524414,13.204776763916016,1.5733596086502075,1.5794703960418701,1.5855813026428223,5,1.0,2,0.4,3,4,3,1.0,0.6,1,0.5,True,delta_b_derived_features_only
random_forest_small,dual_mag_xy_5line_plus_mag_features,False,train,20,0.8104475498199463,0.4674369692802429,0.6161086559295654,0.8505311608314514,0.07389302551746368,0.5821080207824707,2.695995569229126,6.391355514526367,1.0,1.0,10.017489433288574,11.792461395263672,11.961989402770996,1.042654275894165,1.1192277669906616,1.7870594263076782,6,0.3,0,0.0,0,3,0,0.0,1.0,0,0.0,True,delta_b_derived_features_only
random_forest_small,dual_mag_xy_5line_plus_mag_features,False,val,5,1.8425248169898987,0.8071834444999695,0.9296184182167053,2.051924705505371,0.10740470141172409,1.2772371768951416,4.352353096008301,10.861016273498535,0.6,0.5,15.81240463256836,17.08461570739746,18.35682487487793,1.7356947660446167,1.7900686264038086,1.8444424867630005,5,1.0,2,0.4,2,3,2,0.6666666666666666,0.6,1,0.5,True,delta_b_derived_features_only
svr_rbf_C10,dual_mag_xy_5line_plus_mag_features,True,train,20,0.13646014183759692,0.09655651450157166,0.13841278851032257,0.17000330984592438,0.013267720118165016,0.1347215324640274,0.52862948179245,1.1870228052139282,1.0,1.0,1.2282681465148926,1.2307668924331665,1.2315971851348877,0.14059637486934662,0.14065293967723846,0.14066091179847717,0,0.0,0,0.0,0,0,0,0.0,1.0,0,0.0,True,delta_b_derived_features_only
svr_rbf_C10,dual_mag_xy_5line_plus_mag_features,True,val,5,1.810781628290812,0.8086483478546143,0.7590194344520569,2.1290414333343506,0.13795709609985352,1.3319158554077148,3.2455005645751953,7.407461643218994,0.4,0.3333333333333333,10.824954986572266,12.01486587524414,13.204776763916016,1.5733596086502075,1.5794703960418701,1.5855813026428223,5,1.0,2,0.4,3,4,3,1.0,0.6,1,0.5,True,delta_b_derived_features_only
svr_rbf_C10,dual_mag_xy_5line_plus_mag_features,True,test,5,1.1922396934032442,0.5822276473045349,1.0114870071411133,0.9545387625694275,0.11870511621236801,0.7927824854850769,2.4146759510040283,5.505382061004639,0.8,0.6,8.953140258789062,9.388179779052734,9.82321834564209,1.3651299476623535,1.4056411981582642,1.4461523294448853,3,0.6,1,0.2,1,3,1,0.3333333333333333,0.8,0,0.0,True,delta_b_derived_features_only
mean_baseline,mag_x_9line_only,False,train,20,1.8817286328354268,0.8636579513549805,1.1959998607635498,1.5284998416900635,0.119999960064888,1.2509998083114624,4.784666538238525,11.188350677490234,0.65,0.26262626262626265,18.077360153198242,19.204975128173828,19.360200881958008,2.1299996376037598,2.1299996376037598,2.1299996376037598,19,0.95,6,0.3,7,14,4,0.23529411764705882,0.6,0,0.0,True,delta_b_derived_features_only
mean_baseline,mag_x_9line_only,False,val,5,2.1458232688903807,0.8881565928459167,1.3559998273849487,2.5107502937316895,0.09599989652633667,1.2419999837875366,5.069333553314209,13.121519088745117,0.0,0.0,17.2152156829834,17.232301712036133,17.249387741088867,1.7859997749328613,1.9579997062683105,2.1299996376037598,5,1.0,4,0.8,5,4,3,1.0,0.6,0,0.0,True,delta_b_derived_features_only
ridge_logreg,mag_x_9line_only,True,train,20,0.3996358534362581,0.2767849564552307,0.515286922454834,0.47604748606681824,0.03756621479988098,0.3686618506908417,1.0308053493499756,2.136312246322632,0.9,0.9055555555555556,4.008724212646484,4.797282695770264,4.887500762939453,0.7904178500175476,0.8178912997245789,1.0455131530761719,1,0.05,0,0.0,2,0,2,0.11764705882352941,1.0,0,0.0,True,delta_b_derived_features_only
ridge_logreg,mag_x_9line_only,True,val,5,1.3787762276331583,0.636357307434082,1.1337348222732544,1.0833889245986938,0.07767456024885178,1.077364444732666,1.9603161811828613,4.281672477722168,0.4,0.3333333333333333,5.626856327056885,5.914084434509277,6.20131254196167,1.8150546550750732,1.9497780799865723,2.0845015048980713,4,0.8,1,0.2,3,3,3,1.0,0.6,1,0.5,True,delta_b_derived_features_only
svr_rbf_C10,mag_x_9line_only,False,train,20,0.1415671055537683,0.09838806092739105,0.13565285503864288,0.19633497297763824,0.014955539256334305,0.12578174471855164,0.5112766623497009,1.1460899114608765,0.95,0.9496296296296297,1.2300447225570679,1.230496883392334,1.2305753231048584,0.14028418064117432,0.14030437171459198,0.1405715048313141,0,0.0,0,0.0,1,0,1,0.058823529411764705,1.0,0,0.0,True,delta_b_derived_features_only
