target,feature,pearson_correlation,abs_correlation,sample_count,target_positive_count
burial_outlier,delta_axis_energy_ratio_min,0.03855364009650223,0.03855364009650223,360,33
burial_outlier,feature_outlier_count_z3,-0.036042204214968336,0.036042204214968336,360,33
burial_outlier,f2_pred_D_mm,-0.03529045383618907,0.03529045383618907,360,33
burial_outlier,feature_abs_z_max,0.035198797369093135,0.035198797369093135,360,33
burial_outlier,b2_f2_center_disagreement_mm,0.024375931178123117,0.024375931178123117,360,33
burial_outlier,f2_pred_burial_depth_mm,0.021143018938667116,0.021143018938667116,360,33
burial_outlier,b2_f2_shape_diff,0.010790334058399678,0.010790334058399678,360,33
burial_outlier,f2_pred_W_mm,0.006823334180468199,0.006823334180468199,360,33
catastrophic_failure,h2_f2_burial_disagreement_mm,0.36047809146704535,0.36047809146704535,360,19
catastrophic_failure,h2_f2_center_disagreement_mm,0.30338971695676104,0.30338971695676104,360,19
catastrophic_failure,burial_pairwise_mean_mm,0.2716400545826726,0.2716400545826726,360,19
catastrophic_failure,burial_pairwise_max_mm,0.27164005458267243,0.27164005458267243,360,19
catastrophic_failure,center_pairwise_mean_mm,0.23545653720820173,0.23545653720820173,360,19
catastrophic_failure,center_pairwise_max_mm,0.22899361429248583,0.22899361429248583,360,19
catastrophic_failure,b2_h2_shape_diff,0.14249206333895567,0.14249206333895567,360,19
catastrophic_failure,f2_pred_center_norm_mm,-0.12340379668283098,0.12340379668283098,360,19
catastrophic_failure,shape_disagreement_count,0.12201028707613182,0.12201028707613182,360,19
catastrophic_failure,feature_abs_z_mean,-0.11194475759096897,0.11194475759096897,360,19
catastrophic_failure,h2_f2_shape_diff,0.11057100372350817,0.11057100372350817,360,19
catastrophic_failure,delta_axis_energy_ratio_min,0.1087002581634189,0.1087002581634189,360,19
catastrophic_failure,f2_pred_train_range_violation_count,-0.10154976382589313,0.10154976382589313,360,19
catastrophic_failure,delta_axis_energy_ratio_max,-0.07611366211178114,0.07611366211178114,360,19
catastrophic_failure,feature_abs_z_p95,-0.07111937386648957,0.07111937386648957,360,19
catastrophic_failure,f2_pred_burial_depth_mm,0.06315803878800254,0.06315803878800254,360,19
catastrophic_failure,b2_f2_shape_diff,0.041776591279086776,0.041776591279086776,360,19
catastrophic_failure,feature_abs_z_max,0.04051141999762727,0.04051141999762727,360,19
catastrophic_failure,f2_pred_L_mm,0.03515048120231493,0.03515048120231493,360,19
catastrophic_failure,feature_outlier_count_z3,-0.029098101313097906,0.029098101313097906,360,19
catastrophic_failure,f2_pred_W_mm,0.025428315795184345,0.025428315795184345,360,19
catastrophic_failure,b2_f2_center_disagreement_mm,0.023436381339490355,0.023436381339490355,360,19
catastrophic_failure,lwd_pairwise_mean_mm,0.023180628447188042,0.023180628447188042,360,19
catastrophic_failure,lwd_pairwise_max_mm,0.017380932812487416,0.017380932812487416,360,19
catastrophic_failure,delta_energy,0.01361401955410857,0.01361401955410857,360,19
catastrophic_failure,f2_pred_D_mm,-0.008986087192353042,0.008986087192353042,360,19
catastrophic_failure,b2_f2_burial_disagreement_mm,0.004869425994996137,0.004869425994996137,360,19
catastrophic_failure,delta_abs_peak,-0.0032063574787885843,0.0032063574787885843,360,19
catastrophic_failure,delta_line_energy_range,-0.00021396912378846895,0.00021396912378846895,360,19
center_outlier,h2_f2_center_disagreement_mm,0.6065467832537503,0.6065467832537503,360,89
center_outlier,center_pairwise_mean_mm,0.5128271556380021,0.5128271556380021,360,89
center_outlier,center_pairwise_max_mm,0.4892149363317705,0.4892149363317705,360,89
center_outlier,b2_h2_shape_diff,0.38773694916773865,0.38773694916773865,360,89
center_outlier,h2_f2_shape_diff,0.3546481020181866,0.3546481020181866,360,89
center_outlier,shape_disagreement_count,0.33473641795772724,0.33473641795772724,360,89
center_outlier,h2_f2_burial_disagreement_mm,0.334390141735201,0.334390141735201,360,89
center_outlier,burial_pairwise_max_mm,0.32363042534801517,0.32363042534801517,360,89
center_outlier,burial_pairwise_mean_mm,0.3236304253480151,0.3236304253480151,360,89
center_outlier,b2_f2_center_disagreement_mm,0.28572574994937067,0.28572574994937067,360,89
center_outlier,f2_pred_center_norm_mm,-0.2201199889686628,0.2201199889686628,360,89
center_outlier,feature_abs_z_mean,-0.2188225051122239,0.2188225051122239,360,89
center_outlier,b2_f2_burial_disagreement_mm,0.18044870581674444,0.18044870581674444,360,89
center_outlier,delta_axis_energy_ratio_min,0.17860214177688474,0.17860214177688474,360,89
center_outlier,f2_pred_train_range_violation_count,-0.17049649511765388,0.17049649511765388,360,89
center_outlier,feature_abs_z_p95,-0.16856754039177133,0.16856754039177133,360,89
center_outlier,delta_energy,0.1485852601563544,0.1485852601563544,360,89
center_outlier,delta_axis_energy_ratio_max,-0.1343861900517962,0.1343861900517962,360,89
center_outlier,lwd_pairwise_mean_mm,0.13327935921422301,0.13327935921422301,360,89
center_outlier,delta_abs_peak,0.12288546188616495,0.12288546188616495,360,89
center_outlier,f2_pred_W_mm,0.12133992963386568,0.12133992963386568,360,89
center_outlier,lwd_pairwise_max_mm,0.11725831344195481,0.11725831344195481,360,89
center_outlier,delta_line_energy_range,0.08423994063422584,0.08423994063422584,360,89
center_outlier,feature_outlier_count_z3,-0.06021514715821291,0.06021514715821291,360,89
center_outlier,f2_pred_burial_depth_mm,0.05799408735067804,0.05799408735067804,360,89
center_outlier,f2_pred_L_mm,0.057505992148244874,0.057505992148244874,360,89
center_outlier,f2_pred_D_mm,0.027304644504671502,0.027304644504671502,360,89
center_outlier,b2_f2_shape_diff,-0.009279627797331793,0.009279627797331793,360,89
center_outlier,feature_abs_z_max,-0.0033832138004587556,0.0033832138004587556,360,89
dimension_outlier,f2_pred_L_mm,-0.5233783997455153,0.5233783997455153,360,189
dimension_outlier,f2_pred_W_mm,-0.5161998436958823,0.5161998436958823,360,189
dimension_outlier,f2_pred_D_mm,-0.4532096693371939,0.4532096693371939,360,189
dimension_outlier,feature_abs_z_mean,0.4063273485237425,0.4063273485237425,360,189
dimension_outlier,delta_axis_energy_ratio_max,0.36821140760195564,0.36821140760195564,360,189
dimension_outlier,f2_pred_train_range_violation_count,-0.3649712673639635,0.3649712673639635,360,189
dimension_outlier,delta_energy,-0.34850017031664055,0.34850017031664055,360,189
dimension_outlier,lwd_pairwise_max_mm,0.3250854396714289,0.3250854396714289,360,189
dimension_outlier,lwd_pairwise_mean_mm,0.32127947041558247,0.32127947041558247,360,189
dimension_outlier,delta_abs_peak,-0.32114713971902187,0.32114713971902187,360,189
dimension_outlier,delta_axis_energy_ratio_min,-0.31241413784685107,0.31241413784685107,360,189
dimension_outlier,delta_line_energy_range,-0.2068517407352844,0.2068517407352844,360,189
dimension_outlier,feature_abs_z_p95,0.19468077039618759,0.19468077039618759,360,189
dimension_outlier,h2_f2_burial_disagreement_mm,0.11115141896947421,0.11115141896947421,360,189
dimension_outlier,feature_abs_z_max,0.10415027030007033,0.10415027030007033,360,189
dimension_outlier,feature_outlier_count_z3,0.09329065119300275,0.09329065119300275,360,189
dimension_outlier,center_pairwise_mean_mm,0.07973715919347074,0.07973715919347074,360,189
dimension_outlier,b2_f2_burial_disagreement_mm,-0.07385499294878295,0.07385499294878295,360,189
dimension_outlier,center_pairwise_max_mm,0.07358586509457492,0.07358586509457492,360,189
dimension_outlier,burial_pairwise_max_mm,0.07073936541216426,0.07073936541216426,360,189
dimension_outlier,burial_pairwise_mean_mm,0.07073936541216425,0.07073936541216425,360,189
dimension_outlier,f2_pred_center_norm_mm,-0.05155599838615688,0.05155599838615688,360,189
dimension_outlier,h2_f2_center_disagreement_mm,0.032277011806711865,0.032277011806711865,360,189
dimension_outlier,b2_f2_shape_diff,-0.02583073340198603,0.02583073340198603,360,189
dimension_outlier,shape_disagreement_count,-0.01745340043967983,0.01745340043967983,360,189
dimension_outlier,b2_h2_shape_diff,-0.016793460556529888,0.016793460556529888,360,189
dimension_outlier,h2_f2_shape_diff,0.011791153156712305,0.011791153156712305,360,189
dimension_outlier,b2_f2_center_disagreement_mm,-0.008863238259458285,0.008863238259458285,360,189
dimension_outlier,f2_pred_burial_depth_mm,0.0004684034746946118,0.0004684034746946118,360,189
full_shift_failure,h2_f2_burial_disagreement_mm,0.36047809146704535,0.36047809146704535,360,19
full_shift_failure,h2_f2_center_disagreement_mm,0.30338971695676104,0.30338971695676104,360,19
full_shift_failure,burial_pairwise_mean_mm,0.2716400545826726,0.2716400545826726,360,19
full_shift_failure,burial_pairwise_max_mm,0.27164005458267243,0.27164005458267243,360,19
full_shift_failure,center_pairwise_mean_mm,0.23545653720820173,0.23545653720820173,360,19
full_shift_failure,center_pairwise_max_mm,0.22899361429248583,0.22899361429248583,360,19
full_shift_failure,b2_h2_shape_diff,0.14249206333895567,0.14249206333895567,360,19
full_shift_failure,f2_pred_center_norm_mm,-0.12340379668283098,0.12340379668283098,360,19
full_shift_failure,shape_disagreement_count,0.12201028707613182,0.12201028707613182,360,19
full_shift_failure,feature_abs_z_mean,-0.11194475759096897,0.11194475759096897,360,19
full_shift_failure,h2_f2_shape_diff,0.11057100372350817,0.11057100372350817,360,19
full_shift_failure,delta_axis_energy_ratio_min,0.1087002581634189,0.1087002581634189,360,19
full_shift_failure,f2_pred_train_range_violation_count,-0.10154976382589313,0.10154976382589313,360,19
full_shift_failure,delta_axis_energy_ratio_max,-0.07611366211178114,0.07611366211178114,360,19
full_shift_failure,feature_abs_z_p95,-0.07111937386648957,0.07111937386648957,360,19
full_shift_failure,f2_pred_burial_depth_mm,0.06315803878800254,0.06315803878800254,360,19
