candidate,sample_id,source_index,split,defect_type,state,mask_iou,mask_dice,area_error,residual_mse,residual_nrmse,residual_correlation,peak_index_error,amplitude_error
S3_geom_mlp_peakaware,rect_p2_0059,58,val,rectangular_notch,refined_20_54,0.680628272251309,0.8099688473520249,0.08441558441558442,0.219054713845253,0.33995185931591226,0.9459449621752531,33.333333333333336,0.11672639846801758
S3_geom_mlp_peakaware,rect_p2_0059,58,val,rectangular_notch,jittered_bad,0.6432291666666666,0.7828843106180665,0.048701298701298704,0.6838083267211914,0.6006317858890141,0.8635942706358706,54.666666666666664,3.631110906600952
S3_geom_mlp_peakaware,rect_p2_0073,72,val,rectangular_notch,true,1.0,1.0,0.0,0.16010260581970215,0.39072328479559904,0.9263428228479355,42.666666666666664,0.11829519271850586
S3_geom_mlp_peakaware,rect_p2_0073,72,val,rectangular_notch,proposal,0.717607973421927,0.8355899419729207,0.2094017094017094,0.23584049940109253,0.474219366497175,0.8937794754630258,56.0,1.3560857772827148
S3_geom_mlp_peakaware,rect_p2_0073,72,val,rectangular_notch,refined_20_54,0.7381703470031545,0.8493647912885662,0.3547008547008547,0.18759603798389435,0.42294308041015205,0.9110475863972328,42.666666666666664,0.15102100372314453
S3_geom_mlp_peakaware,rect_p2_0073,72,val,rectangular_notch,jittered_bad,0.6122448979591837,0.759493670886076,0.02564102564102564,0.27173951268196106,0.5090336460467152,0.8740171178694738,42.666666666666664,1.6529712677001953
S3_geom_mlp_peakaware,rect_p2_0076,75,val,rectangular_notch,true,1.0,1.0,0.0,0.2696824371814728,0.343696397630391,0.9715707555439117,2.3333333333333335,2.634982109069824
S3_geom_mlp_peakaware,rect_p2_0076,75,val,rectangular_notch,proposal,0.8275862068965517,0.9056603773584906,0.016042780748663103,0.6099686622619629,0.5168950934069143,0.9735453142674594,2.3333333333333335,4.4430787563323975
S3_geom_mlp_peakaware,rect_p2_0076,75,val,rectangular_notch,refined_20_54,0.875,0.9333333333333333,0.045454545454545456,0.30455586314201355,0.3652431926752377,0.9736889212053705,2.3333333333333335,2.909637451171875
S3_geom_mlp_peakaware,rect_p2_0076,75,val,rectangular_notch,jittered_bad,0.6552462526766595,0.7917205692108668,0.06684491978609626,0.23893523216247559,0.3235107709994066,0.9466788725159396,2.3333333333333335,0.19748592376708984
S3_geom_mlp_peakaware,rect_p2_0091,90,val,rectangular_notch,true,1.0,1.0,0.0,0.14483149349689484,0.3804789310368223,0.9282967415306982,21.0,0.39873552322387695
S3_geom_mlp_peakaware,rect_p2_0091,90,val,rectangular_notch,proposal,0.6582633053221288,0.793918918918919,0.10256410256410256,0.19776172935962677,0.4446007938461433,0.8999521429010133,21.0,1.1991386413574219
S3_geom_mlp_peakaware,rect_p2_0091,90,val,rectangular_notch,refined_20_54,0.6041666666666666,0.7532467532467533,0.02564102564102564,0.1805402934551239,0.4248016356079675,0.9097546046713676,21.0,0.11285114288330078
