candidate,epoch,train_loss,val_loss
PPF1_profile_station_mlp,40,0.6086159646511078,2.0737385749816895
PPF1_profile_station_mlp,41,0.6031820923089981,2.0907859802246094
PPF1_profile_station_mlp,42,0.602470189332962,2.1167819499969482
PPF1_profile_station_mlp,43,0.5985249876976013,1.981303334236145
PPF1_profile_station_mlp,44,0.5790686160326004,2.1188340187072754
PPF1_profile_station_mlp,45,0.5848503410816193,2.1194450855255127
PPF1_profile_station_mlp,46,0.5800514668226242,2.126664161682129
PPF1_profile_station_mlp,47,0.5636661499738693,2.085181951522827
PPF1_profile_station_mlp,48,0.5568298771977425,2.151925563812256
PPF1_profile_station_mlp,49,0.5506880506873131,2.1644861698150635
PPF1_profile_station_mlp,50,0.5460701882839203,2.1999313831329346
PPF1_profile_station_mlp,51,0.539590984582901,2.2103378772735596
PPF1_profile_station_mlp,52,0.5331711769104004,2.125589370727539
PPF1_profile_station_mlp,53,0.5310699865221977,2.2114598751068115
PPF1_profile_station_mlp,54,0.5274912714958191,2.186685800552368
PPF1_profile_station_mlp,55,0.5215805470943451,2.230024814605713
PPF1_profile_station_mlp,56,0.5159807503223419,2.2324397563934326
PPF1_profile_station_mlp,57,0.5103922709822655,2.243706464767456
PPF1_profile_station_mlp,58,0.5017327889800072,2.258074998855591
PPF1_profile_station_mlp,59,0.4973185509443283,2.2902677059173584
PPF1_profile_station_mlp,60,0.49348318576812744,2.2309844493865967
PPF1_profile_station_mlp,61,0.49117833375930786,2.257225751876831
PPF1_profile_station_mlp,62,0.4822855293750763,2.2726967334747314
PPF1_profile_station_mlp,63,0.48524292558431625,2.3028323650360107
PPF1_profile_station_mlp,64,0.47777292132377625,2.2968015670776367
PPF1_profile_station_mlp,65,0.46763724088668823,2.289170980453491
PPF1_profile_station_mlp,66,0.4609837532043457,2.322439432144165
PPF1_profile_station_mlp,67,0.45795126259326935,2.3151543140411377
PPF1_profile_station_mlp,68,0.4573403596878052,2.314683437347412
PPF1_profile_station_mlp,69,0.45666129142045975,2.37979793548584
PPF1_profile_station_mlp,70,0.4421784207224846,2.2948789596557617
PPF1_profile_station_mlp,71,0.43732693046331406,2.3542048931121826
PPF1_profile_station_mlp,72,0.4365847408771515,2.321256399154663
PPF1_profile_station_mlp,73,0.4256718084216118,2.402367353439331
PPF1_profile_station_mlp,74,0.43361061066389084,2.347459077835083
PPF1_profile_station_mlp,75,0.41938523948192596,2.4223175048828125
PPF1_profile_station_mlp,76,0.4121626913547516,2.367241144180298
PPF1_profile_station_mlp,77,0.41003499925136566,2.372028112411499
PPF1_profile_station_mlp,78,0.4041943997144699,2.433997631072998
PPF1_profile_station_mlp,79,0.39919383078813553,2.3895134925842285
PPF1_profile_station_mlp,80,0.39688602834939957,2.406834840774536
PPF1_profile_station_mlp,best,nan,1.522230863571167
PPF2_profile_raster_sequence,1,1.3353746384382248,2.2198572158813477
PPF2_profile_raster_sequence,2,1.3305931836366653,2.2149107456207275
PPF2_profile_raster_sequence,3,1.3221011459827423,2.1939682960510254
PPF2_profile_raster_sequence,4,1.3013722151517868,2.143343687057495
PPF2_profile_raster_sequence,5,1.2572744190692902,2.022338390350342
PPF2_profile_raster_sequence,6,1.1907792836427689,1.8935710191726685
PPF2_profile_raster_sequence,7,1.1430175304412842,1.9731647968292236
PPF2_profile_raster_sequence,8,1.0896711200475693,1.835971713066101
PPF2_profile_raster_sequence,9,1.0413656830787659,1.7629945278167725
PPF2_profile_raster_sequence,10,0.9932461529970169,1.8562959432601929
PPF2_profile_raster_sequence,11,0.9704527407884598,1.887674331665039
PPF2_profile_raster_sequence,12,0.9400402009487152,1.7871952056884766
PPF2_profile_raster_sequence,13,0.9273732155561447,1.7928510904312134
