seed,source_index,sample_id,split,component_types,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,true_connected_component_count,pred_connected_component_count,component_count_error,predicted_component_count_is_2,missed_component_flag,merged_component_flag,split_component_flag,largest_component_area_ratio,second_largest_component_area_ratio,component_recall_heuristic,notes,min_component_distance,min_component_distance_bin,union_mask_area,union_mask_area_bin,polygon_component_present
2026,142,sample_143,train,rotated_rect+rotated_rect,0.6,0.6721144024514811,0.803909590714722,0.23978494623655913,2.2048205437038653,707,930,0,0.101900115609169,0.19810611009597778,0.3000062108039856,7.564036151182716e-34,0.9999500513076782,0.09031757712364197,2,2,0,1,0,0,0,0.5261669024045261,0.4738330975954738,1.0,multi_defect_pilot_gate_only,0.028011426240018556,far,930,large,no
2026,143,sample_144,train,rectangular_notch+polygon,0.6,0.6413586413586414,0.7814972611077298,0.1227390180878553,6.822356309603478,869,774,0,0.1230563372373581,0.23876875638961792,0.3618251085281372,8.445035415742472e-31,0.9999697208404541,0.10998189449310303,2,2,0,1,0,0,0,0.5661680092059839,0.43383199079401613,1.0,multi_defect_pilot_gate_only,0.0280713376952364,far,774,medium,yes
2026,144,sample_145,train,rotated_rect+polygon,0.6,0.7743813682678311,0.8728465955701394,0.13485113835376533,0.9627682848766482,648,571,0,0.04812102019786835,0.15623098611831665,0.204352006316185,0.0,0.9998633861541748,0.08216571807861328,2,2,0,1,0,0,0,0.5555555555555556,0.4444444444444444,1.0,multi_defect_pilot_gate_only,0.028011426240018556,far,571,small,yes
2026,145,sample_146,train,rectangular_notch+rectangular_notch,0.6,0.6409714889123548,0.7812097812097812,0.18032786885245902,7.755420053407457,700,854,0,0.12166818976402283,0.22970837354660034,0.35137656331062317,4.21830567651337e-31,0.9999837875366211,0.08872267603874207,2,2,0,1,0,0,0,0.5371428571428571,0.46285714285714286,1.0,multi_defect_pilot_gate_only,0.030066592756745815,far,854,large,no
2026,146,sample_147,train,rectangular_notch+rotated_rect,0.6,0.655217965653897,0.7916999201915403,0.0421875,1.5214723279225626,613,640,0,0.07946979999542236,0.22170841693878174,0.3011782169342041,4.4388464723208594e-30,0.9997135996818542,0.07831352949142456,2,2,0,1,0,0,0,0.5057096247960848,0.49429037520391517,1.0,multi_defect_pilot_gate_only,0.030010664771044308,far,640,small,no
2026,147,sample_148,train,rotated_rect+rotated_rect,0.6,0.7107107107107107,0.8308952603861908,0.10111111111111111,4.154180701934034,809,900,0,0.08967296779155731,0.18555277585983276,0.27522575855255127,7.289165613968744e-30,0.9999972581863403,0.10427342355251312,2,2,0,1,0,0,0,0.6588380716934487,0.3411619283065513,1.0,multi_defect_pilot_gate_only,0.030066592756745815,far,900,large,no
2026,148,sample_149,train,rectangular_notch+polygon,0.6,0.7633053221288515,0.8657664813343924,0.05718954248366013,2.8314666358288547,647,612,0,0.050627000629901886,0.16437304019927979,0.21500003337860107,6.154801728197124e-33,0.9998002648353577,0.08258955925703049,2,2,0,1,0,0,0,0.5950540958268934,0.40494590417310666,1.0,multi_defect_pilot_gate_only,0.030010664771044308,far,612,small,yes
2026,149,sample_150,train,rotated_rect+polygon,0.6,0.6311111111111111,0.773841961852861,0.03888888888888889,6.968692008587303,561,540,0,0.09060762077569962,0.23071330785751343,0.32132092118263245,0.0,0.9999672174453735,0.0713673084974289,2,2,0,1,0,0,0,0.5775401069518716,0.42245989304812837,1.0,multi_defect_pilot_gate_only,0.030066592756745815,far,540,small,yes
2026,150,sample_151,train,rectangular_notch+rectangular_notch,0.6,0.8213820078226858,0.901932712956335,0.0863013698630137,1.7560971167549935,667,730,0,0.0409146249294281,0.15195637941360474,0.19287100434303284,0.0,0.9989294409751892,0.08752627670764923,2,2,0,1,0,0,0,0.5067466266866567,0.49325337331334335,1.0,multi_defect_pilot_gate_only,0.020015993605114885,near,730,medium,no
2026,151,sample_152,train,rectangular_notch+rotated_rect,0.6,0.5975261655566128,0.7480643240023823,0.22703273495248152,3.397127340968632,732,947,0,0.13764716684818268,0.24847745895385742,0.3861246109008789,0.0,0.9998937845230103,0.0934634655714035,2,2,0,1,0,0,0,0.5095628415300546,0.49043715846994534,1.0,multi_defect_pilot_gate_only,0.02009975124224178,near,947,large,no
