seed,source_index,sample_id,split,defect_group,task_group,defect_type,component_count,component_types,component_type_combination,source_dataset,source_pack,angle_deg,vertex_count,distance_bin,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,true_task_label,pred_task_label,task_gate_correct,gate_prob_single,gate_prob_cc2,gate_prob_cc3,true_count_label,pred_count_label,count_head_correct,true_connected_component_count,pred_connected_component_count,predicted_component_count_correct,predicted_component_count_is_1,predicted_component_count_is_2,predicted_component_count_is_3,component_count_error,missed_component_flag,merged_component_flag,split_component_flag,extra_fragment_flag,largest_component_area_ratio,second_largest_component_area_ratio,third_largest_component_area_ratio,component_recall_heuristic,polygon_component_present,notes
2026,122,single_rect_v9_0003,train,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v9_topup_rectangular_notch,0.0,0,,0.6,0.6634146341463415,0.7976539589442815,0.005847953216374269,1.3125459293331398,340,342,0,0.05515486001968384,0.2077314257621765,0.26288628578186035,0.0,0.9999362230300903,0.041953980922698975,0,0,1,0.9999998807907104,5.555605628315696e-11,1.5629713345788332e-07,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,123,single_rect_v9_0004,train,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v9_topup_rectangular_notch,0.0,0,,0.6,0.774798927613941,0.8731117824773413,0.17379310344827587,2.3017689273043946,599,725,0,0.046806760132312775,0.1434198021888733,0.19022677838802338,0.0,0.9999638795852661,0.07571570575237274,0,0,1,0.9999984502792358,8.166590959035602e-09,1.5070463632582687e-06,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,124,single_rect_v9_0005,train,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v9_topup_rectangular_notch,0.0,0,,0.6,0.7658349328214972,0.8673913043478261,0.13765182186234817,1.2499663862878914,426,494,0,0.041236601769924164,0.13318806886672974,0.1744246780872345,0.0,0.9999902248382568,0.052981458604335785,0,0,1,1.0,2.4937424155280392e-14,1.1223630913548277e-08,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,125,single_rect_v9_0006,train,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v9_topup_rectangular_notch,0.0,0,,0.6,0.8625235404896422,0.9261880687563195,0.047619047619047616,1.4083367810537193,506,483,0,0.022980034351348877,0.10682058334350586,0.12980082631111145,0.0,0.9998224377632141,0.06314036250114441,0,0,1,0.9999978542327881,2.0712990350668647e-11,2.1135294900886947e-06,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,126,single_rect_v9_0007,train,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v9_topup_rectangular_notch,0.0,0,,0.6,0.727580372250423,0.8423114593535749,0.14363636363636365,2.9622576841054973,471,550,0,0.05707716941833496,0.16735273599624634,0.2244299054145813,0.0,0.9999254941940308,0.05782359838485718,0,0,1,1.0,1.2783651527044435e-16,2.0890715546340033e-10,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,127,single_rect_v9_0008,train,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v9_topup_rectangular_notch,0.0,0,,0.6,0.6657183499288762,0.7993168232280102,0.25744047619047616,3.0779387474256,499,672,0,0.07493516802787781,0.20676803588867188,0.2818929851055145,0.0,0.9999446868896484,0.06304967403411865,0,0,1,0.9986009001731873,5.8901889133267105e-05,0.0013401801697909832,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,128,single_rect_v9_0009,val,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v9_topup_rectangular_notch,0.0,0,,0.6,0.6944444444444444,0.819672131147541,0.06390977443609022,2.666794191014065,283,266,0,0.03387587144970894,0.18094176054000854,0.21481762826442719,0.0,0.9999992847442627,0.03514745831489563,0,0,1,1.0,6.743912544277454e-18,2.4888043015369732e-11,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,129,single_rect_v9_0010,test,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v9_topup_rectangular_notch,0.0,0,,0.6,0.5607843137254902,0.7185929648241206,0.4392156862745098,3.1700851834641743,286,510,0,0.10954775661230087,0.275550901889801,0.3850986659526825,0.0,0.9998996257781982,0.03629399836063385,0,0,1,1.0,3.508375792116034e-16,1.0613588480312686e-10,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,130,single_rect_v9_0011,train,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v9_topup_rectangular_notch,0.0,0,,0.6,0.6225895316804407,0.767402376910017,0.3638888888888889,1.6232387339323038,458,720,0,0.10249772667884827,0.24298840761184692,0.3454861342906952,0.0,0.9995299577713013,0.059571243822574615,0,0,1,1.0,2.7926998806789693e-21,3.8433448311006485e-17,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,131,single_rect_v9_0012,val,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v9_topup_rectangular_notch,0.0,0,,0.6,0.680327868852459,0.8097560975609757,0.44047619047619047,1.5283740908295347,484,336,0,0.057877376675605774,0.21944689750671387,0.27732548117637634,0.0,0.9999217987060547,0.06048433482646942,0,0,1,0.9999881982803345,1.0424993091007195e-09,1.17765093818889e-05,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,132,single_rect_v9_0013,train,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v9_topup_rectangular_notch,0.0,0,,0.6,0.5720250521920668,0.7277556440903055,0.37012987012987014,0.9114646579929288,291,462,0,0.0859689712524414,0.2754707336425781,0.36143970489501953,0.0,0.99988853931427,0.036239489912986755,0,0,1,1.0,4.976869983567677e-15,8.128799716677904e-11,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,133,single_rect_v9_0014,test,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v9_topup_rectangular_notch,0.0,0,,0.6,0.5497512437810945,0.709470304975923,0.4025641025641026,2.316898042880631,233,390,0,0.1279800683259964,0.285036563873291,0.4130166172981262,0.0,0.9999991655349731,0.02885843627154827,0,0,1,1.0,2.5448120173632294e-12,7.865595674783066e-11,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,134,single_rect_v9_0015,train,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v9_topup_rectangular_notch,0.0,0,,0.6,0.6751188589540412,0.8060548722800378,0.22053872053872053,3.6843115159429694,463,594,0,0.06474985182285309,0.1984083652496338,0.26318880915641785,0.0,0.99998939037323,0.05756326764822006,0,0,1,0.9997461438179016,1.7679185475572012e-06,0.0002521151036489755,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,135,single_rect_v9_0016,test,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v9_topup_rectangular_notch,0.0,0,,0.6,0.5950226244343891,0.7460992907801418,0.40497737556561086,1.42614065589924,263,442,0,0.11224068701267242,0.24636119604110718,0.3586018681526184,0.0,0.9999878406524658,0.03269002214074135,0,0,1,1.0,3.9901912882774754e-14,1.6166804223463616e-12,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,136,single_rect_v9_0017,test,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v9_topup_rectangular_notch,0.0,0,,0.6,0.5838150289017341,0.7372262773722628,0.30864197530864196,4.298700975143091,336,486,0,0.1083800420165062,0.26056522130966187,0.36894911527633667,0.0,0.999988317489624,0.04167811572551727,0,0,1,0.9999637603759766,2.1813388872971018e-09,3.6261146306060255e-05,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,137,single_rect_v9_0018,train,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v9_topup_rectangular_notch,0.0,0,,0.6,0.82174688057041,0.9021526418786693,0.1282051282051282,0.8859595159053099,476,546,0,0.026369648054242134,0.11089187860488892,0.1372615545988083,0.0,0.9999539852142334,0.05932779610157013,0,0,1,0.9999997615814209,6.8064247814303425e-12,2.5194145791829214e-07,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,138,single_rect_v9_0019,train,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v9_topup_rectangular_notch,0.0,0,,0.6,0.7107231920199502,0.8309037900874635,0.21354166666666666,1.9134517893322243,302,384,0,0.03932248055934906,0.1833553910255432,0.22267787158489227,0.0,0.9999725818634033,0.03755553811788559,0,0,1,1.0,4.394251076293015e-15,3.999846009961061e-10,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
2026,139,single_rect_v9_0020,train,single_defect,single_defect,rectangular_notch,1,rectangular_notch,rectangular_notch,single_pilot_v9,pilot_v9_topup_rectangular_notch,0.0,0,,0.6,0.4971209213051823,0.6641025641025641,0.47953216374269003,3.034308906105409,267,513,0,0.1494280993938446,0.3290872573852539,0.4785153567790985,0.0,0.9999492168426514,0.033281076699495316,0,0,1,1.0,8.816206773875926e-19,1.1009877227572892e-13,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,no,topology_gated_candidate_eval
