candidate,seed,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,bz_mse,composite,macro_area_composite,avg_polygon_area,invalid_count,out_of_image_count
deformable_quad_forward_screening,42,val,defect_type,rotated_rect,0.7,57,0.43658512395630056,0.6008217788694301,0.41891535850760525,1.0466233051398344,0,2,55,0.2710043091588376,0.6184915443181254,0.16677511323431193,14.438551338843759,0,0
deformable_quad_forward_screening,42,val,overall,all,0.8,129,0.36391330906791436,0.5148295226575829,0.6228193827119513,1.0884285328924195,0,8,121,0.28220145581939887,0.255923449013546,0.2559234490135459,13.21137235132178,0,0
deformable_quad_forward_screening,42,val,area_bin,small,0.8,43,0.23899644008931473,0.3650728971480355,1.1374033985736327,1.208817411300748,0,0,43,0.35516404620436737,-0.5333340613362825,0.2559234490135459,10.02211429282719,0,0
deformable_quad_forward_screening,42,val,area_bin,medium,0.8,43,0.39698840143807046,0.5614482020380607,0.5541752754728663,1.0257005204641543,0,0,43,0.3019264722459538,0.40426132800326486,0.2559234490135459,13.715566528737211,0,0
deformable_quad_forward_screening,42,val,area_bin,large,0.8,43,0.455755085676358,0.6179674687866523,0.17687947408935484,1.030767666912356,0,8,35,0.1895138490078754,0.8968430803736553,0.2559234490135459,15.896436232400939,0,0
deformable_quad_forward_screening,42,val,signal_bin,low_signal,0.8,43,0.27344281898896006,0.4070582574321342,0.9487517040689665,1.1344880884469941,0,2,41,0.3633305201696795,-0.2682506276478722,0.2559234490135459,9.613825873677435,0,0
deformable_quad_forward_screening,42,val,signal_bin,non_low_signal,0.8,86,0.4091485541073914,0.5687151552703071,0.45985322203344375,1.065398755115132,0,6,80,0.24163692364425854,0.5180104873442548,0.2559234490135459,15.010145590143951,0,0
deformable_quad_forward_screening,42,val,defect_type,polygon,0.8,72,0.306211781948807,0.446952088379141,0.8350360550752565,1.1244521640862029,0,2,70,0.2910658635923432,-0.08187218474730851,0.2559234490135459,12.239855652866883,0,0
deformable_quad_forward_screening,42,val,defect_type,rotated_rect,0.8,57,0.4367994485867867,0.6005694396408778,0.3547562176214604,1.0429249987529035,0,6,51,0.2710043091588376,0.6826126706062041,0.2559234490135459,14.438551338843759,0,0
deformable_quad_forward_screening,42,val,overall,all,0.85,129,0.36302527824130654,0.5133601311543774,0.5679276729590874,1.088663768600817,0,11,118,0.28220145581939887,0.3084577364365966,0.3084577364365963,13.21137235132178,0,0
deformable_quad_forward_screening,42,val,area_bin,small,0.85,43,0.2379457714516221,0.36307093703077836,1.0488716835734266,1.2095333353378053,0,0,43,0.35516404620436737,-0.4478549750910261,0.3084577364365963,10.02211429282719,0,0
deformable_quad_forward_screening,42,val,area_bin,medium,0.85,43,0.39816252630335974,0.5619949264065781,0.5002547423564788,1.0252613389734613,0,1,42,0.3019264722459538,0.4599027103534591,0.3084577364365963,13.715566528737211,0,0
deformable_quad_forward_screening,42,val,area_bin,large,0.85,43,0.45296753696893755,0.6150145300257756,0.1546565929473571,1.0311966314911842,0,10,33,0.1895138490078754,0.913325474047356,0.3084577364365963,15.896436232400939,0,0
deformable_quad_forward_screening,42,val,signal_bin,low_signal,0.85,43,0.2723968234126441,0.4051424072457122,0.8701006909777941,1.1366483593402907,0,4,39,0.3633305201696795,-0.19256146031943777,0.3084577364365963,9.613825873677435,0,0
deformable_quad_forward_screening,42,val,signal_bin,non_low_signal,0.85,86,0.40833950565563776,0.5674689931087098,0.41684116394973414,1.06467147323108,0,7,79,0.24163692364425854,0.5589673348146135,0.3084577364365963,15.010145590143951,0,0
deformable_quad_forward_screening,42,val,defect_type,polygon,0.85,72,0.3042056183438648,0.44435096177403305,0.7672030658751195,1.1253507767493527,0,3,69,0.2910658635923432,-0.01864648575722172,0.3084577364365963,12.239855652866883,0,0
deformable_quad_forward_screening,42,val,defect_type,rotated_rect,0.85,57,0.43732379600649607,0.6005296082663911,0.3162113871704155,1.042322284623719,0,8,49,0.2710043091588376,0.7216420171024718,0.3084577364365963,14.438551338843759,0,0
deformable_quad_forward_screening,42,val,overall,all,0.9,129,0.3600670164561634,0.5094994929124783,0.5019471990016596,1.0906338278175325,0,15,114,0.28220145581939887,0.36761931036698214,0.367619310366982,13.21137235132178,0,0
deformable_quad_forward_screening,42,val,area_bin,small,0.9,43,0.23467666948638224,0.3577299549821709,0.9351452988200362,1.212227576693823,0,0,43,0.35516404620436737,-0.342738674351483,0.367619310366982,10.02211429282719,0,0
deformable_quad_forward_screening,42,val,area_bin,medium,0.9,43,0.3962206157273045,0.5594510059668738,0.43712374998259007,1.0295724600206975,0,1,42,0.3019264722459538,0.5185478717115882,0.367619310366982,13.715566528737211,0,0
deformable_quad_forward_screening,42,val,area_bin,large,0.9,43,0.4493037641548035,0.61131751778839,0.13357254820235284,1.0301014467380767,0,14,29,0.1895138490078754,0.9270487337408406,0.367619310366982,15.896436232400939,0,0
deformable_quad_forward_screening,42,val,signal_bin,low_signal,0.9,43,0.269122904667859,0.40025390483212436,0.7749170212894056,1.1381654631952907,0,4,39,0.3633305201696795,-0.1055402117894223,0.367619310366982,9.613825873677435,0,0
deformable_quad_forward_screening,42,val,signal_bin,non_low_signal,0.9,86,0.40553907235031567,0.5641222869526553,0.36546228785778667,1.0668680101286534,0,11,75,0.24163692364425854,0.6041990714451844,0.367619310366982,15.010145590143951,0,0
deformable_quad_forward_screening,42,val,defect_type,polygon,0.9,72,0.30097268419533624,0.43983881184256474,0.6828519814675312,1.1274450751435425,0,5,67,0.2910658635923432,0.05795951457036974,0.367619310366982,12.239855652866883,0,0
deformable_quad_forward_screening,42,val,defect_type,rotated_rect,0.9,57,0.4347124887856293,0.5974919321586848,0.27343589483424285,1.0441354101425724,0,10,47,0.2710043091588376,0.7587685261100714,0.367619310366982,14.438551338843759,0,0
deformable_quad_forward_screening,42,val,overall,all,0.95,129,0.3562876592444741,0.5044555611942962,0.40964697992199384,1.0900312831062218,0,30,99,0.28220145581939887,0.45109624051677655,0.45109624051677644,13.21137235132178,0,0
