model,family,selected_by_validation,split,group_field,group_value,sample_count,normalized_param_mae_mean,L_mae_mm,W_mae_mm,D_mae_mm,curvature_mae_mean,projected_mask_iou,projected_mask_dice,profile_depth_rmse_m,volume_proxy_rel_error
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,train,aspect_bin,narrow,33,0.16276113338994258,0.528334102395809,0.9734512395931013,0.23472742507742209,0.038131853099912405,0.8671008551400711,0.9273203321007728,0.00011063146542834478,0.2519759553719131
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,train,aspect_bin,wide,42,0.15340096410363913,0.5202791428282147,0.6779874474519775,0.293842428896044,0.036087708798558674,0.9459702458985957,0.97184739120966,0.00013371400423455357,0.14541055050118284
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,train,size_bin,elongated,33,0.16276113338994258,0.528334102395809,0.9734512395931013,0.23472742507742209,0.038131853099912405,0.8671008551400711,0.9273203321007728,0.00011063146542834478,0.2519759553719131
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,train,size_bin,large_wide,42,0.15340096410363913,0.5202791428282147,0.6779874474519775,0.293842428896044,0.036087708798558674,0.9459702458985957,0.97184739120966,0.00013371400423455357,0.14541055050118284
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,train,size_bin,medium_balanced,44,0.17286363785917108,0.5864246585829691,0.45430467650294304,0.19045640401203523,0.05249133120841262,0.9318937237224919,0.964027027654744,9.54040588732658e-05,0.10563951352741045
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,train,size_bin,small_compact,43,0.1603460552733998,0.5677111332499704,0.29408814844697023,0.23470018940522921,0.04772369055683876,0.9171226680400832,0.9558162970918359,0.00010647659490682282,0.18191664137385083
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,val,curvature_template,LD_dominant,7,0.5787727790219444,1.7275516475949968,1.5190624168940954,0.7936064957508019,0.17390670946666173,0.8129913109502459,0.8888346926875929,0.0004020739948568267,0.5124491899874057
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,val,curvature_template,WD_dominant,8,0.4390144795179367,1.4818426072597504,1.0509841740131378,0.770572995301336,0.12222376884892583,0.8553483687484347,0.9182739279872686,0.0003787252021538734,0.6620434086444276
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,val,curvature_template,boxy,8,0.9986028037965298,4.010706871747971,3.882344350218773,1.5546192042529583,0.25205242494121194,0.6073271853940589,0.7437727422878506,0.0007707518198003527,1.0654341557733569
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,val,curvature_template,round,8,0.5186383780092001,1.9801759086549282,2.5143818706274033,0.826862552203238,0.12349837576039135,0.7357395381898348,0.8381047398351554,0.0004068422267664573,0.84326073962039
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,val,curvature_template,sharp,8,0.9929900914430618,2.0594215393066406,2.508676405996084,1.0036294851452112,0.32143381237983704,0.6874578386514979,0.8042441890251923,0.0005059827635705005,1.0278543821337696
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,val,depth_bin,deep,15,0.7487235844135285,3.2225483228762943,2.7703558882077535,1.2926759533584118,0.18319973622759184,0.7228900903734217,0.8294426040337051,0.0006309358943932845,0.41529472221275604
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,val,depth_bin,medium,11,0.6223054460503838,1.1182747334241867,1.839920843189413,0.5136964128098704,0.20570488866757264,0.7995972291679322,0.881172867576056,0.0003301152163740798,0.5596910898201245
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,val,depth_bin,shallow,13,0.7360893694254068,2.131599233700679,2.1915433636078467,1.0584553480148315,0.21232801561172193,0.7030001344672118,0.8094205413888228,0.000478279097408701,1.537681769082668
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,val,aspect_bin,balanced,11,0.6338543797081168,1.5428585681048306,1.3332284851507707,0.5214892463250593,0.213079524141821,0.8302834442250866,0.9034583353723548,0.00029870936520059,0.2887215189349812
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,val,aspect_bin,compact,12,0.6415658295154572,1.9860706975062687,1.0238770966728528,0.624347864339749,0.21266045204053322,0.7599411209454984,0.8551069795883702,0.00032166105059635203,0.7763483314609442
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,val,aspect_bin,narrow,6,0.7965601434310278,2.81498517592748,4.3750454386075335,1.688841740290324,0.16349261440336704,0.5630778410282066,0.7123641111152871,0.0008238043131617209,2.138940902495419
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,val,aspect_bin,wide,10,0.8194826483726502,3.065583327412605,3.7082220196723936,1.5439112842082978,0.18942581452429294,0.7147044240531158,0.8183497531048818,0.0007224372558994219,0.7050123718498755
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,val,size_bin,elongated,6,0.7965601434310278,2.81498517592748,4.3750454386075335,1.688841740290324,0.16349261440336704,0.5630778410282066,0.7123641111152871,0.0008238043131617209,2.138940902495419
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,val,size_bin,large_wide,10,0.8194826483726502,3.065583327412605,3.7082220196723936,1.5439112842082978,0.18942581452429294,0.7147044240531158,0.8183497531048818,0.0007224372558994219,0.7050123718498755
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,val,size_bin,medium_balanced,11,0.6338543797081168,1.5428585681048306,1.3332284851507707,0.5214892463250593,0.213079524141821,0.8302834442250866,0.9034583353723548,0.00029870936520059,0.2887215189349812
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,val,size_bin,small_compact,12,0.6415658295154572,1.9860706975062687,1.0238770966728528,0.624347864339749,0.21266045204053322,0.7599411209454984,0.8551069795883702,0.00032166105059635203,0.7763483314609442
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,test,curvature_template,LD_dominant,8,0.622016929090023,2.388535264879465,2.0212055752053857,0.8627488128840923,0.17188569623976946,0.7287107589105613,0.8372334437197244,0.0003925137971236836,0.4429118729052096
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,test,curvature_template,WD_dominant,8,0.572138387709856,1.6872882600873709,2.649876281619072,1.0066874576732516,0.14106232300400734,0.7203046494475276,0.8308318874385202,0.0004702133683167631,0.9696066158558198
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,test,curvature_template,boxy,7,0.9198030872004372,2.331074740205492,1.428458298955645,1.2951536008289881,0.28964956743376596,0.8345521458645173,0.9074113162013296,0.0006605807242781989,0.6123166226084679
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,test,curvature_template,round,8,0.5359760653227568,1.880252294242382,2.8557059206068516,0.7339975172653794,0.1310946939047426,0.7344985882364616,0.8383461839379546,0.00029174705559853464,0.4483021073512164
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,test,curvature_template,sharp,8,0.6535174883902073,1.3333584368228912,0.933098841458559,0.9798247646540403,0.2079174891114235,0.8368481454307923,0.9066718048887565,0.00043777851533377543,0.7861376592405281
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,test,depth_bin,deep,11,0.7870224741372195,2.857254223390059,2.0127050334757026,1.3185917403210292,0.21587361192161386,0.767983225594631,0.8650076905993003,0.000632078581309708,0.3353400010806963
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,test,depth_bin,medium,11,0.5689393146471544,1.3496420153162696,2.0352840504863043,0.88818655569445,0.15801295163956555,0.8283830414304767,0.9000524328507941,0.0003837892859750851,0.4482667232203303
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,test,depth_bin,shallow,17,0.6230725234045702,1.6680669767015122,1.9500247717780226,0.7916224923203973,0.18414567005546653,0.7320431305869517,0.8376990832551714,0.00036397296592921894,0.9907181431629515
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,test,aspect_bin,balanced,9,0.6870748185449176,2.2133263879352145,1.2259441316127777,0.7643986841042837,0.2183294091373682,0.8097478440483121,0.8885404223796615,0.0003582818204045503,0.35975179376277755
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,test,aspect_bin,compact,9,0.725340916050805,2.0412712693214417,1.0619943373733096,1.0729893495639165,0.22572812851932314,0.7325090633980129,0.8401431881183236,0.00046264397032145,1.1486569481418918
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,test,aspect_bin,narrow,9,0.7168532576825883,2.3165022101667194,3.6766320864359536,0.9844287402100034,0.1803702844513787,0.6666503966552646,0.7934653276218041,0.00046420975801690173,0.798382647256103
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,test,aspect_bin,wide,12,0.5286993036667506,1.2910915352404118,1.9997638370841742,1.0279827217260997,0.13528151592860618,0.8437163683616714,0.9131004441842375,0.00048298891852027737,0.3917299915528761
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,test,size_bin,elongated,9,0.7168532576825883,2.3165022101667194,3.6766320864359536,0.9844287402100034,0.1803702844513787,0.6666503966552646,0.7934653276218041,0.00046420975801690173,0.798382647256103
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,test,size_bin,large_wide,12,0.5286993036667506,1.2910915352404118,1.9997638370841742,1.0279827217260997,0.13528151592860618,0.8437163683616714,0.9131004441842375,0.00048298891852027737,0.3917299915528761
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,test,size_bin,medium_balanced,9,0.6870748185449176,2.2133263879352145,1.2259441316127777,0.7643986841042837,0.2183294091373682,0.8097478440483121,0.8885404223796615,0.0003582818204045503,0.35975179376277755
lssvm_rbf_alpha_0p1_gamma_0p00171821,LS-SVM-like-RBF,True,test,size_bin,small_compact,9,0.725340916050805,2.0412712693214417,1.0619943373733096,1.0729893495639165,0.22572812851932314,0.7325090633980129,0.8401431881183236,0.00046264397032145,1.1486569481418918
