case_type,method,split,rank,sample_id,curvature_template,depth_bin,aspect_bin,curvature_mae_mean,wLD_abs_error,wWD_abs_error,wLW_abs_error,D_mae_mm,projected_mask_dice,profile_depth_rmse_m
high_dice_high_profile_error,20.77_neural_selected_seed,val,1,rbc_v3topup_089_val_sharp_deep_balanced,sharp,deep,balanced,0.25478407740592957,0.23349589109420776,0.22875887155532837,0.30209749937057495,2.4546563625335693,0.9593908629441624,0.0008718195604160428
high_dice_high_profile_error,20.77_neural_selected_seed,val,2,rbc_v2topup_042_deep_small_compact_LD_dominant,LD_dominant,deep,compact,0.1398385763168335,0.27492696046829224,0.08083975315093994,0.06374901533126831,2.1750261783599854,0.96045197740113,0.0010439223842695355
high_dice_high_profile_error,20.77_neural_selected_seed,val,3,rbc_pilot_058_deep_medium_balanced_WD_dominant,WD_dominant,deep,balanced,0.13853035867214203,0.006166696548461914,0.3032901883125305,0.10613417625427246,1.7700656652450562,0.9647058823529412,0.0009199280175380409
low_dice_low_profile_error,20.77_neural_selected_seed,val,1,rbc_v3topup_095_val_round_medium_narrow,round,medium,narrow,0.09815186262130737,0.06863707304000854,0.10497355461120605,0.12084496021270752,0.19146828353405,0.5742574257425742,0.00016625478747300804
high_w_error_low_profile_error,20.77_neural_selected_seed,train,1,rbc_v3topup_138_train_sharp_medium_compact,sharp,medium,compact,0.2964467406272888,0.2928326725959778,0.27849650382995605,0.3180110454559326,0.47182023525238037,0.8053691275167785,0.00015531429380644113
high_w_error_low_profile_error,20.77_neural_selected_seed,train,2,rbc_pilot_026_shallow_medium_balanced_boxy,boxy,shallow,balanced,0.2870451509952545,0.3240046501159668,0.2831147313117981,0.25401610136032104,0.4149187505245209,0.8905109489051095,0.00014414251199923456
high_w_error_low_profile_error,20.77_neural_selected_seed,train,3,rbc_v3topup_029_train_sharp_shallow_narrow,sharp,shallow,narrow,0.2526308596134186,0.2525186538696289,0.20129936933517456,0.30407458543777466,0.0547356903553009,0.7414634146341463,0.00015142573101911694
high_w_error_low_profile_error,20.77_neural_selected_seed,train,4,rbc_v3topup_146_train_sharp_shallow_balanced,sharp,shallow,balanced,0.25092241168022156,0.2521625757217407,0.19917500019073486,0.3014296889305115,0.027540024369955063,0.9615384615384616,0.00010720935824792832
high_w_error_low_profile_error,20.77_neural_selected_seed,train,5,rbc_v2topup_004_shallow_elongated_sharp,sharp,shallow,narrow,0.24572999775409698,0.23291140794754028,0.21269983053207397,0.2915787696838379,0.041593097150325775,0.6877828054298643,0.00014505747822113335
low_w_error_high_profile_error,20.77_neural_selected_seed,train,1,rbc_v3topup_007_train_WD_dominant_deep_compact,WD_dominant,deep,compact,0.13890664279460907,0.05829697847366333,0.2728918194770813,0.08553111553192139,2.205745220184326,0.9837837837837838,0.0010785883059725165
low_w_error_high_profile_error,20.77_neural_selected_seed,train,2,rbc_pilot_060_deep_elongated_WD_dominant,WD_dominant,deep,narrow,0.1377880722284317,0.009081065654754639,0.30470889806747437,0.0995742678642273,1.8489835262298584,0.8607594936708861,0.0009813561337068677
low_w_error_high_profile_error,20.77_neural_selected_seed,train,3,rbc_v3topup_131_train_WD_dominant_deep_balanced,WD_dominant,deep,balanced,0.13687898218631744,0.0282212495803833,0.2963868975639343,0.0860288143157959,1.5056524276733398,0.9814814814814815,0.0007872592541389167
low_w_error_high_profile_error,20.77_neural_selected_seed,train,4,rbc_v3topup_004_train_WD_dominant_deep_compact,WD_dominant,deep,compact,0.1359209567308426,0.13014096021652222,0.24470096826553345,0.0329209566116333,1.608649730682373,0.9381443298969072,0.0007814094424247742
low_w_error_high_profile_error,20.77_neural_selected_seed,train,5,rbc_v3topup_083_train_LD_dominant_deep_compact,LD_dominant,deep,compact,0.1304030567407608,0.26282501220703125,0.06637710332870483,0.06200706958770752,2.026120185852051,1.0,0.0009781306143850088
high_dice_high_profile_error,20.77_neural_selected_seed,train,1,rbc_v2topup_009_deep_small_compact_sharp,sharp,deep,compact,0.2866173982620239,0.2888195514678955,0.2603161931037903,0.310716450214386,3.0560569763183594,0.9746835443037974,0.0011398082133382559
high_dice_high_profile_error,20.77_neural_selected_seed,train,2,rbc_v2topup_025_shallow_large_wide_boxy,boxy,shallow,wide,0.262982040643692,0.30021166801452637,0.25479280948638916,0.23394161462783813,1.618733525276184,0.9614740368509213,0.0006621555075980723
high_dice_high_profile_error,20.77_neural_selected_seed,train,3,rbc_v2topup_032_deep_medium_balanced_boxy,boxy,deep,balanced,0.22097153961658478,0.2469729781150818,0.22575336694717407,0.19018828868865967,1.467010736465454,0.9676025917926566,0.0008418973884545267
high_dice_high_profile_error,20.77_neural_selected_seed,train,4,rbc_v3topup_056_train_boxy_deep_compact,boxy,deep,compact,0.17627273499965668,0.15828120708465576,0.20621734857559204,0.16431963443756104,2.1553053855895996,0.9891304347826086,0.0011086141457781196
high_dice_high_profile_error,20.77_neural_selected_seed,train,5,rbc_v3topup_080_train_LD_dominant_deep_balanced,LD_dominant,deep,balanced,0.16063839197158813,0.36224687099456787,0.003588557243347168,0.11607974767684937,2.0458614826202393,0.9862385321100917,0.0010332587407901883
high_dice_high_curvature_error,20.77_neural_selected_seed,train,1,rbc_pilot_031_medium_large_wide_boxy,boxy,medium,wide,0.3674210011959076,0.4207509756088257,0.3147454261779785,0.36676663160324097,0.06475742161273956,0.9537648612945839,0.0002913946227636188
high_dice_high_curvature_error,20.77_neural_selected_seed,train,2,rbc_v2topup_009_deep_small_compact_sharp,sharp,deep,compact,0.2866173982620239,0.2888195514678955,0.2603161931037903,0.310716450214386,3.0560569763183594,0.9746835443037974,0.0011398082133382559
high_dice_high_curvature_error,20.77_neural_selected_seed,train,3,rbc_v2topup_002_shallow_medium_balanced_sharp,sharp,shallow,balanced,0.27658459544181824,0.2768588066101074,0.24360895156860352,0.30928605794906616,0.3701968789100647,0.9611650485436893,0.00025135543546639383
high_dice_high_curvature_error,20.77_neural_selected_seed,train,4,rbc_v2topup_025_shallow_large_wide_boxy,boxy,shallow,wide,0.262982040643692,0.30021166801452637,0.25479280948638916,0.23394161462783813,1.618733525276184,0.9614740368509213,0.0006621555075980723
high_dice_high_curvature_error,20.77_neural_selected_seed,train,5,rbc_pilot_006_medium_medium_balanced_sharp,sharp,medium,balanced,0.2608279585838318,0.24584734439849854,0.2373422384262085,0.29929429292678833,0.7608624696731567,0.9614035087719298,0.00024242176732514054
low_dice_low_profile_error,20.77_neural_selected_seed,train,1,rbc_v3topup_029_train_sharp_shallow_narrow,sharp,shallow,narrow,0.2526308596134186,0.2525186538696289,0.20129936933517456,0.30407458543777466,0.0547356903553009,0.7414634146341463,0.00015142573101911694
low_dice_low_profile_error,20.77_neural_selected_seed,train,2,rbc_v2topup_004_shallow_elongated_sharp,sharp,shallow,narrow,0.24572999775409698,0.23291140794754028,0.21269983053207397,0.2915787696838379,0.041593097150325775,0.6877828054298643,0.00014505747822113335
low_dice_low_profile_error,20.77_neural_selected_seed,train,3,rbc_v3topup_064_train_boxy_medium_compact,boxy,medium,compact,0.23061902821063995,0.2300059199333191,0.24740451574325562,0.21444666385650635,0.018691178411245346,0.7142857142857143,0.00011047847510781139
low_dice_low_profile_error,20.77_neural_selected_seed,train,4,rbc_v2topup_024_shallow_medium_balanced_boxy,boxy,shallow,balanced,0.19513367116451263,0.200999915599823,0.19107985496520996,0.19332122802734375,0.13807684183120728,0.75,5.231859177001752e-05
low_dice_low_profile_error,20.77_neural_selected_seed,train,5,rbc_v3topup_063_train_boxy_shallow_balanced,boxy,shallow,balanced,0.18676407635211945,0.17430686950683594,0.20644843578338623,0.17953693866729736,0.33218565583229065,0.7668393782383419,0.00012539901945274323
high_w_error_low_profile_error,20.81_feature_fusion_selected,test,1,rbc_v3topup_128_test_LD_dominant_shallow_narrow,LD_dominant,shallow,narrow,0.4399677515029907,0.6320000290870667,0.26440000534057617,0.42350322008132935,0.5048397183418274,0.8260869565217391,0.0001857656316133216
high_w_error_low_profile_error,20.81_feature_fusion_selected,test,2,rbc_v3topup_116_test_round_medium_wide,round,medium,wide,0.2999178171157837,0.3836076259613037,0.24438226222991943,0.27176356315612793,0.2021060734987259,0.9397905759162304,0.00017998969997279346
high_w_error_low_profile_error,20.81_feature_fusion_selected,test,3,rbc_v3topup_127_test_LD_dominant_shallow_wide,LD_dominant,shallow,wide,0.2974216341972351,0.459061861038208,0.14586788415908813,0.2873351573944092,0.20875629782676697,0.795959595959596,9.442079317523167e-05
low_w_error_high_profile_error,20.81_feature_fusion_selected,test,1,rbc_pilot_055_medium_large_wide_WD_dominant,WD_dominant,medium,wide,0.08040356636047363,0.12483429908752441,0.1020054817199707,0.014370918273925781,1.616098165512085,0.9751243781094527,0.000778578280005604
low_w_error_high_profile_error,20.81_feature_fusion_selected,test,2,rbc_v3topup_126_test_boxy_deep_wide,boxy,deep,wide,0.07230746746063232,0.033478736877441406,0.07827901840209961,0.10516464710235596,2.202054977416992,0.9106753812636166,0.0011010697344318032
low_w_error_high_profile_error,20.81_feature_fusion_selected,test,3,rbc_v3topup_114_test_sharp_deep_balanced,sharp,deep,balanced,0.005434751510620117,0.0,0.014400005340576172,0.0019042491912841797,3.2068889141082764,0.8099688473520249,0.0012649991549551487
high_dice_high_profile_error,20.81_feature_fusion_selected,test,1,rbc_v3topup_115_test_round_deep_compact,round,deep,compact,0.2614317238330841,0.2986268401145935,0.23543334007263184,0.2502349615097046,2.1490638256073,0.9704142011834319,0.0008166054612956941
high_dice_high_profile_error,20.81_feature_fusion_selected,test,2,rbc_v3topup_111_test_sharp_medium_wide,sharp,medium,wide,0.15271411836147308,0.16086244583129883,0.12672990560531616,0.17054998874664307,1.2465713024139404,0.9780380673499268,0.0006439715507440269
high_dice_high_profile_error,20.81_feature_fusion_selected,test,3,rbc_v2topup_040_medium_large_wide_LD_dominant,LD_dominant,medium,wide,0.11450302600860596,0.2021462321281433,0.07526880502700806,0.0660940408706665,1.5673229694366455,0.981675392670157,0.0007119595538824797
high_dice_high_profile_error,20.81_feature_fusion_selected,test,4,rbc_pilot_055_medium_large_wide_WD_dominant,WD_dominant,medium,wide,0.08040356636047363,0.12483429908752441,0.1020054817199707,0.014370918273925781,1.616098165512085,0.9751243781094527,0.000778578280005604
high_dice_high_curvature_error,20.81_feature_fusion_selected,test,1,rbc_pilot_032_medium_elongated_boxy,boxy,medium,narrow,0.5333333015441895,0.550000011920929,0.5,0.550000011920929,0.5281577110290527,0.9495548961424333,0.0004109083383809775
high_dice_high_curvature_error,20.81_feature_fusion_selected,test,2,rbc_v3topup_125_test_boxy_shallow_balanced,boxy,shallow,balanced,0.485013872385025,0.4853184223175049,0.48946845531463623,0.48025476932525635,0.6566306352615356,0.9469387755102041,0.00021395251678768545
high_dice_high_curvature_error,20.81_feature_fusion_selected,test,3,rbc_v3topup_115_test_round_deep_compact,round,deep,compact,0.2614317238330841,0.2986268401145935,0.23543334007263184,0.2502349615097046,2.1490638256073,0.9704142011834319,0.0008166054612956941
low_dice_low_profile_error,20.81_feature_fusion_selected,test,1,rbc_v3topup_127_test_LD_dominant_shallow_wide,LD_dominant,shallow,wide,0.2974216341972351,0.459061861038208,0.14586788415908813,0.2873351573944092,0.20875629782676697,0.795959595959596,9.442079317523167e-05
low_dice_low_profile_error,20.81_feature_fusion_selected,test,2,rbc_pilot_038_shallow_medium_balanced_LD_dominant,LD_dominant,shallow,balanced,0.1557167023420334,0.2566458582878113,0.1362006664276123,0.07430356740951538,0.07676368206739426,0.7938144329896907,4.049786366522312e-05
low_dice_low_profile_error,20.81_feature_fusion_selected,test,3,rbc_v3topup_110_test_sharp_medium_compact,sharp,medium,compact,0.07155279070138931,0.05550652742385864,0.05735623836517334,0.10179561376571655,0.024145003408193588,0.782051282051282,4.8118174163391814e-05
high_w_error_low_profile_error,20.81_feature_fusion_selected,val,1,rbc_v3topup_088_val_sharp_shallow_compact,sharp,shallow,compact,0.42756733298301697,0.36983001232147217,0.4710032343864441,0.44186872243881226,0.29196473956108093,0.9072164948453608,0.00023860421788413078
high_w_error_low_profile_error,20.81_feature_fusion_selected,val,2,rbc_v2topup_039_medium_medium_balanced_LD_dominant,LD_dominant,medium,balanced,0.313669890165329,0.5112411379814148,0.1404903531074524,0.28927814960479736,0.3431904911994934,0.8043478260869565,0.00030459853587672114
high_w_error_low_profile_error,20.81_feature_fusion_selected,val,3,rbc_v3topup_094_val_round_shallow_narrow,round,shallow,narrow,0.2609770894050598,0.28895795345306396,0.2525560259819031,0.2414172887802124,0.40576478838920593,0.7522935779816514,0.0002895123325288296
low_w_error_high_profile_error,20.81_feature_fusion_selected,val,1,rbc_v3topup_085_val_WD_dominant_shallow_wide,WD_dominant,shallow,wide,0.13268496096134186,0.16871893405914307,0.19809496402740479,0.031240999698638916,2.9537081718444824,0.8982035928143712,0.001384254195727408
low_w_error_high_profile_error,20.81_feature_fusion_selected,val,2,rbc_v2topup_045_deep_large_wide_LD_dominant,LD_dominant,deep,wide,0.10785851627588272,0.221976637840271,0.014217078685760498,0.08738183975219727,2.75142240524292,0.6693989071038251,0.0013250099727883935
low_w_error_high_profile_error,20.81_feature_fusion_selected,val,3,rbc_v2topup_057_deep_elongated_boxy,boxy,deep,narrow,0.0794532299041748,0.05919075012207031,0.07928216457366943,0.09988677501678467,2.37712025642395,0.8898678414096917,0.0011847257846966386
low_w_error_high_profile_error,20.81_feature_fusion_selected,val,4,rbc_v3topup_090_val_sharp_deep_wide,sharp,deep,wide,0.016769031062722206,0.0004271864891052246,0.02879995107650757,0.021079957485198975,2.3236682415008545,0.8616600790513834,0.0009246163535863161
high_dice_high_profile_error,20.81_feature_fusion_selected,val,1,rbc_v3topup_104_val_boxy_shallow_wide,boxy,shallow,wide,0.42249616980552673,0.4221334457397461,0.42507731914520264,0.4202777147293091,2.715418577194214,0.9771986970684039,0.0010358939180150628
high_dice_high_profile_error,20.81_feature_fusion_selected,val,2,rbc_pilot_035_deep_large_wide_boxy,boxy,deep,wide,0.1593523770570755,0.2806445360183716,0.09857773780822754,0.09883487224578857,1.9226865768432617,0.9705583756345177,0.000985330669209361
high_dice_high_curvature_error,20.81_feature_fusion_selected,val,1,rbc_v3topup_088_val_sharp_shallow_compact,sharp,shallow,compact,0.42756733298301697,0.36983001232147217,0.4710032343864441,0.44186872243881226,0.29196473956108093,0.9072164948453608,0.00023860421788413078
high_dice_high_curvature_error,20.81_feature_fusion_selected,val,2,rbc_v3topup_104_val_boxy_shallow_wide,boxy,shallow,wide,0.42249616980552673,0.4221334457397461,0.42507731914520264,0.4202777147293091,2.715418577194214,0.9771986970684039,0.0010358939180150628
high_dice_high_curvature_error,20.81_feature_fusion_selected,val,3,rbc_v3topup_089_val_sharp_deep_balanced,sharp,deep,balanced,0.41715550422668457,0.3474491834640503,0.480308473110199,0.42370885610580444,1.7692863941192627,0.9050279329608939,0.0005717218155041337
high_dice_high_curvature_error,20.81_feature_fusion_selected,val,4,rbc_v3topup_097_val_round_deep_wide,round,deep,wide,0.24705344438552856,0.2595754861831665,0.2516182065010071,0.2299666404724121,0.12400047481060028,0.9811738648947951,0.00032031876617111266
low_dice_low_profile_error,20.81_feature_fusion_selected,val,1,rbc_v3topup_094_val_round_shallow_narrow,round,shallow,narrow,0.2609770894050598,0.28895795345306396,0.2525560259819031,0.2414172887802124,0.40576478838920593,0.7522935779816514,0.0002895123325288296
high_w_error_low_profile_error,20.81_feature_fusion_selected,train,1,rbc_v2topup_034_shallow_small_compact_LD_dominant,LD_dominant,shallow,compact,0.12797458469867706,0.23688393831253052,0.06500715017318726,0.08203268051147461,0.09805918484926224,0.970873786407767,4.099419675185345e-05
high_w_error_low_profile_error,20.81_feature_fusion_selected,train,2,rbc_v3topup_129_train_WD_dominant_medium_compact,WD_dominant,medium,compact,0.1269041895866394,0.12917101383209229,0.20338255167007446,0.048159003257751465,0.10994914919137955,1.0,5.732738281949423e-05
high_w_error_low_profile_error,20.81_feature_fusion_selected,train,3,rbc_v3topup_014_train_WD_dominant_shallow_balanced,WD_dominant,shallow,balanced,0.11167141050100327,0.14096879959106445,0.16723966598510742,0.026805758476257324,0.11732673645019531,0.9363636363636364,5.728440737584606e-05
high_w_error_low_profile_error,20.81_feature_fusion_selected,train,4,rbc_v2topup_027_medium_small_compact_boxy,boxy,medium,compact,0.11121276766061783,0.04536032676696777,0.16912227869033813,0.11915570497512817,0.07782317698001862,0.9705882352941176,4.7244895540643483e-05
high_w_error_low_profile_error,20.81_feature_fusion_selected,train,5,rbc_v2topup_015_shallow_elongated_round,round,shallow,narrow,0.1078716292977333,0.11652827262878418,0.10410207509994507,0.10298454761505127,0.07258343696594238,0.9818181818181818,4.808538142242469e-05
low_w_error_high_profile_error,20.81_feature_fusion_selected,train,1,rbc_v2topup_041_medium_elongated_LD_dominant,LD_dominant,medium,narrow,0.030716797336935997,0.030069947242736816,0.0441095232963562,0.017970919609069824,0.6751641631126404,0.9777777777777777,0.00033238716423511505
low_w_error_high_profile_error,20.81_feature_fusion_selected,train,2,rbc_v3topup_046_train_round_deep_wide,round,deep,wide,0.028261998668313026,0.015369653701782227,0.05825585126876831,0.011160492897033691,0.6979061365127563,0.8973105134474327,0.000327723246300593
low_w_error_high_profile_error,20.81_feature_fusion_selected,train,3,rbc_pilot_013_shallow_small_compact_round,round,shallow,compact,0.022878369316458702,0.016057193279266357,0.029886841773986816,0.022691071033477783,0.7027930021286011,0.9019607843137255,0.0002976427203975618
low_w_error_high_profile_error,20.81_feature_fusion_selected,train,4,rbc_v3topup_143_train_WD_dominant_shallow_wide,WD_dominant,shallow,wide,0.01132422685623169,0.03056126832962036,0.0,0.003411412239074707,0.6159999370574951,0.9867986798679867,0.00029454982723109424
low_w_error_high_profile_error,20.81_feature_fusion_selected,train,5,rbc_v2topup_006_medium_medium_balanced_sharp,sharp,medium,balanced,0.006333331111818552,0.0,0.018999993801116943,0.0,0.6568671464920044,0.9750889679715302,0.0002627074427437037
high_dice_high_profile_error,20.81_feature_fusion_selected,train,1,rbc_pilot_023_deep_large_wide_round,round,deep,wide,0.22661596536636353,0.20012372732162476,0.278112530708313,0.20161163806915283,0.055548734962940216,0.9797225186766275,0.0003217483463231474
high_dice_high_profile_error,20.81_feature_fusion_selected,train,2,rbc_v2topup_025_shallow_large_wide_boxy,boxy,shallow,wide,0.14663539826869965,0.13474702835083008,0.14364683628082275,0.1615123152732849,0.46683651208877563,0.9798657718120806,0.00025129117420874536
high_dice_high_profile_error,20.81_feature_fusion_selected,train,3,rbc_v3topup_011_train_WD_dominant_medium_wide,WD_dominant,medium,wide,0.11098674684762955,0.18696123361587524,0.11636114120483398,0.02963787317276001,1.0174221992492676,0.9923273657289002,0.00046883869799785316
high_dice_high_profile_error,20.81_feature_fusion_selected,train,4,rbc_v3topup_063_train_boxy_shallow_balanced,boxy,shallow,balanced,0.0787445530295372,0.028388261795043945,0.12138140201568604,0.08646398782730103,0.6594856977462769,0.9915966386554622,0.00029908379656262696
high_dice_high_profile_error,20.81_feature_fusion_selected,train,5,rbc_v3topup_131_train_WD_dominant_deep_balanced,WD_dominant,deep,balanced,0.05579809471964836,0.019990861415863037,0.1050330400466919,0.042370378971099854,0.983790934085846,0.9794050343249427,0.000490525912027806
high_dice_high_curvature_error,20.81_feature_fusion_selected,train,1,rbc_pilot_023_deep_large_wide_round,round,deep,wide,0.22661596536636353,0.20012372732162476,0.278112530708313,0.20161163806915283,0.055548734962940216,0.9797225186766275,0.0003217483463231474
high_dice_high_curvature_error,20.81_feature_fusion_selected,train,2,rbc_v2topup_025_shallow_large_wide_boxy,boxy,shallow,wide,0.14663539826869965,0.13474702835083008,0.14364683628082275,0.1615123152732849,0.46683651208877563,0.9798657718120806,0.00025129117420874536
high_dice_high_curvature_error,20.81_feature_fusion_selected,train,3,rbc_v3topup_129_train_WD_dominant_medium_compact,WD_dominant,medium,compact,0.1269041895866394,0.12917101383209229,0.20338255167007446,0.048159003257751465,0.10994914919137955,1.0,5.732738281949423e-05
high_dice_high_curvature_error,20.81_feature_fusion_selected,train,4,rbc_pilot_030_medium_medium_balanced_boxy,boxy,medium,balanced,0.12354037910699844,0.10771244764328003,0.11260652542114258,0.15030217170715332,0.20086905360221863,0.9848942598187311,7.787927461322397e-05
high_dice_high_curvature_error,20.81_feature_fusion_selected,train,5,rbc_v3topup_011_train_WD_dominant_medium_wide,WD_dominant,medium,wide,0.11098674684762955,0.18696123361587524,0.11636114120483398,0.02963787317276001,1.0174221992492676,0.9923273657289002,0.00046883869799785316
low_dice_low_profile_error,20.81_feature_fusion_selected,train,1,rbc_v3topup_021_train_WD_dominant_medium_compact,WD_dominant,medium,compact,0.09464488178491592,0.04975581169128418,0.16817378997802734,0.06600505113601685,0.028636306524276733,0.9066666666666666,4.604135392582975e-05
low_dice_low_profile_error,20.81_feature_fusion_selected,train,2,rbc_pilot_017_medium_small_compact_round,round,medium,compact,0.0925631895661354,0.14496779441833496,0.028760075569152832,0.10396170616149902,0.09981752187013626,0.8552631578947368,5.136958134244196e-05
low_dice_low_profile_error,20.81_feature_fusion_selected,train,3,rbc_v3topup_142_train_LD_dominant_deep_compact,LD_dominant,deep,compact,0.05813276767730713,0.09597814083099365,0.04360324144363403,0.0348169207572937,0.07222965359687805,0.8902439024390244,4.055166937178001e-05
low_dice_low_profile_error,20.81_feature_fusion_selected,train,4,rbc_pilot_040_shallow_elongated_LD_dominant,LD_dominant,shallow,narrow,0.04472192004323006,0.06678271293640137,0.04052627086639404,0.02685678005218506,0.11628400534391403,0.8571428571428571,6.741825927747414e-05
low_dice_low_profile_error,20.81_feature_fusion_selected,train,5,rbc_v3topup_013_train_WD_dominant_medium_compact,WD_dominant,medium,compact,0.03486643359065056,0.06427067518234253,0.015589356422424316,0.02473926544189453,0.010566087439656258,0.9006622516556292,1.9416900613578036e-05
