seed,group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean,residual_l2_loss_mean,residual_to_base_abs_ratio_mean,residual_dominance_rate,pred_connected_component_count_mean,predicted_component_count_correct_rate,predicted_component_count_is_1_rate,predicted_component_count_is_2_rate,predicted_component_count_is_3_rate,missed_component_rate,merged_component_rate,split_component_rate,extra_fragment_rate,component_recall_mean,task_gate_accuracy,count_head_accuracy
all,pred_connected_component_count=4,val,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
all,pred_connected_component_count=5,val,2,0.5767088386130278,0.7262586216644052,0.08548398572895173,3.2577940357548125,534.0,572.0,0,0.4664478451013565,9.980483055114746,0.014812350499142769,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5
all,pred_connected_component_count=6,val,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
all,pred_connected_component_count=7,val,1,0.4030373831775701,0.5745212323064113,0.8126463700234192,4.814283374858618,774.0,427.0,0,0.6546723246574402,51.65395736694336,0.08950197765400657,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
all,pred_connected_component_count=1,test,99,0.6468105718290071,0.7812574423137811,0.23841142595108641,2.461831240962806,359.42424242424244,372.6060606060606,0,0.3046531571131764,7.124281614717811,0.007488310114283429,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
all,pred_connected_component_count=2,test,34,0.604672650540893,0.7517399250152407,0.1630536295518241,4.721917526440161,703.7647058823529,706.6470588235294,0,0.4003415112109745,3.4411264894639744,0.012620916617982496,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9705882352941176,0.9705882352941176
all,pred_connected_component_count=3,test,82,0.6786032992605593,0.7956465346845867,0.08982511770740607,2.3600044796839152,426.0609756097561,444.1219512195122,0,0.3171351072264881,13.460624758517596,0.013076506478665683,0.0,3.0,0.9512195121951219,0.0,0.0,1.0,0.012195121951219513,0.0,0.04878048780487805,0.04878048780487805,0.9939024390243902,0.975609756097561,0.975609756097561
all,pred_connected_component_count=4,test,2,0.4009470294300016,0.49464279333228056,0.2332611598700106,1.988821777428103,413.5,524.5,0,0.9563626050949097,1.6250624656677246,0.012501476568885093,0.0,4.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,0.5,0.5,0.5
all,pred_connected_component_count=5,test,1,0.30438931297709926,0.4667154352596928,0.09610027855153204,1.6862273088359148,649.0,718.0,0,1.335364818572998,5.865921974182129,0.02753006899546388,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
all,pred_connected_component_count=6,test,1,0.15324384787472037,0.26576139670223087,0.5394088669950738,4.862449805694414,625.0,406.0,0,1.3070989847183228,12.213809967041016,0.024743835821716246,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
all,pred_connected_component_count=7,test,0,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
all,pred_connected_component_count=1,all,593,0.7161059401852667,0.8310356987357094,0.1593681322839333,2.184623228417635,371.50758853288363,387.3676222596965,0,0.23348606655509235,7.750971590236307,0.00720086850125145,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
all,pred_connected_component_count=2,all,241,0.6598999070397731,0.7911983198086099,0.1207642729235027,3.695134406383031,683.8423236514523,704.5767634854772,0,0.33335145689639806,4.081120225403813,0.012391855019846989,0.0,2.0,0.966804979253112,0.0,1.0,0.0,0.004149377593360996,0.0,0.029045643153526972,0.029045643153526972,0.9972337482710926,0.991701244813278,0.991701244813278
all,pred_connected_component_count=3,all,475,0.7644173850325817,0.8608071432242385,0.0728773147699121,1.8872901390205474,422.6505263157895,435.31368421052633,0,0.20369078277757294,13.9571348192033,0.012603553990364263,0.0,3.0,0.991578947368421,0.0,0.0,1.0,0.00631578947368421,0.0,0.008421052631578947,0.008421052631578947,0.9975438596491227,0.9957894736842106,0.9957894736842106
all,pred_connected_component_count=4,all,6,0.7021754570164412,0.7782564021543744,0.10176056251962988,2.158116073521699,433.6666666666667,482.0,0,0.39754320060213405,30.626963138580322,0.033885793545811414,0.0,4.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
all,pred_connected_component_count=5,all,3,0.4859356634010516,0.6397442261961678,0.08902275000314518,2.73393846011518,572.3333333333334,620.6666666666666,0,0.7560868362585703,8.608962694803873,0.019051589997916472,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333
all,pred_connected_component_count=6,all,1,0.15324384787472037,0.26576139670223087,0.5394088669950738,4.862449805694414,625.0,406.0,0,1.3070989847183228,12.213809967041016,0.024743835821716246,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
all,pred_connected_component_count=7,all,1,0.4030373831775701,0.5745212323064113,0.8126463700234192,4.814283374858618,774.0,427.0,0,0.6546723246574402,51.65395736694336,0.08950197765400657,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
