variant,seed,feature_set,selected_by_validation,sample_id,split,curvature_template,depth_bin,aspect_bin,size_bin,normalized_param_mae_mean,dimension_param_mae_norm,curvature_param_mae_norm,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,curvature_mae_mean,projected_mask_iou,projected_mask_dice,profile_depth_rmse_m
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,rbc_v3topup_008_train_WD_dominant_medium_balanced,train,WD_dominant,medium,balanced,medium_balanced,0.041620656847953796,0.058927103877067566,0.024314209818840027,0.6568357348442078,0.08594803512096405,0.07888465374708176,0.0005570650100708008,0.008519411087036133,0.006587862968444824,0.005221446510404348,0.9479768786127167,0.973293768545994,3.649651989690028e-05
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,rbc_v3topup_009_train_WD_dominant_deep_wide,train,WD_dominant,deep,wide,large_wide,0.3822409212589264,0.40080419182777405,0.36367765069007874,2.2218785285949707,1.7167553901672363,0.7045273780822754,0.0816640853881836,0.13370907306671143,0.0285913348197937,0.08132150024175644,0.8422131147540983,0.914349276974416,0.00035050432779826224
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,rbc_v3topup_010_train_WD_dominant_shallow_narrow,train,WD_dominant,shallow,narrow,elongated,0.07800105959177017,0.10104086250066757,0.05496126785874367,0.6420556306838989,0.04679989069700241,0.2885713577270508,0.000906825065612793,0.03133189678192139,0.004264354705810547,0.012167692184448242,0.9655172413793104,0.9824561403508771,0.0001380514877382666
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,rbc_v3topup_011_train_WD_dominant_medium_wide,train,WD_dominant,medium,wide,large_wide,0.36784830689430237,0.24446652829647064,0.4912301003932953,0.08621253073215485,0.2362765371799469,1.0174221992492676,0.18696123361587524,0.11636114120483398,0.02963787317276001,0.11098674684762955,0.9847715736040609,0.9923273657289002,0.00046883869799785316
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,rbc_v3topup_012_train_WD_dominant_deep_balanced,train,WD_dominant,deep,balanced,medium_balanced,0.23613400757312775,0.1230073943734169,0.3492606580257416,0.8833557367324829,0.5484651923179626,0.1593148410320282,0.08519929647445679,0.11989140510559082,0.029237747192382812,0.07810948044061661,0.9162790697674419,0.9563106796116505,9.99424810288474e-05
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,rbc_v3topup_013_train_WD_dominant_medium_compact,train,WD_dominant,medium,compact,small_compact,0.12818394601345062,0.09992623329162598,0.15644164383411407,0.41839295625686646,1.012148380279541,0.010566087439656258,0.06427067518234253,0.015589356422424316,0.02473926544189453,0.03486643359065056,0.8192771084337349,0.9006622516556292,1.9416900613578036e-05
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,rbc_v3topup_014_train_WD_dominant_shallow_balanced,train,WD_dominant,shallow,balanced,medium_balanced,0.31218448281288147,0.1282905638217926,0.49607840180397034,0.21805055439472198,1.225144624710083,0.11732673645019531,0.14096879959106445,0.16723966598510742,0.026805758476257324,0.11167141050100327,0.8803418803418803,0.9363636363636364,5.728440737584606e-05
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,rbc_v3topup_015_train_WD_dominant_shallow_wide,train,WD_dominant,shallow,wide,large_wide,0.18409137427806854,0.08765900135040283,0.28052374720573425,0.47548115253448486,0.7194364666938782,0.03980996459722519,0.08934533596038818,0.0953744649887085,0.005992293357849121,0.06357070058584213,0.9256756756756757,0.9614035087719298,2.327961556147784e-05
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,rbc_v3topup_016_train_WD_dominant_shallow_compact,train,WD_dominant,shallow,compact,small_compact,0.25080573558807373,0.2531425356864929,0.24846895039081573,1.1812876462936401,1.0723984241485596,0.5036371350288391,0.09622472524642944,0.06916821002960205,0.004198670387268066,0.056530535221099854,0.7692307692307693,0.8695652173913043,0.00024087284691631794
H3_curv_fusion_F0F1F2_w1p0,2026,FS_basic_physical,True,rbc_v3topup_018_train_WD_dominant_medium_balanced,train,WD_dominant,medium,balanced,medium_balanced,0.2191987782716751,0.2619762122631073,0.17642134428024292,2.487940788269043,0.7687257528305054,0.3257114291191101,0.06222468614578247,0.0,0.05280745029449463,0.038344044238328934,0.8282208588957055,0.9060402684563759,0.0001618372043594718
