model,selected_model,split,group_field,group_value,sample_count,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_mae_mm,shape_accuracy
svr_rbf_C10,svr_rbf_C10,train,aspect_bin,compact,90,0.06789662688970566,0.06350211054086685,0.06984167546033859,0.031975921243429184,0.0886722058057785,0.24422846734523773,1.0
svr_rbf_C10,svr_rbf_C10,train,aspect_bin,elongated_x,37,0.034962210804224014,0.08759120106697083,0.09275906533002853,0.006983849685639143,0.037693168967962265,0.20402009785175323,1.0
svr_rbf_C10,svr_rbf_C10,train,aspect_bin,elongated_y,33,0.04761693254113197,0.11943954974412918,0.15934395790100098,0.010563971474766731,0.038390256464481354,0.21548008918762207,1.0
svr_rbf_C10,svr_rbf_C10,val,shape_type,internal_cuboid,13,0.36441856622695923,1.1469089984893799,0.9674193859100342,0.0806272104382515,0.3511578440666199,1.100882649421692,0.9230769230769231
svr_rbf_C10,svr_rbf_C10,val,shape_type,internal_ellipsoid,14,0.24840766191482544,0.5524226427078247,0.31979429721832275,0.06066138669848442,0.2735206186771393,1.174228310585022,1.0
svr_rbf_C10,svr_rbf_C10,val,shape_type,internal_sphere,13,0.10468539595603943,0.07447181642055511,0.06835322082042694,0.04762490838766098,0.1830933839082718,0.2939383089542389,1.0
svr_rbf_C10,svr_rbf_C10,val,burial_depth_level,deep,10,0.17194676399230957,0.4497823119163513,0.26461488008499146,0.0524626225233078,0.1378171443939209,0.6450616121292114,0.9
svr_rbf_C10,svr_rbf_C10,val,burial_depth_level,deep_plus,10,0.178025022149086,0.0761275514960289,0.3727840483188629,0.03315442055463791,0.18534085154533386,1.1939799785614014,1.0
svr_rbf_C10,svr_rbf_C10,val,burial_depth_level,medium,10,0.36752763390541077,1.302803874015808,0.5574618577957153,0.11099238693714142,0.4407939612865448,0.8336042761802673,1.0
svr_rbf_C10,svr_rbf_C10,val,burial_depth_level,shallow,10,0.24010655283927917,0.5324727892875671,0.5993555784225464,0.0550442598760128,0.31350359320640564,0.7845413684844971,1.0
svr_rbf_C10,svr_rbf_C10,val,size_level,large,13,0.37175285816192627,0.9459636211395264,0.6625829935073853,0.10349752008914948,0.3827057182788849,1.3288966417312622,1.0
svr_rbf_C10,svr_rbf_C10,val,size_level,medium,14,0.16855552792549133,0.22726963460445404,0.25735238194465637,0.03040427342057228,0.2494727075099945,0.8705710172653198,1.0
svr_rbf_C10,svr_rbf_C10,val,size_level,small,13,0.1833457052707672,0.6255818009376526,0.44043460488319397,0.05733918398618698,0.17744335532188416,0.39293989539146423,0.9230769230769231
