model,seed,selected_seed,split,param,sample_count,normalized_mae,physical_mae,physical_mae_mm,relative_mae,r2
conv1d_rbc_param_gate,123,False,val,W_m,10,0.4127890467643738,0.0019259650725871325,1.9259650707244873,0.22147102653980255,0.6927661843969253
conv1d_rbc_param_gate,123,False,val,D_m,10,0.6618319749832153,0.0010522890370339155,1.0522890090942383,0.4567032754421234,0.32903323115896066
conv1d_rbc_param_gate,123,False,val,wLD,10,0.9816274642944336,0.23606622219085693,,,-0.16213985175531742
conv1d_rbc_param_gate,123,False,val,wWD,10,1.1190259456634521,0.25266289710998535,,,-0.3564312569384427
conv1d_rbc_param_gate,123,False,val,wLW,10,0.925735592842102,0.19305895268917084,,,-0.18728381628125446
conv1d_rbc_param_gate,123,False,val,ALL,10,0.7753344178199768,0.11471465975046158,,,
conv1d_rbc_param_gate,123,False,val,DIMENSION_MEAN,10,0.5418723821640015,0.002166620921343565,2.166620969772339,,
conv1d_rbc_param_gate,123,False,val,CURVATURE_MEAN,10,1.0087964534759521,0.2272626906633377,,,
conv1d_rbc_param_gate,123,False,test,L_m,10,0.578442394733429,0.0036970265209674835,3.697026491165161,0.17660988867282867,0.3259030935652357
conv1d_rbc_param_gate,123,False,test,W_m,10,0.5867963433265686,0.002737837377935648,2.737837314605713,0.214535191655159,0.18433891413127135
conv1d_rbc_param_gate,123,False,test,D_m,10,0.7569865584373474,0.0012035814579576254,1.20358145236969,0.48505982756614685,0.1896944881401037
conv1d_rbc_param_gate,123,False,test,wLD,10,0.9555485844612122,0.22979459166526794,,,-0.10009121676517374
conv1d_rbc_param_gate,123,False,test,wWD,10,1.0196142196655273,0.2302168607711792,,,-0.13607252495081767
conv1d_rbc_param_gate,123,False,test,wLW,10,0.9134823083877563,0.1905035674571991,,,-0.1320440135195753
conv1d_rbc_param_gate,123,False,test,ALL,10,0.8018118143081665,0.10969224572181702,,,
conv1d_rbc_param_gate,123,False,test,DIMENSION_MEAN,10,0.6407417058944702,0.002546148607507348,2.5461485385894775,,
conv1d_rbc_param_gate,123,False,test,CURVATURE_MEAN,10,0.9628816843032837,0.21683833003044128,,,
conv1d_rbc_param_gate,2026,True,train,L_m,36,0.48684486746788025,0.0031115945894271135,3.1115946769714355,0.1646718978881836,0.648838590789821
conv1d_rbc_param_gate,2026,True,train,W_m,36,0.47790098190307617,0.002229760168120265,2.22976016998291,0.2349575310945511,0.6522158778957976
conv1d_rbc_param_gate,2026,True,train,D_m,36,0.6892593502998352,0.0010958976345136762,1.0958976745605469,0.4333510100841522,0.2805478455868603
conv1d_rbc_param_gate,2026,True,train,wLD,36,0.8839046955108643,0.2125653475522995,,,-0.02796623173767765
conv1d_rbc_param_gate,2026,True,train,wWD,36,0.9041741490364075,0.20415186882019043,,,0.03684275993007058
conv1d_rbc_param_gate,2026,True,train,wLW,36,0.9092257618904114,0.1896158903837204,,,-0.051243486391087556
conv1d_rbc_param_gate,2026,True,train,ALL,36,0.7252182960510254,0.10212840139865875,,,
conv1d_rbc_param_gate,2026,True,train,DIMENSION_MEAN,36,0.5513350367546082,0.0021457509137690067,2.1457509994506836,,
conv1d_rbc_param_gate,2026,True,train,CURVATURE_MEAN,36,0.8991014957427979,0.20211103558540344,,,
conv1d_rbc_param_gate,2026,True,val,L_m,10,0.46263518929481506,0.0029568627942353487,2.956862688064575,0.21491846442222595,0.6869153289968832
conv1d_rbc_param_gate,2026,True,val,W_m,10,0.3497907221317291,0.0016320314025506377,1.6320314407348633,0.20375537872314453,0.7947780539326219
conv1d_rbc_param_gate,2026,True,val,D_m,10,0.5794709920883179,0.0009213382145389915,0.9213382005691528,0.39035359025001526,0.45347191110547713
conv1d_rbc_param_gate,2026,True,val,wLD,10,0.8659306764602661,0.20824289321899414,,,-0.06700780287002495
conv1d_rbc_param_gate,2026,True,val,wWD,10,0.9636363983154297,0.2175777405500412,,,-0.04673296012717909
conv1d_rbc_param_gate,2026,True,val,wLW,10,0.9222475290298462,0.19233152270317078,,,-0.18457539617501828
conv1d_rbc_param_gate,2026,True,val,ALL,10,0.6906185746192932,0.10394374281167984,,,
conv1d_rbc_param_gate,2026,True,val,DIMENSION_MEAN,10,0.46396562457084656,0.0018367439042776823,1.836743950843811,,
conv1d_rbc_param_gate,2026,True,val,CURVATURE_MEAN,10,0.917271614074707,0.20605072379112244,,,
conv1d_rbc_param_gate,2026,True,test,L_m,10,0.425711452960968,0.0027208703104406595,2.72087025642395,0.12535767257213593,0.6170582376319025
conv1d_rbc_param_gate,2026,True,test,W_m,10,0.6193659901618958,0.0028897984884679317,2.889798402786255,0.2543219029903412,-0.20247443703506085
conv1d_rbc_param_gate,2026,True,test,D_m,10,0.7689118385314941,0.001222542254254222,1.2225422859191895,0.4915866255760193,0.15958181476100786
conv1d_rbc_param_gate,2026,True,test,wLD,10,0.9262291789054871,0.22274374961853027,,,-0.10294558753773009
conv1d_rbc_param_gate,2026,True,test,wWD,10,0.9589351415634155,0.21651625633239746,,,-0.05021749166582601
conv1d_rbc_param_gate,2026,True,test,wLW,10,0.9076359868049622,0.18928435444831848,,,-0.14816401204921514
conv1d_rbc_param_gate,2026,True,test,ALL,10,0.7677982449531555,0.10589626431465149,,,
conv1d_rbc_param_gate,2026,True,test,DIMENSION_MEAN,10,0.6046631336212158,0.0022777370177209377,2.2777369022369385,,
conv1d_rbc_param_gate,2026,True,test,CURVATURE_MEAN,10,0.9309335947036743,0.2095148116350174,,,
