group_field,group_value,split,sample_count,baseline_profile_rmse_mean_m,refined_profile_rmse_mean_m,oracle_profile_rmse_mean_m,refined_minus_baseline_rmse_mean_m,refined_minus_oracle_rmse_mean_m,baseline_Er_like_mean,refined_Er_like_mean,oracle_Er_like_mean,baseline_IoU_mean,refined_IoU_mean,oracle_IoU_mean,baseline_Dice_mean,refined_Dice_mean,oracle_Dice_mean,baseline_area_error_mean,refined_area_error_mean,oracle_area_error_mean,feature_residual_before_mean,feature_residual_after_mean,feature_residual_delta_mean,refinement_applied_rate,success_credit_allowed
target_role,already_pass_reference,val,5,0.0002980838427937355,0.00027943822421739554,8.869648107375305e-05,-1.8645618576339973e-05,0.00019074174314364248,1.0246068814665565,0.8657649381593291,0.2936242856302915,0.7273964731978839,0.5433190176087654,0.8888057981233632,0.8363281746893121,0.6861294557318264,0.940442961519065,0.39576876205564804,0.3943368421172414,0.06849298452189065,24.009926680714887,0.6477066892541432,-23.36221999146074,1.0,False
target_role,excluded_negative_control,val,3,0.0005205416515546075,0.0005205416515546075,0.00020118208243571868,0.0,0.0003193595691188888,2.50929634021375,2.50929634021375,0.887815690931507,0.22007065992424882,0.22007065992424882,0.2841283656091474,0.35853834173857496,0.35853834173857496,0.42421568627450984,1.8519855050945828,1.8519855050945828,0.446620680600901,64.50894066012332,64.50894066012332,0.0,0.0,False
target_role,refinement_target,val,16,0.0004864766385254781,0.00023969027578327917,7.288271696281828e-05,-0.00024678636274219905,0.00016680755882046087,2.714192189050351,1.0753221256277223,0.2867847983865308,0.34439908058230184,0.5379936845182778,0.8887132215961628,0.5016796431455282,0.6775940222866812,0.9403074030145209,2.1924083967707997,0.48806574677166625,0.05466412827553514,87.09107852828754,0.4809548375686324,-86.61012369071891,1.0,True
control,rbc_like_smooth_pit,val,5,0.0005079583483337734,0.000203606542793261,4.1923638129086984e-05,-0.0003043518055405124,0.00016168290466417402,4.329065519920614,1.2424476071336223,0.20163205155475464,0.369010880849497,0.4409779722756964,0.9345661240497563,0.5243832821318408,0.5810238771235978,0.9661597472083011,2.2779055947498414,0.9757057227482298,0.02396639584145456,105.67374221065488,0.5403955781269398,-105.13334663252795,1.0,True
control,non_rbc_refinement_target,val,11,0.000476712224976253,0.00025609197259692375,8.695502552360523e-05,-0.00022062025237932928,0.00016913694707331852,1.9801588568365949,0.9993559976704951,0.32549059240097455,0.3332118986426676,0.582091735537633,0.8678709932081659,0.49135980724265865,0.7214895428153554,0.9285563374718936,2.1535460340530532,0.2664112122368647,0.06861764301829903,78.64441321812055,0.45393631913303806,-78.19047689898751,1.0,True
target_role,already_pass_reference,test,5,0.0002793641107582632,0.0005062866425255503,0.00020242541364273283,0.00022692253176728717,0.00030386122888281753,0.4299845955274376,0.7871357105531969,0.32601616726981286,0.6621099822874141,0.43545081411879905,0.8443979720848519,0.7947053529841004,0.5938141222695646,0.9152338178115056,0.4665824301453204,0.48111505920462444,0.07861445353439062,25.469930079497807,0.9046122695368813,-24.565317809960924,1.0,False
target_role,excluded_negative_control,test,4,0.0008452401671976983,0.00083444617751184,0.00039411545241877486,-1.0793989685858266e-05,0.0004403307250930652,2.1975576377925385,2.176567105581648,0.9574631184011827,0.1926044661216233,0.1926044661216233,0.17073091508420496,0.32103693048823967,0.32103693048823967,0.2616456426688808,3.323058798508335,3.323058798508335,0.28156955671406303,86.37951243577828,86.37951243577828,0.0,0.0,False
target_role,refinement_target,test,15,0.0004392242369111867,0.0002684629966484331,0.0001066450289133984,-0.00017076124026275347,0.0001618179677350347,1.353005489115917,0.7406982479227392,0.27365565817384246,0.36203308495549186,0.6106368396778639,0.9059531394156441,0.5278311381383355,0.7400878497901217,0.9500817355331799,1.734792203160004,0.4695016678955701,0.056575586236205136,52.28299546327455,0.7151008146596111,-51.567894648614946,1.0,True
control,rbc_like_smooth_pit,test,5,0.0004559095193007104,0.000213335096149361,5.031332102122776e-05,-0.00024257442315134942,0.00016302177512813324,1.9369243475823708,0.8397277494998969,0.2001369903819603,0.3446061433047742,0.5192866966591542,0.9353252908756851,0.507809524538243,0.6461482258154516,0.9665513521485931,2.0594652540607776,0.5615096915392663,0.03494344056639135,45.90595860826103,0.6462116797306257,-45.259746928530404,1.0,True
control,non_rbc_refinement_target,test,10,0.0004308815957164248,0.00029602694689796923,0.0001348108828594837,-0.00013485464881845554,0.00016121606403848553,1.06104605988269,0.6911834971341604,0.3104149920697837,0.37074655578085075,0.6563119111872187,0.8912670636856237,0.5378419449383817,0.7870576617774567,0.9418469272254733,1.5724556777096177,0.4234976560737218,0.06739165907111203,55.47151389078131,0.7495453821241038,-54.7219685086572,1.0,True
shape_type,asymmetric_corrosion,all,16,0.00047975019436148495,0.0001732450732001103,7.305768088976471e-05,-0.00030650512116137466,0.00010018739231034558,3.086084566252422,0.7457138735937503,0.3222721925081061,0.4210122662136537,0.613500840909377,0.9478157662770268,0.5591292713575559,0.7323359640033564,0.9731884356863416,2.1410791404731793,0.39961141474896167,0.02261257113469979,94.73450365208919,0.5234545915578523,-94.21104906053134,1.0,False
shape_type,elongated_crack_like_surface_defect,all,16,0.0004978291595028021,0.0003046729528887464,0.00010605021444061776,-0.0001931562066140557,0.00019862273844812862,1.9071212558649484,1.0267855339315766,0.30903202497230386,0.31034970697732434,0.6048385558818912,0.853598694928803,0.4720649636862832,0.7364219595740735,0.9209788156890242,1.8475272776662632,0.3855139126802902,0.10996044354288137,16.313212522094496,0.6112314532565972,-15.701981068837897,1.0,True
shape_type,flat_bottom_pit,all,16,0.00040448075825141573,0.00029735785960064494,9.562374974294125e-05,-0.00010712289865077076,0.00020173410985770368,1.5523397233284277,0.8048813968300026,0.24391217950207894,0.4235342179058014,0.51944318839388,0.9110272700156351,0.571939140615269,0.6572312468827648,0.9534184325488283,1.8438166574427548,0.4137963307435131,0.09777316215727626,47.60105929847262,0.7091149246440237,-46.89194437382859,1.0,False
shape_type,irregular_corrosion_non_rbc,all,16,0.0004553191161735761,0.00023503100238965748,0.00011839952586880639,-0.00022028811378391866,0.00011663147652085109,2.0653463969210524,0.8965541104714101,0.39540491433477976,0.44488014257034547,0.5863865089522914,0.8137953722615016,0.5978387932465905,0.7166011215026851,0.8973080685328433,1.582393925560754,0.4193304268728083,0.01913876330085095,59.7891189949745,0.48313813312990445,-59.305980861844596,1.0,False
shape_type,multi_pit_two_component_surface_defect,all,16,0.0007183633569005014,0.000707711936309516,0.00028126370737191405,-1.0651420590985396e-05,0.00042644822893760196,2.7936654989702503,2.7718325828367405,0.9186959225628002,0.2024194458689453,0.2024194458689453,0.22804941108398244,0.33422720299978764,0.33422720299978764,0.34303849580876594,3.173946032875568,3.173946032875568,0.3670852982063319,82.12331600328562,82.12331600328562,0.0,0.0,False
shape_type,rbc_like_smooth_pit,all,24,0.0005011810231545006,0.00016519893431601588,4.089406676058101e-05,-0.00033598208883848477,0.00012430486755543488,3.6380501855799143,0.9170784367088456,0.20587309157387704,0.3467146514673433,0.5551283321622771,0.933662999355637,0.49355620883261464,0.6897547432153187,0.9656262234493874,2.591852149512013,0.6398801558634992,0.023727127598888082,96.96658157833303,0.5604883829954823,-96.40609319533753,1.0,False
shape_type,sharp_wall_boxy_corrosion,all,16,0.000370406391981249,0.0003376412355889493,0.0001271319868667392,-3.276515639229969e-05,0.0002105092487222101,1.1905161597133722,0.877261689139837,0.30477162079366915,0.4767242501148736,0.5608130887232949,0.8463962001433251,0.6314647302901455,0.7061002172064509,0.916778543044861,1.3500198736151274,0.33154606178602475,0.13154698739466417,49.880862386185136,0.7240672939614875,-49.156795092223646,1.0,False
