candidate,split,group_type,group,feature_representation,distance,retrieval_mode,threshold,neighbor_k,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite
current_grid_decoder_baseline_mean,test,signal_bin,non_low_signal,current_baseline,current_baseline,current_baseline,0.9,,133,0.3800022356348595,0.5291216466001966,0.24439509635508574,1.1918649761435718,0.0,76.0,56.666666666666664,0.6647287858799703
current_grid_decoder_baseline_std,test,signal_bin,non_low_signal,current_baseline,current_baseline,current_baseline,0.9,,133,0.0036380193709591615,0.003599226192814264,0.002877223928219862,0.023259170788636128,0.0,12.288205727444508,11.930353445448853,0.004771987288949685
exemplar_shape_retrieval,test,overall,all,stats_plus_shape,cosine,top1,binary,1,200,0.2760177881087892,0.39968732746247343,0.319550339172731,1.4979719155654312,0,110,90,0.35615477639853155
exemplar_shape_retrieval,test,area_bin,small,stats_plus_shape,cosine,top1,binary,1,67,0.22501728497233953,0.3316721334146564,0.42283985264739893,1.4940897734529937,0,28,39,0.133849565739597
exemplar_shape_retrieval,test,area_bin,medium,stats_plus_shape,cosine,top1,binary,1,66,0.2734344081028794,0.39333763043098485,0.24871178551085524,1.571628948391387,0,33,33,0.418060253023009
exemplar_shape_retrieval,test,area_bin,large,stats_plus_shape,cosine,top1,binary,1,67,0.3295631133406127,0.47395744694429415,0.28604208751423893,1.4292963835508077,0,49,18,0.517478472770668
exemplar_shape_retrieval,test,signal_bin,low_signal,stats_plus_shape,cosine,top1,binary,1,67,0.24339396037374528,0.3555629517519228,0.389846178623652,1.5046444154942213,0,36,31,0.20911073350201614
exemplar_shape_retrieval,test,signal_bin,non_low_signal,stats_plus_shape,cosine,top1,binary,1,133,0.2924523479452399,0.4219153964294425,0.28413814937414666,1.4946105810148376,0,74,59,0.43022959500053565
exemplar_shape_retrieval,test,defect_type,multi_defect,stats_plus_shape,cosine,top1,binary,1,62,0.28249413777920956,0.4223965491011319,0.34384063563448825,1.5468855252669704,0,36,26,0.36105005124585327
exemplar_shape_retrieval,test,defect_type,polygon,stats_plus_shape,cosine,top1,binary,1,75,0.2511778073386045,0.3595779023675509,0.31333042423574387,1.4947844259937604,0,33,42,0.29742528547041147
exemplar_shape_retrieval,test,defect_type,rotated_rect,stats_plus_shape,cosine,top1,binary,1,63,0.29921564331827794,0.4250878852485427,0.3030502636115416,1.453629342809556,0,41,22,0.4212532649552791
