source_index,sample_id,split,defect_type,angle_deg,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,notes
30,sample_038,train,rotated_rect,-30.0,0.8,0.9910394265232975,0.9954995499549955,0.008960573476702509,0.09573066277194467,553,558,0,0.0015835986705496907,0.0040985941886901855,0.0056821927428245544,0.0,1.0,0.06778550148010254,rotated_rect_pilot_v3_training_gate_only
31,sample_040,train,rotated_rect,-10.0,0.8,0.95929203539823,0.979223125564589,0.023214285714285715,0.4182657034770448,547,560,0,0.0063127740286290646,0.02532339096069336,0.03163616359233856,0.0,1.0,0.06867292523384094,rotated_rect_pilot_v3_training_gate_only
32,sample_041,val,rotated_rect,10.0,0.8,0.7582417582417582,0.8625,0.0,1.7159383568311697,240,240,0,0.06327129155397415,0.14312881231307983,0.2064000964164734,0.0,1.0,0.030293693765997887,rotated_rect_pilot_v3_training_gate_only
33,sample_042,val,rotated_rect,30.0,0.8,0.6775193798449612,0.8077634011090573,0.003703703703703704,2.385534654656622,542,540,0,0.15574464201927185,0.19935131072998047,0.3550959527492523,0.0,1.0,0.06916750967502594,rotated_rect_pilot_v3_training_gate_only
34,sample_043,val,rotated_rect,20.0,0.8,0.9858407079646018,0.9928698752228164,0.0035587188612099642,0.13240332735757865,560,562,0,0.005118072032928467,0.02550417184829712,0.030622243881225586,0.0,1.0,0.07067430019378662,rotated_rect_pilot_v3_training_gate_only
35,sample_045,val,rotated_rect,-20.0,0.8,0.7929373996789727,0.8845120859444942,0.005357142857142857,2.5166392575904055,557,560,0,0.1029476746916771,0.11605674028396606,0.21900442242622375,0.0,1.0,0.07007182389497757,rotated_rect_pilot_v3_training_gate_only
36,sample_046,val,rotated_rect,-10.0,0.8,0.62,0.7654320987654321,0.025,4.321517969348938,246,240,0,0.1636747419834137,0.23663204908370972,0.4003067910671234,0.0,1.0,0.031193088740110397,rotated_rect_pilot_v3_training_gate_only
37,sample_047,val,rotated_rect,10.0,0.8,0.685214626391097,0.8132075471698114,0.03339517625231911,4.71162674972826,521,539,0,0.09890101850032806,0.18922877311706543,0.2881298065185547,0.0,1.0,0.06871277093887329,rotated_rect_pilot_v3_training_gate_only
38,sample_048,val,rotated_rect,30.0,0.8,0.5523809523809524,0.7116564417177914,0.0375,0.7459704359937269,581,560,0,0.2723003625869751,0.2844389081001282,0.5567392706871033,0.0,1.0,0.07476656138896942,rotated_rect_pilot_v3_training_gate_only
39,sample_050,val,rotated_rect,-30.0,0.8,0.7068702290076336,0.8282647584973166,0.0,2.819334970857554,559,559,0,0.20440460741519928,0.16797053813934326,0.37237513065338135,0.0,1.0,0.06937961280345917,rotated_rect_pilot_v3_training_gate_only
40,sample_051,test,rotated_rect,-20.0,0.8,0.5138121546961326,0.6788321167883211,0.27385892116182575,5.695583288538995,307,241,0,0.14274132251739502,0.3359668254852295,0.4787081480026245,0.0,1.0,0.04009229317307472,rotated_rect_pilot_v3_training_gate_only
41,sample_052,test,rotated_rect,-10.0,0.8,0.7245222929936306,0.840258541089566,0.00927643784786642,2.670937697589662,544,539,0,0.13075442612171173,0.15922123193740845,0.289975643157959,0.0,1.0,0.06951440125703812,rotated_rect_pilot_v3_training_gate_only
42,sample_053,test,rotated_rect,10.0,0.8,0.5509065550906556,0.710431654676259,0.017825311942959002,6.029952150322445,551,561,0,0.5753389596939087,0.28626227378845215,0.8616012334823608,0.0,1.0,0.06864903122186661,rotated_rect_pilot_v3_training_gate_only
43,sample_055,test,rotated_rect,20.0,0.8,0.8631756756756757,0.9265639165911151,0.0338680926916221,1.0348161317028206,542,561,0,0.036811091005802155,0.08117258548736572,0.11798367649316788,0.0,1.0,0.06922407448291779,rotated_rect_pilot_v3_training_gate_only
44,sample_056,test,rotated_rect,-30.0,0.8,0.6375838926174496,0.7786885245901639,0.03333333333333333,3.6760449124967844,248,240,0,0.08046369254589081,0.20976132154464722,0.2902250289916992,0.0,1.0,0.03214482590556145,rotated_rect_pilot_v3_training_gate_only
45,sample_057,test,rotated_rect,-20.0,0.8,0.8457538994800693,0.9164319248826291,0.027777777777777776,1.3991412980403652,525,540,0,0.04119369387626648,0.09287285804748535,0.13406655192375183,0.0,1.0,0.06809311360120773,rotated_rect_pilot_v3_training_gate_only
46,sample_058,test,rotated_rect,-10.0,0.8,0.7402799377916018,0.8507596067917784,0.0053475935828877,3.153934125675879,558,561,0,0.17432034015655518,0.14994549751281738,0.32426583766937256,0.0,1.0,0.06865380704402924,rotated_rect_pilot_v3_training_gate_only
47,sample_060,test,rotated_rect,30.0,0.8,0.7663398692810458,0.8677150786308974,0.06964285714285715,1.9931415273211945,521,560,0,0.03714798390865326,0.14140796661376953,0.1785559505224228,0.0,0.9999790191650391,0.07432366907596588,rotated_rect_pilot_v3_training_gate_only
