normalized_param_mae_mean,dimension_param_mae_norm,curvature_param_mae_norm,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,curvature_mae_mean,projected_mask_iou,projected_mask_dice,projected_mask_area_error,projected_mask_center_error_px,profile_depth_rmse_m,volume_proxy_rel_error,sample_count,er_like_profile_error,max_depth_error_m,strategy,perturbation_name,perturbation_category,severity,affected_axis,split,profile_rmse_degradation_pct_vs_20_85,dice_drop_vs_20_85,clean_performance_drop_vs_20_85_pct
0.8806148782754556,0.817742469219061,0.9434872995584439,4.849597414334615,3.0261173217724533,1.5214327764816773,0.21526523583974594,0.21725905400056106,0.18859546918135422,0.20703991865500426,0.60699965355582,0.7374209989066114,0.8445669657657014,0.0,0.0007499633028577918,2.5381323330768972,39,0.8849692134520947,0.001521432787203827,per_sample_rms_normalization,channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,val,93.4206183206121,0.11030600109338862,
0.8820710976918539,0.8242849975060194,0.9398572032268231,4.4672337831595,2.8427302350218477,1.7077606809444916,0.21854022527352357,0.2141647919630393,0.1863198540149591,0.20634162368682715,0.626846055308697,0.7498459353087734,0.7921856488000748,0.0,0.0008428552738713244,2.894326584866233,39,1.1202970513930688,0.0017077606828071368,per_sample_rms_normalization,channel_attenuation_Bx_50pct,channel_attenuation_dropout,50pct,Bx,test,117.37808717541128,0.0978810646912266,
0.70309068483335,0.5242608987300852,0.8819204659005742,2.122582647903466,2.1065696298064274,1.1615867485395737,0.199195126692454,0.19560475481881034,0.1848338971167435,0.19321125973429945,0.7451802349032458,0.845254057957452,0.3574966244694948,0.0,0.0005540693373741642,0.6502211716728443,162,0.4137383102680798,0.0011615867526730361,per_sample_rms_normalization,combined_light,combined,noise5_gain10_jitter1,all,train,42.898237045771815,0.0024729420425479987,
0.761532451861944,0.5781226244110328,0.944942268041464,2.3889089219081097,2.1752083958723607,1.3192571312762225,0.2120322157175113,0.21059157603826278,0.1983526425483899,0.20699214323973045,0.7295137817783673,0.8327260797621039,0.4298940355074488,0.0,0.0006077630387153476,0.8468771628885795,39,0.4461933821439743,0.0013192571365298368,per_sample_rms_normalization,combined_light,combined,noise5_gain10_jitter1,all,val,56.74620650475649,0.01500092023789612,
0.7184625932803521,0.49423995069586313,0.942685237297645,2.1022664266519056,2.20864581851623,0.9945062580399024,0.2171898331397619,0.20468704517071062,0.1978080975703704,0.20656165824486658,0.729618167908175,0.8344512213521724,0.41875384551921013,0.0,0.0004931008912442336,0.7039475145390611,39,0.4149993995252328,0.000994506262195034,per_sample_rms_normalization,combined_light,combined,noise5_gain10_jitter1,all,test,27.174061604704637,0.013275778647827585,
0.7046951135551488,0.5326643716313957,0.876725850097927,2.275087264124994,2.178651521097363,1.1380362182303712,0.19787322444680297,0.19466453827457664,0.18368348883993832,0.19207375114898623,0.7361713074633408,0.8381430766681444,0.38709882786472927,0.0,0.0005410174267631697,0.7426903220009025,162,0.4346434407993967,0.0011380362154823946,per_sample_rms_normalization,combined_hard,combined,noise15_gain20_jitter2_drift2,all,train,39.53206084618433,0.009583923331855648,
0.7635897611960386,0.5783039637101002,0.9488755663235983,2.578296789374107,2.1858164373880777,1.2698824184063153,0.213255688166007,0.21123308096176538,0.1990924997207446,0.20786042358630744,0.7244041478730617,0.8276573504068276,0.46187166672905516,0.0,0.0005859787438217049,0.9601293678537047,39,0.4639913783623622,0.001269882413534782,per_sample_rms_normalization,combined_hard,combined,noise15_gain20_jitter2_drift2,all,val,51.12788921916271,0.020069649593172367,
0.7220312177370756,0.5110554334062797,0.933007015631749,2.301317585584445,2.248532281663173,1.0089405537224734,0.21357025244297126,0.20447624493867922,0.1952826182047526,0.20444303980240455,0.7241328599845236,0.8278075060874406,0.45787417352183,0.0,0.0004921148446066162,0.871324900775613,39,0.45546750036569744,0.0010089405501882236,per_sample_rms_normalization,combined_hard,combined,noise15_gain20_jitter2_drift2,all,test,26.919753494408894,0.019919493912559427,
0.699419706048053,0.5140286518927709,0.8848107720230832,2.104304058132348,2.110108800370384,1.11805003511225,0.20035836358129241,0.1960384930357521,0.18518016441368762,0.19385900672663142,0.7463538977850963,0.845670160862837,0.363884692720631,0.0,0.0005321130425547807,0.6960391305420381,162,0.4207945322088989,0.001118050030875307,per_axis_rms_train_stats,clean,additive_noise,0pct,all,train,37.23555981368318,0.0020568391371630357,37.23555981368318
0.7598445468988174,0.5734721105068158,0.9462169874937106,2.399102982420188,2.234526231407355,1.2753129155398943,0.21211370596518883,0.21184547130878156,0.197921049900544,0.20729340746616706,0.7300352789094986,0.8323168263800329,0.44753755299090003,0.0,0.0005962850347994111,0.9397133087829599,39,0.4617974041746213,0.0012753129166622574,per_axis_rms_train_stats,clean,additive_noise,0pct,all,val,53.7859515082159,0.015410173619967105,53.7859515082159
0.7116588445810171,0.48429833562710345,0.9390193537259713,2.0442472035304093,2.1653085950857553,0.9780027679143808,0.2157505689523159,0.20526051215636423,0.19631957854980078,0.20577688706226838,0.7377936448890423,0.8401281722053157,0.4049480435323009,0.0,0.0004699158167708307,0.7284050844296015,39,0.4202327693884189,0.000978002769466585,per_axis_rms_train_stats,clean,additive_noise,0pct,all,test,21.194473772384566,0.0075988277946843485,21.194473772384566
0.6994197067839129,0.5140286500991127,0.8848107716551533,2.104304049210048,2.110108729543877,1.1180500460581646,0.20035836284543262,0.1960384945074717,0.185180162941968,0.1938590065886577,0.7463538977850963,0.845670160862837,0.363884692720631,0.0,0.0005321130458783663,0.6960391340086264,162,0.42079453510634696,0.0011180500423731167,per_axis_rms_train_stats,gain_scaling_0.8x,gain_scaling,0.8x,all,train,37.23556067085842,0.0020568391371630357,
0.759844530851413,0.5734720996175057,0.9462169821445758,2.3991028112478747,2.2345261618686028,1.2753129156354146,0.21211369985189193,0.2118454682521331,0.19792105601384088,0.20729340689304548,0.7300352789094986,0.8323168263800329,0.44753755299090003,0.0,0.0005962850381575453,0.9397133146068418,39,0.4617974076133508,0.001275312922632274,per_axis_rms_train_stats,gain_scaling_0.8x,gain_scaling,0.8x,all,val,53.78595237430147,0.015410173619967105,
0.7116588491659898,0.484298339065833,0.9390193567826197,2.044247174492249,2.1653085274574084,0.9780028061224864,0.2157505689523159,0.2052605090997158,0.19631957854980078,0.20577688629810625,0.7377936448890423,0.8401281722053157,0.4049480435323009,0.0,0.0004699158302966493,0.7284050657252336,39,0.42023278333437747,0.000978002805286684,per_axis_rms_train_stats,gain_scaling_0.8x,gain_scaling,0.8x,all,test,21.194477260784844,0.0075988277946843485,
0.6994197095433871,0.5140286521687184,0.8848107747825575,2.1043040559247688,2.11010877272965,1.1180500429882496,0.20035836431715223,0.19603849156403247,0.1851801636778278,0.19385900557685046,0.7463538977850963,0.845670160862837,0.363884692720631,0.0,0.0005321130454966031,0.6960391304644872,162,0.42079453395656596,0.0011180500387800512,per_axis_rms_train_stats,gain_scaling_0.9x,gain_scaling,0.9x,all,train,37.2355605723991,0.0020568391371630357,
0.7598445415496826,0.5734721112709779,0.9462169790879275,2.399102794436308,2.23452632005016,1.2753129366498728,0.21211370138021615,0.2118454682521331,0.19792105295719245,0.20729340670200494,0.7300352789094986,0.8323168263800329,0.44753755299090003,0.0,0.0005962850431947467,0.9397133684718048,39,0.4617974190757825,0.0012753129375573152,per_axis_rms_train_stats,gain_scaling_0.9x,gain_scaling,0.9x,all,val,53.785953673429866,0.015410173619967105,
0.7116588411422876,0.4842983277944418,0.9390193521976471,2.0442471561523585,2.165308539110881,0.978002728177951,0.21575056742399168,0.20526051215636423,0.19631958160644922,0.2057768864891468,0.7377936448890423,0.8401281722053157,0.4049480435323009,0.0,0.0004699158053904867,0.7284050345884262,39,0.4202327611736762,0.0009780027306614779,per_axis_rms_train_stats,gain_scaling_0.9x,gain_scaling,0.9x,all,test,21.194470837316725,0.0075988277946843485,
0.6994197085315799,0.5140286532265169,0.8848107725749781,2.104304046910486,2.1101088045095957,1.1180500315364312,0.200358361373713,0.1960384941395418,0.1851801636778278,0.19385900571482417,0.7463538977850963,0.845670160862837,0.363884692720631,0.0,0.000532113043520417,0.6960391284462537,162,0.42079453023127567,0.0011180500265636287,per_axis_rms_train_stats,gain_scaling_1.1x,gain_scaling,1.1x,all,train,37.23556006272734,0.0020568391371630357,
