model,observation_config,seed,selected_model,split,sample_count,center_xyz_error_mean_mm,center_xyz_error_median_mm,center_xyz_error_p90_mm,center_xyz_error_p95_mm,center_xyz_error_max_mm,burial_depth_error_mean_mm,burial_depth_error_median_mm,burial_depth_error_p90_mm,burial_depth_error_p95_mm,burial_depth_error_max_mm,catastrophic_failure_count,catastrophic_failure_rate,geometry_branch_failure_count,geometry_branch_failure_rate,shape_misclassified_count,full_shift_failure_count
O2_richer_observation_feature_fusion,R1_plus_R2_combined,2026,False,test,5,3.0766568183898926,2.802124500274658,4.802335262298584,5.305438995361328,5.808542251586914,0.4850636422634125,0.5795632600784302,0.8408167362213135,0.8736006021499634,0.9063845276832581,0,0.0,0,0.0,1,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,42,False,train,20,2.286770820617676,2.127140522003174,4.347604751586914,4.545557498931885,5.3732075691223145,0.2431308925151825,0.14736407995224,0.5110296010971069,0.7216579914093018,0.8197535872459412,4,0.2,0,0.0,0,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,42,False,val,5,3.251441478729248,2.547455072402954,5.178135395050049,5.945590496063232,6.713045597076416,1.2545044422149658,1.307818055152893,1.4656215906143188,1.5052980184555054,1.5449743270874023,1,0.2,0,0.0,3,1
O3_richer_observation_tail_aware,R1_plus_R2_combined,42,False,test,5,3.2817649841308594,2.3862314224243164,5.4717206954956055,5.852144718170166,6.232568264007568,0.6190357208251953,0.5478807687759399,0.9572591781616211,1.0030943155288696,1.0489295721054077,2,0.4,0,0.0,3,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,123,False,train,20,3.41685152053833,3.2606136798858643,5.544252872467041,6.146299362182617,7.982914447784424,0.3023650050163269,0.26322364807128906,0.6484467387199402,0.6948683261871338,0.9184528589248657,5,0.25,0,0.0,0,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,123,False,val,5,4.550649642944336,3.8452696800231934,7.2414751052856445,7.8584794998168945,8.475483894348145,1.1958653926849365,0.9099705815315247,1.9701077938079834,2.0549685955047607,2.139829635620117,3,0.6,0,0.0,3,1
O3_richer_observation_tail_aware,R1_plus_R2_combined,123,False,test,5,3.489262819290161,3.616225481033325,3.871782064437866,3.949276924133301,4.026771545410156,0.4863068461418152,0.3934251666069031,0.8818842768669128,0.9363221526145935,0.9907600283622742,3,0.6,0,0.0,2,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,False,train,20,4.762854099273682,4.128105163574219,7.217072486877441,9.934758186340332,12.67892837524414,0.65252286195755,0.47462666034698486,1.038422703742981,1.195019006729126,2.180332660675049,10,0.5,0,0.0,1,3
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,False,val,5,3.1080687046051025,2.6387128829956055,5.071479320526123,5.247123718261719,5.422768592834473,0.7037678956985474,0.5599023103713989,1.2256362438201904,1.3731367588043213,1.5206371545791626,2,0.4,0,0.0,2,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,False,test,5,4.757526874542236,4.179850101470947,7.096642017364502,7.313927173614502,7.531211853027344,0.8789318203926086,0.5665863752365112,1.7518723011016846,1.9661024808883667,2.180332660675049,4,0.8,1,0.2,1,2
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,train,20,4.762854099273682,4.128105163574219,7.217072486877441,9.934758186340332,12.67892837524414,0.65252286195755,0.47462666034698486,1.038422703742981,1.195019006729126,2.180332660675049,10,0.5,0,0.0,1,3
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,val,5,3.1080687046051025,2.6387128829956055,5.071479320526123,5.247123718261719,5.422768592834473,0.7037678956985474,0.5599023103713989,1.2256362438201904,1.3731367588043213,1.5206371545791626,2,0.4,0,0.0,2,0
O3_richer_observation_tail_aware,R1_plus_R2_combined,2026,True,test,5,4.757526874542236,4.179850101470947,7.096642017364502,7.313927173614502,7.531211853027344,0.8789318203926086,0.5665863752365112,1.7518723011016846,1.9661024808883667,2.180332660675049,4,0.8,1,0.2,1,2
