analysis_type,candidate,seed,selected_seed,split,liftoff_subset,sensor_z_m,metric,value,reference_candidate,reference_value,delta_vs_reference,relative_change_pct_vs_reference,improved_vs_reference,notes,best_val_selection_metric,val_nominal_profile_depth_rmse_m,val_non_nominal_profile_depth_rmse_m,val_nominal_normalized_param_mae,val_non_nominal_normalized_param_mae,test_nominal_profile_depth_rmse_m,test_non_nominal_profile_depth_rmse_m
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,nominal_0p008,,normalized_param_mae,0.9315005168318748,C0_reference_20_85_baseline,0.7085845693945885,0.22291594743728638,31.45932850721612,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,nominal_0p008,,L_mae_mm,2.6022093445062637,C0_reference_20_85_baseline,1.8778077894821763,0.7244015550240874,38.57698104574634,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,nominal_0p008,,W_mae_mm,2.265243900939822,C0_reference_20_85_baseline,1.9728609323501587,0.2923829685896635,14.820252344972134,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,nominal_0p008,,D_mae_mm,1.5543463826179504,C0_reference_20_85_baseline,0.6381535693071783,0.9161928133107722,143.56933148637745,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,nominal_0p008,,wMAE_auxiliary,0.2518887761980295,C0_reference_20_85_baseline,0.22658974677324295,0.025299029424786568,11.16512542383671,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,nominal_0p008,,projected_mask_iou,0.6969235827212782,C0_reference_20_85_baseline,0.7387764381632839,-0.041852855442005676,-5.665158399753321,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,nominal_0p008,,projected_mask_dice,0.8114464507690311,C0_reference_20_85_baseline,0.8439570430594017,-0.032510592290370566,-3.8521619740878585,False,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,non_nominal,,profile_depth_rmse_m,0.0005987553395243594,C0_reference_20_85_baseline,0.0008743096853625806,-0.00027555434583822114,-31.51678981160404,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,non_nominal,,er_like_profile_error,0.8070141108085712,C0_reference_20_85_baseline,1.2311995352307956,-0.4241854244222244,-34.453020187561094,True,test-final reporting only; not used for selection,,,,,,,
candidate_subset_metric,C1_unconditioned_liftoff_aug,42,False,test,non_nominal,,normalized_param_mae,0.9203710928559303,C0_reference_20_85_baseline,1.0047665362556775,-0.08439544339974714,-8.399507781603853,True,test-final reporting only; not used for selection,,,,,,,
