seed,group,split,sample_count,iou_mean,dice_mean,area_error_mean,center_error_mean,pred_area_mean,true_area_mean,pred_area_zero_sum,total_loss_mean
42,source_pack=pilot_v9_topup_rotated_rect,val,8,0.6209095841160968,0.7631947157098591,0.12546268164377852,2.7472649862887613,261.0,240.125,0,0.303500859066844
42,source_pack=pilot_v2_rectangular_notch,test,20,0.6861563164333138,0.8110988878229681,0.24913636701805753,1.9243538235997124,329.85,383.25,0,0.26281563118100165
42,source_pack=pilot_v3_rotated_rect,test,9,0.6570266388234219,0.7910829050237675,0.14702250813202675,2.7426933692082605,434.0,484.6666666666667,0,0.2928134517537223
42,source_pack=pilot_v5_polygon,test,9,0.7061933446661884,0.8244417161247084,0.14576451413812824,2.357988254022431,413.22222222222223,408.44444444444446,0,0.2540463109811147
42,source_pack=pilot_v7_topup_polygon,test,8,0.6484808465573884,0.7813929359074919,0.20162345700085674,2.90674468911474,327.875,405.75,0,0.309445396065712
42,source_pack=pilot_v7_topup_rotated_rect,test,8,0.6542802975611217,0.790078546638886,0.2596316900191039,2.9106211423409,299.25,239.125,0,0.26471548341214657
42,source_pack=pilot_v8_topup_polygon,test,8,0.5796480896992584,0.7318875257945259,0.34590437621538705,2.9334645885831643,337.875,425.25,0,0.38044463098049164
42,source_pack=pilot_v8_topup_rotated_rect,test,8,0.6324826573262585,0.7728675537623573,0.18590774175779096,3.0622635479211966,272.625,239.375,0,0.2906856816262007
42,source_pack=pilot_v9_topup_polygon,test,8,0.6488185605005445,0.7839673099189415,0.22285829161952075,2.8648428597762665,375.625,409.25,0,0.30183676071465015
42,source_pack=pilot_v9_topup_rectangular_notch,test,13,0.6414221983322845,0.7800421945261516,0.26975853005333084,2.404703151985215,311.15384615384613,424.7692307692308,0,0.3144487222799888
42,source_pack=pilot_v9_topup_rotated_rect,test,8,0.6471150077061597,0.7834195820768337,0.2625939270960225,1.8972396484520657,301.0,239.125,0,0.2762749958783388
42,source_pack=pilot_v2_rectangular_notch,all,120,0.7199821428520348,0.8345627442395817,0.19174779185194754,1.9831307049637006,412.9583333333333,466.19166666666666,0,0.23297882955521346
42,source_pack=pilot_v3_rotated_rect,all,48,0.6719786023307677,0.8015047352520798,0.15188467654458213,2.344525257624142,421.1875,475.0416666666667,0,0.2793641534323494
42,source_pack=pilot_v5_polygon,all,60,0.6954151757687946,0.8175774012928502,0.16422242908703116,2.517772052445707,376.75,390.56666666666666,0,0.2513546952356895
42,source_pack=pilot_v7_topup_polygon,all,20,0.6515486733801809,0.7847875700568091,0.21246136716006658,2.751030621072524,322.25,392.9,0,0.30509823337197306
42,source_pack=pilot_v7_topup_rotated_rect,all,32,0.7034293382879995,0.824343132509471,0.1434361929610892,2.303506918418548,258.75,239.53125,0,0.22246818989515305
42,source_pack=pilot_v8_topup_polygon,all,40,0.6535149244608379,0.78763549584578,0.24008038170031018,2.6195989134210307,337.425,394.675,0,0.2944747358560562
42,source_pack=pilot_v8_topup_rotated_rect,all,40,0.6738244462900597,0.8029619794193621,0.13205380531438027,2.506274449776382,260.15,239.65,0,0.2491132916882634
42,source_pack=pilot_v9_topup_polygon,all,80,0.6814930842558945,0.808369466691703,0.18706458117870245,2.602808302064091,357.8625,391.875,0,0.2644098186865449
42,source_pack=pilot_v9_topup_rectangular_notch,all,80,0.696976668478834,0.8178861114836093,0.19912572626699016,2.3330078086590746,406.9125,488.8125,0,0.26286434549838306
42,source_pack=pilot_v9_topup_rotated_rect,all,80,0.6702990910117486,0.8003501696055982,0.14272824967116032,2.471994586242597,266.475,239.725,0,0.25205828417092563
123,source_pack=pilot_v2_rectangular_notch,train,81,0.7417142873101599,0.8496166531503536,0.1541957440022611,1.9752726940827128,445.65432098765433,514.1481481481482,0,0.1898361944857939
123,source_pack=pilot_v3_rotated_rect,train,30,0.6732133424091666,0.8023473037520624,0.15584002504583774,2.3572093180602582,405.5,480.06666666666666,0,0.25809488544861475
123,source_pack=pilot_v5_polygon,train,42,0.7260877507355186,0.8391664713765132,0.11203340965776026,2.2905478376846133,367.5238095238095,386.57142857142856,0,0.21985823253080958
123,source_pack=pilot_v7_topup_polygon,train,4,0.7064726313797816,0.8272967274406595,0.173879559591573,1.517707914488978,300.75,363.5,0,0.17977048084139824
123,source_pack=pilot_v7_topup_rotated_rect,train,16,0.7242963064397248,0.838732710790899,0.07566166880726657,2.032671024207207,235.625,239.5,0,0.20912073412910104
123,source_pack=pilot_v8_topup_polygon,train,24,0.6783101731047383,0.8055351152410662,0.20961379233973076,2.6249120554410728,312.2083333333333,385.25,0,0.23796361995240053
123,source_pack=pilot_v8_topup_rotated_rect,train,24,0.6717556104489887,0.8011302487966967,0.10101203123664297,2.554190383781347,252.95833333333334,239.5,0,0.26586909654239815
123,source_pack=pilot_v9_topup_polygon,train,64,0.6810186693175067,0.8080464954478367,0.20319193971095956,2.490630443749225,316.8125,390.703125,0,0.23436241992749274
123,source_pack=pilot_v9_topup_rectangular_notch,train,53,0.630747841951119,0.7686435832999822,0.30245298518656316,2.3684264176787853,370.5660377358491,545.4528301886793,0,0.25648261648866366
123,source_pack=pilot_v9_topup_rotated_rect,train,64,0.6777404347065084,0.8056916279933666,0.09740142306365981,2.5358150594659747,249.890625,239.75,0,0.25385183352045715
123,source_pack=pilot_v2_rectangular_notch,val,19,0.701968231263833,0.8216990925855632,0.17658933983203437,2.1428893890362737,334.4736842105263,349.05263157894734,0,0.25617075750702306
123,source_pack=pilot_v3_rotated_rect,val,9,0.6869937938031571,0.8133172600105552,0.17774170274170276,2.525380294861961,397.6666666666667,448.6666666666667,0,0.2493494533830219
123,source_pack=pilot_v5_polygon,val,9,0.6669399801791864,0.796408189712591,0.20350304355336762,2.841819981071239,388.44444444444446,391.3333333333333,0,0.29212631781895954
123,source_pack=pilot_v7_topup_polygon,val,8,0.6207458574745559,0.7629265298954646,0.2587030344729799,3.08134928594746,299.25,394.75,0,0.2964605242013931
123,source_pack=pilot_v7_topup_rotated_rect,val,8,0.7255791717366786,0.8397347983181627,0.09108751888053612,1.8359166751093086,218.625,240.0,0,0.18614670354872942
123,source_pack=pilot_v8_topup_polygon,val,8,0.6137507555900146,0.7591681191590172,0.2941096876538333,2.8991555628613144,295.625,392.375,0,0.29518338292837143
