scope,group,residual_method,direction_combo,axis_combo,direction_count,axis_count,normalized,base_count,row_count,pair_count,ordering_accuracy,mismatch_rate,expected_rank_ordering_accuracy,expected_rank_pair_count,residual_error_correlation,spearman_residual_error,kendall_residual_error,mean_residual,mean_quality_error
split,test,direction_45_Bz_only,direction_45,Bz,1,1,False,2.0,16.0,55.0,0.43636363636363634,0.5636363636363637,0.9583333333333334,48.0,-0.7006499648018083,-0.22238586156111928,-0.15254237288135594,0.34248487025613417,0.4098974620011195
split,test,direction_45_all_axis_trainstd_normalized,direction_45,Bx+By+Bz,1,3,True,2.0,16.0,55.0,0.4,0.6,0.7708333333333334,48.0,-0.7666450753002026,-0.2974963181148748,-0.2542372881355932,0.5597451424361355,0.4098974620011195
split,test,direction_90_Bz_only,direction_90,Bz,1,1,False,2.0,16.0,55.0,0.5272727272727272,0.4727272727272728,0.6666666666666666,48.0,-0.7231182878124548,-0.1325478645066274,-0.11864406779661017,1.0004733003161557,0.4098974620011195
split,test,direction_90_all_axis_trainstd_normalized,direction_90,Bx+By+Bz,1,3,True,2.0,16.0,55.0,0.4,0.6,0.6458333333333334,48.0,-0.8206553785133653,-0.39322533136966126,-0.2711864406779661,0.8268958134322524,0.4098974620011195
split,test,multi_direction_Bz_trainstd_normalized,direction_0+direction_45+direction_90,Bz,3,1,True,2.0,16.0,55.0,0.5636363636363636,0.4363636363636364,0.75,48.0,-0.7369645479113748,-0.07511045655375552,-0.06779661016949153,0.6010303861701085,0.4098974620011195
split,test,multi_direction_all_axis_trainstd_normalized,direction_0+direction_45+direction_90,Bx+By+Bz,3,3,True,2.0,16.0,55.0,0.34545454545454546,0.6545454545454545,0.6875,48.0,-0.8027815691126765,-0.43888070692194403,-0.3220338983050847,0.6501715791748592,0.4098974620011195
split,train,direction_0_Bz_only,direction_0,Bz,1,1,False,8.0,64.0,224.0,0.45535714285714285,0.5446428571428572,0.5625,192.0,-0.05234384732220941,0.015124439838932755,0.005030181086519115,0.34146466583249946,0.8824214464404083
split,train,direction_0_all_axis_trainstd_normalized,direction_0,Bx+By+Bz,1,3,True,8.0,64.0,224.0,0.5178571428571429,0.4821428571428571,0.5833333333333334,192.0,-0.02700711902552065,0.07058071924835285,0.043259557344064385,0.5494695043603137,0.8824214464404083
split,train,direction_45_Bz_only,direction_45,Bz,1,1,False,8.0,64.0,224.0,0.45982142857142855,0.5401785714285714,0.5572916666666666,192.0,-0.1019201096608711,-0.11384578351487562,-0.079476861167002,0.3609618883008362,0.8824214464404083
split,train,direction_45_all_axis_trainstd_normalized,direction_45,Bx+By+Bz,1,3,True,8.0,64.0,224.0,0.45535714285714285,0.5446428571428572,0.6041666666666666,192.0,-0.005618702096494438,0.12929104480493728,0.09557344064386318,0.6191345692947019,0.8824214464404083
split,train,direction_90_Bz_only,direction_90,Bz,1,1,False,8.0,64.0,224.0,0.5580357142857143,0.4419642857142857,0.578125,192.0,-0.14415086882555395,-0.1564233732432651,-0.11167002012072434,1.054020664245905,0.8824214464404083
split,train,direction_90_all_axis_trainstd_normalized,direction_90,Bx+By+Bz,1,3,True,8.0,64.0,224.0,0.5,0.5,0.5885416666666666,192.0,-0.023977895074131398,0.0923507462892409,0.07645875251509054,0.9394781709426073,0.8824214464404083
split,train,multi_direction_Bz_trainstd_normalized,direction_0+direction_45+direction_90,Bz,3,1,True,8.0,64.0,224.0,0.5446428571428571,0.4553571428571429,0.5833333333333334,192.0,-0.06503322792962517,0.0001833265435022152,0.011066398390342052,0.6599928397503159,0.8824214464404083
split,train,multi_direction_all_axis_trainstd_normalized,direction_0+direction_45+direction_90,Bx+By+Bz,3,3,True,8.0,64.0,224.0,0.48214285714285715,0.5178571428571428,0.6197916666666666,192.0,-0.017232803271140094,0.11357079369962231,0.08651911468812877,0.7251424345044768,0.8824214464404083
split,val,direction_0_Bz_only,direction_0,Bz,1,1,False,2.0,16.0,56.0,0.4642857142857143,0.5357142857142857,0.6041666666666666,48.0,0.05575072056041528,-0.2575423802460513,-0.19327731092436976,0.33954123921824975,0.7062837078398709
split,val,direction_0_all_axis_trainstd_normalized,direction_0,Bx+By+Bz,1,3,True,2.0,16.0,56.0,0.48214285714285715,0.5178571428571428,0.5833333333333334,48.0,0.17571818745405185,0.06033850051478917,0.025210084033613446,0.5795005137545748,0.7062837078398709
split,val,direction_45_Bz_only,direction_45,Bz,1,1,False,2.0,16.0,56.0,0.48214285714285715,0.5178571428571428,0.5416666666666666,48.0,0.001689407152475674,-0.32523923448215625,-0.226890756302521,0.3539350189460828,0.7062837078398709
split,val,direction_45_all_axis_trainstd_normalized,direction_45,Bx+By+Bz,1,3,True,2.0,16.0,56.0,0.39285714285714285,0.6071428571428572,0.5833333333333334,48.0,0.11126919333072251,-0.019131719675420957,-0.025210084033613446,0.5998882277803668,0.7062837078398709
split,val,direction_90_Bz_only,direction_90,Bz,1,1,False,2.0,16.0,56.0,0.44642857142857145,0.5535714285714286,0.6041666666666666,48.0,0.28829149044767577,0.34584262490184037,0.15966386554621848,1.1208492967470143,0.7062837078398709
split,val,direction_90_all_axis_trainstd_normalized,direction_90,Bx+By+Bz,1,3,True,2.0,16.0,56.0,0.4642857142857143,0.5357142857142857,0.6458333333333334,48.0,0.006273046286077893,-0.34584262490184037,-0.21008403361344538,0.891862231765491,0.7062837078398709
split,val,multi_direction_Bz_trainstd_normalized,direction_0+direction_45+direction_90,Bz,3,1,True,2.0,16.0,56.0,0.44642857142857145,0.5535714285714286,0.6041666666666666,48.0,-0.1990982365673402,-0.6372334322659442,-0.42857142857142855,0.6759020699438709,0.7062837078398709
split,val,multi_direction_all_axis_trainstd_normalized,direction_0+direction_45+direction_90,Bx+By+Bz,3,3,True,2.0,16.0,56.0,0.4107142857142857,0.5892857142857143,0.6041666666666666,48.0,0.07363859561128228,-0.2281089653607883,-0.17647058823529413,0.7067690727820864,0.7062837078398709
