gallery_bucket,rank,sample_id,sample_index,split,shape_type,representation_target,target_role,diagnosis,failure_reason,baseline_profile_rmse_m,refined_profile_rmse_m,oracle_profile_rmse_m,profile_rmse_improvement_m,baseline_Dice,refined_Dice,oracle_Dice,Dice_improvement,baseline_IoU,refined_IoU,oracle_IoU,IoU_improvement,feature_residual_before,feature_residual_after,feature_residual_improvement,suitability_flag,preview_path,preview_generated,preview_note
all_degraded_target_rows,6,surf_shape_047_sharp_wall_boxy_corrosion,46,train,sharp_wall_boxy_corrosion,polygon_or_contour,refinement_target,rbc_representable_but_model_fail,profile_rmse_not_improved|er_like_not_improved,0.00043140673289178704,0.00048108724581781895,0.00021113086825279086,-4.9680512926031915e-05,0.5903614457831325,0.7159090909090909,0.9133192389006343,0.1255476451259584,0.4188034188034188,0.5575221238938053,0.8404669260700389,0.13871870509038647,60.73885975490522,0.44578128329217764,60.29307847161304,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\all_degraded_target_rows_06_surf_shape_047_sharp_wall_boxy_corrosion.png,True,preview generated
all_degraded_target_rows,7,surf_shape_029_flat_bottom_pit,28,train,flat_bottom_pit,polygon_or_contour,refinement_target,rbc_representable_but_model_fail,profile_rmse_not_improved|dice_not_improved|er_like_not_improved,0.0002843868398951472,0.00032431019063950724,7.762369041606704e-05,-3.992335074436002e-05,0.45355850422195415,0.1477832512315271,0.9447236180904522,-0.30577525299042707,0.29329173166926675,0.0797872340425532,0.8952380952380953,-0.21350449762671356,15.128920371439134,0.5129791743973234,14.615941197041812,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\all_degraded_target_rows_07_surf_shape_029_flat_bottom_pit.png,True,preview generated
all_degraded_target_rows,8,surf_shape_053_sharp_wall_boxy_corrosion,52,val,sharp_wall_boxy_corrosion,polygon_or_contour,refinement_target,rbc_representable_but_model_fail,profile_rmse_not_improved|er_like_not_improved,0.00026812982636753856,0.0003023904117035463,0.00010562940262126643,-3.426058533600773e-05,0.5475,0.6875,0.9191489361702128,0.14,0.3769363166953528,0.5238095238095238,0.8503937007874016,0.146873207114171,7.097768556666476,0.44441481030985325,6.653353746356623,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\all_degraded_target_rows_08_surf_shape_053_sharp_wall_boxy_corrosion.png,True,preview generated
all_degraded_target_rows,9,surf_shape_086_elongated_crack_like_surface_defect,85,test,elongated_crack_like_surface_defect,polygon_or_contour,refinement_target,rbc_representable_but_model_fail,profile_rmse_not_improved|er_like_not_improved,0.00040491627495931363,0.00041990057261451577,0.00011708935720932167,-1.498429765520214e-05,0.5071982281284607,0.7145038167938931,0.9205702647657841,0.20730558866543236,0.3397626112759644,0.5558194774346793,0.8528301886792453,0.2160568661587149,17.40824163404613,0.4706389457077624,16.93760268833837,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\all_degraded_target_rows_09_surf_shape_086_elongated_crack_like_surface_defect.png,True,preview generated
all_degraded_target_rows,10,surf_shape_027_flat_bottom_pit,26,train,flat_bottom_pit,polygon_or_contour,refinement_target,rbc_representable_but_model_fail,dice_not_improved,0.00038489836604100886,0.00027058121381327393,7.772328842244177e-05,0.00011431715222773493,0.5714285714285714,0.5551330798479087,0.9569620253164557,-0.01629549158066268,0.4,0.38421052631578945,0.9174757281553398,-0.015789473684210575,88.64055879960196,0.8641784263323669,87.77638037326959,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\all_degraded_target_rows_10_surf_shape_027_flat_bottom_pit.png,True,preview generated
all_degraded_target_rows,11,surf_shape_016_rbc_like_smooth_pit,15,val,rbc_like_smooth_pit,six_param_rbc,refinement_target,rbc_representable_but_model_fail,dice_not_improved,0.0004720432842972136,0.0003461477020098763,7.532397375957961e-05,0.00012589558228733733,0.5903698534542917,0.561344537815126,0.9649532710280374,-0.02902531563916566,0.4188118811881188,0.3901869158878505,0.9322799097065463,-0.028624965300268312,135.71039923670028,0.3896987495302258,135.32070048717006,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\all_degraded_target_rows_11_surf_shape_016_rbc_like_smooth_pit.png,True,preview generated
all_degraded_target_rows,12,surf_shape_022_rbc_like_smooth_pit,21,test,rbc_like_smooth_pit,six_param_rbc,refinement_target,rbc_representable_but_model_fail,dice_not_improved,0.00034394969476863875,0.00018764440076483814,3.937662535724862e-05,0.0001563052940038006,0.49627263045793396,0.1796875,0.9665271966527197,-0.31658513045793396,0.330028328611898,0.09871244635193133,0.9352226720647774,-0.2313158822599667,29.19058875538277,1.0946448257091286,28.09594392967364,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\all_degraded_target_rows_12_surf_shape_022_rbc_like_smooth_pit.png,True,preview generated
all_degraded_target_rows,13,surf_shape_050_sharp_wall_boxy_corrosion,49,train,sharp_wall_boxy_corrosion,polygon_or_contour,refinement_target,rbc_representable_but_model_fail,dice_not_improved,0.000361708057690303,0.00019439111816323715,5.8140642233095266e-05,0.00016731693952706583,0.5915768854064642,0.47413793103448276,0.9230769230769231,-0.11743895437198149,0.4200278164116829,0.3107344632768362,0.8571428571428571,-0.10929335313484673,21.540373059687624,0.6019158111545962,20.938457248533027,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\all_degraded_target_rows_13_surf_shape_050_sharp_wall_boxy_corrosion.png,True,preview generated
all_degraded_target_rows,14,surf_shape_113_irregular_corrosion_non_rbc,112,train,irregular_corrosion_non_rbc,depth_grid,refinement_target,rbc_representable_but_model_fail,dice_not_improved,0.00041683517913459215,0.00011355286905787484,4.63571982025964e-05,0.00030328231007671733,0.46120218579234973,0.0990990990990991,0.8915094339622641,-0.36210308669325064,0.2997159090909091,0.052132701421800945,0.8042553191489362,-0.24758320766910819,20.978118696822616,0.49420016829575475,20.48391852852686,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\all_degraded_target_rows_14_surf_shape_113_irregular_corrosion_non_rbc.png,True,preview generated
all_degraded_target_rows,15,surf_shape_057_asymmetric_corrosion,56,train,asymmetric_corrosion,profile_basis,refinement_target,rbc_representable_but_model_fail,dice_not_improved,0.00040873484645149983,8.810994418331779e-05,3.2010818629399295e-05,0.00032062490226818203,0.43097643097643096,0.10837438423645321,0.9746192893401016,-0.3226020467399777,0.27467811158798283,0.057291666666666664,0.9504950495049505,-0.21738644492131617,35.234080736851894,0.42496022569756686,34.809120511154326,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\all_degraded_target_rows_15_surf_shape_057_asymmetric_corrosion.png,True,preview generated
all_degraded_target_rows,16,surf_shape_108_irregular_corrosion_non_rbc,107,train,irregular_corrosion_non_rbc,depth_grid,refinement_target,rbc_representable_but_model_fail,dice_not_improved,0.0006208454758160675,0.00022894423719097085,0.00011064042216033262,0.0003919012386250966,0.7349152542372881,0.5971685971685972,0.8966756513926325,-0.13774665706869094,0.5809217577706324,0.42568807339449544,0.8127035830618893,-0.15523368437613694,12.257318871859091,0.3454573499827957,11.911861521876295,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\all_degraded_target_rows_16_surf_shape_108_irregular_corrosion_non_rbc.png,True,preview generated
all_degraded_target_rows,17,surf_shape_018_rbc_like_smooth_pit,17,val,rbc_like_smooth_pit,six_param_rbc,refinement_target,rbc_representable_but_model_fail,dice_not_improved,0.00047077587235342625,7.171208992350048e-05,1.821262555071562e-05,0.00039906378242992577,0.6484268125854993,0.647887323943662,0.9708333333333333,-0.0005394886418372824,0.4797570850202429,0.4791666666666667,0.9433198380566802,-0.0005904183535762053,14.845668924536636,0.3924856601884958,14.453183264348139,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\all_degraded_target_rows_17_surf_shape_018_rbc_like_smooth_pit.png,True,preview generated
representative_rbc_like_control_rows,1,surf_shape_023_rbc_like_smooth_pit,22,test,rbc_like_smooth_pit,six_param_rbc,refinement_target,rbc_representable_but_model_fail,rbc_representable_but_model_fail,0.0004841234690491351,0.00040098547324085316,6.507222223278474e-05,8.313799580828192e-05,0.5361972951471758,0.6419047619047619,0.9667149059334298,0.10570746675758602,0.36630434782608695,0.4726507713884993,0.9355742296918768,0.10634642356241236,75.54098679793871,0.5380006389408574,75.00298615899786,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\representative_rbc_like_control_rows_01_surf_shape_023_rbc_like_smooth_pit.png,True,preview generated
representative_rbc_like_control_rows,2,surf_shape_016_rbc_like_smooth_pit,15,val,rbc_like_smooth_pit,six_param_rbc,refinement_target,rbc_representable_but_model_fail,dice_not_improved,0.0004720432842972136,0.0003461477020098763,7.532397375957961e-05,0.00012589558228733733,0.5903698534542917,0.561344537815126,0.9649532710280374,-0.02902531563916566,0.4188118811881188,0.3901869158878505,0.9322799097065463,-0.028624965300268312,135.71039923670028,0.3896987495302258,135.32070048717006,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\representative_rbc_like_control_rows_02_surf_shape_016_rbc_like_smooth_pit.png,True,preview generated
representative_rbc_like_control_rows,3,surf_shape_008_rbc_like_smooth_pit,7,train,rbc_like_smooth_pit,six_param_rbc,already_pass_reference,rbc_representable_and_model_pass,rbc_representable_and_model_pass,0.00021959380562752072,0.0003439936494989449,7.479148027891204e-05,-0.0001243998438714242,0.7310344827586207,0.6933769419460344,0.9627906976744186,-0.03765754081258632,0.5760869565217391,0.5306633291614519,0.9282511210762332,-0.045423627360287266,36.96168251495256,1.353823996406668,35.60785851854589,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\representative_rbc_like_control_rows_03_surf_shape_008_rbc_like_smooth_pit.png,True,preview generated
representative_rbc_like_control_rows,4,surf_shape_015_rbc_like_smooth_pit,14,val,rbc_like_smooth_pit,six_param_rbc,refinement_target,rbc_representable_but_model_fail,profile_rmse_not_improved|dice_not_improved|er_like_not_improved,0.0002163964454773409,0.00029815023995123776,6.759837471551316e-05,-8.175379447389685e-05,0.6773547094188377,0.3671497584541063,0.9615384615384616,-0.3102049509647314,0.5121212121212121,0.22485207100591717,0.9259259259259259,-0.2872691411152949,16.054804047959607,0.5333837258034618,15.521420322156144,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\representative_rbc_like_control_rows_04_surf_shape_015_rbc_like_smooth_pit.png,True,preview generated
representative_rbc_like_control_rows,5,surf_shape_017_rbc_like_smooth_pit,16,val,rbc_like_smooth_pit,six_param_rbc,refinement_target,rbc_representable_but_model_fail,rbc_representable_but_model_fail,0.0009163728988650938,0.00026066072871873196,1.5919697798844885e-05,0.0006557121701463619,0.2719367588932806,0.4066193853427896,0.9712643678160919,0.13468262644950896,0.15736505032021958,0.2551928783382789,0.9441340782122905,0.09782782801805934,18.03080893283467,0.7865385302032392,17.244270402631432,True,C:\Users\19166\Desktop\PINN_project\results\previews\surface_forward_refinement_gallery\representative_rbc_like_control_rows_05_surf_shape_017_rbc_like_smooth_pit.png,True,preview generated
