group_field,group_value,split,sample_count,model_pass_rate,rbc_representable_rate,baseline_profile_depth_rmse_mean_m,baseline_profile_depth_rmse_p95_m,baseline_Er_like_mean,baseline_projected_mask_Dice_mean,baseline_projected_mask_IoU_mean,baseline_area_error_mean,total_normalized_MAE_vs_oracle_mean,L_mae_mm_vs_label_mean,W_mae_mm_vs_label_mean,D_mae_mm_vs_label_mean,component_recall_proxy_mean,merge_component_proxy_rate
shape_type,asymmetric_corrosion,val,3,0.3333333333333333,1.0,0.0004270188289417223,0.0005224454939232507,2.095736620387492,0.6015705963485727,0.48812169013337386,2.0569863522243654,10.098737398783365,9.113385926683742,5.2136871000130975,1.320552551249663,1.0,0.0
shape_type,elongated_crack_like_surface_defect,val,3,0.0,1.0,0.0004074467510252258,0.0004275184945471442,1.34863818389557,0.47977820015555867,0.31618740295083997,1.6589683296378375,9.895757675170898,3.4744645824035008,7.9249026247461645,1.3302222407112518,1.0,0.0
shape_type,flat_bottom_pit,val,3,0.6666666666666666,1.0,0.0003019354550033693,0.0004559223454229625,0.9018209538370057,0.6501376547911912,0.5190734295838799,1.5407869360510162,9.866403897603353,8.832591891288757,3.264307984809081,1.3104596532881259,1.0,0.0
shape_type,irregular_corrosion_non_rbc,val,4,0.25,1.0,0.0005849781693377999,0.0006482113310684048,2.78901207218604,0.5824731823595125,0.43147895201132314,1.7426498483893726,10.104320287704468,10.207608273625375,4.462245997488498,2.352332566212863,1.0,0.0
shape_type,multi_pit_two_component_surface_defect,val,3,0.0,0.0,0.0005205416515546075,0.0005732261606727932,2.50929634021375,0.35853834173857496,0.22007065992424882,1.8519855050945828,10.043976465861002,13.014787004391353,6.212104845046998,1.630368473008275,0.5,1.0
shape_type,rbc_like_smooth_pit,val,5,0.0,1.0,0.0005079583483337734,0.0008275069759515177,4.329065519920614,0.5243832821318408,0.369010880849497,2.2779055947498414,0.9115839004516602,10.82577404677868,5.6414979907870295,1.6142896126955748,1.0,0.0
shape_type,sharp_wall_boxy_corrosion,val,3,0.3333333333333333,1.0,0.0003283793021484366,0.00036730311337429875,0.9033820898103223,0.6874155565972629,0.5354166250030629,0.975675312521559,9.808611869812012,7.929008386532466,4.676614543795586,1.6270964453617731,1.0,0.0
shape_type,asymmetric_corrosion,test,3,0.0,1.0,0.00035942083835765874,0.0004533486538687077,1.0870015563877893,0.6097295888858244,0.44135107860295403,1.3171413875351379,9.991534233093262,9.225264660517373,4.320860968033473,0.5157089286794264,1.0,0.0
shape_type,elongated_crack_like_surface_defect,test,3,0.0,1.0,0.0004715845697746074,0.0005225926104434441,0.9505260879912432,0.5001754098088985,0.3340724912685171,1.3531028425765268,9.65760866800944,3.1463618357976273,7.633415112257004,0.5070147393892208,1.0,0.0
shape_type,flat_bottom_pit,test,3,0.3333333333333333,1.0,0.00036874649507052546,0.0004647458853560628,0.7043080756847574,0.6148760628781521,0.454952823205141,1.370071662821033,9.871252059936523,10.357564702630043,3.8086245359977084,0.9817244463910658,1.0,0.0
shape_type,irregular_corrosion_non_rbc,test,3,0.6666666666666666,1.0,0.000304723958370679,0.0004943937416527938,0.8234356731903915,0.6947336634473201,0.5536430232185111,1.0504239392374863,9.86648178100586,7.546010127663611,3.517417662044366,0.5046622787912686,1.0,0.0
shape_type,multi_pit_two_component_surface_defect,test,4,0.0,0.0,0.0008452401671976983,0.0009689406232283181,2.1975576377925385,0.32103693048823967,0.1926044661216233,3.323058798508335,4.158524572849274,17.449667172878982,8.053956992179156,1.642287017405033,0.5,1.0
shape_type,rbc_like_smooth_pit,test,5,0.0,1.0,0.0004559095193007104,0.0005414225131259787,1.9369243475823708,0.507809524538243,0.3446061433047742,2.0594652540607776,0.8878532648086548,10.851043298840523,5.790947204828262,0.8212958545237778,1.0,0.0
shape_type,sharp_wall_boxy_corrosion,test,3,0.6666666666666666,1.0,0.00039740297541171737,0.00045192186104310334,0.688189798900515,0.6978006797479109,0.5553190734534029,0.9284164771040753,9.755903561909994,7.406802156567573,4.610034601887068,0.5460785643508036,1.0,0.0
topology_type,elongated,all,16,0.0,1.0,0.0004978291595028021,0.0006695660832909994,1.9071212558649484,0.4720649636862832,0.31034970697732434,1.8475272776662632,9.871963858604431,3.790104827657342,8.05229083178565,1.4336063622497022,1.0,0.0
topology_type,irregular,all,16,0.25,1.0,0.0004553191161735761,0.000640555094549803,2.0653463969210524,0.5978387932465905,0.44488014257034547,1.582393925560754,10.046882033348083,9.343099013343455,4.5061898710951205,1.541671209782362,1.0,0.0
