candidate,selected_seed,split,group_field,group_value,sample_count,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_component_mae_mm,shape_accuracy,shape_macro_f1,center_p95_mm,center_max_mm,burial_p95_mm,burial_max_mm,catastrophic_failure_count,geometry_branch_failure_count
F2_freeze_shape_train_center_burial_with_residual,42,train,aspect_bin,elongated_x,48,0.27677375078201294,0.673422634601593,0.8109297752380371,0.06702997535467148,0.2999941110610962,0.850894570350647,0.8541666666666666,0.5857364341085272,4.194550037384033,5.003140926361084,0.7646877765655518,1.5553455352783203,0,0
F2_freeze_shape_train_center_burial_with_residual,42,train,aspect_bin,elongated_y,55,0.3503073453903198,0.6611973643302917,1.815380573272705,0.08840010315179825,0.2545563876628876,0.8604919910430908,0.8,0.5382366171839856,4.206318378448486,6.432143211364746,1.0499951839447021,1.0775701999664307,0,0
F2_freeze_shape_train_center_burial_with_residual,42,train,row_origin,hardcase_topup_v1,80,0.5029454827308655,1.0718048810958862,1.67516028881073,0.13029974699020386,0.4802055060863495,1.4206541776657104,0.475,0.5164034897973898,6.451814651489258,7.738551616668701,1.1318930387496948,1.7754498720169067,6,2
F2_freeze_shape_train_center_burial_with_residual,42,train,row_origin,source_v2_240,160,0.17395593225955963,0.3726417124271393,0.5572456121444702,0.04684792459011078,0.1300130933523178,0.6665648818016052,1.0,1.0,2.95613169670105,5.6009392738342285,0.4001545310020447,0.7762534022331238,0,0
F2_freeze_shape_train_center_burial_with_residual,42,val,shape_type,internal_cuboid,22,0.46707817912101746,1.2303378582000732,1.1165608167648315,0.11235431581735611,0.3861809968948364,1.748445749282837,0.6818181818181818,0.2702702702702703,6.821630477905273,8.227627754211426,1.1096779108047485,1.5661044120788574,0,0
F2_freeze_shape_train_center_burial_with_residual,42,val,shape_type,internal_ellipsoid,23,0.3946079611778259,0.9674856662750244,0.7893736362457275,0.09940603375434875,0.572344958782196,1.1714706420898438,0.8260869565217391,0.30158730158730157,5.290645122528076,8.471294403076172,1.541844367980957,1.7219806909561157,1,0
F2_freeze_shape_train_center_burial_with_residual,42,val,shape_type,internal_sphere,15,0.33981645107269287,0.8501495122909546,0.8368042707443237,0.09032097458839417,0.44010207056999207,0.8581019639968872,0.8666666666666667,0.30952380952380953,3.907529830932617,6.540064334869385,2.0742743015289307,2.5149731636047363,1,1
F2_freeze_shape_train_center_burial_with_residual,42,val,burial_depth_level,deep,13,0.3491126596927643,0.825815737247467,0.8154935836791992,0.11408143490552902,0.41638171672821045,1.103619933128357,1.0,1.0,4.4851155281066895,6.745972633361816,0.9856405258178711,1.0436890125274658,0,0
F2_freeze_shape_train_center_burial_with_residual,42,val,burial_depth_level,deep_plus,13,0.31324687600135803,0.5529752969741821,0.6888409852981567,0.07687314599752426,0.33721664547920227,1.2497092485427856,0.8461538461538461,0.8412698412698413,5.783840656280518,6.32070779800415,1.0322493314743042,1.2276692390441895,1,0
F2_freeze_shape_train_center_burial_with_residual,42,val,burial_depth_level,medium,13,0.4206656217575073,1.3455597162246704,0.7452914118766785,0.13398614525794983,0.39699587225914,1.1683094501495361,0.6923076923076923,0.6888888888888888,5.244183540344238,5.612890720367432,0.915887713432312,1.1253395080566406,0,0
F2_freeze_shape_train_center_burial_with_residual,42,val,burial_depth_level,shallow,21,0.4937915503978729,1.2692993879318237,1.2393742799758911,0.08993900567293167,0.6335104703903198,1.5476120710372925,0.6666666666666666,0.6507422402159243,8.227627754211426,8.471294403076172,1.8854031562805176,2.5149731636047363,1,1
F2_freeze_shape_train_center_burial_with_residual,42,val,size_level,large,25,0.4887113869190216,1.2977341413497925,1.071610927581787,0.13008859753608704,0.49025362730026245,1.5118725299835205,0.76,0.6468253968253969,7.846242427825928,8.471294403076172,1.2072032690048218,1.8854031562805176,1,0
F2_freeze_shape_train_center_burial_with_residual,42,val,size_level,medium,22,0.3781411945819855,0.8028044700622559,0.9332895874977112,0.07514945417642593,0.5633260011672974,1.317057490348816,0.7272727272727273,0.5944444444444444,6.48435640335083,6.825612545013428,1.7147191762924194,2.5149731636047363,1,1
F2_freeze_shape_train_center_burial_with_residual,42,val,size_level,small,13,0.30092760920524597,0.920522928237915,0.6114888191223145,0.09288045763969421,0.2778409719467163,0.8853139877319336,0.9230769230769231,0.6,4.482834815979004,6.745972633361816,1.1137105226516724,1.5661044120788574,0,0
F2_freeze_shape_train_center_burial_with_residual,42,val,aspect_bin,compact,39,0.4568999409675598,1.0463292598724365,1.0263044834136963,0.12151820212602615,0.48704320192337036,1.506788730621338,0.7435897435897436,0.7329545454545455,6.965811729431152,8.471294403076172,1.293441653251648,2.5149731636047363,2,1
F2_freeze_shape_train_center_burial_with_residual,42,val,aspect_bin,elongated_x,15,0.2656785249710083,0.9057998657226562,0.5664778351783752,0.05964476987719536,0.3676777780056,0.8607789874076843,0.8666666666666667,0.5666666666666668,4.496398448944092,4.998378753662109,1.059971809387207,1.7219806909561157,0,0
F2_freeze_shape_train_center_burial_with_residual,42,val,aspect_bin,elongated_y,6,0.44077879190444946,1.2796680927276611,1.1248260736465454,0.07984457910060883,0.6252658367156982,1.1007840633392334,0.8333333333333334,0.5185185185185185,5.257465362548828,6.186756134033203,1.5740907192230225,1.5767529010772705,0,0
F2_freeze_shape_train_center_burial_with_residual,42,val,row_origin,hardcase_topup_v1,20,0.6193158626556396,1.424873948097229,1.4601287841796875,0.13841716945171356,0.8415842056274414,1.9444754123687744,0.4,0.3101851851851852,8.239810943603516,8.471294403076172,1.9168812036514282,2.5149731636047363,2,1
F2_freeze_shape_train_center_burial_with_residual,42,val,row_origin,source_v2_240,40,0.3015657961368561,0.8393592834472656,0.6517355442047119,0.08361514657735825,0.2857440412044525,0.9847912192344666,0.975,0.9751724137931035,6.193453788757324,6.745972633361816,0.8166077733039856,1.5661044120788574,0,0
F2_freeze_shape_train_center_burial_with_residual,42,test,shape_type,internal_cuboid,22,0.5109618306159973,0.9804083704948425,1.3032983541488647,0.10471215844154358,0.49469178915023804,2.3898355960845947,0.7727272727272727,0.2905982905982906,9.936482429504395,20.208765029907227,1.4715824127197266,1.838216781616211,4,2
F2_freeze_shape_train_center_burial_with_residual,42,test,shape_type,internal_ellipsoid,20,0.6489152908325195,1.202507734298706,1.7446821928024292,0.1356208175420761,0.8971589803695679,2.26759934425354,0.85,0.3063063063063063,9.536724090576172,22.01708221435547,2.0601627826690674,2.489889621734619,6,1
F2_freeze_shape_train_center_burial_with_residual,42,test,shape_type,internal_sphere,18,0.35450199246406555,0.8455604314804077,0.8914418816566467,0.0853133350610733,0.35670480132102966,1.1264394521713257,0.8333333333333334,0.30303030303030304,5.440402030944824,7.531777381896973,0.910240888595581,1.64256751537323,1,1
F2_freeze_shape_train_center_burial_with_residual,42,test,burial_depth_level,deep,12,0.5399736166000366,1.162481427192688,1.5704405307769775,0.1326497346162796,0.5026382207870483,2.216647148132324,0.8333333333333334,0.8777777777777778,12.857101440429688,20.208765029907227,1.175614595413208,1.194583535194397,2,1
F2_freeze_shape_train_center_burial_with_residual,42,test,burial_depth_level,deep_plus,22,0.6045801043510437,1.0989078283309937,1.433445930480957,0.11351238191127777,0.7884539365768433,2.462806224822998,0.5909090909090909,0.5452991452991452,9.967733383178711,22.01708221435547,1.8840230703353882,2.489889621734619,6,3
F2_freeze_shape_train_center_burial_with_residual,42,test,burial_depth_level,medium,10,0.3226771950721741,0.6699270009994507,1.0423345565795898,0.08940920233726501,0.355918824672699,1.1542296409606934,1.0,1.0,4.597715377807617,4.778765678405762,1.06234872341156,1.289282202720642,1,0
F2_freeze_shape_train_center_burial_with_residual,42,test,burial_depth_level,shallow,16,0.47458013892173767,1.0008882284164429,1.1754825115203857,0.09803516417741776,0.5193908214569092,1.6175297498703003,1.0,1.0,7.501646995544434,8.879873275756836,1.6240077018737793,2.037545919418335,2,0
F2_freeze_shape_train_center_burial_with_residual,42,test,size_level,large,26,0.5942736864089966,0.8691285252571106,1.7173371315002441,0.12923717498779297,0.6533023118972778,2.4831058979034424,0.7692307692307693,0.7746031746031746,17.67774200439453,22.01708221435547,1.7993770837783813,2.489889621734619,6,2
F2_freeze_shape_train_center_burial_with_residual,42,test,size_level,medium,21,0.4930814504623413,0.9677943587303162,1.1824902296066284,0.05973438173532486,0.7272257804870605,2.0112900733947754,0.7619047619047619,0.7449494949494949,7.745952606201172,8.879873275756836,1.838216781616211,2.037545919418335,5,2
F2_freeze_shape_train_center_burial_with_residual,42,test,size_level,small,13,0.3688211441040039,1.3783236742019653,0.7791617512702942,0.14901041984558105,0.22996048629283905,0.8774166703224182,1.0,1.0,5.3533830642700195,6.215310096740723,0.9372671246528625,1.0938915014266968,0,0
F2_freeze_shape_train_center_burial_with_residual,42,test,aspect_bin,compact,36,0.46581143140792847,0.7982416152954102,0.9438841342926025,0.09692513942718506,0.5669447183609009,2.099294900894165,0.8055555555555556,0.7645687645687645,12.615694999694824,22.01708221435547,1.8502711057662964,2.037545919418335,8,3
F2_freeze_shape_train_center_burial_with_residual,42,test,aspect_bin,elongated_x,5,0.5054786801338196,1.6214863061904907,1.810740351676941,0.15333542227745056,0.28240767121315,1.2130721807479858,1.0,0.6666666666666666,5.312664031982422,5.754260063171387,0.5709774494171143,0.5829976201057434,0,0
F2_freeze_shape_train_center_burial_with_residual,42,test,aspect_bin,elongated_y,19,0.5949419140815735,1.2628998756408691,1.9251912832260132,0.12082850188016891,0.7065809369087219,1.9244368076324463,0.7894736842105263,0.5158730158730158,6.189610958099365,6.215310096740723,1.4093433618545532,2.489889621734619,3,1
F2_freeze_shape_train_center_burial_with_residual,42,test,row_origin,hardcase_topup_v1,20,0.6648850440979004,1.054079294204712,1.6973624229431152,0.12462002784013748,0.8322920799255371,2.9611423015594482,0.5,0.5140056022408964,20.299179077148438,22.01708221435547,2.0601627826690674,2.489889621734619,6,3
F2_freeze_shape_train_center_burial_with_residual,42,test,row_origin,source_v2_240,40,0.4325700104236603,0.993941068649292,1.1416229009628296,0.10148307681083679,0.46503114700317383,1.4745357036590576,0.975,0.9753086419753086,6.256655693054199,7.745952606201172,1.4875690937042236,1.838216781616211,5,1
