model,selected,split,threshold,selection_score,sample_count,high_risk_count,bad_tail_count,catastrophic_failure_count,geometry_branch_failure_count,high_risk_precision,bad_tail_recall,catastrophic_failure_recall,geometry_branch_failure_recall,false_alarm_rate,coverage_retained,center_p95_reduction_mm,burial_p95_reduction_mm
logistic_regression_balanced,False,val,0.05,7.960248658973307,60,39,23,2,1,0.48717948717948717,0.8260869565217391,1.0,1.0,0.5405405405405406,0.35,0.5631984949111937,0.8077608883380887
logistic_regression_balanced,False,val,0.05005129,7.918879664953708,60,38,23,2,1,0.47368421052631576,0.782608695652174,1.0,1.0,0.5405405405405406,0.36666666666666664,0.658473110198976,0.8078798621892926
logistic_regression_balanced,False,val,0.05364807,8.628738621685361,60,36,23,2,1,0.5,0.782608695652174,1.0,1.0,0.4864864864864865,0.4,0.8490223407745399,0.8081178098917005
logistic_regression_balanced,False,val,0.0606433448828937,8.628738621685361,60,36,23,2,1,0.5,0.782608695652174,1.0,1.0,0.4864864864864865,0.4,0.8490223407745399,0.8081178098917005
logistic_regression_balanced,False,val,0.06530686,8.628738621685361,60,36,23,2,1,0.5,0.782608695652174,1.0,1.0,0.4864864864864865,0.4,0.8490223407745399,0.8081178098917005
logistic_regression_balanced,False,val,0.06953456,8.943527056782845,60,33,23,2,1,0.5454545454545454,0.782608695652174,1.0,1.0,0.40540540540540543,0.45,1.1348461866378798,0.8084747314453122
logistic_regression_balanced,False,val,0.07297352809144435,8.943527056782845,60,33,23,2,1,0.5454545454545454,0.782608695652174,1.0,1.0,0.40540540540540543,0.45,1.1348461866378798,0.8084747314453122
logistic_regression_balanced,False,val,0.07578723,8.943527056782845,60,33,23,2,1,0.5454545454545454,0.782608695652174,1.0,1.0,0.40540540540540543,0.45,1.1348461866378798,0.8084747314453122
logistic_regression_balanced,False,val,0.07749179,9.020511506158165,60,32,23,2,1,0.5625,0.782608695652174,1.0,1.0,0.3783783783783784,0.4666666666666667,1.2301208019256622,0.6968135893344879
logistic_regression_balanced,False,val,0.1,6.922068402673678,60,31,23,2,1,0.5483870967741935,0.7391304347826086,0.5,1.0,0.3783783783783784,0.48333333333333334,1.3253954172134437,0.46863612532615684
logistic_regression_balanced,False,val,0.1153253,6.922068402673678,60,31,23,2,1,0.5483870967741935,0.7391304347826086,0.5,1.0,0.3783783783783784,0.48333333333333334,1.3253954172134437,0.46863612532615684
logistic_regression_balanced,False,val,0.12609209576338742,7.030477233632927,60,30,23,2,1,0.5666666666666667,0.7391304347826086,0.5,1.0,0.35135135135135137,0.5,1.420670032501226,0.4826725095510487
logistic_regression_balanced,False,val,0.13685889,7.1388860645921755,60,29,23,2,1,0.5862068965517241,0.7391304347826086,0.5,1.0,0.32432432432432434,0.5166666666666667,1.5159446477890013,0.49670889377593963
logistic_regression_balanced,False,val,0.15,7.1388860645921755,60,29,23,2,1,0.5862068965517241,0.7391304347826086,0.5,1.0,0.32432432432432434,0.5166666666666667,1.5159446477890013,0.49670889377593963
logistic_regression_balanced,False,val,0.2,7.1388860645921755,60,29,23,2,1,0.5862068965517241,0.7391304347826086,0.5,1.0,0.32432432432432434,0.5166666666666667,1.5159446477890013,0.49670889377593963
logistic_regression_balanced,False,val,0.22664458,7.1388860645921755,60,29,23,2,1,0.5862068965517241,0.7391304347826086,0.5,1.0,0.32432432432432434,0.5166666666666667,1.5159446477890013,0.49670889377593963
logistic_regression_balanced,False,val,0.25,7.247294895551425,60,28,23,2,1,0.6071428571428571,0.7391304347826086,0.5,1.0,0.2972972972972973,0.5333333333333333,1.6112192630767836,0.5107452780008315
logistic_regression_balanced,False,val,0.25617322,7.355703726510675,60,27,23,2,1,0.6296296296296297,0.7391304347826086,0.5,1.0,0.2702702702702703,0.55,1.706493878364566,0.5247816622257233
logistic_regression_balanced,False,val,0.2633747332076141,7.355703726510675,60,27,23,2,1,0.6296296296296297,0.7391304347826086,0.5,1.0,0.2702702702702703,0.55,1.706493878364566,0.5247816622257233
logistic_regression_balanced,False,val,0.27217659,7.680930219388421,60,24,23,2,1,0.7083333333333334,0.7391304347826086,0.5,1.0,0.1891891891891892,0.6,1.992317724227905,0.5668908149003979
logistic_regression_balanced,False,val,0.28473182289480703,7.680930219388421,60,24,23,2,1,0.7083333333333334,0.7391304347826086,0.5,1.0,0.1891891891891892,0.6,1.992317724227905,0.5668908149003979
