source_index,sample_id,split,defect_type,angle_deg,vertex_count,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,notes
58,rect_0059,train,rectangular_notch,0.0,0,0.5,0.9242902208201893,0.9606557377049181,0.01948051948051948,0.483545757169213,302,308,0,0.007180928252637386,0.040126919746398926,0.04730784893035889,0.0,1.0,0.0371127650141716,mixed_pilot_v6_training_gate_only
59,rect_0060,train,rectangular_notch,0.0,0,0.5,0.9171122994652406,0.9567642956764296,0.013850415512465374,0.6165586366725375,356,361,0,0.006686643231660128,0.04631507396697998,0.05300171673297882,0.0,1.0,0.043689899146556854,mixed_pilot_v6_training_gate_only
60,rect_0061,train,rectangular_notch,0.0,0,0.5,0.947136563876652,0.9728506787330317,0.02288329519450801,0.3464095836111272,447,437,0,0.009043276309967041,0.04035371541976929,0.04939699172973633,0.0,1.0,0.05502856522798538,mixed_pilot_v6_training_gate_only
61,rect_0062,train,rectangular_notch,0.0,0,0.5,0.9156050955414012,0.9559434746467166,0.04707792207792208,0.8257844887283612,587,616,0,0.02041202411055565,0.05174010992050171,0.07215213775634766,0.0,1.0,0.0721772089600563,mixed_pilot_v6_training_gate_only
62,rect_0063,train,rectangular_notch,0.0,0,0.5,0.851063829787234,0.9195402298850575,0.00625,1.120980847306284,477,480,0,0.024128442630171776,0.08142739534378052,0.10555583983659744,0.0,1.0,0.058341216295957565,mixed_pilot_v6_training_gate_only
63,rect_0064,train,rectangular_notch,0.0,0,0.5,0.860036832412523,0.9247524752475248,0.003968253968253968,0.784067092445209,506,504,0,0.026166491210460663,0.0736006498336792,0.09976714104413986,0.0,1.0,0.06229601055383682,mixed_pilot_v6_training_gate_only
64,rect_0065,train,rectangular_notch,0.0,0,0.5,0.9386503067484663,0.9683544303797469,0.055384615384615386,0.1432113872116011,307,325,0,0.006452375557273626,0.04766947031021118,0.054121844470500946,0.0,0.9999998807907104,0.03752225637435913,mixed_pilot_v6_training_gate_only
65,rect_0066,train,rectangular_notch,0.0,0,0.5,0.9384920634920635,0.9682702149437052,0.01859504132231405,0.5463680026446484,493,484,0,0.0076444922015070915,0.035066068172454834,0.0427105613052845,0.0,1.0,0.059879157692193985,mixed_pilot_v6_training_gate_only
66,rect_0067,train,rectangular_notch,0.0,0,0.5,0.9381443298969072,0.9680851063829787,0.053830227743271224,0.5814148908352899,457,483,0,0.00714146438986063,0.0354422926902771,0.042583756148815155,0.0,1.0,0.05632441118359566,mixed_pilot_v6_training_gate_only
67,rect_0068,train,rectangular_notch,0.0,0,0.5,0.8805555555555555,0.9364844903988183,0.11944444444444445,0.2191123683761835,317,360,0,0.017372265458106995,0.06635606288909912,0.08372832834720612,0.0,1.0,0.03881944715976715,mixed_pilot_v6_training_gate_only
