sample_id,split,defect_type,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,notes
sample_011,train,rectangular_notch,0.6,0.7861163227016885,0.8802521008403361,0.06060606060606061,2.7415577886859697,490,462,0,0.030905408784747124,0.13778024911880493,0.1686856597661972,0.0,0.9999886751174927,0.061128437519073486,pilot_v2_training_gate_only
sample_012,train,rectangular_notch,0.6,0.7745571658615137,0.8729582577132486,0.11923076923076924,2.5305842857702836,582,520,0,0.04545418173074722,0.1423235535621643,0.18777772784233093,0.0,1.0,0.07294151186943054,pilot_v2_training_gate_only
sample_013,train,rectangular_notch,0.6,0.6842923794712286,0.8125577100646353,0.11652173913043479,3.642383959568488,508,575,0,0.059542253613471985,0.17944300174713135,0.23898525536060333,0.0,0.9999996423721313,0.06488971412181854,pilot_v2_training_gate_only
sample_014,train,rectangular_notch,0.6,0.7443609022556391,0.853448275862069,0.1875,3.268780017002707,416,512,0,0.05660222843289375,0.17869210243225098,0.23529432713985443,0.0,0.9999921321868896,0.05306841433048248,pilot_v2_training_gate_only
sample_015,train,rectangular_notch,0.6,0.8858267716535433,0.9394572025052192,0.016842105263157894,1.2733340059366425,483,475,0,0.017569201067090034,0.07366293668746948,0.09123213589191437,0.0,1.0,0.05953887477517128,pilot_v2_training_gate_only
sample_016,train,rectangular_notch,0.6,0.7982646420824295,0.887816646562123,0.14955357142857142,0.5795505007060839,381,448,0,0.020350635051727295,0.10446518659591675,0.12481582164764404,0.0,0.9999996423721313,0.048507191240787506,pilot_v2_training_gate_only
sample_017,train,rectangular_notch,0.6,0.7628676470588235,0.8654848800834203,0.23713235294117646,2.537174618403998,415,544,0,0.039719585329294205,0.12247312068939209,0.162192702293396,0.0,0.9999998807907104,0.05260159447789192,pilot_v2_training_gate_only
sample_018,train,rectangular_notch,0.6,0.8994515539305301,0.9470644850818094,0.07592592592592592,0.9495245024409927,499,540,0,0.014250803738832474,0.07173806428909302,0.08598886430263519,0.0,1.0,0.06189757585525513,pilot_v2_training_gate_only
sample_019,train,rectangular_notch,0.6,0.8514190317195326,0.9197475202885482,0.11238095238095239,1.455287054165138,584,525,0,0.024820102378726006,0.10971879959106445,0.1345389038324356,0.0,0.9999988079071045,0.07232634723186493,pilot_v2_training_gate_only
sample_020,train,rectangular_notch,0.6,0.7935871743486974,0.8849162011173184,0.04805491990846682,1.8026434128175048,458,437,0,0.02818242646753788,0.12583553791046143,0.15401796996593475,0.0,0.9999996423721313,0.058462612330913544,pilot_v2_training_gate_only
sample_021,train,rectangular_notch,0.6,0.7595993322203672,0.8633776091081594,0.19583333333333333,2.735591639452362,574,480,0,0.061345264315605164,0.1625746488571167,0.22391991317272186,0.0,0.9999991655349731,0.07144889235496521,pilot_v2_training_gate_only
sample_022,train,rectangular_notch,0.6,0.8003384094754653,0.8890977443609023,0.13333333333333333,2.206505589840121,494,570,0,0.042345479130744934,0.11463874578475952,0.15698422491550446,0.0,0.9999996423721313,0.06129352003335953,pilot_v2_training_gate_only
sample_023,train,rectangular_notch,0.6,0.7180925666199158,0.8359183673469388,0.11538461538461539,3.4565094886301915,575,650,0,0.06813779473304749,0.1775597333908081,0.2456975281238556,0.0,0.9999997615814209,0.07017715275287628,pilot_v2_training_gate_only
sample_024,train,rectangular_notch,0.6,0.7869415807560137,0.8807692307692307,0.02729044834307992,2.0322616079924165,527,513,0,0.031228967010974884,0.11411184072494507,0.14534080028533936,0.0,1.0,0.06506382673978806,pilot_v2_training_gate_only
sample_025,train,rectangular_notch,0.6,0.8822314049586777,0.9374313940724479,0.04086021505376344,1.0984487772591602,446,465,0,0.01850016787648201,0.08181291818618774,0.10031308233737946,0.0,0.9999972581863403,0.05441257357597351,pilot_v2_training_gate_only
sample_026,train,rectangular_notch,0.6,0.8317307692307693,0.9081364829396326,0.16826923076923078,0.5364367396898988,346,416,0,0.01405393797904253,0.08269107341766357,0.09674501419067383,0.0,0.9999991655349731,0.04428455978631973,pilot_v2_training_gate_only
sample_027,train,rectangular_notch,0.6,0.8349514563106796,0.91005291005291,0.14772727272727273,0.14921945069671466,505,440,0,0.023744504898786545,0.11054843664169312,0.13429294526576996,0.0,1.0,0.06240813434123993,pilot_v2_training_gate_only
sample_028,train,rectangular_notch,0.6,0.736328125,0.8481439820022497,0.35185185185185186,0.5802150328444424,511,378,0,0.0416891872882843,0.1621570587158203,0.20384624600410461,0.0,1.0,0.06329411268234253,pilot_v2_training_gate_only
sample_029,train,rectangular_notch,0.6,0.9319470699432892,0.9647749510763209,0.06439393939393939,0.47005425987692834,494,528,0,0.01255941390991211,0.07086825370788574,0.08342766761779785,0.0,0.9999995231628418,0.06145057827234268,pilot_v2_training_gate_only
sample_030,train,rectangular_notch,0.6,0.7513227513227513,0.8580060422960725,0.16111111111111112,2.9330141928744253,302,360,0,0.04983268305659294,0.1614564061164856,0.21128909289836884,0.0,0.9999995231628418,0.03732781484723091,pilot_v2_training_gate_only
sample_031,train,rectangular_notch,0.6,0.8498168498168498,0.9188118811881189,0.0761904761904762,1.3004409922656879,485,525,0,0.024213654920458794,0.0909990668296814,0.11521272361278534,0.0,1.0,0.06009407341480255,pilot_v2_training_gate_only
sample_032,train,rectangular_notch,0.6,0.7947019867549668,0.8856088560885609,0.05303030303030303,1.998901476169639,556,528,0,0.03248996287584305,0.11333608627319336,0.1458260416984558,0.0,1.0,0.06796035915613174,pilot_v2_training_gate_only
sample_033,train,rectangular_notch,0.6,0.7387820512820513,0.8497695852534562,0.034420289855072464,3.1360460854004564,533,552,0,0.05444975569844246,0.15006935596466064,0.2045191079378128,0.0,1.0,0.06679017841815948,pilot_v2_training_gate_only
sample_034,train,rectangular_notch,0.6,0.7423076923076923,0.8520971302428256,0.25769230769230766,2.2178038783698635,579,780,0,0.086977019906044,0.1535663604736328,0.24054338037967682,0.0,1.0,0.07093827426433563,pilot_v2_training_gate_only
sample_035,train,rectangular_notch,0.6,0.8613861386138614,0.925531914893617,0.043478260869565216,1.5057799199877362,288,276,0,0.013062401674687862,0.08489090204238892,0.09795330464839935,0.0,1.0,0.03541954234242439,pilot_v2_training_gate_only
sample_036,train,rectangular_notch,0.6,0.720226843100189,0.8373626373626374,0.2807017543859649,3.3071654364459255,511,399,0,0.047775812447071075,0.19986581802368164,0.24764162302017212,0.0,0.9999569654464722,0.06561078131198883,pilot_v2_training_gate_only
sample_037,train,rectangular_notch,0.6,0.8696296296296296,0.93026941362916,0.13037037037037036,1.454305518763499,587,675,0,0.029955971986055374,0.0886034369468689,0.11855940520763397,0.0,1.0,0.07253094762563705,pilot_v2_training_gate_only
sample_038,train,rectangular_notch,0.6,0.7723214285714286,0.871536523929471,0.22767857142857142,0.5637023737753847,519,672,0,0.0472600981593132,0.12306088209152222,0.17032098770141602,0.0,0.9999998807907104,0.0644628182053566,pilot_v2_training_gate_only
sample_039,train,rectangular_notch,0.6,0.8228699551569507,0.9028290282902829,0.12672811059907835,1.026904827406507,379,434,0,0.016314741224050522,0.100119948387146,0.11643469333648682,0.0,0.9999938011169434,0.04869508743286133,pilot_v2_training_gate_only
sample_040,train,rectangular_notch,0.6,0.8543956043956044,0.9214814814814815,0.07692307692307693,1.3190427877569195,324,351,0,0.023285243660211563,0.09381985664367676,0.11710509657859802,0.0,0.9999998807907104,0.039697326719760895,pilot_v2_training_gate_only
sample_041,train,rectangular_notch,0.6,0.796969696969697,0.8870151770657673,0.22932330827067668,1.6697254707574334,327,266,0,0.019385673105716705,0.1271379590034485,0.1465236246585846,0.0,0.9999889135360718,0.04044564068317413,pilot_v2_training_gate_only
sample_042,train,rectangular_notch,0.6,0.9025210084033614,0.9487632508833922,0.09427609427609428,0.8452406800367298,538,594,0,0.015942521393299103,0.08216708898544312,0.09810961037874222,0.0,0.9999996423721313,0.06891156733036041,pilot_v2_training_gate_only
sample_043,train,rectangular_notch,0.6,0.7450110864745011,0.8538754764930114,0.30116959064327486,2.5889837317053557,445,342,0,0.05216391384601593,0.17181378602981567,0.2239776998758316,0.0,1.0,0.05630321055650711,pilot_v2_training_gate_only
sample_044,train,rectangular_notch,0.6,0.7894736842105263,0.8823529411764706,0.21052631578947367,1.6893288900523298,450,570,0,0.026318807154893875,0.10636860132217407,0.13268740475177765,0.0,0.9999996423721313,0.056947238743305206,pilot_v2_training_gate_only
sample_045,train,rectangular_notch,0.6,0.8505434782608695,0.9192364170337739,0.06363636363636363,1.8544541216446941,351,330,0,0.018097151070833206,0.08617329597473145,0.10427044332027435,0.0,1.0,0.04293624684214592,pilot_v2_training_gate_only
sample_046,train,rectangular_notch,0.6,0.7372159090909091,0.848732624693377,0.2627840909090909,3.3000288054211446,519,704,0,0.08627049624919891,0.1660880446434021,0.2523585557937622,0.0,1.0,0.06409639865159988,pilot_v2_training_gate_only
sample_047,train,rectangular_notch,0.6,0.8,0.8888888888888888,0.22039473684210525,1.5406175530499873,371,304,0,0.02351800538599491,0.12587732076644897,0.14939533174037933,0.0,0.9999998807907104,0.04585409164428711,pilot_v2_training_gate_only
sample_048,train,rectangular_notch,0.6,0.7630057803468208,0.8655737704918033,0.2932330827067669,1.5876697730557034,344,266,0,0.02310030907392502,0.14179617166519165,0.16489648818969727,0.0,0.9999992847442627,0.04175753891468048,pilot_v2_training_gate_only
sample_049,train,rectangular_notch,0.6,0.705765407554672,0.8275058275058275,0.08482142857142858,3.5563994987076586,410,448,0,0.04324977472424507,0.1758018136024475,0.21905158460140228,0.0,0.9999986886978149,0.05271412804722786,pilot_v2_training_gate_only
sample_050,train,rectangular_notch,0.6,0.687192118226601,0.8145985401459854,0.22402597402597402,3.2052083894967036,377,308,0,0.05409780144691467,0.1962491273880005,0.25034692883491516,0.0,0.9999998807907104,0.04744521528482437,pilot_v2_training_gate_only
sample_051,train,rectangular_notch,0.6,0.7662337662337663,0.8676470588235294,0.06060606060606061,2.4728351952892527,560,528,0,0.04255922883749008,0.133783757686615,0.17634299397468567,0.0,1.0,0.06893853098154068,pilot_v2_training_gate_only
sample_052,train,rectangular_notch,0.6,0.8125,0.896551724137931,0.1875,0.6653627401484826,598,736,0,0.032564736902713776,0.11881184577941895,0.15137657523155212,0.0,0.9999927282333374,0.07447060942649841,pilot_v2_training_gate_only
sample_053,train,rectangular_notch,0.6,0.8576998050682261,0.9233997901364114,0.13137254901960785,0.583014743042399,443,510,0,0.012699641287326813,0.06788450479507446,0.08058414608240128,0.0,0.9999995231628418,0.05683028697967529,pilot_v2_training_gate_only
sample_054,train,rectangular_notch,0.6,0.7956656346749226,0.8862068965517241,0.09523809523809523,2.633436355583638,551,609,0,0.05476703867316246,0.1315518021583557,0.18631884455680847,0.0,1.0,0.06931587308645248,pilot_v2_training_gate_only
sample_055,train,rectangular_notch,0.6,0.8,0.8888888888888888,0.05411764705882353,1.7045344991337816,448,425,0,0.03289541229605675,0.11844581365585327,0.15134122967720032,0.0,1.0,0.05550796538591385,pilot_v2_training_gate_only
sample_056,train,rectangular_notch,0.6,0.84765625,0.9175475687103594,0.14512471655328799,1.4554670975705986,505,441,0,0.024287564679980278,0.11598938703536987,0.1402769535779953,0.0,0.9999997615814209,0.06293199211359024,pilot_v2_training_gate_only
sample_057,train,rectangular_notch,0.6,0.9147157190635451,0.9554585152838428,0.08528428093645485,0.10175854834704977,547,598,0,0.010693224146962166,0.046919286251068115,0.05761250853538513,0.0,1.0,0.06788799166679382,pilot_v2_training_gate_only
sample_058,train,rectangular_notch,0.6,0.7817919075144508,0.8775344687753447,0.16517857142857142,1.7070314377815248,561,672,0,0.05050032585859299,0.12906062602996826,0.17956095933914185,0.0,1.0,0.07004103064537048,pilot_v2_training_gate_only
sample_059,train,rectangular_notch,0.6,0.7624633431085044,0.8652246256239601,0.048701298701298704,2.0754796306707113,293,308,0,0.03240060806274414,0.13693714141845703,0.16933774948120117,0.0,1.0,0.03595324233174324,pilot_v2_training_gate_only
