candidate,seed,split,group_type,group,K,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite
oracle_starconvex_radial,oracle,val,signal_bin,low_signal,32,binary,67,0.7768219521344597,0.8468067025489274,0.5808490312039652,0.20375598996721056,0,19,47,1.0427796234794218
oracle_starconvex_radial,oracle,val,signal_bin,non_low_signal,32,binary,133,0.7726709256861519,0.8526362547584966,0.45884897776566114,0.261785688950099,0,9,123,1.1664582026789874
oracle_starconvex_radial,oracle,val,defect_type,multi_defect,32,binary,71,0.554500540579958,0.6829775449281739,1.265092542683155,0.6222298878940268,0,0,71,-0.027614457175022977
oracle_starconvex_radial,oracle,val,defect_type,polygon,32,binary,72,0.900308008868127,0.9452843527311175,0.06732897665521186,0.0452090475818194,0,28,43,1.7782633849440328
oracle_starconvex_radial,oracle,val,defect_type,rotated_rect,32,binary,57,0.8880805068348219,0.9400840678441642,0.09253582954068994,0.0181714823122697,0,0,56,1.7356287451382961
oracle_starconvex_radial,oracle,test,overall,all,32,binary,200,0.7746778759340832,0.8474287609926802,0.6012740576354658,0.228186676663463,0,27,171,1.0208325792912976
oracle_starconvex_radial,oracle,test,area_bin,small,32,binary,67,0.8705329046610348,0.9224155195609599,0.24354753886026376,0.04649485181322071,0,24,42,1.5494008853617312
oracle_starconvex_radial,oracle,test,area_bin,medium,32,binary,66,0.7535595499864233,0.8256463415316776,0.7909740860174121,0.203342866540576,0,3,62,0.7882318055006887
oracle_starconvex_radial,oracle,test,area_bin,large,32,binary,67,0.6996259742600504,0.7938993111471793,0.7721318917359147,0.4343515085004298,0,0,67,0.7213933936713149
oracle_starconvex_radial,oracle,test,signal_bin,low_signal,32,binary,67,0.7310810953481583,0.8062536896073708,0.9389503561873213,0.21403042239192596,0,17,49,0.5983844287682077
oracle_starconvex_radial,oracle,test,signal_bin,non_low_signal,32,binary,133,0.7966401638984213,0.8681710901867835,0.4311664485905461,0.23531802280025235,0,10,122,1.2336448054946585
oracle_starconvex_radial,oracle,test,defect_type,multi_defect,32,binary,62,0.5186090810721995,0.642009553879673,1.7689411921505676,0.6610239556119326,0,0,62,-0.6083225571986952
oracle_starconvex_radial,oracle,test,defect_type,polygon,32,binary,75,0.8976656347430467,0.9429751121188665,0.057471867432725185,0.045335178452854355,0,25,48,1.783168879429188
oracle_starconvex_radial,oracle,test,defect_type,rotated_rect,32,binary,63,0.8802680881684408,0.9358416896679577,0.09952488184608844,0.01990018572680475,0,2,61,1.7165848959903098
