sample_id,split,component_types,true_connected_component_count,pred_connected_component_count,IoU,Dice,area_error,center_error,pred_area,true_area,failure_category,short_note,preview_path,seed,extra_fragment_flag,third_largest_component_area_ratio,distance_bin,source_pack
v4_topup_088,train,rotated_rect+rotated_rect+rotated_rect,3,3,0.38461538461538464,0.5555555555555556,0.1111111111111111,2.608940272501464,432,486,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.33101851851851855,near,pilot_v4_topup
v4_topup_085,train,rectangular_notch+rectangular_notch+rectangular_notch,3,3,0.719626168224299,0.8369565217391305,0.19960861056751467,3.3731970753876905,409,511,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.30317848410757947,near,pilot_v4_topup
v3_sample_001,train,rectangular_notch+rectangular_notch+rectangular_notch,3,3,0.7393075356415478,0.8501170960187353,0.26525198938992045,2.652155534928154,477,377,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.31446540880503143,near,pilot_v3
v3_sample_090,train,rectangular_notch+rectangular_notch+rotated_rect,3,3,0.7495462794918331,0.8568464730290456,0.19813084112149532,1.5078683424675001,429,535,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.30303030303030304,medium,pilot_v3
v3_sample_150,train,rectangular_notch+rectangular_notch+rotated_rect,3,3,0.7652495378927912,0.8670157068062827,0.21495327102803738,2.0168804854036453,420,535,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.3119047619047619,medium,pilot_v3
v3_sample_128,train,rotated_rect+rotated_rect+rotated_rect,3,3,0.7847826086956522,0.879415347137637,0.04738154613466334,1.179308068552808,420,401,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.30952380952380953,medium,pilot_v3
v4_topup_003,train,rectangular_notch+rotated_rect+rotated_rect,3,3,0.7855711422845691,0.8799102132435466,0.01583710407239819,1.8445392776124827,449,442,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.3184855233853007,near,pilot_v4_topup
v4_topup_091,train,rectangular_notch+rotated_rect+rotated_rect,3,3,0.8114754098360656,0.8959276018099548,0.04424778761061947,0.7416647494222895,432,452,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.31712962962962965,medium,pilot_v4_topup
v3_sample_219,train,rectangular_notch+rotated_rect+rotated_rect,3,3,0.8159509202453987,0.8986486486486487,0.013605442176870748,1.6000746577388447,447,441,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.3288590604026846,near,pilot_v3
v4_topup_030,train,rectangular_notch+rectangular_notch+rotated_rect,3,3,0.8590308370044053,0.9241706161137441,0.028846153846153848,2.1584840505139735,428,416,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.32242990654205606,medium,pilot_v4_topup
v3_sample_163,train,rectangular_notch+rotated_rect+rotated_rect,3,3,0.8682352941176471,0.929471032745592,0.09498680738786279,1.7738778061022238,415,379,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.30843373493975906,medium,pilot_v3
v3_sample_182,val,rectangular_notch+rectangular_notch+rotated_rect,3,3,0.23982558139534885,0.38686987104337633,0.026128266033254157,5.783875774390415,432,421,missed component,component recall heuristic is below 1.0 for the three-component target.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_three_component_multi_defect_pilot_v4_gate\v3_sample_182_val_rectangular_notch_rectangular_notch_rotated_rect.png,42,0,0.30324074074074076,near,pilot_v3
v4_topup_212,val,rotated_rect+rotated_rect+rotated_rect,3,3,0.2696456086286595,0.42475728155339804,0.039603960396039604,2.057577392415236,420,404,missed component,component recall heuristic is below 1.0 for the three-component target.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_three_component_multi_defect_pilot_v4_gate\v4_topup_212_val_rotated_rect_rotated_rect_rotated_rect.png,42,0,0.31666666666666665,medium,pilot_v4_topup
v3_sample_061,val,rectangular_notch+rectangular_notch+rectangular_notch,3,3,0.2995169082125604,0.46096654275092935,0.14058355437665782,3.8837254564122548,430,377,missed component,component recall heuristic is below 1.0 for the three-component target.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_three_component_multi_defect_pilot_v4_gate\v3_sample_061_val_rectangular_notch_rectangular_notch_rectangular_notch.png,42,0,0.31627906976744186,near,pilot_v3
v4_topup_160,val,rotated_rect+rotated_rect+rotated_rect,3,3,0.31540697674418605,0.47955801104972373,0.10669456066945607,1.1042118455138192,427,478,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,C:\Users\19166\Desktop\PINN_project\results\previews\comsol_three_component_multi_defect_pilot_v4_gate\v4_topup_160_val_rotated_rect_rotated_rect_rotated_rect.png,42,0,0.32786885245901637,near,pilot_v4_topup
v4_topup_209,val,rectangular_notch+rectangular_notch+rectangular_notch,3,3,0.4975206611570248,0.6644591611479028,0.3112244897959184,3.919247770972492,514,392,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.26848249027237353,medium,pilot_v4_topup
v3_sample_151,val,rectangular_notch+rotated_rect+rotated_rect,3,3,0.5637583892617449,0.721030042918455,0.37150127226463103,2.713821513310662,539,393,area error,predicted union mask area is biased.,,42,0,0.2782931354359926,medium,pilot_v3
v4_topup_025,val,rectangular_notch+rectangular_notch+rectangular_notch,3,4,0.6752136752136753,0.8061224489795918,0.0821917808219178,2.1254175441627274,469,511,extra fragments,prediction has more connected components than the true three-component union mask.,,42,1,0.32409381663113007,near,pilot_v4_topup
v3_sample_210,val,rectangular_notch+rectangular_notch+rotated_rect,3,3,0.7685185185185185,0.8691099476439791,0.21495327102803738,1.848607322620444,420,535,boundary / shape smoothing,prediction overlaps the union mask but boundaries are smoothed or coarse.,,42,0,0.3119047619047619,medium,pilot_v3
