model,observation_config,split,group_field,group_value,sample_count,total_normalized_mae,burial_depth_mae_mm,center_xyz_component_mae_mm,shape_macro_f1,catastrophic_failure_count,geometry_branch_failure_count
ridge_logreg,dual_xy_5line_plus_direction_features,test,size_level,small,1,0.9544797539710999,0.5857520699501038,2.751882314682007,0.3333333333333333,1,0
ridge_logreg,dual_xy_5line_plus_direction_features,test,aspect_bin,compact,3,0.7202498316764832,2.0243771076202393,1.5206050872802734,0.3333333333333333,2,1
ridge_logreg,dual_xy_5line_plus_direction_features,test,aspect_bin,elongated_y,2,0.929570734500885,0.8771398663520813,3.168487787246704,0.2222222222222222,2,1
ridge_logreg,single_x_9line,test,shape_type,internal_ellipsoid,3,0.6598949432373047,1.0332200527191162,1.8140971660614014,0.26666666666666666,2,0
ridge_logreg,single_x_9line,test,shape_type,internal_sphere,2,0.2587932050228119,0.5335122346878052,0.7979297041893005,0.3333333333333333,0,0
ridge_logreg,single_x_9line,test,burial_depth_level,deep_plus,4,0.5730835199356079,0.9199542999267578,1.576224684715271,0.6,2,0
ridge_logreg,single_x_9line,test,burial_depth_level,shallow,1,0.20493720471858978,0.48686733841896057,0.7332526445388794,0.3333333333333333,0,0
ridge_logreg,single_x_9line,test,size_level,large,3,0.4199480414390564,0.6446998715400696,1.5148411989212036,0.5555555555555555,1,0
ridge_logreg,single_x_9line,test,size_level,medium,1,0.3126492500305176,0.5801571607589722,0.8626068234443665,0.3333333333333333,0,0
ridge_logreg,single_x_9line,test,size_level,small,1,0.9247779846191406,1.6524279117584229,1.6310205459594727,0.3333333333333333,1,0
ridge_logreg,single_x_9line,test,aspect_bin,compact,3,0.2800959050655365,0.6897861957550049,0.8141737580299377,0.3333333333333333,0,0
ridge_logreg,single_x_9line,test,aspect_bin,elongated_y,2,0.8284918069839478,1.0486629009246826,2.2978146076202393,0.3333333333333333,2,0
ridge_logreg,dual_xy_9line,test,shape_type,internal_ellipsoid,3,0.829117476940155,0.746978759765625,2.6894140243530273,0.16666666666666666,1,0
ridge_logreg,dual_xy_9line,test,shape_type,internal_sphere,2,0.2498205155134201,0.6401568055152893,0.7967067360877991,0.3333333333333333,0,0
ridge_logreg,dual_xy_9line,test,burial_depth_level,deep_plus,4,0.7149580121040344,0.8003888726234436,2.3092782497406006,0.5,1,0
ridge_logreg,dual_xy_9line,test,burial_depth_level,shallow,1,0.12716126441955566,0.3196943402290344,0.4245418608188629,0.3333333333333333,0,0
ridge_logreg,dual_xy_9line,test,size_level,large,3,0.5584579110145569,0.3470201790332794,2.423215866088867,0.3333333333333333,1,0
ridge_logreg,dual_xy_9line,test,size_level,medium,1,0.37247970700263977,0.9606192111968994,1.1688716411590576,0.3333333333333333,0,0
ridge_logreg,dual_xy_9line,test,size_level,small,1,0.939139723777771,1.5195701122283936,1.2231358289718628,0.3333333333333333,0,0
ridge_logreg,dual_xy_9line,test,aspect_bin,compact,3,0.41929879784584045,0.6539528965950012,2.220762014389038,0.3333333333333333,0,0
ridge_logreg,dual_xy_9line,test,aspect_bin,elongated_y,2,0.86454838514328,0.7796955704689026,1.4996845722198486,0.2222222222222222,1,0
svr_rbf_C10,dual_xy_9line_plus_direction_features,test,shape_type,internal_ellipsoid,3,0.8884793519973755,0.5185338854789734,2.5435667037963867,0.16666666666666666,1,1
svr_rbf_C10,dual_xy_9line_plus_direction_features,test,shape_type,internal_sphere,2,0.2610580027103424,0.5282289385795593,1.333958387374878,0.3333333333333333,1,0
svr_rbf_C10,dual_xy_9line_plus_direction_features,test,burial_depth_level,deep_plus,4,0.771888792514801,0.6179262399673462,2.438157081604004,0.5,2,1
svr_rbf_C10,dual_xy_9line_plus_direction_features,test,burial_depth_level,shallow,1,0.09999873489141464,0.14035455882549286,0.5459888577461243,0.3333333333333333,0,0
svr_rbf_C10,dual_xy_9line_plus_direction_features,test,size_level,large,3,0.6201069951057434,0.5551140904426575,2.3950560092926025,0.3333333333333333,1,1
svr_rbf_C10,dual_xy_9line_plus_direction_features,test,size_level,medium,1,0.4221172034740448,0.9161033630371094,2.1219279766082764,0.3333333333333333,1,0
svr_rbf_C10,dual_xy_9line_plus_direction_features,test,size_level,small,1,0.9051157832145691,0.030613970011472702,0.9915211796760559,0.3333333333333333,0,0
svr_rbf_C10,dual_xy_9line_plus_direction_features,test,aspect_bin,compact,3,0.36597517132759094,0.5095523595809937,2.0793850421905518,0.3333333333333333,1,0
svr_rbf_C10,dual_xy_9line_plus_direction_features,test,aspect_bin,elongated_y,2,1.0448142290115356,0.5417011976242065,2.030230760574341,0.2222222222222222,1,1
