seed,source_index,sample_id,split,component_types,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,true_connected_component_count,pred_connected_component_count,component_count_error,predicted_component_count_is_2,missed_component_flag,merged_component_flag,split_component_flag,largest_component_area_ratio,second_largest_component_area_ratio,component_recall_heuristic,notes,predicted_component_count_is_3,extra_fragment_flag,third_largest_component_area_ratio,min_component_distance,min_component_distance_bin,union_mask_area,union_mask_area_bin
42,20,sample_021,train,rectangular_notch+rectangular_notch+rectangular_notch,0.4,0.7132616487455197,0.8326359832635983,0.03837953091684435,0.6630156436769351,487,469,0,0.04074915871024132,0.19204968214035034,0.23279884457588196,1.51896892933536e-26,0.9998143315315247,0.05701442062854767,3,3,0,0,0,0,0,0.351129363449692,0.351129363449692,1.0,multi_defect_pilot_gate_only,1,0,0.29774127310061604,0.0195386795869117,far,469,medium
42,21,sample_022,train,rectangular_notch+rectangular_notch+rotated_rect,0.4,0.5769230769230769,0.7317073170731707,0.18085106382978725,1.4907880429297118,555,470,0,0.09070627391338348,0.2970370650291443,0.38774335384368896,3.7203702661858414e-31,0.9997385144233704,0.06414054334163666,3,3,0,0,0,0,0,0.3441441441441441,0.3279279279279279,1.0,multi_defect_pilot_gate_only,1,0,0.3279279279279279,0.0195386795869117,far,470,medium
42,22,sample_023,train,rectangular_notch+rotated_rect+rotated_rect,0.4,0.7750511247443763,0.8732718894009217,0.19746835443037974,1.3012152423452878,473,395,0,0.03367234766483307,0.1533544659614563,0.18702681362628937,1.8113409054447895e-36,0.9999849796295166,0.056909069418907166,3,3,0,0,0,0,0,0.36363636363636365,0.3361522198731501,1.0,multi_defect_pilot_gate_only,1,0,0.30021141649048627,0.0195386795869117,far,395,small
42,23,sample_024,train,rotated_rect+rotated_rect+rotated_rect,0.4,0.639937106918239,0.7804410354745925,0.07208872458410351,2.7300925101361906,502,541,0,0.0861869603395462,0.2447994351387024,0.3309863805770874,1.7354610644378846e-38,0.9999518394470215,0.058686234056949615,3,3,0,0,0,0,0,0.35258964143426297,0.32669322709163345,1.0,multi_defect_pilot_gate_only,1,0,0.3207171314741036,0.0195386795869117,far,541,large
42,24,sample_025,train,rectangular_notch+rectangular_notch+rectangular_notch,0.4,0.7645951035781544,0.8665955176093917,0.07760532150776053,1.7266180629974894,486,451,0,0.03740793839097023,0.15787220001220703,0.19528013467788696,0.0,0.9999957084655762,0.05715566501021385,3,3,0,0,0,0,0,0.360082304526749,0.3271604938271605,1.0,multi_defect_pilot_gate_only,1,0,0.31275720164609055,0.016906803364326446,near,451,medium
42,25,sample_026,train,rectangular_notch+rectangular_notch+rotated_rect,0.4,0.6833333333333333,0.8118811881188119,0.006578947368421052,3.7325517198008034,453,456,0,0.09971228241920471,0.19638174772262573,0.29609403014183044,0.0,1.0,0.05378950759768486,3,3,0,0,0,0,0,0.3686534216335541,0.3333333333333333,1.0,multi_defect_pilot_gate_only,1,0,0.2980132450331126,0.016906803364326446,near,456,medium
42,26,sample_027,train,rectangular_notch+rotated_rect+rotated_rect,0.4,0.5564142194744977,0.7149950347567031,0.08190476190476191,2.49143713574335,482,525,0,0.10821281373500824,0.2931045889854431,0.40131741762161255,0.0,0.99993896484375,0.05678034946322441,3,3,0,0,0,0,0,0.3651452282157676,0.31742738589211617,1.0,multi_defect_pilot_gate_only,1,0,0.31742738589211617,0.016906803364326446,near,525,large
42,27,sample_028,train,rotated_rect+rotated_rect+rotated_rect,0.4,0.6962264150943396,0.8209121245828699,0.08584686774941995,2.2673091196516975,468,431,0,0.04677390307188034,0.19628161191940308,0.243055522441864,0.0,0.9999874830245972,0.05572431907057762,3,3,0,0,0,0,0,0.3504273504273504,0.33760683760683763,1.0,multi_defect_pilot_gate_only,1,0,0.31196581196581197,0.016906803364326446,near,431,small
42,28,sample_029,train,rectangular_notch+rectangular_notch+rectangular_notch,0.4,0.7065868263473054,0.8280701754385965,0.060240963855421686,2.9840581517886924,440,415,0,0.05717754364013672,0.18665683269500732,0.24383437633514404,0.0,0.9999992847442627,0.052873268723487854,3,3,0,0,0,0,0,0.3568181818181818,0.325,1.0,multi_defect_pilot_gate_only,1,0,0.3181818181818182,0.018704010265181103,far,415,small
42,29,sample_030,train,rectangular_notch+rectangular_notch+rotated_rect,0.4,0.7766323024054983,0.874274661508704,0.21107266435986158,1.3164406934283244,456,578,0,0.04711374640464783,0.1404380202293396,0.18755176663398743,0.0,0.9999973773956299,0.05478415638208389,3,3,0,0,0,0,0,0.3508771929824561,0.33771929824561403,1.0,multi_defect_pilot_gate_only,1,0,0.31140350877192985,0.018704010265181103,far,578,large
42,30,sample_031,train,rectangular_notch+rotated_rect+rotated_rect,0.4,0.7117988394584139,0.831638418079096,0.11722488038277512,3.5218177270000037,467,418,0,0.0488491952419281,0.18271857500076294,0.23156777024269104,0.0,0.9999973773956299,0.05506403371691704,3,4,1,0,0,0,1,0.34475374732334046,0.3297644539614561,1.0,multi_defect_pilot_gate_only,0,1,0.3233404710920771,0.018704010265181103,far,418,small
