sample_id,source_index,split,defect_type,source_pack,threshold,iou,dice,area_error,center_error_px,pred_area,true_area,pred_area_zero,type_prob_rectangular_notch,type_prob_rotated_rect,pred_defect_type,type_correct,true_center_x,true_center_y,pred_center_x,pred_center_y,center_mae_m,true_width,pred_width,width_abs_error_m,true_length,pred_length,length_abs_error_m,true_depth,pred_depth,depth_abs_error_m,true_angle_deg,pred_angle_deg,angle_abs_error_deg,sin_cos_error,notes
rect_p2_0029,28,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.7916666666666666,0.8837209302325582,0.20833333333333334,0.5,418.0,528.0,0.0,0.7763067483901978,0.22369326651096344,rectangular_notch,1.0,0.001500000013038516,0.0,0.0013030506670475006,3.735813879757188e-05,0.00020046115688758097,0.014000000432133675,0.012896503321826458,0.0011034971103072166,0.007499999832361937,0.007712710183113813,0.00021271035075187683,0.002199999988079071,0.0020238724537193775,0.00017612753435969353,0.0,0.0,nan,0.0,
rect_p2_0031,30,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.6780952380952381,0.8081725312145289,0.3219047619047619,2.8326252732481416,356.0,525.0,0.0,0.7878097891807556,0.2121901661157608,rectangular_notch,1.0,-0.003000000026077032,-0.0005000000237487257,-0.0015859351260587573,0.00021943713363725692,0.0015865589632764801,0.013000000268220901,0.01247441302984953,0.0005255872383713722,0.00800000037997961,0.007643749006092548,0.00035625137388706207,0.0010000000474974513,0.001662982045672834,0.0006629819981753826,0.0,0.0,nan,0.0,
rect_p2_0032,31,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.704225352112676,0.8264462809917356,0.16666666666666666,2.0,440.0,528.0,0.0,0.77219158411026,0.22780844569206238,rectangular_notch,1.0,0.001500000013038516,-0.0005000000237487257,0.0012970279203727841,4.037945836898871e-05,0.0005772414285983382,0.014999999664723873,0.013069339096546173,0.0019306605681777,0.007000000216066837,0.007834605872631073,0.0008346056565642357,0.0010000000474974513,0.0019651984330266714,0.0009651983855292201,0.0,0.0,nan,0.0,
rect_p2_0033,32,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.6440677966101694,0.7835051546391752,0.2427536231884058,3.1622776601683795,418.0,552.0,0.0,0.7685757875442505,0.23142418265342712,rectangular_notch,1.0,0.0022499999031424522,0.0010000000474974513,0.0015965158818289638,1.0783973266370595e-05,0.0011855756919148055,0.014000000432133675,0.013246557675302029,0.000753442756831646,0.007499999832361937,0.007860793732106686,0.00036079389974474907,0.0010000000474974513,0.0019608312286436558,0.0009608311811462045,0.0,0.0,nan,0.0,
rect_p2_0034,33,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.5641025641025641,0.7213114754098361,0.4358974358974359,2.8284271247461903,440.0,780.0,0.0,0.7650506496429443,0.23494935035705566,rectangular_notch,1.0,0.000750000006519258,-0.0005000000237487257,0.0016522579826414585,7.3623177740955725e-06,0.0010351260896022075,0.01600000075995922,0.013382025063037872,0.0026179756969213486,0.009499999694526196,0.007931297644972801,0.0015687020495533943,0.0013000000035390258,0.0019267721800133586,0.0006267721764743328,0.0,0.0,nan,0.0,
rect_p2_0036,35,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.5619834710743802,0.7195767195767195,0.10526315789473684,4.242640687119285,357.0,399.0,0.0,0.7859354615211487,0.2140646129846573,rectangular_notch,1.0,-0.003000000026077032,0.0010000000474974513,-0.0006743562407791615,0.00020863671670667827,0.002456598235640388,0.013000000268220901,0.011907853186130524,0.0010921470820903778,0.006000000052154064,0.007419737521559,0.0014197374694049358,0.002199999988079071,0.0020249595399945974,0.0001750404480844736,0.0,0.0,nan,0.0,
rect_p2_0037,36,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.6,0.75,0.4,1.1030931556234211,405.0,675.0,0.0,0.6652429699897766,0.3347570300102234,rectangular_notch,1.0,0.001500000013038516,-0.0005000000237487257,0.0015941555611789227,-1.9204671843908727e-05,0.0004899279780395389,0.01600000075995922,0.013635283336043358,0.002364717423915863,0.008500000461935997,0.007930325344204903,0.0005696751177310944,0.0019000000320374966,0.0017751570558175445,0.0001248429762199521,0.0,0.0,nan,0.0,
rect_p2_0038,37,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.5823699421965318,0.7360730593607306,0.3705357142857143,1.4504952525248938,423.0,672.0,0.0,0.6935132741928101,0.30648672580718994,rectangular_notch,1.0,0.003000000026077032,0.0,0.0017126718303188682,-2.531493009882979e-05,0.0012875770770248585,0.013000000268220901,0.013598557561635971,0.0005985572934150696,0.009999999776482582,0.007892916910350323,0.0021070828661322594,0.0024999999441206455,0.001817206502892077,0.0006827934412285686,0.0,0.0,nan,0.0,
rect_p2_0039,38,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.5035335689045937,0.6698002350176263,0.03917050691244239,3.817936537961066,417.0,434.0,0.0,0.7859561443328857,0.21404387056827545,rectangular_notch,1.0,0.003000000026077032,0.0005000000237487257,0.0008655627025291324,7.924129022285342e-05,0.002175513756111465,0.008999999612569809,0.01251428946852684,0.0035142898559570312,0.009999999776482582,0.007595828268676996,0.002404171507805586,0.002199999988079071,0.002084028907120228,0.00011597108095884323,0.0,0.0,nan,0.0,
rect_p2_0042,41,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.6428571428571429,0.782608695652174,0.2962962962962963,2.9154759474226504,418.0,594.0,0.0,0.7639469504356384,0.23605310916900635,rectangular_notch,1.0,0.0,0.0005000000237487257,0.001641012029722333,-4.299472493585199e-07,0.0017156196000508983,0.014000000432133675,0.013201777823269367,0.0007982226088643074,0.008500000461935997,0.007765309419482946,0.0007346910424530506,0.0019000000320374966,0.001974159851670265,7.415981963276863e-05,0.0,0.0,nan,0.0,
rect_p2_0044,43,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.5473856209150327,0.7074973600844773,0.3385964912280702,2.9213641378415387,377.0,570.0,0.0,0.7809573411941528,0.21904270350933075,rectangular_notch,1.0,0.000750000006519258,0.0005000000237487257,-0.0007233936339616776,0.0002007470902753994,0.0015034763480988483,0.012000000104308128,0.012258658185601234,0.0002586580812931061,0.009499999694526196,0.007571155671030283,0.0019288440234959126,0.0015999999595806003,0.0018898282432928681,0.0002898282837122679,0.0,0.0,nan,0.0,
rect_p2_0046,45,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.59375,0.7450980392156863,0.40625,3.3541019662496847,418.0,704.0,0.0,0.7756713628768921,0.2243286520242691,rectangular_notch,1.0,0.0,-0.0010000000474974513,0.0010629534954205155,6.187894177855924e-05,0.0015024836457812646,0.014000000432133675,0.012853615917265415,0.0011463845148682594,0.009999999776482582,0.007760063279420137,0.0022399364970624447,0.0015999999595806003,0.0019947874825447798,0.0003947875229641795,0.0,0.0,nan,0.0,
rect_p2_0048,47,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.7037037037037037,0.8260869565217391,0.42105263157894735,1.4142135623730951,378.0,266.0,0.0,0.7913717031478882,0.20862826704978943,rectangular_notch,1.0,-0.000750000006519258,0.0005000000237487257,-1.332933607045561e-05,0.00016112210869323462,0.0008108772592625458,0.008999999612569809,0.011912195011973381,0.002912195399403572,0.006000000052154064,0.007401188835501671,0.0014011887833476067,0.002199999988079071,0.002138808136805892,6.119185127317905e-05,0.0,0.0,nan,0.0,
rect_p2_0051,50,train,rectangular_notch,pilot_v2_rectangular_notch,0.7,0.6713780918727915,0.8033826638477801,0.20833333333333334,2.5,418.0,528.0,0.0,0.7742397785186768,0.22576017677783966,rectangular_notch,1.0,0.0,-0.0005000000237487257,0.0008850551676005125,7.746193296043202e-05,0.0010567804736774417,0.014999999664723873,0.012833835557103157,0.002166164107620716,0.007000000216066837,0.0077731916680932045,0.0007731914520263672,0.0010000000474974513,0.001967698335647583,0.0009676982881501317,0.0,0.0,nan,0.0,
