variant,seed,selected_seed,split,param,sample_count,normalized_mae,physical_mae,physical_mae_mm,relative_mae
C1_split_heads,123,False,train,ALL,162,0.482035368680954,0.06366623193025589,,
C1_split_heads,123,False,train,DIMENSION_MEAN,162,0.3917481303215027,0.0014077272498980165,1.4077272415161133,
C1_split_heads,123,False,train,CURVATURE_MEAN,162,0.57232266664505,0.1259247362613678,,
C1_split_heads,123,False,val,L_m,39,0.434542179107666,0.002694259397685528,2.6942594051361084,0.1513310819864273
C1_split_heads,123,False,val,W_m,39,0.5493100881576538,0.0024669503327459097,2.4669504165649414,0.2634891867637634
C1_split_heads,123,False,val,D_m,39,0.7569126486778259,0.0011547738686203957,1.1547738313674927,0.3897193670272827
C1_split_heads,123,False,val,wLD,39,0.9264476299285889,0.21441107988357544,,
C1_split_heads,123,False,val,wWD,39,0.9790588021278381,0.21921028196811676,,
C1_split_heads,123,False,val,wLW,39,0.9125730991363525,0.18506556749343872,,
C1_split_heads,123,False,val,ALL,39,0.7598073482513428,0.1041671484708786,,
C1_split_heads,123,False,val,DIMENSION_MEAN,39,0.5802549719810486,0.0021053277887403965,2.105327844619751,
C1_split_heads,123,False,val,CURVATURE_MEAN,39,0.939359724521637,0.20622895658016205,,
C1_split_heads,123,False,test,L_m,39,0.3117184042930603,0.0019327241461724043,1.932724118232727,0.10650312900543213
C1_split_heads,123,False,test,W_m,39,0.4220520853996277,0.0018954349216073751,1.8954349756240845,0.1992560476064682
C1_split_heads,123,False,test,D_m,39,0.735581636428833,0.0011222304310649633,1.1222304105758667,0.4577975571155548
C1_split_heads,123,False,test,wLD,39,0.9543713331222534,0.22087356448173523,,
C1_split_heads,123,False,test,wWD,39,0.9575740098953247,0.21439984440803528,,
C1_split_heads,123,False,test,wLW,39,1.042213797569275,0.21135608851909637,,
C1_split_heads,123,False,test,ALL,39,0.737251877784729,0.10859665274620056,,
C1_split_heads,123,False,test,DIMENSION_MEAN,39,0.48978397250175476,0.001650130026973784,1.650130033493042,
C1_split_heads,123,False,test,CURVATURE_MEAN,39,0.9847197532653809,0.21554316580295563,,
C1_split_heads,2026,False,train,L_m,162,0.25453686714172363,0.0015781857073307037,1.5781856775283813,0.08542682230472565
C1_split_heads,2026,False,train,W_m,162,0.3463265597820282,0.001555351889692247,1.5553518533706665,0.14321643114089966
C1_split_heads,2026,False,train,D_m,162,0.40682652592658997,0.0006206695106811821,0.6206694841384888,0.22527411580085754
C1_split_heads,2026,False,train,wLD,162,0.46773722767829895,0.10825008898973465,,
C1_split_heads,2026,False,train,wWD,162,0.4858587384223938,0.10878327488899231,,
C1_split_heads,2026,False,train,wLW,162,0.42027485370635986,0.0852297767996788,,
C1_split_heads,2026,False,train,ALL,162,0.39692676067352295,0.05100288987159729,,
C1_split_heads,2026,False,train,DIMENSION_MEAN,162,0.3358966112136841,0.0012514024274423718,1.2514023780822754,
C1_split_heads,2026,False,train,CURVATURE_MEAN,162,0.4579569101333618,0.10075438022613525,,
C1_split_heads,2026,False,val,L_m,39,0.42420968413352966,0.002630195813253522,2.6301958560943604,0.14233803749084473
C1_split_heads,2026,False,val,W_m,39,0.5892632007598877,0.0026463796384632587,2.6463797092437744,0.2513158321380615
C1_split_heads,2026,False,val,D_m,39,0.7275213599205017,0.001109933597035706,1.109933614730835,0.41399621963500977
C1_split_heads,2026,False,val,wLD,39,1.088471531867981,0.2519087791442871,,
C1_split_heads,2026,False,val,wWD,39,0.9635809659957886,0.21574482321739197,,
C1_split_heads,2026,False,val,wLW,39,0.9861255288124084,0.19998160004615784,,
C1_split_heads,2026,False,val,ALL,39,0.7965286374092102,0.11233696341514587,,
C1_split_heads,2026,False,val,DIMENSION_MEAN,39,0.5803313255310059,0.0021288362331688404,2.128836154937744,
C1_split_heads,2026,False,val,CURVATURE_MEAN,39,1.012725830078125,0.2225450724363327,,
C1_split_heads,2026,False,test,L_m,39,0.2920461595058441,0.0018107518553733826,1.8107519149780273,0.0939360186457634
C1_split_heads,2026,False,test,W_m,39,0.38351747393608093,0.0017223763279616833,1.7223763465881348,0.16193901002407074
C1_split_heads,2026,False,test,D_m,39,0.5803028345108032,0.0008853315957821906,0.8853315711021423,0.37747544050216675
C1_split_heads,2026,False,test,wLD,39,0.9045588374137878,0.2093452513217926,,
C1_split_heads,2026,False,test,wWD,39,0.9633810520172119,0.21570004522800446,,
C1_split_heads,2026,False,test,wLW,39,0.899277925491333,0.18236936628818512,,
C1_split_heads,2026,False,test,ALL,39,0.6705141067504883,0.10197218507528305,,
C1_split_heads,2026,False,test,DIMENSION_MEAN,39,0.4186221659183502,0.0014728199457749724,1.4728199243545532,
C1_split_heads,2026,False,test,CURVATURE_MEAN,39,0.9224058985710144,0.2024715691804886,,
