candidate,split,liftoff_subset,sample_count,normalized_param_mae,dimension_mae_norm,curvature_mae_norm,L_mae_mm,W_mae_mm,D_mae_mm,wLD_abs_error,wWD_abs_error,wLW_abs_error,wMAE_auxiliary,projected_mask_iou,projected_mask_dice,profile_depth_rmse_m,er_like_profile_error,max_depth_error_m,volume_proxy_rel_error,seed,selected_seed,best_epoch,best_val_selection_metric
C1_unconditioned_liftoff_aug,train,non_nominal,96,0.1594846639006088,0.1377044979017228,0.1812648295648008,0.6522324391019841,0.8007894234421352,0.15223873309635869,0.0489479781438907,0.03877230236927668,0.03376134671270847,0.04049387580137894,0.9018421393376039,0.9469037180974488,8.31349620208736e-05,0.057969961252335146,0.00015223873318367018,0.14077457732595364,123,True,27,0.8607479810714722
C1_unconditioned_liftoff_aug,val,all_liftoff,32,0.655734631465748,0.48998746857978404,0.821481772698462,1.5806913482956588,1.8705996256321669,0.9724150103866123,0.1591564230620861,0.21439065970480442,0.17190965078771114,0.18181891046697274,0.7500396064986804,0.8503887428409235,0.0005008132221746564,0.42725759564200416,0.0009724150077090599,0.6073250270576391,123,True,27,0.8607479810714722
C1_unconditioned_liftoff_aug,val,nominal_0p008,8,0.5860585225746036,0.4692670088261366,0.7028499860316515,1.7110028713941574,2.090506956912577,0.8063563392497599,0.12950143218040466,0.18229983001947403,0.15413837879896164,0.15531321079470217,0.7340228044641038,0.8376911645518681,0.00040585229044154403,0.3253823157865554,0.0008063563291216269,0.4817043758329756,123,True,27,0.8607479810714722
C1_unconditioned_liftoff_aug,val,non_nominal,24,0.6789600010961294,0.49689428849766654,0.8610257015873989,1.5372541739294927,1.79729718187203,1.0277679007655631,0.16904142002264658,0.2250876029332479,0.1778334081172943,0.19065414369106293,0.7553785405102058,0.8546212689372753,0.0005324668660856938,0.4612160222604871,0.0010277679005715374,0.6491985774658604,123,True,27,0.8607479810714722
C1_unconditioned_liftoff_aug,test,all_liftoff,32,0.9022875605151057,0.6666091391816735,1.1379659636877477,2.1851996378973126,1.6702253548428416,1.5481471326202154,0.30249370634555817,0.20751257054507732,0.25073952972888947,0.2535819335025735,0.7406526919157864,0.8374875111324139,0.000697073064657161,0.9581967976409942,0.0015481471455132123,1.8043768642793439,123,True,27,0.8607479810714722
C1_unconditioned_liftoff_aug,test,nominal_0p008,8,0.8915509916841984,0.7016252409666777,1.0814767144620419,2.068677417933941,1.4591864459216595,1.7621771432459354,0.3093079403042793,0.180424265563488,0.23489368706941605,0.24154195934534073,0.7587937934291926,0.8505624809787936,0.0008090106257441221,1.1353817358613014,0.0017621771548874676,2.1269084770091338,123,True,27,0.8607479810714722
C1_unconditioned_liftoff_aug,test,non_nominal,24,0.9058664167920748,0.6549371052533388,1.1567957134296496,2.2240403778851032,1.740571657816569,1.4768037957449753,0.30022229502598446,0.21654200553894043,0.25602147728204727,0.25759525822165114,0.7346056580779843,0.8331291878502872,0.0006597605442948407,0.8991351515675584,0.0014768038090551272,1.6968663267027468,123,True,27,0.8607479810714722
C1_unconditioned_liftoff_aug,train,all_liftoff,128,0.4516850378131494,0.39767754638160113,0.5056925360986497,1.4964105879189447,1.8248496806190815,0.6584923230402637,0.13631878048181534,0.10053350171074271,0.10173434438183904,0.11286220875263098,0.7968225452270459,0.8794674346785754,0.00030544782622854427,0.26656354324222775,0.0006584923239643103,0.4992300536926575,2026,False,13,0.9536421746015549
C1_unconditioned_liftoff_aug,train,nominal_0p008,32,0.4139957611914724,0.37263043655548245,0.4553610922303051,1.4199332287535071,1.6336198572535068,0.6332816873327829,0.12658594362437725,0.08248218148946762,0.09590898640453815,0.10165903689630795,0.8108727119395494,0.8897175659431655,0.0002837707781395693,0.23703200818272308,0.0006332816847134382,0.42136419172333917,2026,False,13,0.9536421746015549
C1_unconditioned_liftoff_aug,train,non_nominal,96,0.46424813002037507,0.40602658299030736,0.5224696840547646,1.5219030409740906,1.888592955074273,0.6668958682760907,0.1395630594342947,0.10655060845116775,0.10367613037427266,0.11659659937140532,0.7921391563228779,0.8760507242570452,0.0003126735089248693,0.2764073882620626,0.0006668958703812677,0.5251853410157636,2026,False,13,0.9536421746015549
