group_field,group_value,split,sample_count,oracle_fit_success_rate,rbc_representable_rate,oracle_profile_depth_rmse_mean_m,oracle_profile_depth_rmse_p95_m,oracle_Er_like_mean,oracle_projected_mask_Dice_mean,oracle_projected_mask_IoU_mean,oracle_area_error_mean,primary_interpretation
shape_type,irregular_corrosion_non_rbc,train,9,1.0,1.0,0.00011137632250934174,0.00021230789539813006,0.3991426745309613,0.8961106766387803,0.8118387832999837,0.023419401016515407,RBC representation adequate
shape_type,multi_pit_two_component_surface_defect,train,9,1.0,0.0,0.0002578012512187077,0.0004617668101499964,0.9117594682895055,0.3521540337156892,0.23483131335327295,0.3785805002935951,RBC representation failure
shape_type,rbc_like_smooth_pit,train,14,1.0,1.0,3.71623433215979e-05,7.031467462386008e-05,0.20943635629210533,0.9651052761429162,0.9327467792791487,0.01963584859529175,RBC representation adequate
shape_type,sharp_wall_boxy_corrosion,train,10,1.0,1.0,0.0001134264665893092,0.00022639980264128797,0.3060262440927462,0.9153706043435246,0.8439806541234901,0.13601698893133285,RBC representation adequate
shape_type,asymmetric_corrosion,val,3,1.0,1.0,6.457858211096389e-05,6.854859429999552e-05,0.3206227404538784,0.9744912092738179,0.9502869153287493,0.026900202075870305,RBC representation adequate
shape_type,elongated_crack_like_surface_defect,val,3,1.0,1.0,9.293517946570986e-05,9.865091207208013e-05,0.3069010257399101,0.9251521657873191,0.8607806028892352,0.08499355505692241,RBC representation adequate
shape_type,flat_bottom_pit,val,3,1.0,1.0,8.026926940031682e-05,8.782006797336113e-05,0.23673457093351336,0.9549804088882246,0.9138831581360317,0.09434054472852971,RBC representation adequate
shape_type,irregular_corrosion_non_rbc,val,4,1.0,1.0,8.963728361687694e-05,0.00010579127264124,0.38854960403084304,0.8991690751833434,0.816849656198048,0.020106801935691955,RBC representation adequate
shape_type,multi_pit_two_component_surface_defect,val,3,1.0,0.0,0.00020118208243571868,0.00026860875265099485,0.887815690931507,0.42421568627450984,0.2841283656091474,0.446620680600901,RBC representation failure
shape_type,rbc_like_smooth_pit,val,5,1.0,1.0,4.1923638129086984e-05,7.377885395076633e-05,0.20163205155475464,0.9661597472083011,0.9345661240497563,0.02396639584145456,RBC representation adequate
