sample_id,split,shape_type,target_role,eligibility_status,failure_mode,feature_residual_mse_before,feature_residual_mse_after,baseline_profile_depth_rmse_m,refined_profile_depth_rmse_m,oracle_profile_depth_rmse_m,baseline_projected_mask_Dice,refined_projected_mask_Dice,oracle_projected_mask_Dice,notes
surf_shape_039_flat_bottom_pit,test,flat_bottom_pit,already_pass_reference,rbc_refinement_applied,already_pass_reference_profile_degraded_monitoring,23.989425638260542,1.295002424580715,0.0002418089170758106,0.0006013742682514951,0.00015498528051100492,0.7737973387922211,0.49101796407185627,0.9521410579345088,runner failure/monitoring row only; no baseline transition
surf_shape_015_rbc_like_smooth_pit,val,rbc_like_smooth_pit,refinement_target,rbc_refinement_applied,profile_rmse_not_improved|dice_not_improved|forward_residual_improved_without_profile_improvement,16.054804047959607,0.5333837258034618,0.0002163964454773409,0.00029815023995123776,6.759837471551316e-05,0.6773547094188377,0.3671497584541063,0.9615384615384616,runner failure/monitoring row only; no baseline transition
surf_shape_052_sharp_wall_boxy_corrosion,val,sharp_wall_boxy_corrosion,already_pass_reference,rbc_refinement_applied,already_pass_reference_profile_degraded_monitoring,22.836273125145798,0.3278642294065546,0.0003475051983696192,0.0004110039833975589,0.00011342106790848217,0.827639751552795,0.7395715896279594,0.9206896551724137,runner failure/monitoring row only; no baseline transition
surf_shape_078_elongated_crack_like_surface_defect,train,elongated_crack_like_surface_defect,refinement_target,rbc_refinement_applied,profile_rmse_not_improved|forward_residual_improved_without_profile_improvement,8.538172484915778,0.4219895228881283,0.0003507134442320541,0.00040534449599889617,0.00012683441708348883,0.562429696287964,0.7975646879756468,0.9261992619926199,runner failure/monitoring row only; no baseline transition
surf_shape_047_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,refinement_target,rbc_refinement_applied,profile_rmse_not_improved|forward_residual_improved_without_profile_improvement,60.73885975490522,0.44578128329217764,0.00043140673289178704,0.00048108724581781895,0.00021113086825279086,0.5903614457831325,0.7159090909090909,0.9133192389006343,runner failure/monitoring row only; no baseline transition
surf_shape_043_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,already_pass_reference,rbc_refinement_applied,already_pass_reference_profile_degraded_monitoring,20.220129257050125,0.40408865763628565,0.00024249800209352713,0.0002878325125033138,0.00010536019688155603,0.7708703374777975,0.7043010752688172,0.9116080937167199,runner failure/monitoring row only; no baseline transition
surf_shape_029_flat_bottom_pit,train,flat_bottom_pit,refinement_target,rbc_refinement_applied,profile_rmse_not_improved|dice_not_improved|forward_residual_improved_without_profile_improvement,15.128920371439134,0.5129791743973234,0.0002843868398951472,0.00032431019063950724,7.762369041606704e-05,0.45355850422195415,0.1477832512315271,0.9447236180904522,runner failure/monitoring row only; no baseline transition
surf_shape_053_sharp_wall_boxy_corrosion,val,sharp_wall_boxy_corrosion,refinement_target,rbc_refinement_applied,profile_rmse_not_improved|forward_residual_improved_without_profile_improvement,7.097768556666476,0.44441481030985325,0.00026812982636753856,0.0003023904117035463,0.00010562940262126643,0.5475,0.6875,0.9191489361702128,runner failure/monitoring row only; no baseline transition
surf_shape_035_flat_bottom_pit,val,flat_bottom_pit,already_pass_reference,rbc_refinement_applied,already_pass_reference_profile_degraded_monitoring,53.09154309104876,1.3904693520790488,0.000250923832480526,0.00027260044073322185,7.400142129588298e-05,0.702247191011236,0.5426356589147286,0.9615384615384616,runner failure/monitoring row only; no baseline transition
surf_shape_086_elongated_crack_like_surface_defect,test,elongated_crack_like_surface_defect,refinement_target,rbc_refinement_applied,profile_rmse_not_improved|forward_residual_improved_without_profile_improvement,17.40824163404613,0.4706389457077624,0.00040491627495931363,0.00041990057261451577,0.00011708935720932167,0.5071982281284607,0.7145038167938931,0.9205702647657841,runner failure/monitoring row only; no baseline transition
surf_shape_004_rbc_like_smooth_pit,train,rbc_like_smooth_pit,already_pass_reference,rbc_refinement_applied,already_pass_reference_profile_degraded_monitoring,53.25989481303465,0.3284265195913824,0.00012687176386884212,0.0001331869412585344,3.771513299527994e-05,0.8582887700534759,0.568561872909699,0.9617612977983777,runner failure/monitoring row only; no baseline transition
surf_shape_011_rbc_like_smooth_pit,train,rbc_like_smooth_pit,already_pass_reference,rbc_refinement_applied,already_pass_reference_profile_degraded_monitoring,132.30304190779077,0.4460281318334291,7.55296850808856e-05,7.723694156534504e-05,3.339219310476943e-05,0.8419243986254296,0.9519774011299436,0.9632892804698973,runner failure/monitoring row only; no baseline transition
surf_shape_027_flat_bottom_pit,train,flat_bottom_pit,refinement_target,rbc_refinement_applied,dice_not_improved,88.64055879960196,0.8641784263323669,0.00038489836604100886,0.00027058121381327393,7.772328842244177e-05,0.5714285714285714,0.5551330798479087,0.9569620253164557,runner failure/monitoring row only; no baseline transition
surf_shape_016_rbc_like_smooth_pit,val,rbc_like_smooth_pit,refinement_target,rbc_refinement_applied,dice_not_improved,135.71039923670028,0.3896987495302258,0.0004720432842972136,0.0003461477020098763,7.532397375957961e-05,0.5903698534542917,0.561344537815126,0.9649532710280374,runner failure/monitoring row only; no baseline transition
surf_shape_022_rbc_like_smooth_pit,test,rbc_like_smooth_pit,refinement_target,rbc_refinement_applied,dice_not_improved,29.19058875538277,1.0946448257091286,0.00034394969476863875,0.00018764440076483814,3.937662535724862e-05,0.49627263045793396,0.1796875,0.9665271966527197,runner failure/monitoring row only; no baseline transition
surf_shape_050_sharp_wall_boxy_corrosion,train,sharp_wall_boxy_corrosion,refinement_target,rbc_refinement_applied,dice_not_improved,21.540373059687624,0.6019158111545962,0.000361708057690303,0.00019439111816323715,5.8140642233095266e-05,0.5915768854064642,0.47413793103448276,0.9230769230769231,runner failure/monitoring row only; no baseline transition
surf_shape_113_irregular_corrosion_non_rbc,train,irregular_corrosion_non_rbc,refinement_target,rbc_refinement_applied,dice_not_improved,20.978118696822616,0.49420016829575475,0.00041683517913459215,0.00011355286905787484,4.63571982025964e-05,0.46120218579234973,0.0990990990990991,0.8915094339622641,runner failure/monitoring row only; no baseline transition
surf_shape_057_asymmetric_corrosion,train,asymmetric_corrosion,refinement_target,rbc_refinement_applied,dice_not_improved,35.234080736851894,0.42496022569756686,0.00040873484645149983,8.810994418331779e-05,3.2010818629399295e-05,0.43097643097643096,0.10837438423645321,0.9746192893401016,runner failure/monitoring row only; no baseline transition
surf_shape_108_irregular_corrosion_non_rbc,train,irregular_corrosion_non_rbc,refinement_target,rbc_refinement_applied,dice_not_improved,12.257318871859091,0.3454573499827957,0.0006208454758160675,0.00022894423719097085,0.00011064042216033262,0.7349152542372881,0.5971685971685972,0.8966756513926325,runner failure/monitoring row only; no baseline transition
surf_shape_018_rbc_like_smooth_pit,val,rbc_like_smooth_pit,refinement_target,rbc_refinement_applied,dice_not_improved,14.845668924536636,0.3924856601884958,0.00047077587235342625,7.171208992350048e-05,1.821262555071562e-05,0.6484268125854993,0.647887323943662,0.9708333333333333,runner failure/monitoring row only; no baseline transition
