sample_index,defect_type,true_area,area_bin,baseline_iou,baseline_dice,baseline_area_error,baseline_pred_area,baseline_center_error,baseline_defect_mae,baseline_background_mae,composite_mean_iou,composite_mean_dice,composite_mean_area_error,composite_mean_pred_area,composite_mean_center_error,composite_mean_defect_mae,composite_mean_background_mae,delta_iou,delta_dice,delta_area_error,delta_pred_area,delta_center_error,delta_defect_mae,delta_background_mae,baseline_pred_area_zero,composite_pred_area_zero,pred_area_zero_repaired,composite_clearly_worse
70,rotated_rect,4.081016615601072,small,0.0,0.0,0.2835820895522388,2.9237133962515145,2.3251659870147705,731.4761962890625,23.363967895507812,0.0533305679608998,0.0995785391004893,0.431592039800995,5.842350901190092,2.126498579978943,679.3407796223959,30.655555089314777,0.0533305679608998,0.0995785391004893,0.14800995024875618,2.9186375049385775,-0.19866740703582764,-52.13541666666663,7.291587193806965,False,False,False,True
71,polygon,8.999555297836693,medium,0.10367170626349892,0.18786692759295498,0.2707275803722504,6.563127467627098,1.6899149417877197,718.7130126953125,25.720739364624023,0.1360575088296315,0.23813526782093067,0.12859560067681894,7.842252078487135,1.66959015528361,696.9705200195312,31.00861994425456,0.03238580256613258,0.05026834022797569,-0.14213197969543148,1.2791246108600376,-0.020324786504109627,-21.74249267578125,5.287880579630535,False,False,False,False
72,multi_defect,16.23270041877143,large,0.2212051868802441,0.3622735790131168,0.4981238273921201,8.146805557263335,3.2880678176879883,711.0535888671875,41.2469596862793,0.29627852524709897,0.4565127959083723,0.12163852407754848,15.029714177605442,1.7063053647677104,590.4993896484375,61.20463307698568,0.07507333836685487,0.0942392168952555,-0.3764853033145716,6.882908620342107,-1.5817624529202778,-120.55419921875,19.957673390706383,False,False,False,False
73,rotated_rect,4.903311008296811,small,0.0,0.0,1.0,0.0,nan,745.0635375976562,12.518023490905762,0.21177515732634547,0.30586732842817127,0.6718426501035196,1.6090575462009202,1.0820790231227875,616.21337890625,21.479183197021484,0.21177515732634547,0.30586732842817127,-0.3281573498964804,1.6090575462009202,nan,-128.85015869140625,8.961159706115723,True,False,True,False
74,polygon,9.030010645714313,medium,0.6163742690058479,0.7626628075253257,0.3305227655986509,12.014634737721067,0.4477222263813019,367.73101806640625,31.142236709594727,0.560942319208007,0.7169641556409411,0.19955030916245078,10.831952061806826,0.646075963973999,390.2320556640625,32.86307843526205,-0.05543194979784094,-0.0456986518843846,-0.13097245643620012,-1.1826826759142417,0.19835373759269714,22.50103759765625,1.72084172566732,False,False,False,True
75,polygon,15.85200857030118,large,0.34303912647861695,0.510840108401084,0.5821325648414986,6.6240381633823375,0.3996868431568146,649.7410278320312,15.621068954467773,0.39763982244169765,0.5680674973673803,0.46301633045148893,8.512269731794774,0.3147291640440623,597.6581013997396,22.50454839070638,0.0546006959630807,0.05722738896629631,-0.11911623439000962,1.8882315684124364,-0.08495767911275226,-52.08292643229163,6.883479436238606,False,False,False,False
76,polygon,12.288732868619647,large,0.5387168141592921,0.700215672178289,0.27633209417596033,8.892961580265023,0.592867374420166,463.36834716796875,18.304960250854492,0.6218434443855386,0.7648512723566842,0.23337463857909957,9.420854276810436,0.4704250395298004,431.53708902994794,23.38146209716797,0.08312663022624656,0.0646356001783952,-0.04295745559686076,0.5278926965454129,-0.1224423348903656,-31.831258138020814,5.076501846313477,False,False,False,False
77,multi_defect,21.92785047188636,large,0.2631578947368421,0.4166666666666667,0.3333333333333333,14.618566981257572,0.7730237245559692,582.9782104492188,40.14141082763672,0.3090661508016711,0.46879521760085874,0.2796296296296296,20.33402059962425,1.082575226823489,529.1985371907552,56.48497517903646,0.04590825606482901,0.05212855093419205,-0.0537037037037037,5.715453618366677,0.3095515022675197,-53.779673258463504,16.343564351399742,False,False,False,False
78,polygon,6.471761423994238,small,0.6152125279642058,0.7617728531855956,0.30117647058823527,4.5226191598265615,0.2790710926055908,488.7263488769531,20.528757095336914,0.5612077692862901,0.7187117919955238,0.27372549019607845,4.700275355779344,0.3501434152324994,471.85552978515625,23.033206939697266,-0.054004758677915654,-0.0430610611900718,-0.02745098039215682,0.1776561959527827,0.0710723226269086,-16.870819091796875,2.5044498443603516,False,False,False,True
79,rotated_rect,10.050264799614581,medium,0.30457380457380456,0.46693227091633466,0.09848484848484848,9.060465993591933,1.637769341468811,583.0170288085938,27.308382034301758,0.31320577954406775,0.47614376603237757,0.08282828282828282,10.121327277995695,1.64975905418396,539.3074340820312,31.357917149861652,0.00863197497026319,0.009211495116042911,-0.01565656565656566,1.060861284403762,0.011989712715148926,-43.7095947265625,4.049535115559895,False,False,False,False
