sample_id,source_index,split,defect_type,stage,iou,dice,area_error,center_error_px,pred_area,true_area,forward_mse,forward_nrmse,forward_correlation,true_center_x,true_center_y,center_x,center_y,center_abs_error_m,true_width,width,width_abs_error_m,true_length,length,length_abs_error_m,true_depth,depth,depth_abs_error_m,true_angle_deg,angle_deg,angle_abs_error_deg,type_prob_rectangular_notch,type_prob_rotated_rect,parameter_drift_norm,selected_steps,selected_lr,selected_lambda_prior
rot_p3_0015,214,train,rotated_rect,pre_refine,0.5553822152886115,0.7141424272818455,0.21964285714285714,0.9868846571563586,437.0,560.0,1.5720378160476685,0.607420027256012,0.8952294802659793,0.003000000026077032,0.0,0.0034384410828351974,0.0003145344089716673,0.0005395947133528763,0.01600000075995922,0.011968673206865788,0.004031327553093433,0.007000000216066837,0.007303604856133461,0.0003036046400666237,0.001500000013038516,0.001500000013038516,0.0,30.000000834826057,0.015290589081423502,29.984710245744623,0.8802608847618103,0.1197391003370285,0.0,50,0.003,0.1
rot_p3_0016,215,train,rotated_rect,pre_refine,0.5730337078651685,0.7285714285714285,0.24686940966010734,3.761457179786436,421.0,559.0,0.9108948707580566,0.6438493728637695,0.8254549492114015,0.001500000013038516,0.0010000000474974513,0.0027426169253885746,4.118188007851131e-05,0.001569531491851186,0.014000000432133675,0.012163816951215267,0.0018361834809184074,0.00800000037997961,0.007088825572282076,0.0009111748076975346,0.0024999999441206455,0.001500000013038516,0.0009999999310821295,-30.000000834826057,3.5929053265561404,33.59290616138219,0.69048011302948,0.30951988697052,0.0,50,0.003,0.1
rot_p3_0017,216,train,rotated_rect,pre_refine,0.7439446366782007,0.8531746031746031,0.0912863070539419,0.5016753335673857,263.0,241.0,2.5901615619659424,0.6633780598640442,0.9186415947800767,-0.003000000026077032,0.0,-0.0029721830505877733,0.00023220351431518793,0.00023386375560503964,0.00800000037997961,0.007764290552586317,0.00023570982739329338,0.006000000052154064,0.0067555648274719715,0.0007555647753179073,0.0010000000474974513,0.001500000013038516,0.0004999999655410647,-19.99999941818584,5.3929888757083075,25.39298829389415,0.6178505420684814,0.38214945793151855,0.0,50,0.003,0.1
rot_p3_0019,218,train,rotated_rect,pre_refine,0.6048780487804878,0.7537993920972644,0.24064171122994651,3.1617825123013343,426.0,561.0,0.9935058951377869,0.6141743659973145,0.8478950694972013,0.003000000026077032,0.0010000000474974513,0.0031416926067322493,5.85001610955288e-13,0.0010099885555825076,0.01600000075995922,0.012896430678665638,0.003103570081293583,0.007000000216066837,0.0067333863116800785,0.0002666139043867588,0.0020000000949949026,0.001500000013038516,0.0005000000819563866,9.99999970909292,3.6526912530217315,6.347308456071175,0.6862049698829651,0.3137950301170349,0.0,50,0.003,0.1
rot_p3_0020,219,train,rotated_rect,pre_refine,0.6844583987441131,0.8126747437092264,0.0873440285204991,3.204819992405195,512.0,561.0,2.3161826133728027,0.6425003409385681,0.8742653218704521,0.001500000013038516,-0.0010000000474974513,0.00182727153878659,7.30662650312297e-05,0.0011218635627130357,0.014000000432133675,0.013334236107766628,0.0006657643243670464,0.00800000037997961,0.007765898015350103,0.00023410236462950706,0.0010000000474974513,0.001500000013038516,0.0004999999655410647,19.99999941818584,1.2288609550422487,18.771138463143586,0.8306695222854614,0.16933049261569977,0.0,50,0.003,0.1
rot_p3_0021,220,train,rotated_rect,pre_refine,0.6700680272108843,0.8024439918533605,0.04583333333333333,2.4303924431601787,251.0,240.0,1.5424869060516357,0.6478352546691895,0.8552924843631283,-0.003000000026077032,0.0010000000474974513,-0.0028436018619686365,0.0002670578542165458,0.0007494428893704315,0.00800000037997961,0.0077028898522257805,0.00029711052775382996,0.006000000052154064,0.006460272707045078,0.0004602726548910141,0.001500000013038516,0.001500000013038516,0.0,-30.000000834826057,7.630705269984817,37.63070610481088,0.46225419640541077,0.5377457737922668,0.0,50,0.003,0.1
rot_p3_0022,221,train,rotated_rect,pre_refine,0.6446886446886447,0.7839643652561247,0.337037037037037,0.19563046139545245,358.0,540.0,0.9350354075431824,0.5677669048309326,0.8556288826863129,0.0,0.0,0.0003024337929673493,0.0001037157271639444,0.0003197235543242994,0.012000000104308128,0.010100931860506535,0.0018990682438015938,0.008999999612569809,0.007009894587099552,0.001990105025470257,0.0020000000949949026,0.001500000013038516,0.0005000000819563866,-19.99999941818584,0.336384842271571,20.336384260457407,0.8685126900672913,0.13148732483386993,0.0,50,0.003,0.1
rot_p3_0023,222,train,rotated_rect,pre_refine,0.6773675762439807,0.8076555023923445,0.13725490196078433,3.2419496663353247,484.0,561.0,1.4850558042526245,0.6182153820991516,0.8816576501821404,0.003000000026077032,-0.0010000000474974513,0.0026071742177009583,-2.1028356059105136e-05,0.0010548448865417086,0.01600000075995922,0.014014960266649723,0.001985040493309498,0.007000000216066837,0.007081021089106798,8.102087303996086e-05,0.0024999999441206455,0.001500000013038516,0.0009999999310821295,-9.99999970909292,2.335918719728837,12.335918428821742,0.7723028659820557,0.22769713401794434,0.0,50,0.003,0.1
rot_p3_0024,223,train,rotated_rect,pre_refine,0.6264274061990212,0.7703109327983951,0.21964285714285714,0.4886759756563388,437.0,560.0,1.6453218460083008,0.619422197341919,0.8579551556235233,0.001500000013038516,0.0,0.0014084088616073132,7.112907769624144e-05,0.00011596673969035902,0.014000000432133675,0.011994997039437294,0.0020050033926963806,0.00800000037997961,0.007326179649680853,0.0006738207302987576,0.001500000013038516,0.001500000013038516,0.0,30.000000834826057,-0.32103764733039036,30.32103848215644,0.8690958023071289,0.1309042125940323,0.0,50,0.003,0.1
rot_p3_0025,224,train,rotated_rect,pre_refine,0.6336633663366337,0.7757575757575758,0.0625,3.980249351490236,255.0,240.0,1.2711457014083862,0.6626693606376648,0.8124838794646901,-0.003000000026077032,-0.0010000000474974513,-0.0028611377347260714,0.00029075806378386915,0.0012982061904527231,0.00800000037997961,0.007756928913295269,0.00024307146668434143,0.006000000052154064,0.006558016873896122,0.0005580168217420578,0.0020000000949949026,0.001500000013038516,0.0005000000819563866,19.99999941818584,8.452489725258657,11.547509692927179,0.410351037979126,0.589648962020874,0.0,50,0.003,0.1
