sample_id,source_index,split,defect_type,source_pack,dense_threshold,geometry_threshold,pred_defect_type,type_prob_rectangular_notch,type_prob_rotated_rect,dense_iou,dense_dice,dense_area_error,dense_center_error_px,dense_pred_area,initial_iou,refined_iou,delta_iou,initial_dice,refined_dice,delta_dice,initial_area_error,refined_area_error,delta_area_error,initial_center_error_px,refined_center_error_px,initial_pred_area,refined_pred_area,true_area,initial_forward_mse,refined_forward_mse,initial_forward_nrmse,refined_forward_nrmse,forward_nrmse_reduction,initial_forward_correlation,refined_forward_correlation,true_center_x,true_center_y,initial_center_x,initial_center_y,refined_center_x,refined_center_y,center_drift_m,true_width,initial_width,refined_width,width_drift_m,true_length,initial_length,refined_length,length_drift_m,true_depth,initial_depth,refined_depth,depth_drift_m,true_angle_deg,initial_angle_deg,refined_angle_deg,initial_angle_abs_error_deg,refined_angle_abs_error_deg,angle_error_delta,parameter_drift_norm,refinement_category,notes
rect_p2_0016,15,train,rectangular_notch,pilot_v2_rectangular_notch,0.8,0.5,rotated_rect,0.4081621766090393,0.5918378233909607,0.7317554240631163,0.8451025056947609,0.04017857142857143,3.0850027151201243,430.0,0.7031539888682746,0.6637630662020906,-0.03939092266618405,0.8257080610021786,0.7979057591623037,-0.027802301839874977,0.049107142857142856,0.13169642857142858,0.08258928571428573,2.945910455367868,3.4231793481312485,470.0,507.0,448.0,0.1970202922821045,0.17407967150211334,0.3174575172299012,0.29840367344205304,0.019053843787848135,0.9587314741326711,0.9600665081286581,0.003000000026077032,0.0,0.0032045224215835333,0.0009328449377790093,0.0034207473509013653,0.0010709576308727264,0.00025657033353858495,0.008999999612569809,0.01062440313398838,0.011127679608762264,0.0005032764747738838,0.009999999776482582,0.008849475532770157,0.009118100628256798,0.00026862509548664093,0.0019000000320374966,0.001500000013038516,0.0014233121182769537,-7.668789476156235e-05,0.0,8.48893390712255,10.328720492146356,nan,nan,nan,0.3753256629038756,worsened,
rect_p2_0017,16,train,rectangular_notch,pilot_v2_rectangular_notch,0.8,0.5,rectangular_notch,0.7899870872497559,0.21001294255256653,0.6588447653429603,0.794341675734494,0.31066176470588236,2.107284719464569,375.0,0.7058823529411765,0.70298769771529,-0.0028946552258865,0.8275862068965517,0.8255933952528379,-0.0019928116437137877,0.29411764705882354,0.21875,-0.07536764705882354,2.0615528128088303,1.8027756377319946,384.0,425.0,544.0,0.22746936976909637,0.195866197347641,0.3901786981545168,0.36206107709855756,0.02811762105595922,0.9415533021007223,0.9428857160030863,0.001500000013038516,0.0010000000474974513,0.002106818836182356,0.0003197877376805991,0.0024228417314589024,0.0005041658878326416,0.00036587671775129417,0.010999999940395355,0.010173424147069454,0.010685747489333153,0.0005123233422636986,0.009999999776482582,0.007475134916603565,0.007794303819537163,0.00031916890293359756,0.0019000000320374966,0.001500000013038516,0.0014151226496323943,-8.487736340612173e-05,0.0,2.0254578070911964,-0.14717630258562653,nan,nan,nan,0.45263563334012236,neutral,
rect_p2_0019,18,train,rectangular_notch,pilot_v2_rectangular_notch,0.8,0.5,rectangular_notch,0.8725369572639465,0.12746302783489227,0.7159468438538206,0.8344627299128751,0.03238095238095238,1.4330384179072861,508.0,0.717948717948718,0.6942148760330579,-0.02373384191566008,0.835820895522388,0.8195121951219512,-0.01630870040043686,0.08571428571428572,0.047619047619047616,-0.0380952380952381,1.5811388300841898,1.118033988749895,480.0,500.0,525.0,0.12440209835767746,0.11682730913162231,0.29924029060486146,0.28998691498275425,0.009253375622107207,0.9601105750102211,0.9609029990915873,-0.003000000026077032,0.0005000000237487257,-0.002327400492504239,8.440137753495947e-05,-0.0025773835368454456,0.0002698558382689953,0.00031126336463350025,0.01600000075995922,0.012611026875674725,0.012974854558706284,0.000363827683031559,0.006500000134110451,0.007611425127834082,0.00790915172547102,0.0002977265976369381,0.0019000000320374966,0.001500000013038516,0.001419240958057344,-8.075905498117208e-05,0.0,-0.22926381054751405,-0.19825719297467592,nan,nan,nan,0.40954135265845004,worsened,
rect_p2_0020,19,train,rectangular_notch,pilot_v2_rectangular_notch,0.8,0.5,rectangular_notch,0.6906871199607849,0.3093128800392151,0.7681159420289855,0.8688524590163934,0.04576659038901602,2.44600202156585,417.0,0.7579617834394905,0.7339805825242719,-0.023981200915218603,0.8623188405797102,0.8465845464725644,-0.015734294107145774,0.10526315789473684,0.043478260869565216,-0.06178489702517162,2.23606797749979,2.692582403567252,391.0,456.0,437.0,0.12761791050434113,0.11336556822061539,0.32184666647500426,0.30334286556516726,0.018503800909836998,0.9541441694237965,0.9557560996834487,0.0022499999031424522,-0.0005000000237487257,0.0027646543458104134,0.0001518475473858416,0.002812101971358061,0.00033289450220763683,0.00018716109911077924,0.012000000104308128,0.010946064256131649,0.011457351967692375,0.0005112877115607262,0.007499999832361937,0.007404298521578312,0.00771473441272974,0.0003104358911514282,0.0019000000320374966,0.001500000013038516,0.0014245426282286644,-7.545738480985165e-05,0.0,3.5899990810643003,1.7070152847998672,nan,nan,nan,0.4089478348457281,worsened,
rect_p2_0021,20,train,rectangular_notch,pilot_v2_rectangular_notch,0.8,0.5,rectangular_notch,0.8475654721260071,0.15243449807167053,0.666095890410959,0.7995889003083247,0.027083333333333334,3.1730430656794155,493.0,0.6551724137931034,0.6584158415841584,0.00324342779105502,0.7916666666666666,0.7940298507462686,0.00236318407960201,0.0,0.09375,0.09375,3.1622776601683795,3.5355339059327378,480.0,525.0,480.0,0.21520937979221344,0.1924143135547638,0.33575853208041573,0.31747910506180016,0.01827942701861557,0.9657539188576854,0.9664567352574648,-0.003000000026077032,-0.0010000000474974513,-0.0026806341484189034,-1.678204171184916e-05,-0.002892897231504321,0.00017940578982234,0.0002890420055446737,0.014999999664723873,0.012620662339031696,0.013054237700998783,0.0004335753619670868,0.006500000134110451,0.007646339479833841,0.0079507976770401,0.0003044581972062588,0.0013000000035390258,0.001500000013038516,0.0014151926152408123,-8.480739779770374e-05,0.0,-0.853100659174936,0.492495859384794,nan,nan,nan,0.427787198904816,neutral,
rect_p2_0022,21,train,rectangular_notch,pilot_v2_rectangular_notch,0.8,0.5,rectangular_notch,0.7111579775810242,0.28884202241897583,0.6175438596491228,0.7635574837310195,0.3824561403508772,0.9486467158144929,352.0,0.6052631578947368,0.6754385964912281,0.07017543859649122,0.7540983606557377,0.806282722513089,0.052184361857351313,0.39473684210526316,0.32456140350877194,-0.07017543859649122,0.7421775779662685,1.5035265230108832,345.0,385.0,570.0,0.38135597109794617,0.3314531147480011,0.4361068940117083,0.406573182243661,0.02953371176804731,0.9425334303131736,0.9446458442082345,-0.0022499999031424522,0.0,-0.0026213808450847864,0.0001298701245104894,-0.002845839597284794,0.00032261176966130733,0.00029585650781185826,0.012000000104308128,0.009707041084766388,0.01019703596830368,0.0004899948835372925,0.009499999694526196,0.006972567178308964,0.0072830719873309135,0.00031050480902194977,0.0019000000320374966,0.001500000013038516,0.0014148424379527569,-8.515757508575916e-05,0.0,-3.2969560045838384,-3.6179862080752505,nan,nan,nan,0.43431526636463913,improved,
rect_p2_0023,22,train,rectangular_notch,pilot_v2_rectangular_notch,0.8,0.5,rectangular_notch,0.8393987417221069,0.16060125827789307,0.6591549295774648,0.7945670628183361,0.18769230769230769,3.7039421721706494,528.0,0.6185133239831697,0.6759776536312849,0.05746432964811521,0.7642980935875217,0.8066666666666666,0.04236857307914499,0.2246153846153846,0.15384615384615385,-0.07076923076923075,3.8078865529319543,3.605551275463989,504.0,550.0,650.0,0.20316031575202942,0.184476837515831,0.36703058350739637,0.3497467898751756,0.017283793632220767,0.9410140582042489,0.9419449142583421,0.000750000006519258,0.0010000000474974513,0.0016872406704351306,-7.851169357309118e-06,0.0017760936170816422,0.00018487055785953999,0.00021221806913403562,0.01600000075995922,0.013318251818418503,0.013769077137112617,0.0004508253186941147,0.00800000037997961,0.007380322087556124,0.007696427870541811,0.00031610578298568726,0.0024999999441206455,0.001500000013038516,0.0014184025349095464,-8.159747812896967e-05,0.0,1.0387162792336158,0.2550646366938257,nan,nan,nan,0.4167175961702014,improved,
rect_p2_0024,23,train,rectangular_notch,pilot_v2_rectangular_notch,0.8,0.5,rectangular_notch,0.8683208227157593,0.13167917728424072,0.7321428571428571,0.845360824742268,0.10916179337231968,2.921542529436863,457.0,0.7796610169491526,0.7769784172661871,-0.0026825996829654697,0.8761904761904762,0.8744939271255061,-0.0016965490649700765,0.15789473684210525,0.07407407407407407,-0.08382066276803118,2.5495097567963922,2.23606797749979,432.0,475.0,513.0,0.4551623463630676,0.4001263976097107,0.4093931132192898,0.38384507351824404,0.025548039701045744,0.9800231404748001,0.9796286009117632,-0.001500000013038516,0.0010000000474974513,-0.0020381934009492397,0.00021127531363163143,-0.002308791968971491,0.0004044431261718273,0.00033247163610939376,0.012000000104308128,0.011368649080395699,0.011882500723004341,0.0005138516426086426,0.008500000461935997,0.007652695290744305,0.0079701729118824,0.00031747762113809586,0.0010000000474974513,0.001500000013038516,0.001414550468325615,-8.544954471290112e-05,0.0,0.34142175993891166,0.7509120112074068,nan,nan,nan,0.44731598584559373,neutral,
rect_p2_0027,26,train,rectangular_notch,pilot_v2_rectangular_notch,0.8,0.5,rectangular_notch,0.7870879173278809,0.21291208267211914,0.6950354609929078,0.8200836820083682,0.17272727272727273,2.2006835830437583,516.0,0.7236363636363636,0.704225352112676,-0.019411011523687627,0.8396624472573839,0.8264462809917356,-0.013216166265648366,0.15454545454545454,0.2,0.04545454545454547,2.036498906126787,2.23606797749979,508.0,528.0,440.0,0.22151358425617218,0.18963053822517395,0.34984995536022834,0.3236948423169995,0.026155113043228817,0.9630694954446627,0.9634398725046917,0.000750000006519258,0.0,0.0019413281697779894,0.00010394718265160918,0.0020119324326515198,0.0002966136671602726,0.00020519584837135868,0.014000000432133675,0.01336926780641079,0.013823521323502064,0.00045425351709127426,0.006500000134110451,0.0074566444382071495,0.007774395868182182,0.0003177514299750328,0.0019000000320374966,0.001500000013038516,0.001415381208062172,-8.461880497634411e-05,0.0,2.07761804079188,-0.6984032777764941,nan,nan,nan,0.4262616184606859,worsened,
rect_p2_0028,27,train,rectangular_notch,pilot_v2_rectangular_notch,0.8,0.5,rectangular_notch,0.8628491163253784,0.13715089857578278,0.7241379310344828,0.84,0.38095238095238093,0.09266962929078534,522.0,0.75,0.6872727272727273,-0.06272727272727274,0.8571428571428571,0.8146551724137931,-0.042487684729063946,0.3333333333333333,0.455026455026455,0.12169312169312169,0.0,0.7071067811865476,504.0,550.0,378.0,0.37006449699401855,0.31890615820884705,0.39906291293686996,0.37045384792639263,0.02860906501047733,0.9734677853600632,0.9742741272924977,0.000750000006519258,0.0,0.0009252785239368677,-6.58631097394391e-06,0.0006717131473124027,0.00019190390594303608,0.00032201516631532364,0.013000000268220901,0.013246591202914715,0.013708725571632385,0.00046213436871767044,0.006000000052154064,0.007661216892302036,0.007978131994605064,0.0003169151023030281,0.0010000000474974513,0.001500000013038516,0.001414729980751872,-8.527003228664398e-05,0.0,0.48252570418727947,-0.9779246074127405,nan,nan,nan,0.444122736858165,worsened,
rect_p2_0029,28,train,rectangular_notch,pilot_v2_rectangular_notch,0.8,0.5,rectangular_notch,0.7926883101463318,0.2073117047548294,0.7932773109243697,0.8847235238987816,0.020833333333333332,2.307350149417585,539.0,0.7692307692307693,0.8013937282229965,0.03216295899222721,0.8695652173913043,0.8897485493230174,0.020183331931713067,0.08333333333333333,0.041666666666666664,-0.041666666666666664,2.0,2.0615528128088303,484.0,506.0,528.0,0.15254659950733185,0.14576619863510132,0.34769350842211033,0.33987852973464844,0.007814978687461893,0.9456034789339381,0.9465211254305818,0.001500000013038516,0.0,0.0025633363984525204,2.199884875153657e-05,0.002746754325926304,0.00018860725685954094,0.00024779124195462406,0.014000000432133675,0.013406600803136826,0.013826440088450909,0.0004198392853140831,0.007499999832361937,0.007066870108246803,0.007360082119703293,0.00029321201145648956,0.002199999988079071,0.001500000013038516,0.0014319639885798097,-6.803602445870638e-05,0.0,1.9763803365837163,1.368663614851597,nan,nan,nan,0.37995828669078185,improved,
rect_p2_0031,30,train,rectangular_notch,pilot_v2_rectangular_notch,0.8,0.5,rectangular_notch,0.8519596457481384,0.14804036915302277,0.776173285198556,0.8739837398373984,0.12571428571428572,2.088959964179653,459.0,0.8033088235294118,0.7787610619469026,-0.024547761582509153,0.890927624872579,0.8756218905472637,-0.015305734325315346,0.13142857142857142,0.08571428571428572,-0.04571428571428571,1.8027756377319946,2.5495097567963922,456.0,480.0,525.0,0.4620267152786255,0.4112645387649536,0.41293547308271233,0.38959132727715257,0.02334414580555977,0.9739111857096214,0.9744013900038228,-0.003000000026077032,-0.0005000000237487257,-0.0024176978040486574,0.0001171579715446569,-0.00266449898481369,0.0003124787472188473,0.00031473962425991614,0.013000000268220901,0.011984097771346569,0.012482727877795696,0.0004986301064491272,0.00800000037997961,0.0075689335353672504,0.007884033024311066,0.00031509948894381523,0.0010000000474974513,0.001500000013038516,0.001414765021763742,-8.523499127477407e-05,0.0,-0.7498376437953049,0.09093571120673494,nan,nan,nan,0.44290412293271164,worsened,
