perturbation_name,perturbation_group,severity,affected_axis,failure_type,sample_id,split,curvature_template,depth_bin,aspect_bin,profile_depth_rmse_m,er_like_profile_error,projected_mask_dice,L_mae_mm,W_mae_mm,D_mae_mm,wMAE_auxiliary,notes
sensor_x_resampling_jitter_-2sample,sensor_x_resampling_jitter,-2sample,all,worst_projected_dice,rbc_v2topup_049_shallow_elongated_WD_dominant,test,WD_dominant,shallow,narrow,0.0002114993258146569,0.2537683844566345,0.6926070038910506,2.511827230453491,4.229507923126221,0.55423504114151,0.16053171455860138,integer-sample interpolation shift
sensor_x_resampling_jitter_-2sample,sensor_x_resampling_jitter,-2sample,all,worst_lwd_error,rbc_pilot_032_medium_elongated_boxy,test,boxy,medium,narrow,0.00023756403243169188,0.13975746929645538,0.6159695817490495,3.4389030933380127,8.87546443939209,0.06999098509550095,0.3115327060222626,integer-sample interpolation shift
sensor_x_resampling_jitter_-2sample,sensor_x_resampling_jitter,-2sample,all,worst_lwd_error,rbc_pilot_036_deep_elongated_boxy,test,boxy,deep,narrow,0.0012793091591447592,0.43902239203453064,0.7587253414264037,1.4592856168746948,8.244747161865234,2.128145456314087,0.34644436836242676,integer-sample interpolation shift
sensor_x_resampling_jitter_-2sample,sensor_x_resampling_jitter,-2sample,all,worst_lwd_error,rbc_v3topup_120_test_round_deep_narrow,test,round,deep,narrow,0.0005701527115888894,0.23947371542453766,0.7069767441860465,0.8899886012077332,8.255420684814453,1.4841328859329224,0.08008641004562378,integer-sample interpolation shift
sensor_x_resampling_jitter_-2sample,sensor_x_resampling_jitter,-2sample,all,worst_w_auxiliary,rbc_v3topup_123_test_boxy_medium_wide,test,boxy,medium,wide,0.00030741567024961114,0.20644299685955048,0.967741935483871,0.08015148341655731,0.6703883409500122,0.10329368710517883,0.3720272481441498,integer-sample interpolation shift
sensor_x_resampling_jitter_-2sample,sensor_x_resampling_jitter,-2sample,all,worst_w_auxiliary,rbc_v3topup_126_test_boxy_deep_wide,test,boxy,deep,wide,0.0014516963856294751,0.5437057018280029,0.8235294117647058,3.6518945693969727,2.6036202907562256,2.592745304107666,0.36281493306159973,integer-sample interpolation shift
sensor_x_resampling_jitter_-2sample,sensor_x_resampling_jitter,-2sample,all,worst_w_auxiliary,rbc_pilot_009_deep_small_compact_sharp,test,sharp,deep,compact,0.0005123613518662751,0.29034721851348877,0.8061224489795918,2.55277943611145,0.6355214715003967,1.5997265577316284,0.35284876823425293,integer-sample interpolation shift
sensor_x_resampling_jitter_-1sample,sensor_x_resampling_jitter,-1sample,all,worst_profile_rmse,rbc_v3topup_126_test_boxy_deep_wide,test,boxy,deep,wide,0.001461974112316966,0.5475550293922424,0.817966903073286,3.7527456283569336,2.6965067386627197,2.6204445362091064,0.3610733449459076,integer-sample interpolation shift
sensor_x_resampling_jitter_-1sample,sensor_x_resampling_jitter,-1sample,all,worst_profile_rmse,rbc_pilot_036_deep_elongated_boxy,test,boxy,deep,narrow,0.001287848106585443,0.4419526755809784,0.7633587786259542,1.5094727277755737,8.223045349121094,2.151667356491089,0.3451716899871826,integer-sample interpolation shift
sensor_x_resampling_jitter_-1sample,sensor_x_resampling_jitter,-1sample,all,worst_profile_rmse,rbc_v3topup_114_test_sharp_deep_balanced,test,sharp,deep,balanced,0.0008439006633125246,0.4287455081939697,0.9249394673123487,0.48762932419776917,0.3502406179904938,2.402493476867676,0.24968476593494415,integer-sample interpolation shift
sensor_x_resampling_jitter_-1sample,sensor_x_resampling_jitter,-1sample,all,worst_projected_dice,rbc_v3topup_117_test_round_medium_narrow,test,round,medium,narrow,0.0001994361518882215,0.1352231204509735,0.6105263157894737,1.929627776145935,8.05066204071045,0.5521073341369629,0.0778716430068016,integer-sample interpolation shift
