shape_type,split,sample_count,rbc_representable_and_model_pass,rbc_representable_but_model_fail,rbc_not_representable,label_or_geometry_issue,dominant_failure_mode,oracle_representable_rate,model_pass_rate,oracle_profile_depth_rmse_mean_m,baseline_profile_depth_rmse_mean_m,oracle_projected_mask_Dice_mean,baseline_projected_mask_Dice_mean,component_recall_proxy_mean,merge_component_proxy_rate
irregular_corrosion_non_rbc,train,9,1,8,0,0,rbc_representable_but_model_fail,1.0,0.1111111111111111,0.00011137632250934174,0.00044789125625710913,0.8961106766387803,0.5723696635739375,1.0,0.0
multi_pit_two_component_surface_defect,train,9,0,0,9,0,rbc_not_representable,0.0,0.0,0.0002578012512187077,0.000727914231883712,0.3521540337156892,0.3319858334253243,0.5,1.0
rbc_like_smooth_pit,train,14,3,11,0,0,rbc_representable_but_model_fail,1.0,0.21428571428571427,3.71623433215979e-05,0.0005149289441096854,0.9651052761429162,0.47745606990230954,1.0,0.0
sharp_wall_boxy_corrosion,train,10,3,7,0,0,rbc_representable_but_model_fail,1.0,0.3,0.0001134264665893092,0.0003749155439019522,0.9153706043435246,0.5947786975606808,1.0,0.0
asymmetric_corrosion,val,3,1,2,0,0,rbc_representable_but_model_fail,1.0,0.3333333333333333,6.457858211096389e-05,0.0004270188289417223,0.9744912092738179,0.6015705963485727,1.0,0.0
elongated_crack_like_surface_defect,val,3,0,3,0,0,rbc_representable_but_model_fail,1.0,0.0,9.293517946570986e-05,0.0004074467510252258,0.9251521657873191,0.47977820015555867,1.0,0.0
flat_bottom_pit,val,3,2,1,0,0,rbc_representable_and_model_pass,1.0,0.6666666666666666,8.026926940031682e-05,0.0003019354550033693,0.9549804088882246,0.6501376547911912,1.0,0.0
irregular_corrosion_non_rbc,val,4,1,3,0,0,rbc_representable_but_model_fail,1.0,0.25,8.963728361687694e-05,0.0005849781693377999,0.8991690751833434,0.5824731823595125,1.0,0.0
multi_pit_two_component_surface_defect,val,3,0,0,3,0,rbc_not_representable,0.0,0.0,0.00020118208243571868,0.0005205416515546075,0.42421568627450984,0.35853834173857496,0.5,1.0
rbc_like_smooth_pit,val,5,0,5,0,0,rbc_representable_but_model_fail,1.0,0.0,4.1923638129086984e-05,0.0005079583483337734,0.9661597472083011,0.5243832821318408,1.0,0.0
sharp_wall_boxy_corrosion,val,3,1,2,0,0,rbc_representable_but_model_fail,1.0,0.3333333333333333,0.00010936315290998115,0.0003283793021484366,0.9185956224015651,0.6874155565972629,1.0,0.0
asymmetric_corrosion,test,3,0,3,0,0,rbc_representable_but_model_fail,1.0,0.0,0.00010806610475646042,0.00035942083835765874,0.9745735625725768,0.6097295888858244,1.0,0.0
elongated_crack_like_surface_defect,test,3,0,3,0,0,rbc_representable_but_model_fail,1.0,0.0,0.00015741978076043312,0.0004715845697746074,0.9200874896845246,0.5001754098088985,1.0,0.0
flat_bottom_pit,test,3,1,2,0,0,rbc_representable_but_model_fail,1.0,0.3333333333333333,0.00015285473272123678,0.00036874649507052546,0.9521449068066757,0.6148760628781521,1.0,0.0
irregular_corrosion_non_rbc,test,3,2,1,0,0,rbc_representable_and_model_pass,1.0,0.6666666666666666,0.00017781879228310625,0.000304723958370679,0.8984189020143653,0.6947336634473201,1.0,0.0
multi_pit_two_component_surface_defect,test,4,0,0,4,0,rbc_not_representable,0.0,0.0,0.00039411545241877486,0.0008452401671976983,0.2616456426688808,0.32103693048823967,0.5,1.0
rbc_like_smooth_pit,test,5,0,5,0,0,rbc_representable_but_model_fail,1.0,0.0,5.031332102122776e-05,0.0004559095193007104,0.9665513521485931,0.507809524538243,1.0,0.0
sharp_wall_boxy_corrosion,test,3,2,1,0,0,rbc_representable_and_model_pass,1.0,0.6666666666666666,0.00019058588841493052,0.00039740297541171737,0.9196545926926114,0.6978006797479109,1.0,0.0
