dataset_id,evidence_source,group_field,group_value,sample_count,catastrophic_failure_count,geometry_branch_failure_count,center_outlier_count,burial_outlier_count,dimension_outlier_count,shape_misclassified_count,mean_total_error,mean_burial_depth_error_mm,mean_center_xyz_error_mm,max_burial_depth_error_mm,max_center_xyz_error_mm,priority_score,topup_need,notes
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_size,internal_sphere|large,2,1,0,2,1,0,0,0.49776491522789,0.7341938614845276,4.723529577255249,1.0596733093261719,5.329172611236572,17.83015251159668,True,包含 center+burial full-shift failure
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial,internal_ellipsoid|medium,2,1,0,1,1,2,0,0.6328090876340866,1.0647346377372742,3.139958381652832,1.2520591020584106,3.884936809539795,17.699448466300964,True,包含 center+burial full-shift failure
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_ellipsoid|medium|large|elongated_y,1,1,0,1,1,1,0,0.8811408281326294,1.2520591020584106,3.884936809539795,1.2520591020584106,3.884936809539795,17.44658660888672,True,包含 center+burial full-shift failure
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_sphere|shallow|large|compact,1,1,0,1,1,0,0,0.5369745492935181,1.0596733093261719,4.117886543273926,1.0596733093261719,4.117886543273926,16.178289890289307,True,包含 center+burial full-shift failure
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_aspect,internal_cuboid|elongated_y,4,0,0,4,0,4,0,0.6965239271521568,0.4667067341506481,4.955876410007477,0.7341119050979614,5.799923896789551,15.411351673305035,True,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,size,small,13,0,0,4,0,5,0,0.28546479688240933,0.16520895465062216,2.6379652481812697,0.6259461045265198,8.624761581420898,14.64940053339188,True,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial,internal_sphere|shallow,4,1,0,1,1,0,0,0.17204902693629265,0.2869788412936032,1.6151467710733414,1.0596733093261719,4.117886543273926,13.381531068123877,False,包含 center+burial full-shift failure
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial,internal_cuboid|deep,5,0,0,3,0,2,0,0.3868427127599716,0.31018039025366306,2.7876829862594605,0.795261025428772,4.961811542510986,10.014202273637057,True,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_size,internal_ellipsoid|small,3,0,0,2,0,3,0,0.7236101627349854,0.26693132768074673,4.370292027791341,0.38043129444122314,8.624761581420898,9.719008669257164,True,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial,internal_ellipsoid|deep,4,0,0,2,0,3,0,0.46813339460641146,0.24776230240240693,2.262585122138262,0.47941854596138,4.354182720184326,8.626817165873945,False,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_ellipsoid|deep_plus|small|elongated_y,1,0,0,1,0,1,0,0.8184109330177307,0.3070831298828125,8.624761581420898,0.3070831298828125,8.624761581420898,7.926547050476074,True,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial,internal_sphere|deep,1,0,0,1,0,1,0,0.5764431953430176,0.8463021516799927,5.529272079467773,0.8463021516799927,5.529272079467773,7.457240343093872,True,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_sphere|deep|medium|compact,1,0,0,1,0,1,0,0.5764431953430176,0.8463021516799927,5.529272079467773,0.8463021516799927,5.529272079467773,7.457240343093872,True,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_cuboid|shallow|large|elongated_y,1,0,0,1,0,1,0,0.8007023930549622,0.7341119050979614,5.330706596374512,0.7341119050979614,5.330706596374512,7.133577108383179,True,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial,internal_sphere|deep_plus,5,0,0,2,0,1,0,0.22243590354919435,0.24476075172424316,3.2091434955596925,0.6259461045265198,5.329172611236572,7.094093251228332,True,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_size,internal_cuboid|small,1,0,0,1,0,1,0,0.6131604313850403,0.3891098201274872,5.799923896789551,0.3891098201274872,5.799923896789551,6.67818158864975,True,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_cuboid|medium|small|elongated_y,1,0,0,1,0,1,0,0.6131604313850403,0.3891098201274872,5.799923896789551,0.3891098201274872,5.799923896789551,6.67818158864975,True,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial,internal_cuboid|medium,5,0,0,2,0,1,0,0.2838811255991459,0.1807241201400757,2.2080872476100923,0.3891098201274872,5.799923896789551,6.465491864085197,False,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,aspect,elongated_x,4,0,0,1,0,3,0,0.4679630044847727,0.1932470784522593,2.046811953186989,0.4149678349494934,5.085655689239502,6.409900133498013,False,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_cuboid|deep|medium|elongated_y,1,0,0,1,0,1,0,0.4594772756099701,0.6655086874961853,3.7310636043548584,0.6655086874961853,3.7310636043548584,6.1965491771698,True,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_ellipsoid|shallow|large|elongated_y,1,0,0,1,0,1,0,0.7238914370536804,0.34845566749572754,4.799228668212891,0.34845566749572754,4.799228668212891,6.0965256690979,True,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_cuboid|shallow|medium|elongated_x,1,0,0,1,0,1,0,0.609045684337616,0.23596110939979553,5.085655689239502,0.23596110939979553,5.085655689239502,6.014750063419342,True,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_size,internal_sphere|medium,2,0,0,1,0,1,0,0.42526328563690186,0.5650732219219208,3.332078695297241,0.8463021516799927,5.529272079467773,5.796185791492462,True,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_cuboid|deep|large|elongated_y,1,0,0,1,0,1,0,0.9127556085586548,0.07809652388095856,4.961811542510986,0.07809652388095856,4.961811542510986,5.63709881901741,True,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial,internal_ellipsoid|shallow,3,0,0,1,0,2,0,0.4454803094267845,0.2930592919389407,2.0999253690242767,0.4149678349494934,4.799228668212891,5.636081268390019,False,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_cuboid|deep|medium|compact,1,0,0,1,0,0,0,0.4568333625793457,0.795261025428772,4.01434326171875,0.795261025428772,4.01434326171875,5.597693681716919,True,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_sphere|deep_plus|large|compact,1,0,0,1,0,0,0,0.45855528116226196,0.4087144136428833,5.329172611236572,0.4087144136428833,5.329172611236572,5.482015132904053,True,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_ellipsoid|deep|small|elongated_y,1,0,0,1,0,1,0,0.7270880937576294,0.38043129444122314,3.3409106731414795,0.38043129444122314,3.3409106731414795,5.431317925453186,True,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_ellipsoid|deep_plus|medium|elongated_y,2,0,0,1,0,1,0,0.33945783972740173,0.3966519068926573,2.6590474247932434,0.777611494064331,4.179083347320557,5.122827526181936,False,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_sphere|deep_plus|small|compact,4,0,0,1,0,1,0,0.16340605914592743,0.20377233624458313,2.6791362166404724,0.6259461045265198,4.066793918609619,4.7471127808094025,False,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_aspect,internal_cuboid|elongated_x,2,0,0,1,0,1,0,0.33303438499569893,0.12237046007066965,2.96195051074028,0.23596110939979553,5.085655689239502,4.725716175511479,False,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_ellipsoid|deep|medium|elongated_y,2,0,0,1,0,1,0,0.26005701161921024,0.24866917822510004,2.282112993299961,0.47941854596138,4.354182720184326,4.638394853100181,False,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,center_region,x_neg_y_neg,7,0,0,1,0,1,0,0.11105165843452726,0.12634008803537913,1.6709716745785304,0.6259461045265198,4.066793918609619,4.0881660133600235,False,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_size,internal_sphere|small,9,0,0,1,0,1,0,0.10300571554236942,0.10642362303204006,1.7091942495769925,0.6259461045265198,4.066793918609619,4.067444370852576,False,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_ellipsoid|medium|medium|elongated_y,1,0,0,0,0,1,0,0.3844773471355438,0.8774101734161377,2.394979953765869,0.8774101734161377,2.394979953765869,3.95231032371521,True,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_aspect,internal_ellipsoid|elongated_x,2,0,0,0,0,2,0,0.6028916239738464,0.26412369683384895,1.1316733956336975,0.4149678349494934,1.1452038288116455,3.0940840914845467,False,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_cuboid|medium|large|compact,4,0,0,1,0,0,0,0.2015612991526723,0.1286276951432228,1.3101280853152275,0.20490190386772156,3.228743076324463,2.9123194329440594,False,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,center_region,central,3,0,0,0,0,2,0,0.4126269842187564,0.21466725567976633,0.8819170892238617,0.4149678349494934,1.1452038288116455,2.8702930559714637,False,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_ellipsoid|shallow|large|elongated_x,1,0,0,0,0,1,0,0.5804517865180969,0.4149678349494934,1.1181429624557495,0.4149678349494934,1.1181429624557495,2.3890071511268616,False,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_ellipsoid|deep|small|elongated_x,1,0,0,0,0,1,0,0.625331461429596,0.1132795587182045,1.1452038288116455,0.1132795587182045,1.1452038288116455,1.7991610318422318,False,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_sphere|medium|medium|compact,1,0,0,0,0,0,0,0.27408337593078613,0.2838442921638489,1.134885311126709,0.2838442921638489,1.134885311126709,1.1351312398910522,False,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial,internal_sphere|medium,3,0,0,0,0,0,0,0.13209634025891623,0.11277516620854537,1.1527960499127705,0.2838442921638489,1.4752750396728516,0.801948357373476,False,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_sphere|medium|small|compact,2,0,0,0,0,0,0,0.06110282242298126,0.027240603230893612,1.1617514193058014,0.04063453525304794,1.4752750396728516,0.6353569161146879,False,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_sphere|shallow|small|compact,3,0,0,0,0,0,0,0.05040718615055084,0.029414018616080284,0.7809001803398132,0.038055527955293655,0.8810759782791138,0.4492781274020672,False,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_cuboid|deep|large|elongated_x,1,0,0,0,0,0,0,0.05702308565378189,0.00877981074154377,0.8382453322410583,0.00877981074154377,0.8382453322410583,0.4366822876036167,False,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_ellipsoid|shallow|medium|elongated_y,1,0,0,0,0,0,0,0.0320977047085762,0.1157543733716011,0.38240447640419006,0.1157543733716011,0.38240447640419006,0.42271098494529724,False,诊断记录
comsol_internal_defect_pilot_pack_v2_240,22.0_b2_failure_cases,shape_burial_size_aspect,internal_cuboid|deep|large|compact,1,0,0,0,0,0,0,0.04812423139810562,0.003255903720855713,0.39295119047164917,0.003255903720855713,0.39295119047164917,0.202987402677536,False,诊断记录
