row_type,model,seed,threshold,area_size_bin,sample_count,mse,mae,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite_metric
overall,composite_candidate,42,600,all,200,21158.920775146486,48.59307159423828,0.36348831841098594,0.5087385254612051,0.44942977440707144,1.1695492325302883,5,53,147,0.42279706946511963
area_bin,composite_candidate,42,600,large,67,29400.34230701959,63.06062026522053,0.45526369505397557,0.6137956851055182,0.2796762747486723,0.979276782763538,0,22,45,0.7893831054108216
area_bin,composite_candidate,42,600,small,67,14569.092930124767,36.96951860456324,0.26141176359348567,0.3844960695589982,0.7503269017028606,1.2199010073192535,4,14,53,-0.10441906855037675
area_bin,composite_candidate,42,600,medium,66,19482.30294152462,45.7059850692749,0.3739455750426855,0.5282145080260379,0.31629912210850897,1.316873729802095,1,17,49,0.5858609609602143
overall,composite_candidate,123,500,all,200,21701.699971923827,48.1838108253479,0.31436858152248476,0.4463300471411403,0.34982548385615786,1.2360381859096246,9,133,66,0.41087314480746717
area_bin,composite_candidate,123,500,large,67,30839.588109258395,63.12763401999403,0.4020855063409394,0.558159758006489,0.3068075933870449,1.1502891328018994,0,47,19,0.6534376709603835
area_bin,composite_candidate,123,500,small,67,14042.360209450793,35.76169250260538,0.21687925604210942,0.3162268454776739,0.4365064440279319,1.1828237134268729,8,36,31,0.09659965749185145
area_bin,composite_candidate,123,500,medium,66,20200.749348958332,45.62389830387,0.324289048861101,0.46488040901195676,0.3055008524913351,1.372728038751162,1,50,16,0.4836686053817226
overall,composite_candidate,123,600,all,200,21701.699971923827,48.1838108253479,0.3573896838367713,0.500780332840425,0.4075017531751157,1.1658302163185201,3,72,128,0.45066826350208056
area_bin,composite_candidate,123,600,large,67,30839.588109258395,63.12763401999403,0.44161930254069787,0.5982411584948913,0.30044365736654544,1.0624516944387066,0,33,34,0.7394168036690438
area_bin,composite_candidate,123,600,small,67,14042.360209450793,35.76169250260538,0.26581247897215415,0.38774416485405094,0.6334900225914304,1.188382243621163,3,19,48,0.02006662123477465
area_bin,composite_candidate,123,600,medium,66,20200.749348958332,45.62389830387,0.36484859706050216,0.516591665207665,0.2867696072399817,1.2489064469030409,0,20,46,0.5946706550281855
overall,composite_candidate,2026,500,all,200,21471.158276367187,50.76562917709351,0.3289214613248652,0.46361836945008844,0.3149880269276029,1.2288849423111408,6,132,68,0.4775518038473507
area_bin,composite_candidate,2026,500,large,67,29460.185721781716,66.17251228218647,0.41870178618155085,0.5752687990115878,0.21771010552035516,1.1059474370150424,0,54,13,0.7762604796727834
area_bin,composite_candidate,2026,500,small,67,14765.379591301305,37.63286169251399,0.23413077318387798,0.3390835792782735,0.44898704927723126,1.256074749406368,4,35,32,0.1242273031849202
area_bin,composite_candidate,2026,500,medium,66,20168.466352982956,48.45705725929954,0.33400773920438365,0.4766979476454086,0.27771054566791353,1.3308201768086292,2,43,23,0.5329951411818787
overall,composite_candidate,2026,600,all,200,21471.158276367187,50.76562917709351,0.36574440705392847,0.5119555198288439,0.45719802630132955,1.1789076638655092,4,45,155,0.42050190058144277
area_bin,composite_candidate,2026,600,large,67,29460.185721781716,66.17251228218647,0.4547590519111538,0.612659742039847,0.23377756346922532,1.0082189977836253,0,21,46,0.8336412304817754
area_bin,composite_candidate,2026,600,small,67,14765.379591301305,37.63286169251399,0.26788281718499746,0.39245765719596015,0.7677229339479937,1.2546987604582682,3,11,56,-0.10738245956703618
