perturbation_name,perturbation_group,severity,affected_axis,split,group_field,group_value,sample_count,profile_depth_rmse_m,er_like_profile_error,projected_mask_dice,L_mae_mm,W_mae_mm,D_mae_mm,wMAE_auxiliary
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,train,aspect_bin,wide,42,0.0006829477407293217,0.5759323807876735,0.6129218484729944,7.483023274512518,7.352364892051334,1.4273817360933339,0.2060179208360967
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,train,size_bin,elongated,33,0.0006588574222846408,0.6108632768419656,0.7544498574341384,4.436713742487358,2.798332356142275,1.3987431212356596,0.22132165933197195
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,train,size_bin,large_wide,42,0.0006829477407293217,0.5759323807876735,0.6129218484729944,7.483023274512518,7.352364892051334,1.4273817360933339,0.2060179208360967
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,train,size_bin,medium_balanced,44,0.0006827323493119118,0.7562227738513188,0.8794019733525907,2.3388840193775566,1.1181278081441468,1.4452379752289166,0.1958412484011867
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,train,size_bin,small_compact,43,0.0006704821635774055,0.9168998415386954,0.5971463194982789,7.28668324891911,3.1258037145747695,1.4268708187480306,0.18485577941633935
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,val,curvature_template,LD_dominant,7,0.0007199394832631307,0.9438368103333882,0.6341595374141414,6.644900602953775,4.148138199533735,1.5573583671024867,0.13360564836433955
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,val,curvature_template,WD_dominant,8,0.0006545412106788717,0.6844251826405525,0.7257978437388543,4.688079750165343,3.5127189084887505,1.3643477959558368,0.13915405794978142
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,val,curvature_template,boxy,8,0.000833811704069376,0.5536253601312637,0.702817925834387,5.333341047167778,4.416562587022781,1.7083474174141884,0.17751005291938782
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,val,curvature_template,round,8,0.0006431765377783449,0.6983743272721767,0.7668160598998043,4.32019117474556,3.056488442234695,1.4452674314379692,0.21777157112956047
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,val,curvature_template,sharp,8,0.0006718697841279209,0.9813913498073816,0.6711345588544757,6.199885867536068,3.38185228779912,1.5125760734081268,0.3446193225681782
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,val,depth_bin,deep,15,0.0008201768059128274,0.3574907590945562,0.6987002859478184,6.479655853907267,4.52362444003423,1.8336668093999227,0.20218738714853923
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,val,depth_bin,medium,11,0.00035132815802088856,0.3254270323298194,0.8387895518513733,3.365574981678616,1.7591563185507602,0.6528277796777812,0.22075307775627484
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,val,depth_bin,shallow,13,0.0008691929576273721,1.6159483606998737,0.5895737314566754,5.894624948501587,4.367143007425161,1.881516199845534,0.19281422404142526
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,val,aspect_bin,balanced,11,0.0005413788286122409,0.3394077569246292,0.9164313287657407,1.6954115886579861,1.002955094657161,1.1946534785357388,0.20544450797817923
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,val,aspect_bin,compact,12,0.0008161653022398241,1.4131469242274761,0.5602867090882929,7.560077428817749,3.3608179489771524,1.7044489681720734,0.21758383885025978
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,val,aspect_bin,narrow,6,0.000592240265784009,0.532209446032842,0.7679858730832652,3.977988322575887,2.936357627312342,1.2479934791723888,0.21792535235484442
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,val,aspect_bin,wide,10,0.000816417793976143,0.6064882338047027,0.5959547504536904,7.7607900381088255,7.499747800827026,1.8063281558454036,0.17892318069934846
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,val,size_bin,elongated,6,0.000592240265784009,0.532209446032842,0.7679858730832652,3.977988322575887,2.936357627312342,1.2479934791723888,0.21792535235484442
channel_dropout_Bx_missing,channel_attenuation_dropout,missing,Bx,val,size_bin,large_wide,10,0.000816417793976143,0.6064882338047027,0.5959547504536904,7.7607900381088255,7.499747800827026,1.8063281558454036,0.17892318069934846
