candidate,selected_seed,split,group_field,group_value,sample_count,total_normalized_mae,L_mae_mm,W_mae_mm,D_mae_mm,burial_depth_mae_mm,center_xyz_component_mae_mm,center_xyz_error_p95_mm,center_xyz_error_max_mm,catastrophic_failure_count,geometry_branch_failure_count,shape_accuracy,shape_macro_f1
T3_shape_specific_heads,123,train,aspect_bin,elongated_y,33,0.038428664207458496,0.05941180884838104,0.10559774190187454,0.006341594271361828,0.06921599805355072,0.1604551374912262,1.4439404010772705,1.4439404010772705,0,0,1.0,0.6666666666666666
T3_shape_specific_heads,123,val,shape_type,internal_cuboid,13,0.40256476402282715,1.202191948890686,0.7558743953704834,0.09785265475511551,0.45677387714385986,1.187712550163269,6.484621524810791,8.188969612121582,1,0,1.0,0.3333333333333333
T3_shape_specific_heads,123,val,shape_type,internal_ellipsoid,14,0.18267136812210083,0.5995221138000488,0.24089951813220978,0.045563146471977234,0.16389182209968567,0.7768195271492004,5.593400001525879,5.83334493637085,0,0,1.0,0.3333333333333333
T3_shape_specific_heads,123,val,shape_type,internal_sphere,13,0.08280301839113235,0.07128487527370453,0.07865608483552933,0.04567376896739006,0.09783022850751877,0.2332042157649994,1.2349941730499268,1.6666640043258667,0,0,1.0,0.3333333333333333
T3_shape_specific_heads,123,val,burial_depth_level,deep,10,0.15116477012634277,0.468366414308548,0.34806472063064575,0.05387046933174133,0.09760963171720505,0.3988061845302582,2.722579002380371,3.21652889251709,0,0,1.0,1.0
T3_shape_specific_heads,123,val,burial_depth_level,deep_plus,10,0.14726506173610687,0.12934903800487518,0.19382210075855255,0.02394983358681202,0.17111457884311676,0.9498578310012817,6.962823390960693,8.188969612121582,0,0,1.0,1.0
T3_shape_specific_heads,123,val,burial_depth_level,medium,10,0.3464623987674713,1.3360801935195923,0.4076462388038635,0.12288326770067215,0.34234970808029175,0.8046844005584717,4.380316734313965,5.83334493637085,0,0,1.0,1.0
T3_shape_specific_heads,123,val,burial_depth_level,shallow,10,0.24182569980621338,0.5610551238059998,0.4726160168647766,0.04966918006539345,0.3393600285053253,0.7813904881477356,5.193112373352051,5.348391532897949,1,0,1.0,1.0
T3_shape_specific_heads,123,val,size_level,large,13,0.3906828463077545,1.2899690866470337,0.6276339888572693,0.11917854100465775,0.318764865398407,1.2657884359359741,6.7755937576293945,8.188969612121582,0,0,1.0,1.0
T3_shape_specific_heads,123,val,size_level,medium,14,0.10424404591321945,0.13502441346645355,0.12218675762414932,0.019530972465872765,0.18469882011413574,0.49417489767074585,4.003211975097656,5.464199066162109,0,0,1.0,1.0
T3_shape_specific_heads,123,val,size_level,small,13,0.17914509773254395,0.48373591899871826,0.33474108576774597,0.05238252505660057,0.21343179047107697,0.45951464772224426,3.272646903991699,5.003326892852783,1,0,1.0,0.6666666666666666
T3_shape_specific_heads,123,val,aspect_bin,compact,22,0.2393697053194046,0.5001021027565002,0.3734767735004425,0.07506860792636871,0.23799557983875275,0.9051964282989502,5.814887046813965,8.188969612121582,0,0,1.0,1.0
T3_shape_specific_heads,123,val,aspect_bin,elongated_x,13,0.14443546533584595,0.8318436741828918,0.1652209460735321,0.04569931700825691,0.11173215508460999,0.2944401204586029,2.2526843547821045,2.564422845840454,0,0,1.0,0.6666666666666666
T3_shape_specific_heads,123,val,aspect_bin,elongated_y,5,0.3446768820285797,0.6264582276344299,0.771425724029541,0.05162537470459938,0.563183605670929,1.1210691928863525,5.279378414154053,5.348391532897949,1,0,1.0,0.6666666666666666
T3_shape_specific_heads,123,test,shape_type,internal_cuboid,14,0.3940035402774811,0.6418366432189941,1.2274949550628662,0.07796406000852585,0.5238577127456665,1.3595993518829346,6.328877925872803,7.043766021728516,2,1,0.8571428571428571,0.30769230769230765
T3_shape_specific_heads,123,test,shape_type,internal_ellipsoid,13,0.5129156708717346,1.4684772491455078,1.627342939376831,0.09725338965654373,0.6502805352210999,1.5216515064239502,7.518853664398193,10.468412399291992,3,0,1.0,0.3333333333333333
T3_shape_specific_heads,123,test,shape_type,internal_sphere,13,0.1623762547969818,0.10307859629392624,0.10311660170555115,0.08366221189498901,0.19170227646827698,0.5324435234069824,3.188948154449463,3.8072731494903564,0,0,1.0,0.3333333333333333
T3_shape_specific_heads,123,test,burial_depth_level,deep,10,0.36921146512031555,0.6361985802650452,1.447178602218628,0.09848115593194962,0.2757527530193329,1.1766265630722046,5.230601787567139,5.552484512329102,1,0,1.0,1.0
T3_shape_specific_heads,123,test,burial_depth_level,deep_plus,10,0.3573478162288666,0.7311159372329712,0.37489745020866394,0.09109313786029816,0.5901542901992798,1.5916826725006104,8.43239974975586,10.468412399291992,2,1,0.9,0.6296296296296297
T3_shape_specific_heads,123,test,burial_depth_level,medium,10,0.2930046021938324,0.6370133757591248,0.8750278353691101,0.07044965028762817,0.4393557012081146,0.7298198938369751,3.7212328910827637,4.237662315368652,1,0,0.9,0.8962962962962964
T3_shape_specific_heads,123,test,burial_depth_level,shallow,10,0.40992051362991333,0.9372662901878357,1.2709864377975464,0.08431602269411087,0.5227158069610596,1.075632929801941,6.280848026275635,7.043766021728516,1,0,1.0,1.0
T3_shape_specific_heads,123,test,size_level,large,14,0.45171797275543213,0.8720138072967529,1.5173310041427612,0.12217738479375839,0.5056400299072266,1.212170958518982,5.941771507263184,7.043766021728516,2,0,1.0,1.0
T3_shape_specific_heads,123,test,size_level,medium,13,0.3679463267326355,0.6704383492469788,0.922624945640564,0.05588521808385849,0.6001206040382385,1.4763399362564087,7.753726959228516,10.468412399291992,2,1,0.9230769230769231,0.9301587301587301
T3_shape_specific_heads,123,test,size_level,small,13,0.2451915591955185,0.6532344222068787,0.4957035481929779,0.07741603255271912,0.26148131489753723,0.7365243434906006,4.857779502868652,4.888664722442627,1,0,0.9230769230769231,0.6190476190476191
T3_shape_specific_heads,123,test,aspect_bin,compact,22,0.23448359966278076,0.22501958906650543,0.22500845789909363,0.06849406659603119,0.3707662522792816,1.0881778001785278,6.988773345947266,10.468412399291992,3,1,0.9545454545454546,0.8666666666666667
T3_shape_specific_heads,123,test,aspect_bin,elongated_x,4,0.5429490804672241,1.8653918504714966,2.0959408283233643,0.1432783007621765,0.4309847056865692,0.8529253005981445,2.828939437866211,2.8646578788757324,0,0,1.0,0.6666666666666666
T3_shape_specific_heads,123,test,aspect_bin,elongated_y,14,0.4974577724933624,1.214566946029663,1.881925106048584,0.097386933863163,0.5999277234077454,1.3132867813110352,5.419824123382568,5.552484512329102,2,0,0.9285714285714286,0.6031746031746031
