observation_config,base_group_id,nearest_base_group_id,shape_type,nearest_shape_type,burial_depth_level,nearest_burial_depth_level,size_level,nearest_size_level,aspect_bin,nearest_aspect_bin,nearest_feature_distance,center_label_distance_mm,burial_label_distance_mm,shape_match,burial_bin_match,ambiguous_neighbor,cuboid_ellipsoid_cross,elongated_x_y_cross
dual_mag_xy_5line,richer_obs_base_017,richer_obs_base_009,internal_sphere,internal_sphere,deep_plus,deep_plus,large,medium,compact,compact,0.8522964715957642,12.540334701538086,0.0,True,True,True,False,False
dual_mag_xy_5line,richer_obs_base_018,richer_obs_base_025,internal_cuboid,internal_ellipsoid,deep_plus,deep_plus,large,medium,compact,elongated_x,0.49864262342453003,12.165935516357422,0.0,False,True,True,True,False
dual_mag_xy_5line,richer_obs_base_019,richer_obs_base_025,internal_cuboid,internal_ellipsoid,deep_plus,deep_plus,medium,medium,elongated_y,elongated_x,0.47863805294036865,12.529964447021484,0.0,False,True,True,True,True
dual_mag_xy_5line,richer_obs_base_020,richer_obs_base_006,internal_cuboid,internal_cuboid,shallow,shallow,medium,large,elongated_y,compact,0.6022979021072388,12.042009353637695,0.0,True,True,True,False,False
dual_mag_xy_5line,richer_obs_base_021,richer_obs_base_011,internal_sphere,internal_sphere,deep,shallow,medium,large,compact,compact,0.44084110856056213,2.299999952316284,2.3999998569488525,True,False,True,False,False
dual_mag_xy_5line,richer_obs_base_022,richer_obs_base_020,internal_cuboid,internal_cuboid,shallow,shallow,large,medium,elongated_y,elongated_y,0.6471900343894958,12.00041675567627,0.0,True,True,True,False,False
dual_mag_xy_5line,richer_obs_base_023,richer_obs_base_016,internal_cuboid,internal_ellipsoid,medium,deep_plus,small,large,elongated_y,elongated_y,0.5713256597518921,3.1240999698638916,2.1999998092651367,False,False,True,True,False
dual_mag_xy_5line,richer_obs_base_024,richer_obs_base_021,internal_sphere,internal_sphere,deep_plus,deep,large,medium,compact,compact,0.6292543411254883,1.100000023841858,0.9999999403953552,True,False,False,False,False
dual_mag_xy_5line,richer_obs_base_025,richer_obs_base_019,internal_ellipsoid,internal_cuboid,deep_plus,deep_plus,medium,medium,elongated_x,elongated_y,0.47863805294036865,12.529964447021484,0.0,False,True,True,True,True
dual_mag_xy_5line,richer_obs_base_026,richer_obs_base_007,internal_ellipsoid,internal_ellipsoid,deep_plus,deep_plus,medium,medium,elongated_y,compact,0.4631297290325165,6.7082037925720215,0.0,True,True,True,False,False
dual_mag_xy_5line,richer_obs_base_027,richer_obs_base_018,internal_cuboid,internal_cuboid,deep,deep_plus,medium,large,compact,compact,0.6478556990623474,6.099999904632568,0.9999999403953552,True,False,True,False,False
dual_mag_xy_5line,richer_obs_base_028,richer_obs_base_022,internal_cuboid,internal_cuboid,shallow,shallow,medium,large,elongated_x,elongated_y,0.6497403979301453,13.000384330749512,0.0,True,True,True,False,True
dual_mag_xy_5line,richer_obs_base_029,richer_obs_base_021,internal_sphere,internal_sphere,deep_plus,deep,small,medium,compact,compact,0.64449542760849,6.067124843597412,0.9999999403953552,True,False,True,False,False
dual_mag_xy_5line,richer_obs_base_030,richer_obs_base_027,internal_cuboid,internal_cuboid,deep,deep,medium,medium,elongated_y,compact,0.9039521813392639,6.0,0.0,True,True,True,False,False
mag_x_9line_only,richer_obs_base_001,richer_obs_base_007,internal_cuboid,internal_ellipsoid,deep,deep_plus,large,medium,compact,compact,0.4038418233394623,5.0059967041015625,0.9999999403953552,False,False,True,True,False
mag_x_9line_only,richer_obs_base_002,richer_obs_base_019,internal_ellipsoid,internal_cuboid,deep_plus,deep_plus,large,medium,elongated_y,elongated_y,0.3968667984008789,9.341306686401367,0.0,False,True,True,True,False
mag_x_9line_only,richer_obs_base_003,richer_obs_base_019,internal_cuboid,internal_cuboid,deep_plus,deep_plus,medium,medium,compact,elongated_y,0.5484341979026794,2.2360680103302,0.0,True,True,False,False,False
mag_x_9line_only,richer_obs_base_004,richer_obs_base_007,internal_ellipsoid,internal_ellipsoid,deep_plus,deep_plus,large,medium,compact,compact,0.5121755599975586,7.762732028961182,0.0,True,True,True,False,False
mag_x_9line_only,richer_obs_base_005,richer_obs_base_001,internal_ellipsoid,internal_cuboid,shallow,deep,medium,large,compact,compact,0.6838329434394836,3.082207202911377,2.3999998569488525,False,False,True,True,False
mag_x_9line_only,richer_obs_base_006,richer_obs_base_020,internal_cuboid,internal_cuboid,shallow,shallow,large,medium,compact,elongated_y,0.5395036935806274,12.042009353637695,0.0,True,True,True,False,False
mag_x_9line_only,richer_obs_base_007,richer_obs_base_001,internal_ellipsoid,internal_cuboid,deep_plus,deep,medium,large,compact,compact,0.4038418233394623,5.0059967041015625,0.9999999403953552,False,False,True,True,False
mag_x_9line_only,richer_obs_base_008,richer_obs_base_018,internal_ellipsoid,internal_cuboid,deep_plus,deep_plus,large,large,compact,compact,0.5357921719551086,1.8027758598327637,0.0,False,True,True,True,False
mag_x_9line_only,richer_obs_base_009,richer_obs_base_029,internal_sphere,internal_sphere,deep_plus,deep_plus,medium,small,compact,compact,0.5154106616973877,13.82967758178711,0.0,True,True,True,False,False
mag_x_9line_only,richer_obs_base_010,richer_obs_base_026,internal_ellipsoid,internal_ellipsoid,medium,deep_plus,large,medium,elongated_y,elongated_y,0.352714478969574,2.1000001430511475,2.1999998092651367,True,False,True,False,False
mag_x_9line_only,richer_obs_base_011,richer_obs_base_012,internal_sphere,internal_sphere,shallow,shallow,large,large,compact,compact,0.0,0.0,0.0,True,True,False,False,False
mag_x_9line_only,richer_obs_base_012,richer_obs_base_011,internal_sphere,internal_sphere,shallow,shallow,large,large,compact,compact,0.0,0.0,0.0,True,True,False,False,False
mag_x_9line_only,richer_obs_base_013,richer_obs_base_007,internal_cuboid,internal_ellipsoid,deep,deep_plus,large,medium,compact,compact,0.5112029314041138,6.148983955383301,0.9999999403953552,False,False,True,True,False
mag_x_9line_only,richer_obs_base_014,richer_obs_base_004,internal_cuboid,internal_ellipsoid,deep_plus,deep_plus,large,large,compact,compact,0.6438947319984436,1.8027758598327637,0.0,False,True,True,True,False
mag_x_9line_only,richer_obs_base_015,richer_obs_base_007,internal_ellipsoid,internal_ellipsoid,deep_plus,deep_plus,small,medium,elongated_y,compact,0.5317427515983582,6.708949089050293,0.0,True,True,True,False,False
mag_x_9line_only,richer_obs_base_016,richer_obs_base_023,internal_ellipsoid,internal_cuboid,deep_plus,medium,large,small,elongated_y,elongated_y,0.4874522387981415,3.1240999698638916,2.1999998092651367,False,False,True,True,False
mag_x_9line_only,richer_obs_base_017,richer_obs_base_009,internal_sphere,internal_sphere,deep_plus,deep_plus,large,medium,compact,compact,1.000512719154358,12.540334701538086,0.0,True,True,True,False,False
mag_x_9line_only,richer_obs_base_018,richer_obs_base_026,internal_cuboid,internal_ellipsoid,deep_plus,deep_plus,large,medium,compact,elongated_y,0.32461458444595337,12.00041675567627,0.0,False,True,True,True,False
