candidate,seed,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite,macro_area_composite,type_accuracy
shape_type_conditional_screening_predicted,42,val,defect_type,multi_defect,0.7,71,0.36751690861892505,0.5213881754127877,0.27845782378879685,1.149133728318651,0,39,32,0.6104472602429158,0.46079198272876143,
shape_type_conditional_screening_predicted,42,val,defect_type,polygon,0.7,72,0.2808754540939498,0.4044691888572557,0.5604815490950562,1.5035452200617228,0,11,61,0.12486309385614935,0.46079198272876143,
shape_type_conditional_screening_predicted,42,val,defect_type,rotated_rect,0.7,57,0.43154344362920916,0.585298288661801,0.321603577523623,1.0800063909407247,0,16,41,0.6952381547673872,0.46079198272876143,
shape_type_conditional_screening_predicted,42,val,overall,all,0.8,200,0.34062053752350896,0.48043877937547436,0.30007453616826935,1.2833515382371843,0,99,101,0.520984780730714,0.5218216431047851,0.645
shape_type_conditional_screening_predicted,42,val,area_bin,small,0.8,67,0.2626587508766824,0.38030420775473667,0.44737713257520473,1.4795094926410646,0,15,52,0.19558582605621433,0.5218216431047851,
shape_type_conditional_screening_predicted,42,val,area_bin,medium,0.8,66,0.3754595439385134,0.52304395118959,0.20930937720915105,1.3135418280056028,0,34,32,0.6891941179189525,0.5218216431047851,
shape_type_conditional_screening_predicted,42,val,area_bin,large,0.8,67,0.3842633029257045,0.5386040772688743,0.24218239485539056,1.0574538954047126,0,50,17,0.6806849853391883,0.5218216431047851,
shape_type_conditional_screening_predicted,42,val,signal_bin,low_signal,0.8,67,0.2687531620078518,0.386608048426831,0.40295961145898834,1.5918764259610603,0,29,38,0.25240159897569453,0.5218216431047851,
shape_type_conditional_screening_predicted,42,val,signal_bin,non_low_signal,0.8,133,0.37682440338477985,0.5277068919586255,0.24824521252557624,1.1279292263762843,0,70,63,0.6562860828178292,0.5218216431047851,
shape_type_conditional_screening_predicted,42,val,defect_type,multi_defect,0.8,71,0.3539717093393784,0.5059333324824468,0.2808548262039808,1.193605704574098,0,47,24,0.5790502156178443,0.5218216431047851,
shape_type_conditional_screening_predicted,42,val,defect_type,polygon,0.8,72,0.27029242043368484,0.388188027225755,0.3794810074558916,1.5178934449536934,0,23,49,0.27899944020354833,0.5218216431047851,
shape_type_conditional_screening_predicted,42,val,defect_type,rotated_rect,0.8,57,0.4128256468487829,0.5652096720804698,0.22371196554994793,1.0988767471229821,0,29,28,0.7543233533793048,0.5218216431047851,
shape_type_conditional_screening_predicted,42,val,overall,all,0.85,200,0.3247496077214312,0.46212870570471964,0.28295646331250013,1.2996118583496492,1,133,67,0.5039218501136506,0.5045157279213278,0.645
shape_type_conditional_screening_predicted,42,val,area_bin,small,0.85,67,0.2490854189647743,0.3619811947602315,0.3332488280696035,1.4968072523673375,1,28,39,0.2778177856554023,0.5045157279213278,
shape_type_conditional_screening_predicted,42,val,area_bin,medium,0.85,66,0.3571818388273085,0.5025055043065582,0.23639605367706334,1.321641437822219,0,50,16,0.6232912894568032,0.5045157279213278,
shape_type_conditional_screening_predicted,42,val,area_bin,large,0.85,67,0.3684656285230446,0.5225020568324712,0.2785295767037376,1.083658899389096,0,55,12,0.6124381086517781,0.5045157279213278,
shape_type_conditional_screening_predicted,42,val,signal_bin,low_signal,0.85,67,0.2499922734529212,0.3638467738069777,0.3595311739570183,1.6176405868521242,1,44,23,0.2543078733028806,0.5045157279213278,
shape_type_conditional_screening_predicted,42,val,signal_bin,non_low_signal,0.85,133,0.3624093174657181,0.5116391526005747,0.24438123313819402,1.1417930908221052,0,89,44,0.6296672369280987,0.5045157279213278,
shape_type_conditional_screening_predicted,42,val,defect_type,multi_defect,0.85,71,0.3409959349117375,0.4914593114683668,0.3021632502226801,1.2199115511816991,0,53,18,0.5302919961574242,0.5045157279213278,
shape_type_conditional_screening_predicted,42,val,defect_type,polygon,0.85,72,0.25716302754665604,0.37037061079815026,0.30870346855893793,1.5388494461355076,1,37,35,0.3188301697858683,0.5045157279213278,
shape_type_conditional_screening_predicted,42,val,defect_type,rotated_rect,0.85,57,0.38988547688058994,0.5414990534951417,0.2265096870253723,1.1008899824922544,0,43,14,0.7048748433503593,0.5045157279213278,
shape_type_conditional_screening_predicted,42,val,overall,all,0.9,200,0.2837932214927389,0.4147323628737258,0.3616149859268532,1.3174252268769333,1,171,29,0.3369105984396114,0.33709105602111294,0.645
shape_type_conditional_screening_predicted,42,val,area_bin,small,0.9,67,0.20573253511374387,0.3067832980288806,0.345306298668824,1.514667066491463,1,53,14,0.1672095344738005,0.33709105602111294,
shape_type_conditional_screening_predicted,42,val,area_bin,medium,0.9,66,0.30933757211148644,0.4488386861529789,0.38499368594307615,1.3207194633556134,0,60,6,0.3731825723213892,0.33709105602111294,
shape_type_conditional_screening_predicted,42,val,area_bin,large,0.9,67,0.3366908162174453,0.4890841540405008,0.354893908989797,1.1198822265463089,0,58,9,0.4708810612681491,0.33709105602111294,
shape_type_conditional_screening_predicted,42,val,signal_bin,low_signal,0.9,67,0.2007083227573365,0.3045110471701133,0.43470660429127295,1.6284068832456162,1,58,9,0.07051276563617681,0.33709105602111294,
shape_type_conditional_screening_predicted,42,val,signal_bin,non_low_signal,0.9,133,0.3256480201038063,0.4702573865740418,0.32479439622447626,1.1631035026639027,0,113,20,0.4711110104533719,0.33709105602111294,
shape_type_conditional_screening_predicted,42,val,defect_type,multi_defect,0.9,71,0.31695072271800173,0.4637520948757203,0.3516395313467682,1.2627896643440488,0,57,14,0.4290632862469539,0.33709105602111294,
shape_type_conditional_screening_predicted,42,val,defect_type,polygon,0.9,72,0.22148918518650515,0.3254676506239286,0.3231887298637623,1.5536743805966746,1,60,12,0.22376810594667146,0.33709105602111294,
shape_type_conditional_screening_predicted,42,val,defect_type,rotated_rect,0.9,57,0.3211916079323032,0.4664281226955466,0.42257898086945983,1.0912047887319012,0,54,3,0.36504074975839,0.33709105602111294,
shape_type_conditional_screening_predicted,42,val,overall,all,0.95,200,0.12153290798376219,0.1927354130923725,0.7568241762493357,1.3766730037187376,45,198,2,-0.44255585517320106,-0.4430854768819219,0.645
shape_type_conditional_screening_predicted,42,val,area_bin,small,0.95,67,0.029155415132925768,0.049377281591838594,0.9033721245293972,1.4963140222243965,27,66,1,-0.8248394278046328,-0.4430854768819219,
shape_type_conditional_screening_predicted,42,val,area_bin,medium,0.95,66,0.10074010306545425,0.16505137618635296,0.8148012978778715,1.4605480093432932,17,65,1,-0.5490098186260642,-0.4430854768819219,
