source_index,sample_id,split,defect_type,source_pack,angle_deg,vertex_count,threshold,iou,dice,area_error,center_error,pred_area,true_area,pred_area_zero,bce_loss,dice_loss,total_loss,prob_min,prob_max,prob_mean,notes
53,rect_0054,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.88,0.9361702127659575,0.07727272727272727,0.476140929419428,406,440,0,0.012306123971939087,0.054957032203674316,0.0672631561756134,0.0,0.9999998807907104,0.05401907488703728,balanced_pilot_v7_training_gate_only
54,rect_0055,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.927536231884058,0.9624060150375939,0.07246376811594203,0.1090099593488849,448,483,0,0.0038978164084255695,0.02375739812850952,0.027655214071273804,0.0,1.0,0.057886525988578796,balanced_pilot_v7_training_gate_only
55,rect_0056,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.8817204301075269,0.9371428571428572,0.0392156862745098,0.789328651351654,343,357,0,0.013179409317672253,0.06808620691299438,0.08126561343669891,0.0,0.9999997615814209,0.04619133099913597,balanced_pilot_v7_training_gate_only
56,rect_0057,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.7972270363951474,0.8871745419479267,0.18706293706293706,0.7441497269018487,465,572,0,0.02290462516248226,0.07300311326980591,0.09590774029493332,0.0,1.0,0.062399961054325104,balanced_pilot_v7_training_gate_only
57,rect_0058,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.8443708609271523,0.9156193895870736,0.14333333333333334,0.7722069035857703,257,300,0,0.013011730276048183,0.07639813423156738,0.08940986543893814,0.0,1.0,0.03425377607345581,balanced_pilot_v7_training_gate_only
58,rect_0059,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.7196428571428571,0.8369678089304258,0.28035714285714286,0.5563433700818765,403,560,0,0.04974820464849472,0.12344002723693848,0.1731882393360138,0.0,1.0,0.054396286606788635,balanced_pilot_v7_training_gate_only
64,rect_0065,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.7142857142857143,0.8333333333333334,0.2857142857142857,2.156661964333393,520,728,0,0.05434967949986458,0.1103927493095398,0.16474242508411407,0.0,1.0,0.07193862646818161,balanced_pilot_v7_training_gate_only
65,rect_0066,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.7682291666666666,0.8689248895434463,0.23177083333333334,0.6442684789938117,295,384,0,0.02099817618727684,0.0972326397895813,0.11823081970214844,0.0,1.0,0.04019366204738617,balanced_pilot_v7_training_gate_only
67,rect_0068,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.8916083916083916,0.9426987060998152,0.10839160839160839,0.38285537626993654,255,286,0,0.005473040975630283,0.03236544132232666,0.03783848136663437,0.0,1.0,0.032959677278995514,balanced_pilot_v7_training_gate_only
68,rect_0069,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.8616600790513834,0.9256900212314225,0.1383399209486166,0.49772227599151986,436,506,0,0.009859025478363037,0.04838132858276367,0.05824035406112671,0.0,0.9999997615814209,0.05936551094055176,balanced_pilot_v7_training_gate_only
69,rect_0070,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.8411867364746946,0.9137440758293839,0.14912280701754385,0.15258080241218702,485,570,0,0.02119736187160015,0.07056492567062378,0.09176228940486908,0.0,0.9999998807907104,0.0652003139257431,balanced_pilot_v7_training_gate_only
70,rect_0071,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.8577777777777778,0.9234449760765551,0.14222222222222222,0.9196968222369925,579,675,0,0.026207951828837395,0.06155878305435181,0.08776673674583435,0.0,1.0,0.07518692314624786,balanced_pilot_v7_training_gate_only
71,rect_0072,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.852,0.9200863930885529,0.148,0.7395690899878814,639,750,0,0.033517736941576004,0.05636882781982422,0.08988656103610992,0.0,1.0,0.08259701728820801,balanced_pilot_v7_training_gate_only
72,rect_0073,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.7901990811638591,0.8828058169375534,0.20430107526881722,1.151901561832146,518,651,0,0.02954140305519104,0.08367884159088135,0.11322024464607239,0.0,0.9999998807907104,0.07117621600627899,balanced_pilot_v7_training_gate_only
73,rect_0074,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.9526627218934911,0.9757575757575757,0.03571428571428571,0.2214301537220232,486,504,0,0.005583529360592365,0.027494847774505615,0.033078376203775406,0.0,1.0,0.06310074031352997,balanced_pilot_v7_training_gate_only
75,rect_0076,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.759469696969697,0.8632938643702907,0.24053030303030304,1.2762197152478505,401,528,0,0.04814598709344864,0.1069750189781189,0.15512099862098694,0.0,1.0,0.05306413769721985,balanced_pilot_v7_training_gate_only
79,rect_0080,train,rectangular_notch,pilot_v2_rectangular_notch,0.0,0,0.9,0.881578947368421,0.9370629370629371,0.11842105263157894,0.27401883533935845,536,608,0,0.010713103227317333,0.04462480545043945,0.05533790960907936,0.0,0.9999996423721313,0.07180526852607727,balanced_pilot_v7_training_gate_only
90,rot_0011,train,rotated_rect,pilot_v3_rotated_rect,20.0,0,0.9,0.8739054290718039,0.9327102803738317,0.09608540925266904,0.2161978230815381,508,562,0,0.018739471212029457,0.05821108818054199,0.0769505575299263,0.0,1.0,0.06675844639539719,balanced_pilot_v7_training_gate_only
93,rot_0014,train,rotated_rect,pilot_v3_rotated_rect,10.0,0,0.9,0.7142857142857143,0.8333333333333334,0.2857142857142857,1.3157833383402597,385,539,0,0.04240851104259491,0.11786139011383057,0.16026990115642548,0.0,1.0,0.053410761058330536,balanced_pilot_v7_training_gate_only
