candidate,seed,group_type,group,threshold,n,mse,mae,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,composite,macro_area_composite
current_baseline_composite,123,signal_bin,low_signal,500,67,17673.599503702193,41.484445899280146,0.20108796572809645,0.302145709802062,0.5258679638878669,1.5076012060303112,9,49,18,-0.02263428835770842,0.4112353112779857
current_baseline_composite,123,signal_bin,non_low_signal,500,133,23730.893444548874,51.55867970975718,0.37143475639634943,0.5189642621916531,0.26114243000559767,1.1176122072103776,0,84,48,0.629256588582405,0.4112353112779857
current_baseline_composite,2026,overall,all,500,200,21471.158256225586,50.7656289100647,0.3289214613248653,0.4636183694500884,0.31498802692760286,1.2288849423111408,6,132,68,0.47755180384735085,0.4778276413465276
current_baseline_composite,2026,area_bin,small,500,67,14765.379531177123,37.632861578642434,0.2341307731838781,0.33908357927827343,0.44898704927723126,1.256074749406368,4,35,32,0.12422730318492031,0.4778276413465276
current_baseline_composite,2026,area_bin,medium,500,66,20168.466397372158,48.45705737489642,0.33400773920438365,0.47669794764540857,0.2777105456679135,1.3308201768086292,2,43,23,0.5329951411818787,0.4778276413465276
current_baseline_composite,2026,area_bin,large,500,67,29460.185678055037,66.17251148508556,0.41870178618155096,0.5752687990115878,0.21771010552035516,1.1059474370150424,0,54,13,0.7762604796727836,0.4778276413465276
current_baseline_composite,2026,signal_bin,low_signal,500,67,17731.24048033757,43.857253999852425,0.21030942549612933,0.3143622246244696,0.4880186125742295,1.4368633823316606,6,48,19,0.036653037546369394,0.4778276413465276
current_baseline_composite,2026,signal_bin,non_low_signal,500,133,23355.176985432332,54.24578769941975,0.38867338914836386,0.5388075551893099,0.22782224318080607,1.1334963344821805,0,84,49,0.6996587011568676,0.4778276413465276
current_baseline_composite_mean,mean,area_bin,large,500,67,29900.038702969527,64.12025550348842,0.4130838737100489,0.5699145768049848,0.258504852575228,1.117982841008783,0.0,49.0,17.666666666666668,0.7244935979398058,0.4390985794686002
current_baseline_composite_std,sample_std,area_bin,large,500,67,814.2236571895013,1.777621639246776,0.009525605498563806,0.010193407113308685,0.045020751478951064,0.02827946543774656,0.0,4.358898943540674,4.163331998932266,0.0636428396199467,0.034600342633142295
current_baseline_composite_mean,mean,area_bin,medium,500,66,19950.506258877842,46.59564707014297,0.3301112141770978,0.47164379981795507,0.29718533273116815,1.3470985989931086,1.6666666666666667,47.666666666666664,17.666666666666668,0.5045696812638848,0.4390985794686002
current_baseline_composite_std,sample_std,area_bin,medium,500,66,405.79706172803367,1.6125510095948394,0.005137538650782548,0.006091361794218183,0.016925490344190903,0.022464380035838102,0.5773502691896257,4.041451884327381,4.725815626252609,0.02550958741042342,0.034600342633142295
current_baseline_composite_mean,mean,area_bin,small,500,67,14458.944240589046,36.788024347219896,0.2219059982496432,0.32235143735536115,0.4560249764028943,1.2145850050524818,8.666666666666666,35.333333333333336,31.666666666666668,0.08823245920211013,0.4390985794686002
current_baseline_composite_std,sample_std,area_bin,small,500,67,373.8834215026888,0.9486956079145585,0.010642484074415136,0.014662798453205662,0.023830139167732113,0.03758205239714912,5.033222956847166,0.5773502691896258,0.5773502691896258,0.04082664323183043,0.034600342633142295
current_baseline_composite_mean,mean,overall,all,500,200,21443.926351521808,49.18083728313446,0.32165830778493915,0.45455156868364116,0.3374386525089564,1.2256626792421816,10.333333333333334,132.0,67.0,0.4387712239596238,0.4390985794686002
current_baseline_composite_std,sample_std,overall,all,500,200,272.4123418643863,1.387640748846835,0.007276476291297966,0.008675102004549877,0.019477475891468733,0.012307182043342562,5.131601439446884,1.0,1.0,0.034645815180682854,0.034600342633142295
current_baseline_composite_mean,mean,signal_bin,low_signal,500,67,17487.519163824432,42.31009777031135,0.19756010358963494,0.2973239892777582,0.5201873412926105,1.4766957895986763,10.333333333333334,50.0,17.0,-0.02530324842521729,0.4390985794686002
current_baseline_composite_std,sample_std,signal_bin,low_signal,500,67,373.3332538418442,1.3408881292065042,0.014831347558073993,0.019892311620663235,0.029738160218954614,0.03620398181742685,5.131601439446884,2.6457513110645907,2.6457513110645907,0.06333295802679921,0.034600342633142295
current_baseline_composite_mean,mean,signal_bin,non_low_signal,500,133,23437.003656602446,52.64203688733858,0.38417394448482917,0.5337564395121684,0.24537728297132624,1.1194251067469592,0.0,82.0,50.0,0.6725531010256715,0.4390985794686002
current_baseline_composite_std,sample_std,signal_bin,non_low_signal,500,133,262.71427166302317,1.417125431339093,0.011189845556190684,0.013023259219670106,0.016732050070714814,0.013258066694125579,0.0,3.4641016151377544,2.6457513110645907,0.03789094344114026,0.034600342633142295
mean_mu_ensemble,ensemble,overall,all,500,200,20779.048157958983,45.5056673002243,0.3265767429193165,0.4599859567067421,0.33056711107089193,1.1998712768748638,11,138,60,0.4559955885551667,0.4563189893990214
mean_mu_ensemble,ensemble,area_bin,small,500,67,14174.072320283349,32.818366392334894,0.22445736553209283,0.32565781668016136,0.45206344265826404,1.1847710348665714,9,32,34,0.09805173955399016,0.4563189893990214
mean_mu_ensemble,ensemble,area_bin,medium,500,66,19399.714680989582,42.88047279011119,0.33449291291822436,0.4754386961344334,0.28893245088268105,1.3271188681246713,2,51,14,0.5209991581699768,0.4563189893990214
mean_mu_ensemble,ensemble,area_bin,large,500,67,28742.770405783584,60.77898071061319,0.42089810209866074,0.5790919952075372,0.2500840268331006,1.0913931902553609,0,55,12,0.7499060704730973,0.4563189893990214
mean_mu_ensemble,ensemble,signal_bin,low_signal,500,67,16962.230873221783,38.465893546147136,0.19288470969962546,0.29135274795316507,0.540023131961651,1.4519806574763996,11,51,16,-0.055785674308860445,0.4563189893990214
mean_mu_ensemble,ensemble,signal_bin,non_low_signal,500,133,22701.805737488252,49.05201949212784,0.39392536115780746,0.544936520514935,0.22505167197554707,1.093719958726849,0,87,44,0.7138102096971954,0.4563189893990214
