candidate,seed,split,group_type,group,threshold,n,iou,dice,area_error,center_error,pred_area_zero,pred_area_lt_true,pred_area_gt_true,bz_mse,composite,macro_area_composite,active_component_count,collapsed_component_count,out_of_image_center_count,avg_scale_x,avg_scale_y
anisotropic_basis_oracle_k2,oracle,test,area_bin,large,0.5,46,0.8880565698101021,0.9406491692033138,0.012127648757984982,0.009481769179135723,0,46,0,nan,1.816578090255431,1.8051853804032632,2.0,0.0,0.0,1.3897608337195024,1.5407616599746372
anisotropic_basis_oracle_k2,oracle,test,signal_bin,low_signal,0.5,46,0.8741868157881881,0.9318946034957764,0.02627719699605765,0.020587715780888888,0,42,3,nan,1.779804222287907,1.8051853804032632,2.0,0.021739130434782608,0.0,1.1041701150977092,0.8917753310955089
anisotropic_basis_oracle_k2,oracle,test,signal_bin,non_low_signal,0.5,92,0.890089566166754,0.9417451568435132,0.01395876354932638,0.013464979117523635,0,91,1,nan,1.817875959460941,1.8051853804032632,2.0,0.0,0.0,1.3483318083960076,1.2658434328825579
anisotropic_basis_oracle_k2,oracle,test,defect_type,polygon,0.5,75,0.8866006878528524,0.939146019861865,0.01963483030173359,0.021861929806570212,0,70,4,nan,1.8061118774129838,1.8051853804032632,2.0,0.013333333333333334,0.0,1.338404550552368,0.9922445585330327
anisotropic_basis_oracle_k2,oracle,test,defect_type,rotated_rect,0.5,63,0.8826314607084774,0.9376469000122071,0.016195952948042214,0.008669337606988847,0,63,0,nan,1.8040824077726423,1.8051853804032632,2.0,0.0,0.0,1.1818731805634877,1.318427288343036
anisotropic_basis_oracle_k4,oracle,val,overall,all,0.5,129,0.9378363820992033,0.9677230007329566,0.00995703780351549,0.013420544408149873,0,92,30,nan,1.8956023450286446,1.895602345028644,3.9767441860465116,0.03875968992248062,0.0,0.8778088855188947,1.0501650419346122
anisotropic_basis_oracle_k4,oracle,val,area_bin,small,0.5,43,0.9365834778091382,0.966748305609268,0.014820493857952055,0.017303181254456557,0,27,12,nan,1.888511289560454,1.895602345028644,3.9302325581395348,0.11627906976744186,0.0,0.7922337900760562,0.6846617016681406
anisotropic_basis_oracle_k4,oracle,val,area_bin,medium,0.5,43,0.9404771827029312,0.969282042534013,0.007924243283168144,0.012099359340175206,0,30,10,nan,1.901834981953776,1.895602345028644,4.0,0.0,0.0,0.8617573214131732,1.0623628358508266
anisotropic_basis_oracle_k4,oracle,val,area_bin,large,0.5,43,0.9364484857855402,0.9671386540555887,0.007126376269426271,0.010859092629817857,0,35,8,nan,1.8964607635717026,1.895602345028644,4.0,0.0,0.0,0.9794355450674544,1.4034705882848695
anisotropic_basis_oracle_k4,oracle,val,signal_bin,low_signal,0.5,43,0.9369763053443383,0.9669569481741717,0.013776142013072165,0.015311214722270622,0,27,12,nan,1.8901571115054379,1.895602345028644,3.9302325581395348,0.11627906976744186,0.0,0.7836714192878368,0.7687134617982909
anisotropic_basis_oracle_k4,oracle,val,signal_bin,non_low_signal,0.5,86,0.9382664204766357,0.9681060270123492,0.008047485698737152,0.012475209251089497,0,65,18,nan,1.8983249617902476,1.895602345028644,4.0,0.0,0.0,0.9248776186344235,1.190890832002773
anisotropic_basis_oracle_k4,oracle,val,defect_type,polygon,0.5,72,0.9363423736276348,0.9667833767207495,0.011611607291384694,0.01634539631615755,0,47,20,nan,1.8915141430569997,1.895602345028644,3.9583333333333335,0.06944444444444445,0.0,0.936155284444491,0.858767087260882
anisotropic_basis_oracle_k4,oracle,val,defect_type,rotated_rect,0.5,57,0.9397235506948683,0.9689098942220602,0.007867055292522813,0.00972599462961386,0,45,10,nan,1.9007663896244058,1.895602345028644,4.0,0.0,0.0,0.8041081710865623,1.2919308794172186
anisotropic_basis_oracle_k4,oracle,test,overall,all,0.5,138,0.9375694230698279,0.9675085904481846,0.009469798511423783,0.012890587385787723,0,106,19,nan,1.8956082150065887,1.895608215006589,3.963768115942029,0.028985507246376812,0.0,0.87097119561572,1.0909995899900147
anisotropic_basis_oracle_k4,oracle,test,area_bin,small,0.5,46,0.9339245007816648,0.9651164464720275,0.014572390001454119,0.017664562905733677,0,33,8,nan,1.8844685572522382,1.895608215006589,3.891304347826087,0.08695652173913043,0.0,0.7638517401140669,0.7460908582029135
anisotropic_basis_oracle_k4,oracle,test,area_bin,medium,0.5,46,0.9413571747059808,0.9697398191078833,0.007490806531924227,0.011815734076030229,0,35,5,nan,1.90360618728194,1.895608215006589,4.0,0.0,0.0,0.901058501523474,1.0511039275190104
anisotropic_basis_oracle_k4,oracle,test,area_bin,large,0.5,46,0.9374265937218382,0.9676695057646433,0.006346199000893004,0.009191465175599265,0,38,6,nan,1.8987499004855886,1.895608215006589,4.0,0.0,0.0,0.9480033452096193,1.4758039842481199
anisotropic_basis_oracle_k4,oracle,test,signal_bin,low_signal,0.5,46,0.9321883505460854,0.9642068817982453,0.01324119077503787,0.015936021262820323,0,30,10,nan,1.883154041569293,1.895608215006589,3.891304347826087,0.08695652173913043,0.0,0.772338802723781,0.8432253323819326
anisotropic_basis_oracle_k4,oracle,test,signal_bin,non_low_signal,0.5,92,0.9402599593316994,0.9691594447731542,0.007584102379616739,0.011367870447271422,0,76,9,nan,1.9018353017252367,1.895608215006589,4.0,0.0,0.0,0.9202873920616896,1.2148867187940555
anisotropic_basis_oracle_k4,oracle,test,defect_type,polygon,0.5,75,0.9354300798005504,0.9661604061157762,0.01109909226331827,0.016082516896227996,0,55,13,nan,1.8904913936530083,1.895608215006589,3.933333333333333,0.05333333333333334,0.0,0.9260911768674851,0.9245372893412908
anisotropic_basis_oracle_k4,oracle,test,defect_type,rotated_rect,0.5,63,0.9401162602951587,0.9691135717962899,0.007530163092501775,0.009090671301930257,0,51,6,nan,1.9016996689989467,1.895608215006589,4.0,0.0,0.0,0.8053521703159998,1.2891689955242096
